#wls	flux	fluxerr
1.600000E+03	8.084795E-18	4.980686E-19
1.640000E+03	8.063806E-18	4.937445E-19
1.680000E+03	8.044449E-18	4.894657E-19
1.720000E+03	8.028356E-18	4.853283E-19
1.760000E+03	8.014065E-18	4.812401E-19
1.800000E+03	8.004769E-18	4.773886E-19
1.840000E+03	7.999031E-18	4.736815E-19
1.880000E+03	7.998515E-18	4.702115E-19
1.920000E+03	8.001834E-18	4.668897E-19
1.960000E+03	8.012212E-18	4.638966E-19
2.000000E+03	8.026785E-18	4.610569E-19
2.040000E+03	8.048824E-18	4.585497E-19
2.080000E+03	8.077060E-18	4.562911E-19
2.120000E+03	8.113301E-18	4.543719E-19
2.160000E+03	8.159398E-18	4.528808E-19
2.200000E+03	8.212716E-18	4.516559E-19
2.240000E+03	8.276729E-18	4.508730E-19
2.280000E+03	8.351961E-18	4.505407E-19
2.320000E+03	8.439020E-18	4.506706E-19
2.360000E+03	8.538605E-18	4.512769E-19
2.400000E+03	8.654573E-18	4.525366E-19
2.440000E+03	8.784840E-18	4.543100E-19
2.480000E+03	8.933563E-18	4.567804E-19
2.520000E+03	9.103566E-18	4.600527E-19
2.560000E+03	9.294859E-18	4.640835E-19
2.600000E+03	9.510755E-18	4.689910E-19
2.640000E+03	9.754898E-18	4.748996E-19
2.680000E+03	1.003131E-17	4.819413E-19
2.720000E+03	1.034290E-17	4.901836E-19
2.760000E+03	1.069627E-17	4.998555E-19
2.800000E+03	1.109544E-17	5.110496E-19
2.840000E+03	1.155010E-17	5.241003E-19
2.880000E+03	1.206591E-17	5.391333E-19
2.920000E+03	1.265287E-17	5.564461E-19
2.960000E+03	1.332397E-17	5.764344E-19
3.000000E+03	1.408838E-17	5.992891E-19
3.010000E+03	1.429593E-17	6.055038E-19
3.020000E+03	1.451150E-17	6.119719E-19
3.030000E+03	1.473346E-17	6.186196E-19
3.040000E+03	1.496383E-17	6.255286E-19
3.050000E+03	1.520282E-17	6.327017E-19
3.060000E+03	1.544879E-17	6.400660E-19
3.070000E+03	1.570379E-17	6.477019E-19
3.080000E+03	1.596617E-17	6.555361E-19
3.090000E+03	1.623993E-17	6.637278E-19
3.100000E+03	1.652149E-17	6.721244E-19
3.110000E+03	1.681494E-17	6.808864E-19
3.120000E+03	1.711663E-17	6.898602E-19
3.130000E+03	1.743073E-17	6.992075E-19
3.140000E+03	1.775352E-17	7.087722E-19
3.150000E+03	1.808922E-17	7.187170E-19
3.160000E+03	1.843609E-17	7.289648E-19
3.170000E+03	1.879436E-17	7.395180E-19
3.180000E+03	1.916425E-17	7.503784E-19
3.190000E+03	1.954808E-17	7.616288E-19
3.200000E+03	1.994612E-17	7.732711E-19
3.210000E+03	2.035649E-17	7.852245E-19
3.220000E+03	2.078154E-17	7.975712E-19
3.230000E+03	2.121932E-17	8.102280E-19
3.240000E+03	2.167218E-17	8.232759E-19
3.250000E+03	2.214033E-17	8.367133E-19
3.260000E+03	2.262392E-17	8.505368E-19
3.270000E+03	2.312310E-17	8.647426E-19
3.280000E+03	2.363800E-17	8.793250E-19
3.290000E+03	2.416869E-17	8.942773E-19
3.300000E+03	2.471754E-17	9.096772E-19
3.310000E+03	2.527994E-17	9.253439E-19
3.320000E+03	2.586288E-17	9.415241E-19
3.330000E+03	2.645924E-17	9.579468E-19
3.340000E+03	2.707607E-17	9.748575E-19
3.350000E+03	2.770845E-17	9.920673E-19
3.360000E+03	2.835859E-17	1.009645E-18
3.370000E+03	2.902631E-17	1.027573E-18
3.380000E+03	2.971131E-17	1.045831E-18
3.390000E+03	3.041330E-17	1.064397E-18
3.400000E+03	3.113449E-17	1.083337E-18
3.410000E+03	3.187197E-17	1.102539E-18
3.420000E+03	3.262534E-17	1.121979E-18
3.430000E+03	3.339681E-17	1.141722E-18
3.440000E+03	3.418338E-17	1.161656E-18
3.450000E+03	3.499002E-17	1.181940E-18
3.460000E+03	3.581114E-17	1.202372E-18
3.470000E+03	3.665189E-17	1.223116E-18
3.480000E+03	3.750951E-17	1.244069E-18
3.490000E+03	3.838403E-17	1.265221E-18
3.500000E+03	3.927843E-17	1.286660E-18
3.510000E+03	4.019034E-17	1.308297E-18
3.520000E+03	4.112315E-17	1.330231E-18
3.530000E+03	4.207777E-17	1.352478E-18
3.540000E+03	4.305526E-17	1.375060E-18
3.550000E+03	4.405698E-17	1.398007E-18
3.560000E+03	4.508733E-17	1.421442E-18
3.570000E+03	4.614516E-17	1.445313E-18
3.580000E+03	4.723228E-17	1.469661E-18
3.590000E+03	4.835648E-17	1.494709E-18
3.600000E+03	4.951363E-17	1.520309E-18
3.610000E+03	5.071108E-17	1.546665E-18
3.620000E+03	5.194704E-17	1.573700E-18
3.630000E+03	5.322251E-17	1.601422E-18
3.640000E+03	5.454154E-17	1.629931E-18
3.650000E+03	5.590212E-17	1.659140E-18
3.660000E+03	5.731160E-17	1.689244E-18
3.670000E+03	5.876510E-17	1.720072E-18
3.680000E+03	6.027039E-17	1.751826E-18
3.690000E+03	6.182610E-17	1.784436E-18
3.700000E+03	6.343424E-17	1.817934E-18
3.710000E+03	6.510352E-17	1.852538E-18
3.720000E+03	6.683011E-17	1.888107E-18
