#wls	flux	fluxerr
1.600000E+03	2.730127E-18	2.188866E-18
1.640000E+03	2.696842E-18	2.159407E-18
1.680000E+03	2.662465E-18	2.128916E-18
1.720000E+03	2.627022E-18	2.097409E-18
1.760000E+03	2.590997E-18	2.065270E-18
1.800000E+03	2.553958E-18	2.032150E-18
1.840000E+03	2.515949E-18	1.998081E-18
1.880000E+03	2.477457E-18	1.963448E-18
1.920000E+03	2.438093E-18	1.927940E-18
1.960000E+03	2.397927E-18	1.891612E-18
2.000000E+03	2.357447E-18	1.854849E-18
2.040000E+03	2.316317E-18	1.817387E-18
2.080000E+03	2.274634E-18	1.779303E-18
2.120000E+03	2.232894E-18	1.740987E-18
2.160000E+03	2.190815E-18	1.702222E-18
2.200000E+03	2.148898E-18	1.663398E-18
2.240000E+03	2.106899E-18	1.624331E-18
2.280000E+03	2.064972E-18	1.585145E-18
2.320000E+03	2.023632E-18	1.546237E-18
2.360000E+03	1.982695E-18	1.507470E-18
2.400000E+03	1.942355E-18	1.468995E-18
2.440000E+03	1.903142E-18	1.431215E-18
2.480000E+03	1.865254E-18	1.394279E-18
2.520000E+03	1.828598E-18	1.358111E-18
2.560000E+03	1.793427E-18	1.322897E-18
2.600000E+03	1.760011E-18	1.288830E-18
2.640000E+03	1.729225E-18	1.256537E-18
2.680000E+03	1.700493E-18	1.225578E-18
2.720000E+03	1.674731E-18	1.196591E-18
2.760000E+03	1.652023E-18	1.169603E-18
2.800000E+03	1.633050E-18	1.145053E-18
2.840000E+03	1.618253E-18	1.123195E-18
2.880000E+03	1.607602E-18	1.103940E-18
2.920000E+03	1.602204E-18	1.087972E-18
2.960000E+03	1.602711E-18	1.075629E-18
3.000000E+03	1.609613E-18	1.067118E-18
3.010000E+03	1.612437E-18	1.065639E-18
3.020000E+03	1.615731E-18	1.064435E-18
3.030000E+03	1.619510E-18	1.063512E-18
3.040000E+03	1.623789E-18	1.062879E-18
3.050000E+03	1.628587E-18	1.062543E-18
3.060000E+03	1.633921E-18	1.062515E-18
3.070000E+03	1.640076E-18	1.062975E-18
3.080000E+03	1.646539E-18	1.063586E-18
3.090000E+03	1.653597E-18	1.064532E-18
3.100000E+03	1.661270E-18	1.065822E-18
3.110000E+03	1.669852E-18	1.067640E-18
3.120000E+03	1.678824E-18	1.069650E-18
3.130000E+03	1.688482E-18	1.072036E-18
3.140000E+03	1.699125E-18	1.074985E-18
3.150000E+03	1.710231E-18	1.078161E-18
3.160000E+03	1.722103E-18	1.081749E-18
3.170000E+03	1.735048E-18	1.085940E-18
