#wls	flux	fluxerr
1.587144E+03	4.846801E-04	2.762467E-05
1.626823E+03	4.867910E-04	2.772284E-05
1.666501E+03	4.891950E-04	2.783693E-05
1.706180E+03	4.917262E-04	2.795745E-05
1.745859E+03	4.945598E-04	2.809430E-05
1.785537E+03	4.976162E-04	2.824290E-05
1.825216E+03	5.009012E-04	2.840353E-05
1.864894E+03	5.045071E-04	2.858135E-05
1.904573E+03	5.083554E-04	2.877185E-05
1.944252E+03	5.126262E-04	2.898513E-05
1.983930E+03	5.171570E-04	2.921194E-05
2.023609E+03	5.221299E-04	2.946245E-05
2.063287E+03	5.275566E-04	2.973723E-05
2.102966E+03	5.333639E-04	3.003204E-05
2.142645E+03	5.396526E-04	3.035243E-05
2.182323E+03	5.465253E-04	3.070405E-05
2.222002E+03	5.539140E-04	3.108293E-05
2.261680E+03	5.619256E-04	3.149490E-05
2.301359E+03	5.705835E-04	3.194110E-05
2.341038E+03	5.800011E-04	3.242770E-05
2.380716E+03	5.901199E-04	3.295120E-05
2.420395E+03	6.011492E-04	3.352307E-05
2.460073E+03	6.131272E-04	3.414517E-05
2.499752E+03	6.260072E-04	3.481462E-05
2.539431E+03	6.401052E-04	3.554870E-05
2.579109E+03	6.552973E-04	3.634015E-05
2.618788E+03	6.719168E-04	3.720709E-05
2.658466E+03	6.898532E-04	3.814297E-05
2.698145E+03	7.094623E-04	3.916699E-05
2.737824E+03	7.307453E-04	4.027870E-05
2.777502E+03	7.539942E-04	4.149359E-05
2.817181E+03	7.793314E-04	4.281775E-05
2.856859E+03	8.069901E-04	4.426326E-05
2.896538E+03	8.372252E-04	4.584330E-05
2.936217E+03	8.703157E-04	4.757220E-05
2.975895E+03	9.065680E-04	4.946570E-05
2.985815E+03	9.161521E-04	4.996613E-05
2.995735E+03	9.260527E-04	5.048325E-05
3.005654E+03	9.360735E-04	5.100632E-05
3.015574E+03	9.463185E-04	5.154100E-05
3.025494E+03	9.568939E-04	5.209305E-05
3.035413E+03	9.677031E-04	5.265718E-05
3.045333E+03	9.787505E-04	5.323362E-05
3.055252E+03	9.900411E-04	5.382261E-05
3.065172E+03	1.001579E-03	5.442438E-05
3.075092E+03	1.013474E-03	5.504480E-05
