#wls	flux	fluxerr
1.587144E+03	3.306381E-18	8.270875E-20
1.626823E+03	3.412103E-18	8.515475E-20
1.666501E+03	3.493277E-18	8.697222E-20
1.706180E+03	3.547305E-18	8.810059E-20
1.745859E+03	3.571011E-18	8.846586E-20
1.785537E+03	3.557639E-18	8.790654E-20
1.825216E+03	3.497879E-18	8.620030E-20
1.864894E+03	3.383907E-18	8.316419E-20
1.904573E+03	3.210105E-18	7.867192E-20
1.944252E+03	2.978223E-18	7.277933E-20
1.983930E+03	2.703356E-18	6.586753E-20
2.023609E+03	2.418614E-18	5.875142E-20
2.063287E+03	2.171135E-18	5.257603E-20
2.102966E+03	2.009905E-18	4.851659E-20
2.142645E+03	1.970521E-18	4.741041E-20
2.182323E+03	2.068319E-18	4.959649E-20
2.222002E+03	2.299223E-18	5.494367E-20
2.261680E+03	2.644536E-18	6.297248E-20
2.301359E+03	3.077151E-18	7.300885E-20
2.341038E+03	3.567813E-18	8.433616E-20
2.380716E+03	4.092023E-18	9.635937E-20
2.420395E+03	4.631929E-18	1.086476E-19
2.460073E+03	5.177484E-18	1.209585E-19
2.499752E+03	5.722837E-18	1.331511E-19
2.539431E+03	6.269237E-18	1.452511E-19
2.579109E+03	6.816290E-18	1.572457E-19
2.618788E+03	7.369469E-18	1.692569E-19
2.658466E+03	7.932434E-18	1.813633E-19
2.698145E+03	8.509151E-18	1.936483E-19
2.737824E+03	9.106030E-18	2.062492E-19
2.777502E+03	9.728729E-18	2.192832E-19
2.817181E+03	1.038188E-17	2.328416E-19
2.856859E+03	1.107280E-17	2.470736E-19
2.896538E+03	1.180797E-17	2.621054E-19
2.936217E+03	1.259427E-17	2.780689E-19
2.975895E+03	1.344194E-17	2.951660E-19
2.985815E+03	1.366381E-17	2.996223E-19
2.995735E+03	1.388958E-17	3.041485E-19
3.005654E+03	1.412083E-17	3.087789E-19
3.015574E+03	1.435664E-17	3.134928E-19
3.025494E+03	1.460021E-17	3.183596E-19
3.035413E+03	1.485206E-17	3.233897E-19
3.045333E+03	1.511324E-17	3.286049E-19
3.055252E+03	1.538308E-17	3.339900E-19
3.065172E+03	1.566282E-17	3.395707E-19
3.075092E+03	1.595060E-17	3.453060E-19
3.085011E+03	1.624776E-17	3.512235E-19
3.094931E+03	1.655408E-17	3.573177E-19
3.104851E+03	1.686775E-17	3.635488E-19
3.114770E+03	1.719022E-17	3.699471E-19
3.124690E+03	1.752137E-17	3.765089E-19
3.134610E+03	1.786110E-17	3.832309E-19
3.144529E+03	1.820761E-17	3.900742E-19
3.154449E+03	1.856252E-17	3.970722E-19
3.164369E+03	1.892579E-17	4.042232E-19
3.174288E+03	1.929915E-17	4.115630E-19
3.184208E+03	1.967912E-17	4.190165E-19
3.194128E+03	2.006744E-17	4.266202E-19
3.204047E+03	2.046414E-17	4.343734E-19
3.213967E+03	2.086930E-17	4.422767E-19
3.223887E+03	2.128297E-17	4.503305E-19
3.233806E+03	2.170709E-17	4.585747E-19
3.243726E+03	2.213807E-17	4.669323E-19
3.253645E+03	2.257978E-17	4.754839E-19
3.263565E+03	2.303047E-17	4.841916E-19
3.273485E+03	2.349222E-17	4.930979E-19
3.283404E+03	2.396135E-17	5.021245E-19
3.293324E+03	2.444387E-17	5.113963E-19
3.303244E+03	2.493414E-17	5.207936E-19
3.313163E+03	2.543830E-17	5.304438E-19
3.323083E+03	2.595061E-17	5.402256E-19
3.333003E+03	2.647734E-17	5.502685E-19
3.342922E+03	2.701476E-17	5.604931E-19
3.352842E+03	2.756516E-17	5.709460E-19
3.362762E+03	2.812676E-17	5.815884E-19
3.372681E+03	2.870195E-17	5.924686E-19
3.382601E+03	2.929105E-17	6.035912E-19
3.392521E+03	2.989657E-17	6.150067E-19
3.402440E+03	3.051236E-17	6.265867E-19
