#wls	flux	fluxerr
1.600000E+03	4.437703E-17	1.696658E-18
1.640000E+03	4.453933E-17	1.700419E-18
1.680000E+03	4.471937E-17	1.704775E-18
1.720000E+03	4.491742E-17	1.709734E-18
1.760000E+03	4.513373E-17	1.715299E-18
1.800000E+03	4.537669E-17	1.721783E-18
1.840000E+03	4.563859E-17	1.728887E-18
1.880000E+03	4.593595E-17	1.737229E-18
1.920000E+03	4.625309E-17	1.746208E-18
1.960000E+03	4.659859E-17	1.756141E-18
2.000000E+03	4.698106E-17	1.767343E-18
2.040000E+03	4.740114E-17	1.779828E-18
2.080000E+03	4.785148E-17	1.793308E-18
2.120000E+03	4.834903E-17	1.808408E-18
2.160000E+03	4.889474E-17	1.825148E-18
2.200000E+03	4.948149E-17	1.843249E-18
2.240000E+03	5.012668E-17	1.863343E-18
2.280000E+03	5.082349E-17	1.885159E-18
2.320000E+03	5.158149E-17	1.909033E-18
2.360000E+03	5.241056E-17	1.935310E-18
2.400000E+03	5.330438E-17	1.963733E-18
2.440000E+03	5.428973E-17	1.995263E-18
2.480000E+03	5.535262E-17	2.029356E-18
2.520000E+03	5.651233E-17	2.066689E-18
2.560000E+03	5.778040E-17	2.107648E-18
2.600000E+03	5.915217E-17	2.152024E-18
2.640000E+03	6.065690E-17	2.200839E-18
2.680000E+03	6.229956E-17	2.254224E-18
2.720000E+03	6.408578E-17	2.312330E-18
2.760000E+03	6.604750E-17	2.376250E-18
2.800000E+03	6.818390E-17	2.445885E-18
2.840000E+03	7.052947E-17	2.522401E-18
2.880000E+03	7.310328E-17	2.606392E-18
2.920000E+03	7.592615E-17	2.698507E-18
2.960000E+03	7.903851E-17	2.800074E-18
3.000000E+03	8.245701E-17	2.911562E-18
3.010000E+03	8.336667E-17	2.941223E-18
3.020000E+03	8.429360E-17	2.971427E-18
3.030000E+03	8.524711E-17	3.002502E-18
3.040000E+03	8.622759E-17	3.034457E-18
3.050000E+03	8.722638E-17	3.066986E-18
3.060000E+03	8.826196E-17	3.100735E-18
3.070000E+03	8.930755E-17	3.134761E-18
3.080000E+03	9.039078E-17	3.170031E-18
3.090000E+03	9.150302E-17	3.206240E-18
3.100000E+03	9.263559E-17	3.243080E-18
3.110000E+03	9.380725E-17	3.281205E-18
3.120000E+03	9.500013E-17	3.319986E-18
3.130000E+03	9.622392E-17	3.359760E-18
3.140000E+03	9.748839E-17	3.400864E-18
3.150000E+03	9.877556E-17	3.442666E-18
3.160000E+03	1.001045E-16	3.485830E-18
3.170000E+03	1.014667E-16	3.530050E-18
3.180000E+03	1.028625E-16	3.575340E-18
3.190000E+03	1.042925E-16	3.621717E-18
3.200000E+03	1.057670E-16	3.669531E-18
3.210000E+03	1.072770E-16	3.718465E-18
3.220000E+03	1.088233E-16	3.768547E-18
3.230000E+03	1.104160E-16	3.820117E-18
3.240000E+03	1.120560E-16	3.873203E-18
3.250000E+03	1.137343E-16	3.927490E-18
3.260000E+03	1.154614E-16	3.983338E-18
3.270000E+03	1.172283E-16	4.040427E-18
3.280000E+03	1.190457E-16	4.099121E-18
3.290000E+03	1.209143E-16	4.159441E-18
3.300000E+03	1.228349E-16	4.221409E-18
3.310000E+03	1.248087E-16	4.285057E-18
3.320000E+03	1.268363E-16	4.350402E-18
3.330000E+03	1.289187E-16	4.417472E-18
3.340000E+03	1.310570E-16	4.486295E-18
3.350000E+03	1.332621E-16	4.557241E-18
3.360000E+03	1.355147E-16	4.629645E-18
3.370000E+03	1.378363E-16	4.704229E-18
3.380000E+03	1.402279E-16	4.781021E-18
3.390000E+03	1.426802E-16	4.859700E-18
3.400000E+03	1.451944E-16	4.940295E-18
3.410000E+03	1.477817E-16	5.023184E-18
3.420000E+03	1.504434E-16	5.108396E-18
3.430000E+03	1.531700E-16	5.195608E-18
3.440000E+03	1.559837E-16	5.285556E-18
3.450000E+03	1.588646E-16	5.377563E-18
3.460000E+03	1.618243E-16	5.472009E-18
3.470000E+03	1.648745E-16	5.569284E-18
3.480000E+03	1.680060E-16	5.669061E-18
3.490000E+03	1.712197E-16	5.771366E-18
3.500000E+03	1.745166E-16	5.876220E-18
3.510000E+03	1.779089E-16	5.984023E-18
3.520000E+03	1.813868E-16	6.094433E-18
3.530000E+03	1.849620E-16	6.207838E-18
3.540000E+03	1.886360E-16	6.324270E-18
3.550000E+03	1.923983E-16	6.443371E-18
3.560000E+03	1.962614E-16	6.565543E-18
3.570000E+03	2.002373E-16	6.691176E-18
3.580000E+03	2.043043E-16	6.819536E-18
3.590000E+03	2.084860E-16	6.951393E-18
3.600000E+03	2.127719E-16	7.086385E-18
3.610000E+03	2.171624E-16	7.224515E-18
3.620000E+03	2.216698E-16	7.366176E-18
3.630000E+03	2.262830E-16	7.510986E-18
3.640000E+03	2.310141E-16	7.659333E-18
3.650000E+03	2.358635E-16	7.811214E-18
3.660000E+03	2.408314E-16	7.966622E-18
3.670000E+03	2.459178E-16	8.125540E-18
3.680000E+03	2.511227E-16	8.287957E-18
3.690000E+03	2.564458E-16	8.453846E-18
3.700000E+03	2.618865E-16	8.623175E-18
3.710000E+03	2.674567E-16	8.796315E-18
3.720000E+03	2.731432E-16	8.972817E-18
3.730000E+03	2.789573E-16	9.153042E-18
3.740000E+03	2.848854E-16	9.336522E-18
3.750000E+03	2.909385E-16	9.523606E-18
3.760000E+03	2.971275E-16	9.714635E-18
3.770000E+03	3.034254E-16	9.908707E-18
3.780000E+03	3.098425E-16	1.010614E-17
3.790000E+03	3.163892E-16	1.030727E-17
3.800000E+03	3.230498E-16	1.051156E-17
3.810000E+03	3.298213E-16	1.071889E-17
3.820000E+03	3.367133E-16	1.092957E-17
3.830000E+03	3.437089E-16	1.114304E-17
3.840000E+03	3.508174E-16	1.135957E-17
3.850000E+03	3.580343E-16	1.157902E-17
3.860000E+03	3.653550E-16	1.180121E-17
3.870000E+03	3.727613E-16	1.202554E-17
3.880000E+03	3.802745E-16	1.225270E-17
3.890000E+03	3.878619E-16	1.248161E-17
3.900000E+03	3.955446E-16	1.271294E-17
3.910000E+03	4.033029E-16	1.294604E-17
3.920000E+03	4.111299E-16	1.318069E-17
3.930000E+03	4.190187E-16	1.341666E-17
3.940000E+03	4.269758E-16	1.365414E-17
3.950000E+03	4.349801E-16	1.389245E-17
3.960000E+03	4.430372E-16	1.413176E-17
3.970000E+03	4.511257E-16	1.437138E-17
3.980000E+03	4.592373E-16	1.461105E-17
3.990000E+03	4.673771E-16	1.485092E-17
4.000000E+03	4.755369E-16	1.509073E-17
4.010000E+03	4.836938E-16	1.532975E-17
4.020000E+03	4.918392E-16	1.556770E-17
4.030000E+03	4.999640E-16	1.580431E-17
4.040000E+03	5.080734E-16	1.603973E-17
4.050000E+03	5.161445E-16	1.627325E-17
4.060000E+03	5.241822E-16	1.650502E-17
4.070000E+03	5.321503E-16	1.673391E-17
4.080000E+03	5.400675E-16	1.696052E-17
4.090000E+03	5.478980E-16	1.718373E-17
4.100000E+03	5.556474E-16	1.740373E-17
4.110000E+03	5.633079E-16	1.762027E-17
4.120000E+03	5.708580E-16	1.783271E-17
4.130000E+03	5.782908E-16	1.804084E-17
4.140000E+03	5.856135E-16	1.824490E-17
4.150000E+03	5.927925E-16	1.844386E-17
4.160000E+03	5.998227E-16	1.863758E-17
4.170000E+03	6.067130E-16	1.882635E-17
4.180000E+03	6.134459E-16	1.900965E-17
4.190000E+03	6.200185E-16	1.918742E-17
4.200000E+03	6.264154E-16	1.935919E-17
4.210000E+03	6.326224E-16	1.952456E-17
4.220000E+03	6.386665E-16	1.968438E-17
4.230000E+03	6.445095E-16	1.983749E-17
4.240000E+03	6.501808E-16	1.998483E-17
4.250000E+03	6.556456E-16	2.012536E-17
4.260000E+03	6.609361E-16	2.026008E-17
4.270000E+03	6.660212E-16	2.038807E-17
4.280000E+03	6.709362E-16	2.051043E-17
4.290000E+03	6.756537E-16	2.062635E-17
4.300000E+03	6.802118E-16	2.073703E-17
4.310000E+03	6.845866E-16	2.084174E-17
4.320000E+03	6.888059E-16	2.094138E-17
4.330000E+03	6.928729E-16	2.103605E-17
4.340000E+03	6.967914E-16	2.112589E-17
4.350000E+03	7.005767E-16	2.121138E-17
4.360000E+03	7.042309E-16	2.129261E-17
4.370000E+03	7.077544E-16	2.136962E-17
4.380000E+03	7.111578E-16	2.144272E-17
4.390000E+03	7.144495E-16	2.151221E-17
4.400000E+03	7.176140E-16	2.157763E-17
4.410000E+03	7.206584E-16	2.163920E-17
4.420000E+03	7.235882E-16	2.169712E-17
4.430000E+03	7.263945E-16	2.175114E-17
4.440000E+03	7.290674E-16	2.180097E-17
4.450000E+03	7.316177E-16	2.184696E-17
4.460000E+03	7.340217E-16	2.188841E-17
4.470000E+03	7.362780E-16	2.192532E-17
4.480000E+03	7.383860E-16	2.195767E-17
4.490000E+03	7.403458E-16	2.198550E-17
4.500000E+03	7.421478E-16	2.200853E-17
4.510000E+03	7.437844E-16	2.202657E-17
4.520000E+03	7.452820E-16	2.204041E-17
4.530000E+03	7.466259E-16	2.204964E-17
4.540000E+03	7.478246E-16	2.205454E-17
4.550000E+03	7.488891E-16	2.205544E-17
4.560000E+03	7.498426E-16	2.205304E-17
4.570000E+03	7.506785E-16	2.204717E-17
4.580000E+03	7.514242E-16	2.203865E-17
4.590000E+03	7.520982E-16	2.202802E-17
4.600000E+03	7.527207E-16	2.201590E-17
4.610000E+03	7.533041E-16	2.200265E-17
4.620000E+03	7.538720E-16	2.198897E-17
4.630000E+03	7.544706E-16	2.197621E-17
4.640000E+03	7.551066E-16	2.196455E-17
4.650000E+03	7.558085E-16	2.195483E-17
4.660000E+03	7.566158E-16	2.194818E-17
4.670000E+03	7.575584E-16	2.194547E-17
4.680000E+03	7.586569E-16	2.194726E-17
4.690000E+03	7.599507E-16	2.195469E-17
4.700000E+03	7.614675E-16	2.196854E-17
4.710000E+03	7.632218E-16	2.198919E-17
4.720000E+03	7.652503E-16	2.201767E-17
4.730000E+03	7.675415E-16	2.205363E-17
4.740000E+03	7.701021E-16	2.209724E-17
4.750000E+03	7.729207E-16	2.214813E-17
4.760000E+03	7.759897E-16	2.220606E-17
4.770000E+03	7.792788E-16	2.227015E-17
4.780000E+03	7.827752E-16	2.233999E-17
4.790000E+03	7.864553E-16	2.241491E-17
4.800000E+03	7.902856E-16	2.249393E-17
4.810000E+03	7.942711E-16	2.257717E-17
4.820000E+03	7.983590E-16	2.266313E-17
4.830000E+03	8.025553E-16	2.275197E-17
4.840000E+03	8.068275E-16	2.284276E-17
4.850000E+03	8.111632E-16	2.293514E-17
4.860000E+03	8.155315E-16	2.302823E-17
4.870000E+03	8.199308E-16	2.312199E-17
4.880000E+03	8.243316E-16	2.321559E-17
4.890000E+03	8.287241E-16	2.330875E-17
4.900000E+03	8.330895E-16	2.340095E-17
4.910000E+03	8.374193E-16	2.349196E-17
4.920000E+03	8.417059E-16	2.358157E-17
4.930000E+03	8.459120E-16	2.366875E-17
4.940000E+03	8.500410E-16	2.375360E-17
4.950000E+03	8.540864E-16	2.383595E-17
4.960000E+03	8.580125E-16	2.391482E-17
4.970000E+03	8.618336E-16	2.399063E-17
4.980000E+03	8.655147E-16	2.406241E-17
4.990000E+03	8.690612E-16	2.413034E-17
5.000000E+03	8.724586E-16	2.419402E-17
5.010000E+03	8.756826E-16	2.425281E-17
5.020000E+03	8.787297E-16	2.430663E-17
5.030000E+03	8.815967E-16	2.435541E-17
5.040000E+03	8.842704E-16	2.439881E-17
5.050000E+03	8.867280E-16	2.443622E-17
5.060000E+03	8.889673E-16	2.446762E-17
5.070000E+03	8.909765E-16	2.449270E-17
5.080000E+03	8.927542E-16	2.451145E-17
5.090000E+03	8.942793E-16	2.452331E-17
5.100000E+03	8.955513E-16	2.452830E-17
5.110000E+03	8.965603E-16	2.452618E-17
5.120000E+03	8.972967E-16	2.451672E-17
5.130000E+03	8.977414E-16	2.449943E-17
5.140000E+03	8.979068E-16	2.447466E-17
5.150000E+03	8.977648E-16	2.444169E-17
5.160000E+03	8.973293E-16	2.440093E-17
5.170000E+03	8.965837E-16	2.435196E-17
5.180000E+03	8.955131E-16	2.429440E-17
5.190000E+03	8.941336E-16	2.422873E-17
5.200000E+03	8.924419E-16	2.415488E-17
5.210000E+03	8.904157E-16	2.407228E-17
5.220000E+03	8.880642E-16	2.398122E-17
5.230000E+03	8.853774E-16	2.388146E-17
5.240000E+03	8.823769E-16	2.377360E-17
5.250000E+03	8.790457E-16	2.365723E-17
5.260000E+03	8.753975E-16	2.353274E-17
5.270000E+03	8.714286E-16	2.340005E-17
5.280000E+03	8.671460E-16	2.325940E-17
5.290000E+03	8.625587E-16	2.311104E-17
5.300000E+03	8.576679E-16	2.295503E-17
5.310000E+03	8.524955E-16	2.279199E-17
5.320000E+03	8.470464E-16	2.262206E-17
5.330000E+03	8.413369E-16	2.244572E-17
5.340000E+03	8.353854E-16	2.226346E-17
5.350000E+03	8.291939E-16	2.207536E-17
5.360000E+03	8.228036E-16	2.188254E-17
5.370000E+03	8.162215E-16	2.168517E-17
5.380000E+03	8.094748E-16	2.148401E-17
5.390000E+03	8.025937E-16	2.127985E-17
5.400000E+03	7.956016E-16	2.107331E-17
5.410000E+03	7.885421E-16	2.086555E-17
5.420000E+03	7.814349E-16	2.065709E-17
5.430000E+03	7.743282E-16	2.044920E-17
5.440000E+03	7.672552E-16	2.024275E-17
5.450000E+03	7.602591E-16	2.003886E-17
5.460000E+03	7.533841E-16	1.983868E-17
5.470000E+03	7.466737E-16	1.964335E-17
5.480000E+03	7.401675E-16	1.945389E-17
5.490000E+03	7.338872E-16	1.927084E-17
5.500000E+03	7.278623E-16	1.909496E-17
5.510000E+03	7.220710E-16	1.892565E-17
5.520000E+03	7.165016E-16	1.876258E-17
5.530000E+03	7.111368E-16	1.860528E-17
5.540000E+03	7.059422E-16	1.845283E-17
5.550000E+03	7.009010E-16	1.830477E-17
5.560000E+03	6.959913E-16	1.816051E-17
5.570000E+03	6.912019E-16	1.801976E-17
5.580000E+03	6.865172E-16	1.788209E-17
5.590000E+03	6.819319E-16	1.774735E-17
5.600000E+03	6.774283E-16	1.761507E-17
5.610000E+03	6.730137E-16	1.748544E-17
5.620000E+03	6.686748E-16	1.735809E-17
5.630000E+03	6.644153E-16	1.723312E-17
5.640000E+03	6.602474E-16	1.711083E-17
5.650000E+03	6.561552E-16	1.699080E-17
5.660000E+03	6.521463E-16	1.687322E-17
5.670000E+03	6.482282E-16	1.675828E-17
5.680000E+03	6.444025E-16	1.664600E-17
5.690000E+03	6.406708E-16	1.653642E-17
5.700000E+03	6.370423E-16	1.642977E-17
5.710000E+03	6.335122E-16	1.632592E-17
5.720000E+03	6.300966E-16	1.622527E-17
5.730000E+03	6.267841E-16	1.612752E-17
5.740000E+03	6.235904E-16	1.603307E-17
5.750000E+03	6.205175E-16	1.594195E-17
5.760000E+03	6.175602E-16	1.585403E-17
5.770000E+03	6.147338E-16	1.576969E-17
5.780000E+03	6.120255E-16	1.568859E-17
5.790000E+03	6.094432E-16	1.561092E-17
5.800000E+03	6.069874E-16	1.553669E-17
5.810000E+03	6.046652E-16	1.546608E-17
5.820000E+03	6.024630E-16	1.539872E-17
5.830000E+03	6.003941E-16	1.533495E-17
5.840000E+03	5.984512E-16	1.527457E-17
5.850000E+03	5.966339E-16	1.521757E-17
5.860000E+03	5.949413E-16	1.516392E-17
5.870000E+03	5.933725E-16	1.511358E-17
5.880000E+03	5.919265E-16	1.506652E-17
5.890000E+03	5.906026E-16	1.502273E-17
5.900000E+03	5.893933E-16	1.498199E-17
5.910000E+03	5.883111E-16	1.494462E-17
5.920000E+03	5.873423E-16	1.491028E-17
5.930000E+03	5.864867E-16	1.487894E-17
5.940000E+03	5.857444E-16	1.485061E-17
5.950000E+03	5.851227E-16	1.482546E-17
5.960000E+03	5.846094E-16	1.480318E-17
5.970000E+03	5.842194E-16	1.478414E-17
5.980000E+03	5.839353E-16	1.476790E-17
5.990000E+03	5.837801E-16	1.475504E-17
6.000000E+03	5.837380E-16	1.474514E-17
6.010000E+03	5.838207E-16	1.473851E-17
6.020000E+03	5.840341E-16	1.473528E-17
6.030000E+03	5.843792E-16	1.473548E-17
6.040000E+03	5.848709E-16	1.473948E-17
6.050000E+03	5.855128E-16	1.474736E-17
6.060000E+03	5.863097E-16	1.475924E-17
6.070000E+03	5.872879E-16	1.477577E-17
6.080000E+03	5.884421E-16	1.479683E-17
6.090000E+03	5.898021E-16	1.482315E-17
6.100000E+03	5.913793E-16	1.485500E-17
6.110000E+03	5.931932E-16	1.489289E-17
6.120000E+03	5.952581E-16	1.493715E-17
6.130000E+03	5.976029E-16	1.498851E-17
6.140000E+03	6.002439E-16	1.504736E-17
6.150000E+03	6.032040E-16	1.511428E-17
6.160000E+03	6.065127E-16	1.519000E-17
6.170000E+03	6.101767E-16	1.527467E-17
6.180000E+03	6.142202E-16	1.536889E-17
6.190000E+03	6.186556E-16	1.547297E-17
6.200000E+03	6.234892E-16	1.558704E-17
6.210000E+03	6.287197E-16	1.571109E-17
6.220000E+03	6.343326E-16	1.584473E-17
6.230000E+03	6.403231E-16	1.598783E-17
6.240000E+03	6.466749E-16	1.614000E-17
6.250000E+03	6.533622E-16	1.630057E-17
6.260000E+03	6.603720E-16	1.646923E-17
6.270000E+03	6.676748E-16	1.664524E-17
6.280000E+03	6.752640E-16	1.682843E-17
6.290000E+03	6.831012E-16	1.701785E-17
6.300000E+03	6.911716E-16	1.721314E-17
6.310000E+03	6.994523E-16	1.741371E-17
6.320000E+03	7.079123E-16	1.761881E-17
6.330000E+03	7.165456E-16	1.782827E-17
6.340000E+03	7.253213E-16	1.804135E-17
6.350000E+03	7.342171E-16	1.825747E-17
6.360000E+03	7.432198E-16	1.847632E-17
6.370000E+03	7.522897E-16	1.869691E-17
6.380000E+03	7.614225E-16	1.891914E-17
6.390000E+03	7.705966E-16	1.914247E-17
6.400000E+03	7.797717E-16	1.936591E-17
