#wls	flux	fluxerr
1.567552E+03	3.112778E-02	3.793336E-04
1.606740E+03	3.139839E-02	3.811100E-04
1.645929E+03	3.167905E-02	3.829468E-04
1.685118E+03	3.197000E-02	3.848443E-04
1.724307E+03	3.227221E-02	3.868109E-04
1.763496E+03	3.258600E-02	3.888471E-04
1.802684E+03	3.291237E-02	3.909615E-04
1.841873E+03	3.325127E-02	3.931499E-04
1.881062E+03	3.360377E-02	3.954211E-04
1.920251E+03	3.397092E-02	3.977834E-04
1.959440E+03	3.435269E-02	4.002321E-04
1.998628E+03	3.474977E-02	4.027709E-04
2.037817E+03	3.516363E-02	4.054122E-04
2.077006E+03	3.559418E-02	4.081497E-04
2.116195E+03	3.604207E-02	4.109861E-04
2.155384E+03	3.650832E-02	4.139273E-04
2.194572E+03	3.699350E-02	4.169743E-04
2.233761E+03	3.749730E-02	4.201177E-04
2.272950E+03	3.802094E-02	4.233652E-04
2.312139E+03	3.856433E-02	4.267095E-04
2.351328E+03	3.912802E-02	4.301503E-04
2.390516E+03	3.971158E-02	4.336764E-04
2.429705E+03	4.031479E-02	4.372786E-04
2.468894E+03	4.093712E-02	4.409450E-04
2.508083E+03	4.157779E-02	4.446603E-04
2.547271E+03	4.223560E-02	4.484056E-04
2.586460E+03	4.290940E-02	4.521626E-04
2.625649E+03	4.359614E-02	4.558933E-04
2.664838E+03	4.429404E-02	4.595743E-04
2.704027E+03	4.499971E-02	4.631662E-04
2.743215E+03	4.570801E-02	4.666127E-04
2.782404E+03	4.641493E-02	4.698710E-04
2.821593E+03	4.711402E-02	4.728755E-04
2.860782E+03	4.779832E-02	4.755579E-04
2.899971E+03	4.846041E-02	4.778482E-04
2.939159E+03	4.909125E-02	4.796637E-04
2.948957E+03	4.924270E-02	4.800309E-04
2.958754E+03	4.939119E-02	4.803593E-04
2.968551E+03	4.953711E-02	4.806531E-04
2.978348E+03	4.968031E-02	4.809108E-04
2.988145E+03	4.981948E-02	4.811200E-04
2.997943E+03	4.995557E-02	4.812903E-04
3.007740E+03	5.008840E-02	4.814199E-04
3.017537E+03	5.021666E-02	4.814967E-04
3.027334E+03	5.034186E-02	4.815354E-04
3.037131E+03	5.046211E-02	4.815183E-04
3.046929E+03	5.057837E-02	4.814548E-04
3.056726E+03	5.068987E-02	4.813379E-04
3.066523E+03	5.079702E-02	4.811718E-04
3.076320E+03	5.089845E-02	4.809440E-04
3.086117E+03	5.099573E-02	4.806697E-04
3.095915E+03	5.108693E-02	4.803310E-04
3.105712E+03	5.117302E-02	4.799376E-04
3.115509E+03	5.125383E-02	4.794882E-04
3.125306E+03	5.132861E-02	4.789762E-04
3.135103E+03	5.139718E-02	4.784005E-04
3.144901E+03	5.145936E-02	4.777599E-04
3.154698E+03	5.151560E-02	4.770589E-04
3.164495E+03	5.156512E-02	4.762910E-04
3.174292E+03	5.160841E-02	4.754611E-04
3.184089E+03	5.164471E-02	4.745627E-04
3.193887E+03	5.167448E-02	4.736008E-04
3.203684E+03	5.169644E-02	4.725640E-04
3.213481E+03	5.171225E-02	4.714681E-04
3.223278E+03	5.172003E-02	4.702965E-04
3.233075E+03	5.172091E-02	4.690602E-04
3.242873E+03	5.171482E-02	4.677590E-04
3.252670E+03	5.170112E-02	4.663878E-04
3.262467E+03	5.167979E-02	4.649470E-04
3.272264E+03	5.165143E-02	4.634427E-04
3.282061E+03	5.161547E-02	4.618703E-04
3.291859E+03	5.157196E-02	4.602308E-04
3.301656E+03	5.152158E-02	4.585310E-04
3.311453E+03	5.146388E-02	4.567675E-04
3.321250E+03	5.139959E-02	4.549473E-04
3.331047E+03	5.132834E-02	4.530678E-04
3.340845E+03	5.125099E-02	4.511370E-04
3.350642E+03	5.116668E-02	4.491481E-04
3.360439E+03	5.107759E-02	4.471206E-04
3.370236E+03	5.098303E-02	4.450491E-04
3.380033E+03	5.088361E-02	4.429392E-04
3.389831E+03	5.078063E-02	4.408027E-04
3.399628E+03	5.067440E-02	4.386428E-04
3.409425E+03	5.056600E-02	4.364689E-04
3.419222E+03	5.045730E-02	4.342975E-04
3.429019E+03	5.034988E-02	4.321424E-04
3.438816E+03	5.024443E-02	4.300092E-04
3.448614E+03	5.014485E-02	4.279314E-04
3.458411E+03	5.005234E-02	4.259187E-04
3.468208E+03	4.996918E-02	4.239902E-04
3.478005E+03	4.989721E-02	4.221608E-04
3.487802E+03	4.983835E-02	4.204460E-04
3.497600E+03	4.979021E-02	4.188247E-04
3.507397E+03	4.975232E-02	4.172925E-04
3.517194E+03	4.972263E-02	4.158315E-04
3.526991E+03	4.969849E-02	4.144192E-04
3.536788E+03	4.967810E-02	4.130402E-04
3.546586E+03	4.966052E-02	4.116865E-04
3.556383E+03	4.964394E-02	4.103430E-04
3.566180E+03	4.962799E-02	4.090068E-04
3.575977E+03	4.961194E-02	4.076718E-04
3.585774E+03	4.959403E-02	4.063236E-04
3.595572E+03	4.957562E-02	4.049735E-04
3.605369E+03	4.955520E-02	4.036094E-04
3.615166E+03	4.953256E-02	4.022298E-04
3.624963E+03	4.950813E-02	4.008383E-04
3.634760E+03	4.948121E-02	3.994296E-04
3.644558E+03	4.945233E-02	3.980081E-04
3.654355E+03	4.942087E-02	3.965690E-04
3.664152E+03	4.938741E-02	3.951174E-04
3.673949E+03	4.935138E-02	3.936488E-04
3.683746E+03	4.931339E-02	3.921685E-04
3.693544E+03	4.927293E-02	3.906724E-04
3.703341E+03	4.923063E-02	3.891661E-04
3.713138E+03	4.918659E-02	3.876502E-04
3.722935E+03	4.914026E-02	3.861209E-04
3.732732E+03	4.909169E-02	3.845787E-04
3.742530E+03	4.904148E-02	3.830286E-04
3.752327E+03	4.898892E-02	3.814652E-04
3.762124E+03	4.893502E-02	3.798966E-04
3.771921E+03	4.887762E-02	3.783064E-04
3.781718E+03	4.881746E-02	3.767006E-04
3.791516E+03	4.875396E-02	3.750749E-04
3.801313E+03	4.868584E-02	3.734200E-04
3.811110E+03	4.861298E-02	3.717353E-04
3.820907E+03	4.853399E-02	3.700107E-04
3.830704E+03	4.844864E-02	3.682448E-04
3.840502E+03	4.835609E-02	3.664320E-04
3.850299E+03	4.825498E-02	3.645625E-04
3.860096E+03	4.814475E-02	3.626329E-04
3.869893E+03	4.802636E-02	3.606509E-04
3.879690E+03	4.789804E-02	3.586041E-04
3.889488E+03	4.776192E-02	3.565092E-04
3.899285E+03	4.761742E-02	3.543623E-04
3.909082E+03	4.746530E-02	3.521699E-04
3.918879E+03	4.730714E-02	3.499442E-04
3.928676E+03	4.714393E-02	3.476930E-04
3.938474E+03	4.697618E-02	3.454205E-04
3.948271E+03	4.680557E-02	3.431395E-04
3.958068E+03	4.663318E-02	3.408580E-04
3.967865E+03	4.645946E-02	3.385795E-04
3.977662E+03	4.628537E-02	3.363114E-04
3.987460E+03	4.611299E-02	3.340686E-04
3.997257E+03	4.594186E-02	3.318479E-04
4.007054E+03	4.577254E-02	3.296533E-04
4.016851E+03	4.560593E-02	3.274913E-04
4.026648E+03	4.544205E-02	3.253619E-04
4.036446E+03	4.528063E-02	3.232632E-04
