#wls	flux	fluxerr
1.567552E+03	7.013626E-02	9.694135E-04
1.606740E+03	7.060019E-02	9.714343E-04
1.645929E+03	7.090765E-02	9.711549E-04
1.685118E+03	7.105217E-02	9.685139E-04
1.724307E+03	7.102183E-02	9.633796E-04
1.763496E+03	7.078333E-02	9.553360E-04
1.802684E+03	7.029457E-02	9.438601E-04
1.841873E+03	6.950777E-02	9.283665E-04
1.881062E+03	6.837791E-02	9.083232E-04
1.920251E+03	6.688144E-02	8.834974E-04
1.959440E+03	6.505315E-02	8.544333E-04
1.998628E+03	6.303669E-02	8.230894E-04
2.037817E+03	6.111667E-02	7.932114E-04
2.077006E+03	5.967263E-02	7.696803E-04
2.116195E+03	5.902583E-02	7.565053E-04
2.155384E+03	5.927061E-02	7.546941E-04
2.194572E+03	6.023959E-02	7.619045E-04
2.233761E+03	6.162449E-02	7.740742E-04
2.272950E+03	6.312623E-02	7.873570E-04
2.312139E+03	6.453649E-02	7.991348E-04
2.351328E+03	6.574301E-02	8.080449E-04
2.390516E+03	6.670343E-02	8.136210E-04
2.429705E+03	6.741480E-02	8.158914E-04
2.468894E+03	6.789356E-02	8.151210E-04
2.508083E+03	6.816315E-02	8.116543E-04
2.547271E+03	6.824733E-02	8.058328E-04
2.586460E+03	6.816882E-02	7.979784E-04
2.625649E+03	6.794786E-02	7.883767E-04
2.664838E+03	6.760286E-02	7.772858E-04
2.704027E+03	6.714970E-02	7.649288E-04
2.743215E+03	6.660358E-02	7.515151E-04
2.782404E+03	6.597859E-02	7.372371E-04
2.821593E+03	6.528866E-02	7.222795E-04
2.860782E+03	6.454725E-02	7.068169E-04
2.899971E+03	6.376839E-02	6.910248E-04
2.939159E+03	6.296735E-02	6.750859E-04
2.948957E+03	6.276550E-02	6.711000E-04
2.958754E+03	6.256332E-02	6.671171E-04
2.968551E+03	6.236111E-02	6.631408E-04
2.978348E+03	6.215986E-02	6.591815E-04
2.988145E+03	6.196179E-02	6.552626E-04
2.997943E+03	6.176886E-02	6.514049E-04
