#wls	flux	fluxerr
1.567552E+03	5.095661E-16	8.434316E-18
1.606740E+03	5.183208E-16	8.549286E-18
1.645929E+03	5.257073E-16	8.640090E-18
1.685118E+03	5.316395E-16	8.705520E-18
1.724307E+03	5.359813E-16	8.743590E-18
1.763496E+03	5.383968E-16	8.749109E-18
1.802684E+03	5.384059E-16	8.714657E-18
1.841873E+03	5.354511E-16	8.631698E-18
1.881062E+03	5.289713E-16	8.491816E-18
1.920251E+03	5.185906E-16	8.289729E-18
1.959440E+03	5.044844E-16	8.029068E-18
1.998628E+03	4.878977E-16	7.730390E-18
2.037817E+03	4.715400E-16	7.437023E-18
2.077006E+03	4.593069E-16	7.210134E-18
2.116195E+03	4.550077E-16	7.108371E-18
2.155384E+03	4.607112E-16	7.162115E-18
2.194572E+03	4.759754E-16	7.362200E-18
2.233761E+03	4.983965E-16	7.669330E-18
2.272950E+03	5.248584E-16	8.034001E-18
2.312139E+03	5.526170E-16	8.413340E-18
2.351328E+03	5.797860E-16	8.778350E-18
2.390516E+03	6.053135E-16	9.113231E-18
2.429705E+03	6.287517E-16	9.411597E-18
2.468894E+03	6.499953E-16	9.672331E-18
2.508083E+03	6.691273E-16	9.897161E-18
2.547271E+03	6.862900E-16	1.008868E-17
2.586460E+03	7.016225E-16	1.024939E-17
2.625649E+03	7.152596E-16	1.038171E-17
2.664838E+03	7.272968E-16	1.048747E-17
2.704027E+03	7.377875E-16	1.056785E-17
2.743215E+03	7.467624E-16	1.062372E-17
2.782404E+03	7.542160E-16	1.065544E-17
2.821593E+03	7.601142E-16	1.066299E-17
2.860782E+03	7.644055E-16	1.064613E-17
2.899971E+03	7.670150E-16	1.060432E-17
2.939159E+03	7.678530E-16	1.053690E-17
2.948957E+03	7.677748E-16	1.051596E-17
2.958754E+03	7.675778E-16	1.049336E-17
2.968551E+03	7.672616E-16	1.046910E-17
2.978348E+03	7.668339E-16	1.044329E-17
2.988145E+03	7.663113E-16	1.041617E-17
2.997943E+03	7.657229E-16	1.038814E-17
3.007740E+03	7.650545E-16	1.035902E-17
3.017537E+03	7.642984E-16	1.032871E-17
3.027334E+03	7.634444E-16	1.029709E-17
3.037131E+03	7.624900E-16	1.026411E-17
3.046929E+03	7.614298E-16	1.022973E-17
3.056726E+03	7.602799E-16	1.019417E-17
3.066523E+03	7.590341E-16	1.015735E-17
3.076320E+03	7.576798E-16	1.011911E-17
3.086117E+03	7.562103E-16	1.007938E-17
3.095915E+03	7.546180E-16	1.003806E-17
3.105712E+03	7.528977E-16	9.995090E-18
3.115509E+03	7.510449E-16	9.950430E-18
3.125306E+03	7.490561E-16	9.904044E-18
3.135103E+03	7.469314E-16	9.855944E-18
3.144901E+03	7.446658E-16	9.806077E-18
3.154698E+03	7.422582E-16	9.754440E-18
3.164495E+03	7.397090E-16	9.701051E-18
3.174292E+03	7.370179E-16	9.645921E-18
3.184089E+03	7.341907E-16	9.589137E-18
3.193887E+03	7.312268E-16	9.530704E-18
3.203684E+03	7.281287E-16	9.470667E-18
3.213481E+03	7.249015E-16	9.409104E-18
3.223278E+03	7.215507E-16	9.346098E-18
3.233075E+03	7.180852E-16	9.281777E-18
3.242873E+03	7.145087E-16	9.216199E-18
3.252670E+03	7.108301E-16	9.149488E-18
3.262467E+03	7.070575E-16	9.081759E-18
3.272264E+03	7.032053E-16	9.013205E-18
3.282061E+03	6.992808E-16	8.943927E-18
3.291859E+03	6.952958E-16	8.874085E-18
3.301656E+03	6.912637E-16	8.803853E-18
3.311453E+03	6.872017E-16	8.733457E-18
3.321250E+03	6.831210E-16	8.663042E-18
3.331047E+03	6.790375E-16	8.592813E-18
3.340845E+03	6.749705E-16	8.523015E-18
3.350642E+03	6.709314E-16	8.453791E-18
3.360439E+03	6.669468E-16	8.385475E-18
3.370236E+03	6.630245E-16	8.318163E-18
3.380033E+03	6.591895E-16	8.252163E-18
3.389831E+03	6.554592E-16	8.187685E-18
3.399628E+03	6.518433E-16	8.124846E-18
3.409425E+03	6.483646E-16	8.063919E-18
3.419222E+03	6.450362E-16	8.005059E-18
3.429019E+03	6.418641E-16	7.948328E-18
3.438816E+03	6.388661E-16	7.893935E-18
3.448614E+03	6.360380E-16	7.841816E-18
3.458411E+03	6.333873E-16	7.792049E-18
3.468208E+03	6.309108E-16	7.744584E-18
3.478005E+03	6.286005E-16	7.699309E-18
3.487802E+03	6.264532E-16	7.656172E-18
3.497600E+03	6.244748E-16	7.615236E-18
3.507397E+03	6.226661E-16	7.576496E-18
3.517194E+03	6.210313E-16	7.539991E-18
3.526991E+03	6.195686E-16	7.505687E-18
3.536788E+03	6.182685E-16	7.473458E-18
3.546586E+03	6.171222E-16	7.443182E-18
3.556383E+03	6.161213E-16	7.414746E-18
3.566180E+03	6.152495E-16	7.387947E-18
3.575977E+03	6.144989E-16	7.362678E-18
3.585774E+03	6.138455E-16	7.338644E-18
3.595572E+03	6.132853E-16	7.315790E-18
3.605369E+03	6.127966E-16	7.293850E-18
3.615166E+03	6.123663E-16	7.272666E-18
3.624963E+03	6.119856E-16	7.252127E-18
3.634760E+03	6.116430E-16	7.232096E-18
3.644558E+03	6.113283E-16	7.212451E-18
3.654355E+03	6.110283E-16	7.193034E-18
3.664152E+03	6.107386E-16	7.173794E-18
3.673949E+03	6.104488E-16	7.154607E-18
3.683746E+03	6.101592E-16	7.135480E-18
3.693544E+03	6.098586E-16	7.116283E-18
3.703341E+03	6.095443E-16	7.096986E-18
3.713138E+03	6.092093E-16	7.077510E-18
3.722935E+03	6.088555E-16	7.057879E-18
3.732732E+03	6.084723E-16	7.037973E-18
3.742530E+03	6.080579E-16	7.017775E-18
3.752327E+03	6.076063E-16	6.997221E-18
3.762124E+03	6.071110E-16	6.976237E-18
3.771921E+03	6.065611E-16	6.954705E-18
3.781718E+03	6.059536E-16	6.932594E-18
3.791516E+03	6.052701E-16	6.909702E-18
3.801313E+03	6.045028E-16	6.885944E-18
3.811110E+03	6.036411E-16	6.861209E-18
3.820907E+03	6.026641E-16	6.835268E-18
3.830704E+03	6.015611E-16	6.808008E-18
3.840502E+03	6.003184E-16	6.779287E-18
3.850299E+03	5.989273E-16	6.749017E-18
3.860096E+03	5.973706E-16	6.717016E-18
3.869893E+03	5.956444E-16	6.683254E-18
3.879690E+03	5.937486E-16	6.647745E-18
3.889488E+03	5.916771E-16	6.610431E-18
3.899285E+03	5.894420E-16	6.571461E-18
3.909082E+03	5.870502E-16	6.530926E-18
3.918879E+03	5.845166E-16	6.489001E-18
3.928676E+03	5.818602E-16	6.445909E-18
3.938474E+03	5.791027E-16	6.401899E-18
3.948271E+03	5.762663E-16	6.357223E-18
3.958068E+03	5.733741E-16	6.312142E-18
3.967865E+03	5.704411E-16	6.266824E-18
3.977662E+03	5.674840E-16	6.221457E-18
3.987460E+03	5.645212E-16	6.176244E-18
3.997257E+03	5.615625E-16	6.131292E-18
4.007054E+03	5.586202E-16	6.086737E-18
4.016851E+03	5.557050E-16	6.042693E-18
4.026648E+03	5.528278E-16	5.999279E-18
4.036446E+03	5.499914E-16	5.956522E-18
4.046243E+03	5.471867E-16	5.914322E-18
4.056040E+03	5.444162E-16	5.872703E-18
4.065837E+03	5.416592E-16	5.831443E-18
4.075634E+03	5.389109E-16	5.790489E-18
4.085432E+03	5.361615E-16	5.749735E-18
4.095229E+03	5.334036E-16	5.709104E-18
4.105026E+03	5.306451E-16	5.668680E-18
4.114823E+03	5.278977E-16	5.628589E-18
4.124620E+03	5.251924E-16	5.589160E-18
4.134418E+03	5.225700E-16	5.550826E-18
4.144215E+03	5.200791E-16	5.514095E-18
4.154012E+03	5.177816E-16	5.479617E-18
4.163809E+03	5.157367E-16	5.448006E-18
4.173606E+03	5.140135E-16	5.419978E-18
4.183404E+03	5.126641E-16	5.396062E-18
4.193201E+03	5.117419E-16	5.376800E-18
4.202998E+03	5.112836E-16	5.362554E-18
4.212795E+03	5.113234E-16	5.353659E-18
4.222592E+03	5.118671E-16	5.350150E-18
4.232390E+03	5.129151E-16	5.352007E-18
4.242187E+03	5.144322E-16	5.358840E-18
4.251984E+03	5.163670E-16	5.370091E-18
4.261781E+03	5.186394E-16	5.384909E-18
4.271578E+03	5.211448E-16	5.402196E-18
4.281376E+03	5.237575E-16	5.420639E-18
4.291173E+03	5.263345E-16	5.438757E-18
4.300970E+03	5.287185E-16	5.454933E-18
4.310767E+03	5.307414E-16	5.467444E-18
4.320564E+03	5.322399E-16	5.474630E-18
4.330362E+03	5.330595E-16	5.474931E-18
4.340159E+03	5.330941E-16	5.467289E-18
4.349956E+03	5.322700E-16	5.450987E-18
4.359753E+03	5.305677E-16	5.425859E-18
4.369550E+03	5.280224E-16	5.392306E-18
4.379348E+03	5.247056E-16	5.351088E-18
4.389145E+03	5.207391E-16	5.303479E-18
4.398942E+03	5.162632E-16	5.250927E-18
4.408739E+03	5.114283E-16	5.194979E-18
4.418536E+03	5.063902E-16	5.137226E-18
4.428333E+03	5.013005E-16	5.079208E-18
4.438131E+03	4.962929E-16	5.022277E-18
4.447928E+03	4.914784E-16	4.967547E-18
4.457725E+03	4.869494E-16	4.915942E-18
4.467522E+03	4.827820E-16	4.868215E-18
4.477319E+03	4.790123E-16	4.824715E-18
4.487117E+03	4.756741E-16	4.785765E-18
4.496914E+03	4.727691E-16	4.751365E-18
4.506711E+03	4.702830E-16	4.721356E-18
4.516508E+03	4.681968E-16	4.695533E-18
4.526305E+03	4.664804E-16	4.673579E-18
4.536103E+03	4.651013E-16	4.655158E-18
4.545900E+03	4.640286E-16	4.639949E-18
4.555697E+03	4.632300E-16	4.627622E-18
4.565494E+03	4.626848E-16	4.617961E-18
4.575291E+03	4.623637E-16	4.610668E-18
4.585089E+03	4.622408E-16	4.605478E-18
4.594886E+03	4.622879E-16	4.602106E-18
4.604683E+03	4.624760E-16	4.600259E-18
4.614480E+03	4.627609E-16	4.599494E-18
4.624277E+03	4.631061E-16	4.599444E-18
4.634075E+03	4.634579E-16	4.599574E-18
4.643872E+03	4.637623E-16	4.599347E-18
4.653669E+03	4.639510E-16	4.598086E-18
4.663466E+03	4.639548E-16	4.595106E-18
4.673263E+03	4.637133E-16	4.589813E-18
4.683061E+03	4.631902E-16	4.581850E-18
4.692858E+03	4.624305E-16	4.571665E-18
4.702655E+03	4.615676E-16	4.560580E-18
4.712452E+03	4.607972E-16	4.550525E-18
4.722249E+03	4.603116E-16	4.543397E-18
4.732047E+03	4.602874E-16	4.540931E-18
4.741844E+03	4.608613E-16	4.544467E-18
4.751641E+03	4.621269E-16	4.554918E-18
4.761438E+03	4.641266E-16	4.572695E-18
4.771235E+03	4.668591E-16	4.597773E-18
4.781033E+03	4.702649E-16	4.629561E-18
4.790830E+03	4.742251E-16	4.666879E-18
4.800627E+03	4.785757E-16	4.708113E-18
4.810424E+03	4.830845E-16	4.750974E-18
4.820221E+03	4.874928E-16	4.792922E-18
4.830019E+03	4.915030E-16	4.831030E-18
4.839816E+03	4.948267E-16	4.862473E-18
4.849613E+03	4.971952E-16	4.884616E-18
4.859410E+03	4.983973E-16	4.895390E-18
4.869207E+03	4.982859E-16	4.893359E-18
4.879005E+03	4.968161E-16	4.878088E-18
4.888802E+03	4.940123E-16	4.849821E-18
4.898599E+03	4.899950E-16	4.809746E-18
4.908396E+03	4.849341E-16	4.759530E-18
4.918193E+03	4.790415E-16	4.701254E-18
4.927991E+03	4.725498E-16	4.637199E-18
4.937788E+03	4.656793E-16	4.569522E-18
4.947585E+03	4.586513E-16	4.500391E-18
4.957382E+03	4.516528E-16	4.431638E-18
4.967179E+03	4.448318E-16	4.364710E-18
4.976977E+03	4.383177E-16	4.300872E-18
4.986774E+03	4.321941E-16	4.240941E-18
4.996571E+03	4.265220E-16	4.185511E-18
5.006368E+03	4.213307E-16	4.134868E-18
5.016165E+03	4.166382E-16	4.089186E-18
5.025963E+03	4.124415E-16	4.048435E-18
5.035760E+03	4.087332E-16	4.012540E-18
5.045557E+03	4.055038E-16	3.981409E-18
5.055354E+03	4.027321E-16	3.954832E-18
5.065151E+03	4.003981E-16	3.932614E-18
5.074949E+03	3.984713E-16	3.914456E-18
5.084746E+03	3.969106E-16	3.899955E-18
5.094543E+03	3.956764E-16	3.888724E-18
5.104340E+03	3.947160E-16	3.880245E-18
5.114137E+03	3.939805E-16	3.874040E-18
5.123935E+03	3.934132E-16	3.869551E-18
5.133732E+03	3.929707E-16	3.866353E-18
5.143529E+03	3.925947E-16	3.863875E-18
5.153326E+03	3.922538E-16	3.861803E-18
