#wls	flux	fluxerr
1.600000E+03	1.510212E-15	2.265580E-17
1.640000E+03	1.510895E-15	2.256643E-17
1.680000E+03	1.511084E-15	2.246741E-17
1.720000E+03	1.510750E-15	2.235836E-17
1.760000E+03	1.509879E-15	2.223919E-17
1.800000E+03	1.508444E-15	2.210953E-17
1.840000E+03	1.506418E-15	2.196914E-17
1.880000E+03	1.503786E-15	2.181790E-17
1.920000E+03	1.500516E-15	2.165547E-17
1.960000E+03	1.496586E-15	2.148166E-17
2.000000E+03	1.491970E-15	2.129626E-17
2.040000E+03	1.486640E-15	2.109903E-17
2.080000E+03	1.480584E-15	2.089000E-17
2.120000E+03	1.473766E-15	2.066884E-17
2.160000E+03	1.466169E-15	2.043553E-17
2.200000E+03	1.457769E-15	2.018996E-17
2.240000E+03	1.448554E-15	1.993221E-17
2.280000E+03	1.438501E-15	1.966221E-17
2.320000E+03	1.427591E-15	1.938000E-17
2.360000E+03	1.415826E-15	1.908588E-17
2.400000E+03	1.403194E-15	1.877999E-17
2.440000E+03	1.389689E-15	1.846257E-17
2.480000E+03	1.375325E-15	1.813415E-17
2.520000E+03	1.360113E-15	1.779519E-17
2.560000E+03	1.344062E-15	1.744617E-17
2.600000E+03	1.327216E-15	1.708801E-17
2.640000E+03	1.309612E-15	1.672153E-17
2.680000E+03	1.291295E-15	1.634768E-17
2.720000E+03	1.272338E-15	1.596769E-17
2.760000E+03	1.252815E-15	1.558283E-17
2.800000E+03	1.232830E-15	1.519472E-17
2.840000E+03	1.212488E-15	1.480491E-17
2.880000E+03	1.191932E-15	1.441540E-17
2.920000E+03	1.171307E-15	1.402817E-17
2.960000E+03	1.150793E-15	1.364547E-17
3.000000E+03	1.130576E-15	1.326966E-17
3.010000E+03	1.125596E-15	1.317711E-17
3.020000E+03	1.120650E-15	1.308516E-17
3.030000E+03	1.115745E-15	1.299391E-17
3.040000E+03	1.110886E-15	1.290341E-17
3.050000E+03	1.106071E-15	1.281363E-17
3.060000E+03	1.101304E-15	1.272462E-17
3.070000E+03	1.096595E-15	1.263648E-17
3.080000E+03	1.091946E-15	1.254926E-17
3.090000E+03	1.087361E-15	1.246297E-17
3.100000E+03	1.082841E-15	1.237763E-17
3.110000E+03	1.078389E-15	1.229328E-17
3.120000E+03	1.074018E-15	1.221005E-17
3.130000E+03	1.069724E-15	1.212790E-17
3.140000E+03	1.065515E-15	1.204690E-17
3.150000E+03	1.061390E-15	1.196706E-17
3.160000E+03	1.057362E-15	1.188850E-17
3.170000E+03	1.053428E-15	1.181117E-17
3.180000E+03	1.049595E-15	1.173516E-17
3.190000E+03	1.045867E-15	1.166052E-17
3.200000E+03	1.042244E-15	1.158721E-17
3.210000E+03	1.038739E-15	1.151538E-17
3.220000E+03	1.035346E-15	1.144496E-17
3.230000E+03	1.032078E-15	1.137609E-17
3.240000E+03	1.028929E-15	1.130867E-17
3.250000E+03	1.025907E-15	1.124281E-17
3.260000E+03	1.023015E-15	1.117851E-17
3.270000E+03	1.020256E-15	1.111579E-17
3.280000E+03	1.017636E-15	1.105473E-17
3.290000E+03	1.015149E-15	1.099523E-17
3.300000E+03	1.012800E-15	1.093735E-17
3.310000E+03	1.010596E-15	1.088114E-17
3.320000E+03	1.008528E-15	1.082650E-17
3.330000E+03	1.006605E-15	1.077352E-17
3.340000E+03	1.004822E-15	1.072212E-17
3.350000E+03	1.003178E-15	1.067229E-17
3.360000E+03	1.001670E-15	1.062398E-17
3.370000E+03	1.000296E-15	1.057716E-17
3.380000E+03	9.990546E-16	1.053182E-17
3.390000E+03	9.979375E-16	1.048784E-17
3.400000E+03	9.969375E-16	1.044514E-17
3.410000E+03	9.960512E-16	1.040369E-17
3.420000E+03	9.952647E-16	1.036332E-17
3.430000E+03	9.945665E-16	1.032391E-17
3.440000E+03	9.939482E-16	1.028537E-17
3.450000E+03	9.933901E-16	1.024749E-17
3.460000E+03	9.928795E-16	1.021013E-17
3.470000E+03	9.923922E-16	1.017304E-17
3.480000E+03	9.919106E-16	1.013605E-17
3.490000E+03	9.914057E-16	1.009887E-17
3.500000E+03	9.908549E-16	1.006126E-17
3.510000E+03	9.902241E-16	1.002289E-17
3.520000E+03	9.894862E-16	9.983495E-18
3.530000E+03	9.886084E-16	9.942763E-18
3.540000E+03	9.875552E-16	9.900351E-18
3.550000E+03	9.863063E-16	9.856079E-18
3.560000E+03	9.848545E-16	9.809893E-18
3.570000E+03	9.832102E-16	9.761922E-18
3.580000E+03	9.814130E-16	9.712579E-18
3.590000E+03	9.794906E-16	9.662154E-18
3.600000E+03	9.774796E-16	9.611023E-18
3.610000E+03	9.754239E-16	9.559625E-18
3.620000E+03	9.733509E-16	9.508235E-18
3.630000E+03	9.712853E-16	9.457094E-18
3.640000E+03	9.692610E-16	9.406534E-18
3.650000E+03	9.672914E-16	9.356680E-18
3.660000E+03	9.654038E-16	9.307793E-18
3.670000E+03	9.636045E-16	9.259925E-18
3.680000E+03	9.619145E-16	9.213269E-18
3.690000E+03	9.603333E-16	9.167814E-18
3.700000E+03	9.588751E-16	9.123686E-18
3.710000E+03	9.575379E-16	9.080854E-18
3.720000E+03	9.563208E-16	9.039300E-18
3.730000E+03	9.552195E-16	8.998975E-18
3.740000E+03	9.542317E-16	8.959848E-18
3.750000E+03	9.533381E-16	8.921728E-18
3.760000E+03	9.525349E-16	8.884574E-18
3.770000E+03	9.518058E-16	8.848228E-18
3.780000E+03	9.511236E-16	8.812432E-18
3.790000E+03	9.504764E-16	8.777074E-18
3.800000E+03	9.498411E-16	8.741942E-18
3.810000E+03	9.491889E-16	8.706770E-18
3.820000E+03	9.484939E-16	8.671328E-18
3.830000E+03	9.477347E-16	8.635426E-18
3.840000E+03	9.468811E-16	8.598797E-18
3.850000E+03	9.459130E-16	8.561272E-18
3.860000E+03	9.448077E-16	8.522658E-18
3.870000E+03	9.435407E-16	8.482749E-18
3.880000E+03	9.421000E-16	8.441456E-18
3.890000E+03	9.404684E-16	8.398643E-18
3.900000E+03	9.386426E-16	8.354299E-18
3.910000E+03	9.366188E-16	8.308412E-18
3.920000E+03	9.343983E-16	8.261013E-18
3.930000E+03	9.319862E-16	8.212167E-18
3.940000E+03	9.293872E-16	8.161934E-18
3.950000E+03	9.266186E-16	8.110485E-18
3.960000E+03	9.236953E-16	8.057967E-18
3.970000E+03	9.206344E-16	8.004545E-18
3.980000E+03	9.174544E-16	7.950392E-18
3.990000E+03	9.141741E-16	7.895684E-18
4.000000E+03	9.108125E-16	7.840597E-18
4.010000E+03	9.073879E-16	7.785295E-18
4.020000E+03	9.039173E-16	7.729932E-18
4.030000E+03	9.004170E-16	7.674653E-18
4.040000E+03	8.969003E-16	7.619575E-18
4.050000E+03	8.933837E-16	7.564843E-18
4.060000E+03	8.898664E-16	7.510452E-18
4.070000E+03	8.863638E-16	7.456533E-18
4.080000E+03	8.828734E-16	7.403066E-18
4.090000E+03	8.793990E-16	7.350085E-18
4.100000E+03	8.759310E-16	7.297512E-18
4.110000E+03	8.724618E-16	7.245284E-18
4.120000E+03	8.689807E-16	7.193315E-18
4.130000E+03	8.654797E-16	7.141543E-18
4.140000E+03	8.619407E-16	7.089823E-18
4.150000E+03	8.583554E-16	7.038092E-18
4.160000E+03	8.547134E-16	6.986270E-18
4.170000E+03	8.509981E-16	6.934231E-18
4.180000E+03	8.472222E-16	6.882082E-18
4.190000E+03	8.433813E-16	6.829798E-18
4.200000E+03	8.394879E-16	6.777484E-18
4.210000E+03	8.355714E-16	6.725384E-18
4.220000E+03	8.316503E-16	6.673649E-18
4.230000E+03	8.277631E-16	6.622591E-18
4.240000E+03	8.239447E-16	6.572486E-18
4.250000E+03	8.202418E-16	6.523702E-18
4.260000E+03	8.166975E-16	6.476577E-18
4.270000E+03	8.133532E-16	6.431428E-18
4.280000E+03	8.102460E-16	6.388535E-18
4.290000E+03	8.074063E-16	6.348123E-18
4.300000E+03	8.048507E-16	6.310309E-18
4.310000E+03	8.025997E-16	6.275236E-18
4.320000E+03	8.006481E-16	6.242846E-18
4.330000E+03	7.989791E-16	6.212993E-18
4.340000E+03	7.975785E-16	6.185553E-18
4.350000E+03	7.964091E-16	6.160220E-18
4.360000E+03	7.954309E-16	6.136673E-18
4.370000E+03	7.945997E-16	6.114556E-18
4.380000E+03	7.938668E-16	6.093488E-18
4.390000E+03	7.931711E-16	6.072993E-18
4.400000E+03	7.924302E-16	6.052440E-18
4.410000E+03	7.915317E-16	6.030975E-18
4.420000E+03	7.903755E-16	6.007844E-18
4.430000E+03	7.888655E-16	5.982331E-18
4.440000E+03	7.869501E-16	5.954063E-18
4.450000E+03	7.845945E-16	5.922798E-18
4.460000E+03	7.817856E-16	5.888457E-18
4.470000E+03	7.785402E-16	5.851186E-18
4.480000E+03	7.749010E-16	5.811325E-18
4.490000E+03	7.709186E-16	5.769268E-18
4.500000E+03	7.666658E-16	5.725571E-18
4.510000E+03	7.622185E-16	5.680808E-18
4.520000E+03	7.576500E-16	5.635529E-18
4.530000E+03	7.530419E-16	5.590342E-18
4.540000E+03	7.484654E-16	5.545771E-18
4.550000E+03	7.439785E-16	5.502240E-18
4.560000E+03	7.396381E-16	5.460162E-18
4.570000E+03	7.354850E-16	5.419826E-18
4.580000E+03	7.315477E-16	5.381432E-18
4.590000E+03	7.278428E-16	5.345089E-18
4.600000E+03	7.243715E-16	5.310796E-18
4.610000E+03	7.211395E-16	5.278581E-18
4.620000E+03	7.181303E-16	5.248313E-18
4.630000E+03	7.153255E-16	5.219849E-18
4.640000E+03	7.127022E-16	5.193010E-18
4.650000E+03	7.102346E-16	5.167603E-18
4.660000E+03	7.078953E-16	5.143422E-18
4.670000E+03	7.056617E-16	5.120297E-18
4.680000E+03	7.035033E-16	5.098001E-18
4.690000E+03	7.013966E-16	5.076362E-18
4.700000E+03	6.993217E-16	5.055232E-18
4.710000E+03	6.972685E-16	5.034533E-18
4.720000E+03	6.952238E-16	5.014161E-18
4.730000E+03	6.931911E-16	4.994139E-18
4.740000E+03	6.911794E-16	4.974524E-18
4.750000E+03	6.891988E-16	4.955383E-18
4.760000E+03	6.872967E-16	4.937049E-18
4.770000E+03	6.855091E-16	4.919776E-18
4.780000E+03	6.838960E-16	4.903985E-18
4.790000E+03	6.825084E-16	4.890035E-18
4.800000E+03	6.814013E-16	4.878310E-18
4.810000E+03	6.806198E-16	4.869124E-18
4.820000E+03	6.802047E-16	4.862759E-18
4.830000E+03	6.801832E-16	4.859401E-18
4.840000E+03	6.805782E-16	4.859205E-18
4.850000E+03	6.813923E-16	4.862180E-18
4.860000E+03	6.825883E-16	4.868055E-18
4.870000E+03	6.841161E-16	4.876465E-18
4.880000E+03	6.858921E-16	4.886809E-18
4.890000E+03	6.878051E-16	4.898292E-18
4.900000E+03	6.897207E-16	4.909955E-18
4.910000E+03	6.914865E-16	4.920709E-18
4.920000E+03	6.929451E-16	4.929438E-18
4.930000E+03	6.939222E-16	4.934901E-18
4.940000E+03	6.942739E-16	4.936075E-18
4.950000E+03	6.938539E-16	4.931924E-18
4.960000E+03	6.925650E-16	4.921757E-18
4.970000E+03	6.903296E-16	4.905024E-18
4.980000E+03	6.871200E-16	4.881527E-18
4.990000E+03	6.829342E-16	4.851251E-18
5.000000E+03	6.778314E-16	4.814613E-18
5.010000E+03	6.718959E-16	4.772210E-18
5.020000E+03	6.652305E-16	4.724766E-18
5.030000E+03	6.579816E-16	4.673315E-18
5.040000E+03	6.502922E-16	4.618868E-18
5.050000E+03	6.423218E-16	4.562549E-18
5.060000E+03	6.342162E-16	4.505388E-18
5.070000E+03	6.261240E-16	4.448435E-18
5.080000E+03	6.181700E-16	4.392571E-18
5.090000E+03	6.104733E-16	4.338635E-18
5.100000E+03	6.031247E-16	4.287269E-18
5.110000E+03	5.962014E-16	4.239018E-18
5.120000E+03	5.897681E-16	4.194340E-18
5.130000E+03	5.838671E-16	4.153534E-18
5.140000E+03	5.785207E-16	4.116756E-18
5.150000E+03	5.737473E-16	4.084139E-18
5.160000E+03	5.695437E-16	4.055659E-18
5.170000E+03	5.659063E-16	4.031294E-18
5.180000E+03	5.628176E-16	4.010919E-18
5.190000E+03	5.602476E-16	3.994324E-18
5.200000E+03	5.581696E-16	3.981322E-18
5.210000E+03	5.565461E-16	3.971647E-18
5.220000E+03	5.553301E-16	3.964968E-18
5.230000E+03	5.544801E-16	3.960993E-18
5.240000E+03	5.539411E-16	3.959330E-18
5.250000E+03	5.536712E-16	3.959685E-18
5.260000E+03	5.536062E-16	3.961600E-18
5.270000E+03	5.536915E-16	3.964686E-18
5.280000E+03	5.538825E-16	3.968628E-18
5.290000E+03	5.541161E-16	3.972973E-18
5.300000E+03	5.543458E-16	3.977389E-18
5.310000E+03	5.545180E-16	3.981491E-18
5.320000E+03	5.545979E-16	3.985029E-18
5.330000E+03	5.545339E-16	3.987630E-18
5.340000E+03	5.542941E-16	3.989062E-18
5.350000E+03	5.538461E-16	3.989088E-18
5.360000E+03	5.531562E-16	3.987458E-18
5.370000E+03	5.522059E-16	3.984030E-18
5.380000E+03	5.509752E-16	3.978652E-18
5.390000E+03	5.494481E-16	3.971200E-18
5.400000E+03	5.476125E-16	3.961576E-18
5.410000E+03	5.454538E-16	3.949666E-18
5.420000E+03	5.429717E-16	3.935457E-18
5.430000E+03	5.401635E-16	3.918920E-18
5.440000E+03	5.370302E-16	3.900049E-18
5.450000E+03	5.335706E-16	3.878827E-18
5.460000E+03	5.298033E-16	3.855378E-18
5.470000E+03	5.257294E-16	3.829699E-18
5.480000E+03	5.213703E-16	3.801935E-18
5.490000E+03	5.167426E-16	3.772199E-18
5.500000E+03	5.118906E-16	3.740803E-18
5.510000E+03	5.068522E-16	3.708016E-18
5.520000E+03	5.016878E-16	3.674273E-18
5.530000E+03	4.964530E-16	3.639975E-18
5.540000E+03	4.911952E-16	3.605465E-18
5.550000E+03	4.859679E-16	3.571132E-18
5.560000E+03	4.808192E-16	3.537328E-18
5.570000E+03	4.757702E-16	3.504208E-18
5.580000E+03	4.708663E-16	3.472105E-18
5.590000E+03	4.661198E-16	3.441114E-18
5.600000E+03	4.615522E-16	3.411393E-18
5.610000E+03	4.571729E-16	3.383015E-18
