#wls	flux	fluxerr
1.548287E+03	5.915863E-18	4.297395E-20
1.586994E+03	5.667134E-18	4.116714E-20
1.625702E+03	5.350213E-18	3.886496E-20
1.664409E+03	4.985021E-18	3.621214E-20
1.703116E+03	4.593611E-18	3.336886E-20
1.741823E+03	4.195217E-18	3.047486E-20
1.780530E+03	3.806361E-18	2.765013E-20
1.819237E+03	3.441253E-18	2.499792E-20
1.857945E+03	3.110654E-18	2.259638E-20
1.896652E+03	2.823646E-18	2.051150E-20
1.935359E+03	2.588779E-18	1.880538E-20
1.974066E+03	2.417423E-18	1.756062E-20
2.012773E+03	2.331022E-18	1.693299E-20
2.051481E+03	2.366789E-18	1.719280E-20
2.090188E+03	2.587922E-18	1.879915E-20
2.128895E+03	3.087188E-18	2.242592E-20
2.167602E+03	4.002347E-18	2.907381E-20
2.206309E+03	5.533857E-18	4.019898E-20
2.245016E+03	7.951392E-18	5.776041E-20
2.283724E+03	1.158919E-17	8.418603E-20
2.322431E+03	1.683086E-17	1.222625E-19
2.361138E+03	2.408424E-17	1.749525E-19
2.399845E+03	3.371367E-17	2.449024E-19
2.438552E+03	4.588963E-17	3.333509E-19
2.477260E+03	6.033094E-17	4.382553E-19
2.515967E+03	7.601094E-17	5.521578E-19
2.554674E+03	9.118841E-17	6.624098E-19
2.593381E+03	1.044876E-16	7.590177E-19
2.632088E+03	1.155195E-16	8.391553E-19
2.670795E+03	1.244548E-16	9.040630E-19
2.709503E+03	1.316294E-16	9.561811E-19
2.748210E+03	1.373237E-16	9.975452E-19
2.786917E+03	1.417252E-16	1.029519E-18
2.825624E+03	1.449610E-16	1.053024E-18
2.864331E+03	1.472018E-16	1.069302E-18
2.903039E+03	1.486571E-16	1.079873E-18
2.912715E+03	1.489312E-16	1.081864E-18
2.922392E+03	1.491772E-16	1.083651E-18
2.932069E+03	1.494026E-16	1.085288E-18
2.941746E+03	1.496144E-16	1.086827E-18
2.951422E+03	1.498284E-16	1.088382E-18
2.961099E+03	1.500646E-16	1.090097E-18
2.970776E+03	1.503269E-16	1.092003E-18
2.980453E+03	1.506131E-16	1.094082E-18
2.990130E+03	1.509321E-16	1.096399E-18
2.999806E+03	1.512826E-16	1.098946E-18
3.009483E+03	1.516747E-16	1.101793E-18
3.019160E+03	1.521083E-16	1.104943E-18
3.028837E+03	1.525942E-16	1.108473E-18
3.038514E+03	1.531358E-16	1.112407E-18
3.048190E+03	1.537465E-16	1.116843E-18
3.057867E+03	1.544466E-16	1.121929E-18
3.067544E+03	1.552360E-16	1.127664E-18
3.077221E+03	1.561247E-16	1.134120E-18
3.086898E+03	1.571169E-16	1.141326E-18
3.096574E+03	1.582168E-16	1.149317E-18
3.106251E+03	1.594323E-16	1.158146E-18
3.115928E+03	1.607681E-16	1.167850E-18
3.125605E+03	1.622318E-16	1.178482E-18
3.135282E+03	1.638274E-16	1.190073E-18
3.144958E+03	1.655588E-16	1.202650E-18
3.154635E+03	1.674313E-16	1.216252E-18
3.164312E+03	1.694491E-16	1.230910E-18
3.173989E+03	1.716089E-16	1.246599E-18
3.183666E+03	1.739085E-16	1.263304E-18
3.193342E+03	1.763487E-16	1.281030E-18
3.203019E+03	1.789194E-16	1.299704E-18
3.212696E+03	1.816127E-16	1.319269E-18
3.222373E+03	1.844149E-16	1.339625E-18
3.232050E+03	1.873057E-16	1.360624E-18
3.241726E+03	1.902666E-16	1.382132E-18
3.251403E+03	1.932745E-16	1.403982E-18
3.261080E+03	1.962932E-16	1.425910E-18
3.270757E+03	1.992894E-16	1.447676E-18
3.280434E+03	2.022208E-16	1.468970E-18
3.290110E+03	2.050376E-16	1.489432E-18
3.299787E+03	2.076761E-16	1.508598E-18
3.309464E+03	2.100745E-16	1.526021E-18
3.319141E+03	2.121513E-16	1.541107E-18
3.328817E+03	2.138201E-16	1.553229E-18
3.338494E+03	2.149973E-16	1.561781E-18
3.348171E+03	2.155946E-16	1.566120E-18
3.357848E+03	2.155518E-16	1.565809E-18
3.367525E+03	2.148628E-16	1.560804E-18
3.370428E+03	1.396098E-16	1.014152E-18
3.371139E+03	1.406786E-16	1.021916E-18
3.371850E+03	1.414448E-16	1.027481E-18
3.372561E+03	1.419337E-16	1.031033E-18
3.373273E+03	1.423068E-16	1.033743E-18
3.373984E+03	1.425573E-16	1.035563E-18
3.374695E+03	1.428854E-16	1.037946E-18
3.375406E+03	1.432784E-16	1.040801E-18
3.376829E+03	1.437350E-16	1.044118E-18
3.377540E+03	1.441608E-16	1.047211E-18
3.378251E+03	1.445157E-16	1.049789E-18
3.378963E+03	1.448189E-16	1.051992E-18
3.379674E+03	1.452648E-16	1.055230E-18
3.380385E+03	1.458404E-16	1.059412E-18
3.381096E+03	1.462414E-16	1.062325E-18
3.381808E+03	1.464741E-16	1.064015E-18
3.382519E+03	1.467004E-16	1.065659E-18
3.383230E+03	1.469074E-16	1.067163E-18
3.383941E+03	1.472312E-16	1.069515E-18
3.384653E+03	1.476460E-16	1.072529E-18
3.385364E+03	1.482429E-16	1.076864E-18
3.386075E+03	1.489958E-16	1.082333E-18
3.386786E+03	1.496972E-16	1.087429E-18
3.387498E+03	1.503601E-16	1.092244E-18
3.388209E+03	1.510362E-16	1.097156E-18
