#wls	flux	fluxerr
1.600000E+03	6.681407E-17	2.683733E-17
1.640000E+03	6.218775E-17	2.393205E-17
1.680000E+03	5.750885E-17	2.110232E-17
1.720000E+03	5.291549E-17	1.841822E-17
1.760000E+03	4.856497E-17	1.594675E-17
1.800000E+03	4.460746E-17	1.374032E-17
1.840000E+03	4.118831E-17	1.183717E-17
1.880000E+03	3.845029E-17	1.026246E-17
1.920000E+03	3.652490E-17	9.027872E-18
1.960000E+03	3.555641E-17	8.141696E-18
2.000000E+03	3.570534E-17	7.613914E-18
2.040000E+03	3.715177E-17	7.462338E-18
2.080000E+03	4.013233E-17	7.723368E-18
2.120000E+03	4.497435E-17	8.451557E-18
2.160000E+03	5.224924E-17	9.731433E-18
2.200000E+03	6.273988E-17	1.166385E-17
2.240000E+03	7.745197E-17	1.435627E-17
2.280000E+03	9.764012E-17	1.789830E-17
2.320000E+03	1.247812E-16	2.230977E-17
2.360000E+03	1.605585E-16	2.747581E-17
2.400000E+03	2.067837E-16	3.306597E-17
2.440000E+03	2.652251E-16	3.846213E-17
2.480000E+03	3.370506E-16	4.273024E-17
2.520000E+03	4.217316E-16	4.483326E-17
2.560000E+03	5.154202E-16	4.456693E-17
2.600000E+03	6.095036E-16	4.483073E-17
2.640000E+03	6.918782E-16	5.225671E-17
2.680000E+03	7.552091E-16	6.871180E-17
2.720000E+03	7.998303E-16	8.928640E-17
2.760000E+03	8.293077E-16	1.094910E-16
2.800000E+03	8.474412E-16	1.268151E-16
2.840000E+03	8.569941E-16	1.399603E-16
2.880000E+03	8.597296E-16	1.482896E-16
2.920000E+03	8.567989E-16	1.515861E-16
2.960000E+03	8.494553E-16	1.500260E-16
3.000000E+03	8.390371E-16	1.440890E-16
3.010000E+03	8.361447E-16	1.420051E-16
3.020000E+03	8.331803E-16	1.397060E-16
3.030000E+03	8.301843E-16	1.372083E-16
3.040000E+03	8.271764E-16	1.345254E-16
3.050000E+03	8.241779E-16	1.316719E-16
3.060000E+03	8.212311E-16	1.286659E-16
3.070000E+03	8.183782E-16	1.255261E-16
3.080000E+03	8.156235E-16	1.222654E-16
3.090000E+03	8.130298E-16	1.189062E-16
3.100000E+03	8.106037E-16	1.154629E-16
3.110000E+03	8.084081E-16	1.119584E-16
3.120000E+03	8.064518E-16	1.084081E-16
3.130000E+03	8.047976E-16	1.048354E-16
3.140000E+03	8.034564E-16	1.012568E-16
3.150000E+03	8.024744E-16	9.769381E-17
3.160000E+03	8.018976E-16	9.416788E-17
3.170000E+03	8.017391E-16	9.069651E-17
3.180000E+03	8.020615E-16	8.730262E-17
3.190000E+03	8.028941E-16	8.400454E-17
3.200000E+03	8.042660E-16	8.081951E-17
3.210000E+03	8.062208E-16	7.776453E-17
3.220000E+03	8.087849E-16	7.485244E-17
3.230000E+03	8.119973E-16	7.209418E-17
3.240000E+03	8.158785E-16	6.949522E-17
3.250000E+03	8.204449E-16	6.705654E-17
3.260000E+03	8.257213E-16	6.477536E-17
3.270000E+03	8.317251E-16	6.264379E-17
3.280000E+03	8.384366E-16	6.064711E-17
3.290000E+03	8.458404E-16	5.876776E-17
3.300000E+03	8.539374E-16	5.698695E-17
3.310000E+03	8.626737E-16	5.528087E-17
3.320000E+03	8.720088E-16	5.362671E-17
3.330000E+03	8.818733E-16	5.200113E-17
3.340000E+03	8.921679E-16	5.038157E-17
3.350000E+03	9.028028E-16	4.874977E-17
3.360000E+03	9.136685E-16	4.709103E-17
3.370000E+03	9.245942E-16	4.539317E-17
3.380000E+03	9.354254E-16	4.365166E-17
3.390000E+03	9.459662E-16	4.186760E-17
3.400000E+03	9.559885E-16	4.004943E-17
3.410000E+03	9.652024E-16	3.821318E-17
3.420000E+03	9.733296E-16	3.638718E-17
3.430000E+03	9.800021E-16	3.460960E-17
3.440000E+03	9.848348E-16	3.293223E-17
3.450000E+03	9.874576E-16	3.141908E-17
3.460000E+03	9.874816E-16	3.013677E-17
3.470000E+03	9.846507E-16	2.914148E-17
3.480000E+03	9.789553E-16	2.844741E-17
3.483000E+03	6.356016E-16	2.200263E-16
3.483735E+03	6.403479E-16	2.201502E-16
3.484470E+03	6.437152E-16	2.202411E-16
3.485205E+03	6.458204E-16	2.203015E-16
3.485940E+03	6.473975E-16	2.203491E-16
3.486675E+03	6.484169E-16	2.203832E-16
3.487410E+03	6.497893E-16	2.204258E-16
3.488145E+03	6.514560E-16	2.204756E-16
3.489615E+03	6.532919E-16	2.205388E-16
3.490350E+03	6.551070E-16	2.205921E-16
3.491085E+03	6.565992E-16	2.206376E-16
3.491820E+03	6.578566E-16	2.206775E-16
3.492555E+03	6.597615E-16	2.207330E-16
3.493290E+03	6.622552E-16	2.208027E-16
3.494025E+03	6.639554E-16	2.208532E-16
3.494760E+03	6.648912E-16	2.208852E-16
3.495495E+03	6.657980E-16	2.209165E-16
3.496230E+03	6.666169E-16	2.209457E-16
3.496965E+03	6.679658E-16	2.209877E-16
3.497700E+03	6.697272E-16	2.210396E-16
3.498435E+03	6.723135E-16	2.211116E-16
3.499170E+03	6.756070E-16	2.212007E-16
3.499905E+03	6.786660E-16	2.212842E-16
3.500640E+03	6.815492E-16	2.213636E-16
3.501375E+03	6.844921E-16	2.214444E-16
3.502110E+03	6.874948E-16	2.215267E-16
3.502845E+03	6.891727E-16	2.215767E-16
3.503580E+03	6.896726E-16	2.215978E-16
3.504315E+03	6.894362E-16	2.216009E-16
3.505050E+03	6.884924E-16	2.215870E-16
3.505785E+03	6.888160E-16	2.216039E-16
3.506520E+03	6.902599E-16	2.216481E-16
3.507255E+03	6.926183E-16	2.217145E-16
3.507990E+03	6.958029E-16	2.218010E-16
3.508725E+03	6.987821E-16	2.218826E-16
3.509460E+03	7.015558E-16	2.276683E-16
3.510195E+03	7.036223E-16	2.363593E-16
3.510930E+03	7.050110E-16	2.392373E-16
3.511665E+03	7.055445E-16	2.400543E-16
3.512400E+03	7.053111E-16	2.396226E-16
3.513135E+03	7.060811E-16	2.396242E-16
3.513870E+03	7.077665E-16	2.408813E-16
3.514605E+03	7.101314E-16	2.389539E-16
3.515340E+03	7.131761E-16	2.309298E-16
3.516075E+03	7.163398E-16	2.307420E-16
3.516810E+03	7.196226E-16	2.311852E-16
3.517545E+03	7.226110E-16	2.312151E-16
3.518280E+03	7.252755E-16	2.311151E-16
3.519015E+03	7.268771E-16	2.319736E-16
3.519750E+03	7.275339E-16	2.332567E-16
3.520485E+03	7.283978E-16	2.350380E-16
3.521220E+03	7.294393E-16	2.347033E-16
3.521955E+03	7.306291E-16	2.338854E-16
3.522690E+03	7.319967E-16	2.301536E-16
3.523425E+03	7.334535E-16	2.211760E-16
3.524160E+03	7.349995E-16	2.192936E-16
3.524895E+03	7.366348E-16	2.194467E-16
3.525630E+03	7.383298E-16	2.192701E-16
3.526365E+03	7.400845E-16	2.183845E-16
3.527100E+03	7.418695E-16	2.181507E-16
3.527835E+03	7.436550E-16	2.114436E-16
3.528570E+03	7.451748E-16	2.090184E-16
3.529305E+03	7.464288E-16	2.133306E-16
3.530040E+03	7.473576E-16	2.141827E-16
3.530775E+03	7.474875E-16	2.140229E-16
3.531510E+03	7.469069E-16	2.133787E-16
3.532245E+03	7.469777E-16	2.083811E-16
3.532980E+03	7.476707E-16	2.081703E-16
3.533715E+03	7.482752E-16	2.090263E-16
3.534450E+03	7.488207E-16	2.049607E-16
3.535185E+03	7.483887E-16	1.960053E-16
3.535920E+03	7.470677E-16	1.932534E-16
3.536655E+03	7.467542E-16	1.939525E-16
3.537390E+03	7.473299E-16	1.939789E-16
3.538125E+03	7.473427E-16	1.939506E-16
3.538860E+03	7.468813E-16	1.939878E-16
3.539595E+03	7.448185E-16	1.940236E-16
3.540330E+03	7.413317E-16	1.948331E-16
3.541065E+03	7.388526E-16	1.972790E-16
3.541800E+03	7.373223E-16	1.983835E-16
3.542535E+03	7.365631E-16	1.985541E-16
3.543270E+03	7.365457E-16	1.993791E-16
3.544005E+03	7.356085E-16	2.063268E-16
3.544740E+03	7.338696E-16	2.070497E-16
3.545475E+03	7.321304E-16	2.065090E-16
3.546210E+03	7.303909E-16	2.074463E-16
3.546945E+03	7.293934E-16	2.083238E-16
3.547680E+03	7.290491E-16	2.087323E-16
3.548415E+03	7.292692E-16	2.087372E-16
3.549150E+03	7.299946E-16	2.086775E-16
3.549885E+03	7.309282E-16	2.076282E-16
3.550620E+03	7.319811E-16	2.115238E-16
3.551355E+03	7.314296E-16	2.170324E-16
3.552090E+03	7.294216E-16	2.168878E-16
3.552825E+03	7.274726E-16	2.194766E-16
3.553560E+03	7.255827E-16	2.199256E-16
3.554295E+03	7.247926E-16	2.190523E-16
3.555030E+03	7.249541E-16	2.189014E-16
3.555765E+03	7.252943E-16	2.191465E-16
3.556500E+03	7.257835E-16	2.190115E-16
3.557235E+03	7.264514E-16	2.182995E-16
3.557970E+03	7.273280E-16	2.181044E-16
3.558705E+03	7.276692E-16	2.143103E-16
3.559440E+03	7.275046E-16	2.092929E-16
3.560175E+03	7.266257E-16	2.041299E-16
3.560910E+03	7.251810E-16	1.995474E-16
3.561645E+03	7.235275E-16	1.964509E-16
3.562380E+03	7.217247E-16	1.956294E-16
3.563115E+03	7.218875E-16	1.959867E-16
3.563850E+03	7.238976E-16	1.950116E-16
3.564585E+03	7.252231E-16	1.904667E-16
3.565320E+03	7.259829E-16	1.903155E-16
3.566055E+03	7.270113E-16	1.886276E-16
3.566790E+03	7.283083E-16	1.877427E-16
3.567525E+03	7.296059E-16	1.876899E-16
3.568260E+03	7.309637E-16	1.877405E-16
3.568995E+03	7.319939E-16	1.870668E-16
3.569730E+03	7.328158E-16	1.856782E-16
3.570465E+03	7.350103E-16	1.846140E-16
3.571200E+03	7.384287E-16	1.859524E-16
3.571935E+03	7.418781E-16	1.876118E-16
3.572670E+03	7.452988E-16	1.878734E-16
3.573405E+03	7.478849E-16	1.868102E-16
3.574140E+03	7.497257E-16	1.867373E-16
3.574875E+03	7.519552E-16	1.875506E-16
3.575610E+03	7.545140E-16	1.878721E-16
3.576345E+03	7.573126E-16	1.875411E-16
3.577080E+03	7.603511E-16	1.883611E-16
3.577815E+03	7.625243E-16	1.892044E-16
3.578550E+03	7.640111E-16	1.883049E-16
3.579285E+03	7.660962E-16	1.835071E-16
3.580020E+03	7.687498E-16	1.866857E-16
3.580755E+03	7.717930E-16	1.949005E-16
3.581490E+03	7.751661E-16	1.984717E-16
3.582225E+03	7.785403E-16	1.994166E-16
3.582960E+03	7.819157E-16	1.991277E-16
3.583695E+03	7.849632E-16	1.984617E-16
3.584430E+03	7.877126E-16	1.989646E-16
3.585165E+03	7.893860E-16	1.964479E-16
3.585900E+03	7.898332E-16	1.962771E-16
3.586635E+03	7.894427E-16	1.958639E-16
3.587370E+03	7.883938E-16	1.977548E-16
3.588105E+03	7.890510E-16	2.024704E-16
3.588840E+03	7.914152E-16	2.043648E-16
3.589575E+03	7.978828E-16	2.048351E-16
3.590310E+03	8.062092E-16	2.042649E-16
3.591045E+03	8.113333E-16	2.024012E-16
3.591780E+03	8.145418E-16	2.020142E-16
3.592515E+03	8.171521E-16	2.029689E-16
3.593250E+03	8.199431E-16	2.034077E-16
3.593985E+03	8.219859E-16	1.971738E-16
3.594720E+03	8.233999E-16	1.960918E-16
3.595455E+03	8.252343E-16	1.961596E-16
3.596190E+03	8.273092E-16	1.954999E-16
3.596925E+03	8.301647E-16	1.938871E-16
3.597660E+03	8.324813E-16	1.925139E-16
3.598395E+03	8.324888E-16	1.913754E-16
3.599130E+03	8.336367E-16	1.910436E-16
3.599865E+03	8.366756E-16	1.850779E-16
3.600600E+03	8.401958E-16	1.786875E-16
3.601335E+03	8.446178E-16	1.719563E-16
3.602070E+03	8.468497E-16	1.732546E-16
3.602805E+03	8.464100E-16	1.716870E-16
3.603540E+03	8.466310E-16	1.736202E-16
3.604275E+03	8.487145E-16	1.754465E-16
3.605010E+03	8.525112E-16	1.769080E-16
3.605745E+03	8.573308E-16	1.780138E-16
3.606480E+03	8.605594E-16	1.783625E-16
3.607215E+03	8.617754E-16	1.781349E-16
3.607950E+03	8.643147E-16	1.784502E-16
3.608685E+03	8.682378E-16	1.796537E-16
3.609420E+03	8.735456E-16	1.789633E-16
3.610155E+03	8.805994E-16	1.741412E-16
3.610890E+03	8.858209E-16	1.722665E-16
3.611625E+03	8.883968E-16	1.722379E-16
3.612360E+03	8.906427E-16	1.728085E-16
3.613095E+03	8.937622E-16	1.752519E-16
3.613830E+03	8.972139E-16	1.766839E-16
3.614565E+03	9.009981E-16	1.773953E-16
3.615300E+03	9.054760E-16	1.780213E-16
3.616035E+03	9.100158E-16	1.831649E-16
3.616770E+03	9.144969E-16	1.851434E-16
3.617505E+03	9.185881E-16	1.850742E-16
3.618240E+03	9.217770E-16	1.851138E-16
3.618975E+03	9.240330E-16	1.855518E-16
3.619710E+03	9.264406E-16	1.854800E-16
3.620445E+03	9.292108E-16	1.851949E-16
3.621180E+03	9.307159E-16	1.847318E-16
3.621915E+03	9.317092E-16	1.840589E-16
3.622650E+03	9.331854E-16	1.832940E-16
3.623385E+03	9.352052E-16	1.828098E-16
3.624120E+03	9.398804E-16	1.831596E-16
3.624855E+03	9.460959E-16	1.837455E-16
3.625590E+03	9.503824E-16	1.849928E-16
3.626325E+03	9.537650E-16	1.870190E-16
3.627060E+03	9.582055E-16	1.865548E-16
3.627795E+03	9.624965E-16	1.877445E-16
3.628530E+03	9.651889E-16	1.900502E-16
3.629265E+03	9.667046E-16	1.910667E-16
3.630000E+03	9.685834E-16	1.872193E-16
3.630735E+03	9.709766E-16	1.778906E-16
3.631470E+03	9.742469E-16	1.732007E-16
3.632205E+03	9.790597E-16	1.718623E-16
3.632940E+03	9.827257E-16	1.720730E-16
3.633675E+03	9.838841E-16	1.722445E-16
3.634410E+03	9.835012E-16	1.720119E-16
3.635145E+03	9.815459E-16	1.719067E-16
3.635880E+03	9.796507E-16	1.731099E-16
3.636615E+03	9.788137E-16	1.760190E-16
3.637350E+03	9.792776E-16	1.784305E-16
3.638085E+03	9.803470E-16	1.792152E-16
3.638820E+03	9.823248E-16	1.772967E-16
3.639555E+03	9.865434E-16	1.769303E-16
3.640290E+03	9.897645E-16	1.769716E-16
3.641025E+03	9.899893E-16	1.771205E-16
3.641760E+03	9.894876E-16	1.765979E-16
3.642495E+03	9.889253E-16	1.752580E-16
3.643230E+03	9.890295E-16	1.741653E-16
3.643965E+03	9.908004E-16	1.733190E-16
3.644700E+03	9.936023E-16	1.738253E-16
3.645435E+03	9.964661E-16	1.743859E-16
3.646170E+03	9.979971E-16	1.741559E-16
3.646905E+03	9.982252E-16	1.760039E-16
3.647640E+03	9.978470E-16	1.780392E-16
3.648375E+03	9.970747E-16	1.802005E-16
3.649110E+03	9.972123E-16	1.806251E-16
3.649845E+03	9.985030E-16	1.804926E-16
3.650580E+03	1.000432E-15	1.802419E-16
3.651315E+03	1.002907E-15	1.799706E-16
3.652050E+03	1.004747E-15	1.795922E-16
3.652785E+03	1.004553E-15	1.790611E-16
3.653520E+03	1.004966E-15	1.770943E-16
3.654255E+03	1.007719E-15	1.758169E-16
3.654990E+03	1.009500E-15	1.742725E-16
3.655725E+03	1.009034E-15	1.728521E-16
3.656460E+03	1.008082E-15	1.727473E-16
3.657195E+03	1.007799E-15	1.732156E-16
3.657930E+03	1.007333E-15	1.733277E-16
3.658665E+03	1.006563E-15	1.721603E-16
3.659400E+03	1.007770E-15	1.705130E-16
3.660135E+03	1.010406E-15	1.686772E-16
3.660870E+03	1.011432E-15	1.683742E-16
3.661605E+03	1.010602E-15	1.682855E-16
3.662340E+03	1.010107E-15	1.688965E-16
3.663075E+03	1.010525E-15	1.701243E-16
3.663810E+03	1.011096E-15	1.696939E-16
3.664545E+03	1.011971E-15	1.687754E-16
3.665280E+03	1.013974E-15	1.689398E-16
3.666015E+03	1.016373E-15	1.672457E-16
3.666750E+03	1.017951E-15	1.656353E-16
3.667485E+03	1.019469E-15	1.655974E-16
3.668220E+03	1.019250E-15	1.656420E-16
3.668955E+03	1.017021E-15	1.647570E-16
3.669690E+03	1.016650E-15	1.651935E-16
3.670425E+03	1.018078E-15	1.662991E-16
3.671160E+03	1.019964E-15	1.664045E-16
3.671895E+03	1.022369E-15	1.657121E-16
3.672630E+03	1.024715E-15	1.655473E-16
3.673365E+03	1.027000E-15	1.669628E-16
3.674100E+03	1.027303E-15	1.667426E-16
3.674835E+03	1.025379E-15	1.651024E-16
3.675570E+03	1.023057E-15	1.626900E-16
3.676305E+03	1.020338E-15	1.593520E-16
3.677040E+03	1.019847E-15	1.594854E-16
3.677775E+03	1.021860E-15	1.580556E-16
3.678510E+03	1.022622E-15	1.563311E-16
