#wls	flux	fluxerr
1.600000E+03	1.843002E-18	1.047387E-18
1.640000E+03	1.867278E-18	1.060450E-18
1.680000E+03	1.893982E-18	1.074790E-18
1.720000E+03	1.923982E-18	1.090886E-18
1.760000E+03	1.956714E-18	1.108396E-18
1.800000E+03	1.993085E-18	1.127814E-18
1.840000E+03	2.032912E-18	1.149007E-18
1.880000E+03	2.076778E-18	1.172276E-18
1.920000E+03	2.124514E-18	1.197485E-18
1.960000E+03	2.177147E-18	1.225172E-18
2.000000E+03	2.234547E-18	1.255209E-18
2.040000E+03	2.296987E-18	1.287689E-18
2.080000E+03	2.364761E-18	1.322703E-18
2.120000E+03	2.439066E-18	1.360834E-18
2.160000E+03	2.519842E-18	1.401943E-18
2.200000E+03	2.607475E-18	1.446123E-18
2.240000E+03	2.703333E-18	1.493984E-18
2.280000E+03	2.806943E-18	1.545088E-18
2.320000E+03	2.919775E-18	1.600039E-18
2.360000E+03	3.042399E-18	1.658899E-18
2.400000E+03	3.175408E-18	1.721698E-18
2.440000E+03	3.319978E-18	1.788723E-18
2.480000E+03	3.476801E-18	1.859931E-18
2.520000E+03	3.647175E-18	1.935526E-18
2.560000E+03	3.832487E-18	2.015659E-18
2.600000E+03	4.033572E-18	2.100080E-18
2.640000E+03	4.251905E-18	2.188747E-18
2.680000E+03	4.489018E-18	2.281497E-18
2.720000E+03	4.746472E-18	2.378009E-18
2.760000E+03	5.025836E-18	2.477774E-18
2.800000E+03	5.329388E-18	2.580410E-18
2.840000E+03	5.657874E-18	2.684552E-18
2.880000E+03	6.014179E-18	2.789612E-18
2.920000E+03	6.399502E-18	2.893934E-18
2.960000E+03	6.815545E-18	2.995852E-18
3.000000E+03	7.263630E-18	3.093326E-18
3.010000E+03	7.381137E-18	3.116883E-18
3.020000E+03	7.500181E-18	3.139752E-18
3.030000E+03	7.621624E-18	3.162252E-18
3.040000E+03	7.745443E-18	3.184329E-18
3.050000E+03	7.870701E-18	3.205557E-18
3.060000E+03	7.999185E-18	3.226622E-18
3.070000E+03	8.129029E-18	3.246726E-18
3.080000E+03	8.261104E-18	3.266186E-18
3.090000E+03	8.396301E-18	3.285312E-18
