#wls	flux	fluxerr
1.576355E+03	3.296305E-03	1.328895E-04
1.615764E+03	3.387025E-03	1.357728E-04
1.655172E+03	3.484388E-03	1.388611E-04
1.694581E+03	3.588708E-03	1.421602E-04
1.733990E+03	3.701226E-03	1.457122E-04
1.773399E+03	3.822337E-03	1.495242E-04
1.812808E+03	3.952927E-03	1.536220E-04
1.852217E+03	4.093933E-03	1.580319E-04
1.891626E+03	4.245887E-03	1.627634E-04
1.931034E+03	4.411264E-03	1.678990E-04
1.970443E+03	4.589773E-03	1.734134E-04
2.009852E+03	4.784572E-03	1.794105E-04
2.049261E+03	4.997005E-03	1.859226E-04
2.088670E+03	5.229517E-03	1.930203E-04
2.128079E+03	5.485238E-03	2.007957E-04
2.167488E+03	5.768021E-03	2.093623E-04
2.206897E+03	6.081970E-03	2.188370E-04
2.246305E+03	6.431451E-03	2.293397E-04
2.285714E+03	6.821648E-03	2.410121E-04
2.325123E+03	7.255201E-03	2.538985E-04
2.364532E+03	7.736578E-03	2.681015E-04
2.403941E+03	8.267463E-03	2.836200E-04
2.443350E+03	8.851869E-03	3.005278E-04
2.482759E+03	9.493222E-03	3.188711E-04
2.522167E+03	1.019484E-02	3.386856E-04
2.561576E+03	1.096049E-02	3.600141E-04
2.600985E+03	1.179227E-02	3.828375E-04
2.640394E+03	1.269439E-02	4.071982E-04
2.679803E+03	1.366694E-02	4.329999E-04
2.719212E+03	1.471163E-02	4.601930E-04
2.758621E+03	1.582803E-02	4.886571E-04
2.798030E+03	1.701310E-02	5.181906E-04
2.837438E+03	1.826495E-02	5.486288E-04
2.876847E+03	1.958024E-02	5.797656E-04
2.916256E+03	2.095496E-02	6.113787E-04
2.955665E+03	2.238288E-02	6.431879E-04
2.965517E+03	2.274793E-02	6.511527E-04
2.975369E+03	2.311469E-02	6.590766E-04
2.985222E+03	2.348347E-02	6.669671E-04
2.995074E+03	2.385528E-02	6.748520E-04
3.004926E+03	2.422885E-02	6.826939E-04
3.014778E+03	2.460362E-02	6.904765E-04
3.024631E+03	2.498054E-02	6.982250E-04
3.034483E+03	2.535746E-02	7.058790E-04
3.044335E+03	2.573600E-02	7.134828E-04
3.054187E+03	2.611473E-02	7.209959E-04
3.064039E+03	2.649291E-02	7.283977E-04
3.073892E+03	2.687129E-02	7.357086E-04
3.083744E+03	2.724831E-02	7.428859E-04
3.093596E+03	2.762464E-02	7.499476E-04
3.103448E+03	2.799865E-02	7.568496E-04
3.113300E+03	2.836942E-02	7.635678E-04
3.123153E+03	2.873823E-02	7.701372E-04
3.133005E+03	2.910260E-02	7.764921E-04
3.142857E+03	2.946298E-02	7.826457E-04
3.152709E+03	2.981829E-02	7.885708E-04
3.162562E+03	3.016745E-02	7.942401E-04
3.172414E+03	3.051004E-02	7.996451E-04
3.182266E+03	3.084492E-02	8.047577E-04
3.192118E+03	3.117235E-02	8.095872E-04
3.201970E+03	3.148969E-02	8.140683E-04
3.211823E+03	3.179716E-02	8.182099E-04
3.221675E+03	3.209357E-02	8.219845E-04
3.231527E+03	3.237839E-02	8.253830E-04
3.241379E+03	3.264974E-02	8.283614E-04
3.251232E+03	3.290715E-02	8.309130E-04
3.261084E+03	3.314949E-02	8.330140E-04
3.270936E+03	3.337634E-02	8.346596E-04
3.280788E+03	3.358666E-02	8.358295E-04
3.290640E+03	3.377885E-02	8.364901E-04
3.300493E+03	3.395269E-02	8.366424E-04
3.310345E+03	3.410675E-02	8.362587E-04
3.320197E+03	3.424101E-02	8.353454E-04
3.330049E+03	3.435428E-02	8.338810E-04
3.339901E+03	3.444615E-02	8.318636E-04
3.349754E+03	3.451573E-02	8.292799E-04
3.359606E+03	3.456292E-02	8.261358E-04
3.369458E+03	3.458722E-02	8.224279E-04
3.379310E+03	3.458893E-02	8.181725E-04
3.389163E+03	3.456700E-02	8.133529E-04
3.399015E+03	3.452296E-02	8.080142E-04
3.408867E+03	3.445709E-02	8.021716E-04
3.418719E+03	3.437024E-02	7.958530E-04
3.428571E+03	3.426483E-02	7.891227E-04
3.438424E+03	3.414240E-02	7.820229E-04
3.448276E+03	3.400569E-02	7.746228E-04
3.458128E+03	3.385907E-02	7.670273E-04
3.467980E+03	3.370569E-02	7.593110E-04
3.477833E+03	3.355120E-02	7.516039E-04
3.487685E+03	3.340003E-02	7.440052E-04
3.497537E+03	3.325887E-02	7.366621E-04
3.507389E+03	3.313294E-02	7.296861E-04
3.517241E+03	3.302879E-02	7.232155E-04
3.527094E+03	3.295196E-02	7.173628E-04
3.536946E+03	3.290662E-02	7.122080E-04
3.546798E+03	3.289287E-02	7.077419E-04
3.556650E+03	3.290619E-02	7.038560E-04
3.566502E+03	3.294057E-02	7.004124E-04
3.576355E+03	3.298751E-02	6.972238E-04
3.586207E+03	3.303967E-02	6.941312E-04
3.596059E+03	3.308941E-02	6.909734E-04
3.605911E+03	3.313097E-02	6.876320E-04
3.615764E+03	3.315845E-02	6.839886E-04
3.625616E+03	3.316785E-02	6.799668E-04
3.635468E+03	3.315684E-02	6.755263E-04
3.645320E+03	3.312390E-02	6.706442E-04
3.655172E+03	3.307024E-02	6.653536E-04
3.665025E+03	3.299781E-02	6.597018E-04
3.674877E+03	3.291147E-02	6.537925E-04
3.684729E+03	3.281753E-02	6.477561E-04
3.694581E+03	3.272364E-02	6.417455E-04
3.704433E+03	3.263951E-02	6.359502E-04
3.714286E+03	3.257551E-02	6.305679E-04
3.724138E+03	3.254296E-02	6.258086E-04
3.733990E+03	3.255302E-02	6.218741E-04
3.743842E+03	3.261697E-02	6.189623E-04
3.753695E+03	3.274488E-02	6.172430E-04
3.763547E+03	3.294728E-02	6.168897E-04
3.773399E+03	3.323210E-02	6.180216E-04
3.783251E+03	3.360766E-02	6.207622E-04
3.793103E+03	3.407969E-02	6.251823E-04
3.802956E+03	3.465334E-02	6.313404E-04
3.812808E+03	3.533114E-02	6.392441E-04
3.822660E+03	3.611458E-02	6.488820E-04
3.832512E+03	3.700231E-02	6.601912E-04
3.842365E+03	3.799040E-02	6.730637E-04
3.852217E+03	3.907272E-02	6.873554E-04
3.862069E+03	4.023925E-02	7.028574E-04
3.871921E+03	4.147646E-02	7.193047E-04
3.881773E+03	4.276747E-02	7.363823E-04
3.891626E+03	4.409179E-02	7.537215E-04
3.901478E+03	4.542489E-02	7.708958E-04
3.911330E+03	4.673940E-02	7.874428E-04
3.921182E+03	4.800575E-02	8.028771E-04
3.931034E+03	4.919414E-02	8.167240E-04
3.940887E+03	5.027445E-02	8.285181E-04
3.950739E+03	5.121867E-02	8.378430E-04
3.960591E+03	5.200251E-02	8.443566E-04
3.970443E+03	5.260702E-02	8.478138E-04
3.980296E+03	5.302082E-02	8.480997E-04
3.990148E+03	5.323811E-02	8.451926E-04
4.000000E+03	5.326285E-02	8.392276E-04
4.009852E+03	5.310331E-02	8.304043E-04
4.019704E+03	5.277657E-02	8.190541E-04
4.029557E+03	5.230254E-02	8.055441E-04
4.039409E+03	5.170485E-02	7.902880E-04
4.049261E+03	5.100875E-02	7.737121E-04
4.059113E+03	5.023985E-02	7.562367E-04
4.068966E+03	4.942358E-02	7.382664E-04
4.078818E+03	4.858361E-02	7.201684E-04
4.088670E+03	4.774106E-02	7.022609E-04
4.098522E+03	4.691547E-02	6.848296E-04
4.108374E+03	4.612432E-02	6.681214E-04
4.118227E+03	4.538252E-02	6.523385E-04
4.128079E+03	4.470261E-02	6.376429E-04
4.137931E+03	4.409481E-02	6.241585E-04
4.147783E+03	4.356754E-02	6.119796E-04
4.157635E+03	4.312771E-02	6.011764E-04
4.167488E+03	4.277975E-02	5.917825E-04
4.177340E+03	4.252536E-02	5.837920E-04
4.187192E+03	4.236584E-02	5.771942E-04
4.197044E+03	4.229803E-02	5.719177E-04
4.206897E+03	4.231765E-02	5.678780E-04
4.216749E+03	4.241758E-02	5.649552E-04
4.226601E+03	4.258643E-02	5.629769E-04
4.236453E+03	4.281039E-02	5.617433E-04
4.246305E+03	4.307099E-02	5.610004E-04
4.256158E+03	4.334604E-02	5.604534E-04
4.266010E+03	4.360914E-02	5.597623E-04
4.275862E+03	4.382930E-02	5.585383E-04
4.285714E+03	4.397284E-02	5.563701E-04
4.295567E+03	4.400511E-02	5.528454E-04
4.305419E+03	4.389402E-02	5.475961E-04
4.315271E+03	4.361436E-02	5.403480E-04
4.325123E+03	4.315880E-02	5.310531E-04
4.334975E+03	4.254816E-02	5.200086E-04
4.344828E+03	4.182710E-02	5.077921E-04
4.354680E+03	4.105210E-02	4.951083E-04
4.364532E+03	4.027835E-02	4.826277E-04
4.374384E+03	3.955485E-02	4.709298E-04
4.384236E+03	3.892287E-02	4.604878E-04
4.394089E+03	3.841388E-02	4.516480E-04
4.403941E+03	3.805208E-02	4.446638E-04
4.413793E+03	3.785324E-02	4.396851E-04
4.423645E+03	3.782725E-02	4.367906E-04
4.433498E+03	3.797842E-02	4.359945E-04
4.443350E+03	3.830464E-02	4.372376E-04
4.453202E+03	3.879941E-02	4.404140E-04
4.463054E+03	3.944987E-02	4.453482E-04
4.472906E+03	4.023814E-02	4.518141E-04
4.482759E+03	4.114055E-02	4.595263E-04
4.492611E+03	4.212763E-02	4.681415E-04
4.502463E+03	4.316403E-02	4.772594E-04
4.512315E+03	4.421013E-02	4.864409E-04
4.522167E+03	4.522269E-02	4.952164E-04
4.532020E+03	4.615781E-02	5.031178E-04
4.541872E+03	4.697351E-02	5.097062E-04
4.551724E+03	4.763158E-02	5.145905E-04
4.561576E+03	4.810168E-02	5.174702E-04
4.571429E+03	4.836467E-02	5.181688E-04
4.581281E+03	4.841364E-02	5.166412E-04
4.591133E+03	4.825624E-02	5.129966E-04
4.600985E+03	4.791302E-02	5.074773E-04
4.610837E+03	4.741821E-02	5.004650E-04
4.620690E+03	4.681485E-02	4.924268E-04
4.630542E+03	4.615133E-02	4.838792E-04
4.640394E+03	4.547408E-02	4.753105E-04
4.650246E+03	4.482167E-02	4.671204E-04
4.660099E+03	4.421287E-02	4.594990E-04
4.669951E+03	4.364698E-02	4.524321E-04
4.679803E+03	4.311004E-02	4.457690E-04
4.689655E+03	4.258544E-02	4.393320E-04
4.699507E+03	4.205553E-02	4.329337E-04
4.709360E+03	4.150877E-02	4.264511E-04
4.719212E+03	4.093817E-02	4.198091E-04
4.729064E+03	4.034267E-02	4.129933E-04
4.738916E+03	3.972607E-02	4.060393E-04
4.748768E+03	3.909710E-02	3.990327E-04
4.758621E+03	3.846831E-02	3.920972E-04
4.768473E+03	3.785474E-02	3.853817E-04
4.778325E+03	3.727412E-02	3.790617E-04
4.788177E+03	3.674514E-02	3.733221E-04
4.798030E+03	3.628560E-02	3.683385E-04
4.807882E+03	3.591357E-02	3.642891E-04
4.817734E+03	3.564556E-02	3.613364E-04
4.827586E+03	3.549511E-02	3.596132E-04
4.837438E+03	3.547320E-02	3.592266E-04
4.847291E+03	3.558781E-02	3.602540E-04
4.857143E+03	3.584167E-02	3.627204E-04
4.866995E+03	3.623257E-02	3.666012E-04
4.876847E+03	3.675393E-02	3.718286E-04
4.886700E+03	3.739119E-02	3.782546E-04
4.896552E+03	3.812404E-02	3.856736E-04
4.906404E+03	3.892501E-02	3.938076E-04
4.916256E+03	3.976029E-02	4.023153E-04
4.926108E+03	4.059153E-02	4.108086E-04
4.935961E+03	4.137677E-02	4.188631E-04
4.945813E+03	4.207504E-02	4.260636E-04
4.955665E+03	4.264832E-02	4.320240E-04
4.965517E+03	4.306670E-02	4.364396E-04
4.975369E+03	4.331036E-02	4.391069E-04
4.985222E+03	4.337165E-02	4.399454E-04
4.995074E+03	4.325706E-02	4.390173E-04
5.004926E+03	4.298553E-02	4.365109E-04
5.014778E+03	4.258489E-02	4.327051E-04
5.024631E+03	4.209101E-02	4.279612E-04
5.034483E+03	4.154238E-02	4.226677E-04
5.044335E+03	4.097652E-02	4.172042E-04
5.054187E+03	4.042853E-02	4.119271E-04
5.064039E+03	3.992630E-02	4.071200E-04
5.073892E+03	3.949211E-02	4.030105E-04
5.083744E+03	3.914052E-02	3.997484E-04
5.093596E+03	3.888043E-02	3.974260E-04
5.103448E+03	3.871453E-02	3.960726E-04
5.113300E+03	3.864208E-02	3.956830E-04
5.123153E+03	3.865873E-02	3.962148E-04
5.133005E+03	3.875850E-02	3.976092E-04
5.142857E+03	3.893592E-02	3.998123E-04
5.152709E+03	3.918444E-02	4.027593E-04
5.162562E+03	3.949795E-02	4.063896E-04
5.172414E+03	3.987144E-02	4.106541E-04
5.182266E+03	4.029919E-02	4.154960E-04
5.192118E+03	4.077568E-02	4.208605E-04
5.201970E+03	4.129288E-02	4.266669E-04
5.211823E+03	4.184190E-02	4.328255E-04
5.221675E+03	4.241084E-02	4.392146E-04
5.231527E+03	4.298479E-02	4.456812E-04
5.241379E+03	4.354497E-02	4.520316E-04
5.251232E+03	4.407183E-02	4.580627E-04
5.261084E+03	4.454271E-02	4.635385E-04
5.270936E+03	4.493449E-02	4.682168E-04
5.280788E+03	4.522605E-02	4.718749E-04
5.290640E+03	4.539779E-02	4.743050E-04
5.300493E+03	4.543674E-02	4.753662E-04
5.310345E+03	4.533469E-02	4.749661E-04
5.320197E+03	4.509240E-02	4.731047E-04
5.330049E+03	4.472005E-02	4.698812E-04
5.339901E+03	4.423573E-02	4.654785E-04
5.349754E+03	4.366741E-02	4.601843E-04
5.359606E+03	4.305126E-02	4.543751E-04
