#wls	flux	fluxerr
1.576355E+03	1.073882E-03	2.584467E-08
1.615764E+03	1.085254E-03	2.611835E-08
1.655172E+03	1.097329E-03	2.640894E-08
1.694581E+03	1.110521E-03	2.672642E-08
1.733990E+03	1.124677E-03	2.706712E-08
1.773399E+03	1.140229E-03	2.744140E-08
1.812808E+03	1.156832E-03	2.784097E-08
1.852217E+03	1.175131E-03	2.828136E-08
1.891626E+03	1.195189E-03	2.876410E-08
1.931034E+03	1.217076E-03	2.929083E-08
1.970443E+03	1.241277E-03	2.987326E-08
2.009852E+03	1.267882E-03	3.051356E-08
2.049261E+03	1.297413E-03	3.122427E-08
2.088670E+03	1.329984E-03	3.200814E-08
2.128079E+03	1.366154E-03	3.287864E-08
2.167488E+03	1.406513E-03	3.384992E-08
2.206897E+03	1.450771E-03	3.491507E-08
2.246305E+03	1.499541E-03	3.608879E-08
2.285714E+03	1.552528E-03	3.736400E-08
2.325123E+03	1.610119E-03	3.875002E-08
2.364532E+03	1.671993E-03	4.023910E-08
2.403941E+03	1.738275E-03	4.183428E-08
2.443350E+03	1.809080E-03	4.353832E-08
2.482759E+03	1.884502E-03	4.535345E-08
2.522167E+03	1.964606E-03	4.728130E-08
2.561576E+03	2.049164E-03	4.931630E-08
2.600985E+03	2.138145E-03	5.145776E-08
2.640394E+03	2.231460E-03	5.370353E-08
2.679803E+03	2.329495E-03	5.606289E-08
2.719212E+03	2.431740E-03	5.852358E-08
2.758621E+03	2.538406E-03	6.109065E-08
2.798030E+03	2.648735E-03	6.374590E-08
2.837438E+03	2.761791E-03	6.646676E-08
2.876847E+03	2.876134E-03	6.921858E-08
2.916256E+03	2.990366E-03	7.196776E-08
2.955665E+03	3.103124E-03	7.468144E-08
2.965517E+03	3.131093E-03	7.535455E-08
2.975369E+03	3.158708E-03	7.601916E-08
2.985222E+03	3.186239E-03	7.668175E-08
2.995074E+03	3.213355E-03	7.733433E-08
3.004926E+03	3.240323E-03	7.798336E-08
3.014778E+03	3.267110E-03	7.862803E-08
3.024631E+03	3.293379E-03	7.926021E-08
3.034483E+03	3.319393E-03	7.988627E-08
3.044335E+03	3.345114E-03	8.050530E-08
3.054187E+03	3.370200E-03	8.110903E-08
3.064039E+03	3.395213E-03	8.171101E-08
3.073892E+03	3.419506E-03	8.229565E-08
3.083744E+03	3.443637E-03	8.287639E-08
3.093596E+03	3.466954E-03	8.343756E-08
3.103448E+03	3.490013E-03	8.399252E-08
3.113300E+03	3.512461E-03	8.453275E-08
3.123153E+03	3.534244E-03	8.505699E-08
3.133005E+03	3.555608E-03	8.557115E-08
3.142857E+03	3.576195E-03	8.606660E-08
3.152709E+03	3.596245E-03	8.654914E-08
3.162562E+03	3.615397E-03	8.701005E-08
3.172414E+03	3.634182E-03	8.746216E-08
3.182266E+03	3.651939E-03	8.788949E-08
3.192118E+03	3.668894E-03	8.829754E-08
3.201970E+03	3.685270E-03	8.869166E-08
3.211823E+03	3.700697E-03	8.906294E-08
3.221675E+03	3.715098E-03	8.940951E-08
3.231527E+03	3.728975E-03	8.974348E-08
3.241379E+03	3.741661E-03	9.004878E-08
3.251232E+03	3.753360E-03	9.033033E-08
3.261084E+03	3.763983E-03	9.058600E-08
3.270936E+03	3.773724E-03	9.082043E-08
3.280788E+03	3.782485E-03	9.103127E-08
3.290640E+03	3.789887E-03	9.120941E-08
3.300493E+03	3.796392E-03	9.136596E-08
3.310345E+03	3.801893E-03	9.149836E-08
3.320197E+03	3.806012E-03	9.159748E-08
3.330049E+03	3.808921E-03	9.166750E-08
3.339901E+03	3.810785E-03	9.171235E-08
3.349754E+03	3.811496E-03	9.172947E-08
3.359606E+03	3.810691E-03	9.171009E-08
3.369458E+03	3.809056E-03	9.167073E-08
3.379310E+03	3.805973E-03	9.159654E-08
3.389163E+03	3.801866E-03	9.149771E-08
3.399015E+03	3.796649E-03	9.137214E-08
3.408867E+03	3.790490E-03	9.122392E-08
3.418719E+03	3.783084E-03	9.104567E-08
3.428571E+03	3.774864E-03	9.084785E-08
3.438424E+03	3.765797E-03	9.062965E-08
3.448276E+03	3.755877E-03	9.039089E-08
3.458128E+03	3.745354E-03	9.013765E-08
3.467980E+03	3.734512E-03	8.987672E-08
3.477833E+03	3.723454E-03	8.961059E-08
3.487685E+03	3.712361E-03	8.934362E-08
3.497537E+03	3.701722E-03	8.908757E-08
3.507389E+03	3.691752E-03	8.884762E-08
3.517241E+03	3.683499E-03	8.864900E-08
3.527094E+03	3.677521E-03	8.850513E-08
3.536946E+03	3.675165E-03	8.844842E-08
3.546798E+03	3.677279E-03	8.849931E-08
3.556650E+03	3.682753E-03	8.863105E-08
3.566502E+03	3.690215E-03	8.881062E-08
3.576355E+03	3.699367E-03	8.903089E-08
3.586207E+03	3.709465E-03	8.927391E-08
3.596059E+03	3.720502E-03	8.953952E-08
3.605911E+03	3.732261E-03	8.982253E-08
3.615764E+03	3.744980E-03	9.012861E-08
3.625616E+03	3.758475E-03	9.045341E-08
3.635468E+03	3.773146E-03	9.080647E-08
