#wls	flux	fluxerr
1.576355E+03	4.782325E-04	1.606201E-05
1.615764E+03	4.972071E-04	1.660590E-05
1.655172E+03	5.145873E-04	1.708749E-05
1.694581E+03	5.300759E-04	1.749761E-05
1.733990E+03	5.433964E-04	1.782808E-05
1.773399E+03	5.536197E-04	1.804970E-05
1.812808E+03	5.596335E-04	1.812815E-05
1.852217E+03	5.600815E-04	1.802234E-05
1.891626E+03	5.538840E-04	1.770131E-05
1.931034E+03	5.402498E-04	1.714438E-05
1.970443E+03	5.202169E-04	1.638942E-05
2.009852E+03	4.971597E-04	1.554661E-05
2.049261E+03	4.775532E-04	1.481931E-05
2.088670E+03	4.698065E-04	1.446423E-05
2.128079E+03	4.816587E-04	1.470909E-05
2.167488E+03	5.178493E-04	1.568258E-05
2.206897E+03	5.789603E-04	1.738300E-05
2.246305E+03	6.623535E-04	1.971147E-05
2.285714E+03	7.642843E-04	2.253850E-05
2.325123E+03	8.807028E-04	2.572912E-05
2.364532E+03	1.008990E-03	2.919369E-05
2.403941E+03	1.147466E-03	3.287200E-05
2.443350E+03	1.295569E-03	3.673709E-05
2.482759E+03	1.453580E-03	4.078596E-05
2.522167E+03	1.621996E-03	4.502106E-05
2.561576E+03	1.801909E-03	4.946006E-05
2.600985E+03	1.994255E-03	5.411485E-05
2.640394E+03	2.199784E-03	5.899069E-05
2.679803E+03	2.419706E-03	6.410367E-05
2.719212E+03	2.654295E-03	6.944345E-05
2.758621E+03	2.904315E-03	7.501147E-05
2.798030E+03	3.169688E-03	8.078633E-05
2.837438E+03	3.449824E-03	8.673344E-05
2.876847E+03	3.743854E-03	9.281164E-05
2.916256E+03	4.050706E-03	9.897580E-05
2.955665E+03	4.369368E-03	1.051835E-04
2.965517E+03	4.450839E-03	1.067392E-04
2.975369E+03	4.532786E-03	1.082900E-04
2.985222E+03	4.615321E-03	1.098385E-04
2.995074E+03	4.698476E-03	1.113850E-04
3.004926E+03	4.782791E-03	1.129422E-04
3.014778E+03	4.868635E-03	1.145183E-04
3.024631E+03	4.955596E-03	1.161032E-04
3.034483E+03	5.043848E-03	1.177005E-04
3.044335E+03	5.132973E-03	1.193001E-04
3.054187E+03	5.222945E-03	1.209011E-04
3.064039E+03	5.313536E-03	1.224980E-04
3.073892E+03	5.404713E-03	1.240897E-04
3.083744E+03	5.496037E-03	1.256659E-04
3.093596E+03	5.587670E-03	1.272303E-04
3.103448E+03	5.678957E-03	1.287678E-04
3.113300E+03	5.770255E-03	1.302866E-04
3.123153E+03	5.861097E-03	1.317760E-04
3.133005E+03	5.951217E-03	1.332302E-04
3.142857E+03	6.040543E-03	1.346478E-04
3.152709E+03	6.129000E-03	1.360272E-04
3.162562E+03	6.216095E-03	1.373578E-04
3.172414E+03	6.301736E-03	1.386378E-04
3.182266E+03	6.385624E-03	1.398611E-04
3.192118E+03	6.467856E-03	1.410304E-04
3.201970E+03	6.547914E-03	1.421347E-04
3.211823E+03	6.625481E-03	1.431679E-04
3.221675E+03	6.700635E-03	1.441323E-04
3.231527E+03	6.772848E-03	1.450172E-04
3.241379E+03	6.841991E-03	1.458209E-04
3.251232E+03	6.907733E-03	1.465371E-04
3.261084E+03	6.969944E-03	1.471642E-04
3.270936E+03	7.028296E-03	1.476962E-04
3.280788E+03	7.082659E-03	1.481315E-04
3.290640E+03	7.132532E-03	1.484610E-04
3.300493E+03	7.177992E-03	1.486876E-04
3.310345E+03	7.218563E-03	1.488028E-04
3.320197E+03	7.254168E-03	1.488065E-04
3.330049E+03	7.284562E-03	1.486952E-04
3.339901E+03	7.309362E-03	1.484627E-04
3.349754E+03	7.328759E-03	1.481146E-04
3.359606E+03	7.342286E-03	1.476433E-04
3.369458E+03	7.350234E-03	1.470562E-04
3.379310E+03	7.352287E-03	1.463489E-04
3.389163E+03	7.348723E-03	1.455288E-04
3.399015E+03	7.339434E-03	1.445954E-04
3.408867E+03	7.324928E-03	1.435605E-04
3.418719E+03	7.305522E-03	1.424319E-04
3.428571E+03	7.281550E-03	1.412177E-04
3.438424E+03	7.253819E-03	1.399349E-04
3.448276E+03	7.223020E-03	1.385980E-04
3.458128E+03	7.190039E-03	1.372248E-04
3.467980E+03	7.156220E-03	1.358417E-04
3.477833E+03	7.122658E-03	1.344697E-04
3.487685E+03	7.090998E-03	1.331395E-04
3.497537E+03	7.062462E-03	1.318735E-04
3.507389E+03	7.038963E-03	1.307063E-04
3.517241E+03	7.021760E-03	1.296597E-04
3.527094E+03	7.012388E-03	1.287599E-04
3.536946E+03	7.012084E-03	1.280271E-04
3.546798E+03	7.021093E-03	1.274630E-04
3.556650E+03	7.038108E-03	1.270412E-04
3.566502E+03	7.061800E-03	1.267354E-04
3.576355E+03	7.090600E-03	1.265155E-04
3.586207E+03	7.123012E-03	1.263534E-04
3.596059E+03	7.157596E-03	1.262227E-04
3.605911E+03	7.193046E-03	1.260997E-04
3.615764E+03	7.228253E-03	1.259650E-04
3.625616E+03	7.262364E-03	1.258038E-04
3.635468E+03	7.294923E-03	1.256088E-04
3.645320E+03	7.325678E-03	1.253760E-04
3.655172E+03	7.354612E-03	1.251058E-04
3.665025E+03	7.382252E-03	1.248078E-04
3.674877E+03	7.409343E-03	1.244949E-04
3.684729E+03	7.436841E-03	1.241833E-04
3.694581E+03	7.466284E-03	1.238984E-04
3.704433E+03	7.499038E-03	1.236622E-04
3.714286E+03	7.536964E-03	1.235043E-04
3.724138E+03	7.581963E-03	1.234540E-04
3.733990E+03	7.635922E-03	1.235397E-04
3.743842E+03	7.701064E-03	1.237944E-04
3.753695E+03	7.779208E-03	1.242438E-04
3.763547E+03	7.872527E-03	1.249184E-04
3.773399E+03	7.982713E-03	1.258403E-04
3.783251E+03	8.111650E-03	1.270338E-04
3.793103E+03	8.260992E-03	1.285189E-04
3.802956E+03	8.432347E-03	1.303143E-04
3.812808E+03	8.626843E-03	1.324307E-04
3.822660E+03	8.845819E-03	1.348814E-04
3.832512E+03	9.089969E-03	1.376697E-04
3.842365E+03	9.360129E-03	1.408005E-04
3.852217E+03	9.656552E-03	1.442698E-04
3.862069E+03	9.978752E-03	1.480626E-04
3.871921E+03	1.032610E-02	1.521621E-04
3.881773E+03	1.069644E-02	1.565294E-04
3.891626E+03	1.108669E-02	1.611130E-04
3.901478E+03	1.149274E-02	1.658479E-04
3.911330E+03	1.190864E-02	1.706445E-04
3.921182E+03	1.232755E-02	1.754029E-04
3.931034E+03	1.274146E-02	1.800098E-04
3.940887E+03	1.314099E-02	1.843354E-04
3.950739E+03	1.351665E-02	1.882525E-04
3.960591E+03	1.385846E-02	1.916311E-04
3.970443E+03	1.415653E-02	1.943457E-04
3.980296E+03	1.440274E-02	1.962995E-04
3.990148E+03	1.458998E-02	1.974121E-04
4.000000E+03	1.471385E-02	1.976424E-04
4.009852E+03	1.477313E-02	1.969932E-04
4.019704E+03	1.476901E-02	1.954995E-04
4.029557E+03	1.470597E-02	1.932392E-04
4.039409E+03	1.459073E-02	1.903172E-04
4.049261E+03	1.443170E-02	1.868576E-04
4.059113E+03	1.423816E-02	1.829924E-04
4.068966E+03	1.401961E-02	1.788525E-04
4.078818E+03	1.378505E-02	1.745592E-04
4.088670E+03	1.354312E-02	1.702254E-04
4.098522E+03	1.330134E-02	1.659469E-04
4.108374E+03	1.306662E-02	1.618091E-04
4.118227E+03	1.284466E-02	1.578800E-04
4.128079E+03	1.264078E-02	1.542210E-04
4.137931E+03	1.245949E-02	1.508815E-04
4.147783E+03	1.230441E-02	1.478988E-04
4.157635E+03	1.217879E-02	1.453047E-04
4.167488E+03	1.208527E-02	1.431226E-04
4.177340E+03	1.202565E-02	1.413653E-04
4.187192E+03	1.200128E-02	1.400398E-04
4.197044E+03	1.201260E-02	1.391425E-04
4.206897E+03	1.205914E-02	1.386590E-04
4.216749E+03	1.213921E-02	1.385617E-04
4.226601E+03	1.224993E-02	1.388100E-04
4.236453E+03	1.238677E-02	1.393460E-04
4.246305E+03	1.254369E-02	1.400968E-04
4.256158E+03	1.271233E-02	1.409656E-04
4.266010E+03	1.288289E-02	1.418426E-04
4.275862E+03	1.304341E-02	1.425977E-04
4.285714E+03	1.318081E-02	1.430921E-04
4.295567E+03	1.328138E-02	1.431841E-04
4.305419E+03	1.333134E-02	1.427356E-04
4.315271E+03	1.331858E-02	1.416294E-04
4.325123E+03	1.323403E-02	1.397840E-04
4.334975E+03	1.308336E-02	1.372743E-04
4.344828E+03	1.288549E-02	1.343109E-04
4.354680E+03	1.266032E-02	1.311086E-04
4.364532E+03	1.242741E-02	1.278736E-04
4.374384E+03	1.220474E-02	1.247903E-04
4.384236E+03	1.200754E-02	1.220103E-04
4.394089E+03	1.184841E-02	1.196553E-04
4.403941E+03	1.173734E-02	1.178179E-04
4.413793E+03	1.168211E-02	1.165664E-04
4.423645E+03	1.168813E-02	1.159442E-04
4.433498E+03	1.175919E-02	1.159780E-04
4.443350E+03	1.189765E-02	1.166801E-04
4.453202E+03	1.210386E-02	1.180430E-04
4.463054E+03	1.237632E-02	1.200420E-04
4.472906E+03	1.271168E-02	1.226353E-04
4.482759E+03	1.310388E-02	1.257561E-04
4.492611E+03	1.354467E-02	1.293187E-04
4.502463E+03	1.402302E-02	1.332126E-04
4.512315E+03	1.452532E-02	1.373058E-04
4.522167E+03	1.503595E-02	1.414498E-04
4.532020E+03	1.553808E-02	1.454880E-04
4.541872E+03	1.601356E-02	1.492543E-04
4.551724E+03	1.644485E-02	1.525910E-04
4.561576E+03	1.681593E-02	1.553576E-04
4.571429E+03	1.711369E-02	1.574421E-04
4.581281E+03	1.732912E-02	1.587717E-04
4.591133E+03	1.745866E-02	1.593240E-04
4.600985E+03	1.750512E-02	1.591347E-04
4.610837E+03	1.747761E-02	1.582950E-04
4.620690E+03	1.739090E-02	1.569457E-04
4.630542E+03	1.726556E-02	1.552774E-04
4.640394E+03	1.712544E-02	1.535068E-04
4.650246E+03	1.699734E-02	1.518743E-04
4.660099E+03	1.689540E-02	1.505045E-04
4.669951E+03	1.680634E-02	1.492768E-04
4.679803E+03	1.671584E-02	1.480630E-04
4.689655E+03	1.661188E-02	1.467569E-04
4.699507E+03	1.648555E-02	1.452805E-04
4.709360E+03	1.633048E-02	1.435788E-04
