#wls	flux	fluxerr
1.576355E+03	3.623796E-19	1.231392E-20
1.615764E+03	3.696852E-19	1.251520E-20
1.655172E+03	3.746719E-19	1.263526E-20
1.694581E+03	3.771830E-19	1.266967E-20
1.733990E+03	3.770078E-19	1.261233E-20
1.773399E+03	3.736760E-19	1.244864E-20
1.812808E+03	3.665384E-19	1.215842E-20
1.852217E+03	3.548269E-19	1.171798E-20
1.891626E+03	3.382229E-19	1.111895E-20
1.931034E+03	3.168100E-19	1.036642E-20
1.970443E+03	2.916453E-19	9.497242E-21
2.009852E+03	2.653094E-19	8.597049E-21
2.049261E+03	2.417904E-19	7.795254E-21
2.088670E+03	2.253516E-19	7.227445E-21
2.128079E+03	2.191607E-19	6.991282E-21
2.167488E+03	2.243115E-19	7.116248E-21
2.206897E+03	2.395679E-19	7.557303E-21
2.246305E+03	2.624451E-19	8.230900E-21
2.285714E+03	2.898275E-19	9.035439E-21
2.325123E+03	3.189792E-19	9.883279E-21
2.364532E+03	3.478510E-19	1.070995E-20
2.403941E+03	3.751189E-19	1.147475E-20
2.443350E+03	4.001434E-19	1.215885E-20
2.482759E+03	4.227853E-19	1.275910E-20
2.522167E+03	4.430217E-19	1.327600E-20
2.561576E+03	4.611011E-19	1.371820E-20
2.600985E+03	4.772612E-19	1.409388E-20
2.640394E+03	4.915913E-19	1.440670E-20
2.679803E+03	5.045816E-19	1.467196E-20
2.719212E+03	5.163088E-19	1.489262E-20
2.758621E+03	5.269989E-19	1.507588E-20
2.798030E+03	5.369597E-19	1.523106E-20
2.837438E+03	5.464117E-19	1.536478E-20
2.876847E+03	5.554873E-19	1.548097E-20
2.916256E+03	5.644125E-19	1.558606E-20
2.955665E+03	5.735202E-19	1.568918E-20
2.965517E+03	5.758645E-19	1.571568E-20
2.975369E+03	5.782351E-19	1.574245E-20
2.985222E+03	5.806362E-19	1.576958E-20
2.995074E+03	5.830875E-19	1.579760E-20
3.004926E+03	5.856466E-19	1.582806E-20
3.014778E+03	5.883728E-19	1.586253E-20
3.024631E+03	5.912533E-19	1.590064E-20
3.034483E+03	5.942818E-19	1.594218E-20
3.044335E+03	5.974411E-19	1.598666E-20
3.054187E+03	6.007474E-19	1.603449E-20
3.064039E+03	6.041917E-19	1.608539E-20
3.073892E+03	6.077664E-19	1.613914E-20
3.083744E+03	6.115636E-19	1.619813E-20
3.093596E+03	6.153835E-19	1.625705E-20
3.103448E+03	6.193204E-19	1.631838E-20
3.113300E+03	6.233722E-19	1.638204E-20
3.123153E+03	6.276378E-19	1.645058E-20
3.133005E+03	6.319191E-19	1.651878E-20
3.142857E+03	6.363159E-19	1.658925E-20
3.152709E+03	6.409331E-19	1.666468E-20
3.162562E+03	6.455708E-19	1.673984E-20
3.172414E+03	6.504379E-19	1.682013E-20
3.182266E+03	6.553342E-19	1.690033E-20
3.192118E+03	6.603684E-19	1.698322E-20
3.201970E+03	6.656526E-19	1.707166E-20
3.211823E+03	6.710910E-19	1.716314E-20
3.221675E+03	6.765857E-19	1.725512E-20
3.231527E+03	6.823592E-19	1.735325E-20
3.241379E+03	6.882073E-19	1.745229E-20
3.251232E+03	6.943574E-19	1.755796E-20
3.261084E+03	7.007138E-19	1.766779E-20
3.270936E+03	7.071786E-19	1.777928E-20
3.280788E+03	7.139863E-19	1.789826E-20
3.290640E+03	7.210413E-19	1.802228E-20
3.300493E+03	7.283591E-19	1.815166E-20
3.310345E+03	7.358407E-19	1.828389E-20
3.320197E+03	7.437319E-19	1.842501E-20
3.330049E+03	7.519367E-19	1.857257E-20
3.339901E+03	7.604741E-19	1.872694E-20
3.349754E+03	7.693639E-19	1.888855E-20
3.359606E+03	7.786261E-19	1.905781E-20
3.369458E+03	7.882832E-19	1.923516E-20
3.379310E+03	7.982337E-19	1.941807E-20
3.389163E+03	8.087467E-19	1.961298E-20
3.399015E+03	8.197256E-19	1.981742E-20
3.408867E+03	8.311955E-19	2.003190E-20
3.418719E+03	8.431834E-19	2.025695E-20
3.428571E+03	8.557176E-19	2.049312E-20
3.438424E+03	8.689609E-19	2.074418E-20
3.448276E+03	8.826783E-19	2.100437E-20
3.458128E+03	8.970330E-19	2.127744E-20
3.467980E+03	9.120576E-19	2.156403E-20
3.477833E+03	9.277870E-19	2.186479E-20
3.487685E+03	9.442552E-19	2.218036E-20
3.497537E+03	9.614996E-19	2.251145E-20
3.507389E+03	9.795573E-19	2.285874E-20
