#wls	flux	fluxerr
1.600000E+03	4.051278E-17	2.570333E-19
1.640000E+03	4.113477E-17	2.609795E-19
1.680000E+03	4.180177E-17	2.652112E-19
1.720000E+03	4.251575E-17	2.697409E-19
1.760000E+03	4.327879E-17	2.745820E-19
1.800000E+03	4.410690E-17	2.798358E-19
1.840000E+03	4.499593E-17	2.854763E-19
1.880000E+03	4.596984E-17	2.916551E-19
1.920000E+03	4.702517E-17	2.983506E-19
1.960000E+03	4.817284E-17	3.056319E-19
2.000000E+03	4.943910E-17	3.136656E-19
2.040000E+03	5.083674E-17	3.225328E-19
2.080000E+03	5.237176E-17	3.322716E-19
2.120000E+03	5.406583E-17	3.430195E-19
2.160000E+03	5.594975E-17	3.549720E-19
2.200000E+03	5.804032E-17	3.682355E-19
2.240000E+03	6.033908E-17	3.828198E-19
2.280000E+03	6.288028E-17	3.989423E-19
2.320000E+03	6.566673E-17	4.166208E-19
2.360000E+03	6.870942E-17	4.359249E-19
2.400000E+03	7.203667E-17	4.570345E-19
2.440000E+03	7.564267E-17	4.799126E-19
2.480000E+03	7.954689E-17	5.046827E-19
2.520000E+03	8.375948E-17	5.314092E-19
2.560000E+03	8.828937E-17	5.601488E-19
2.600000E+03	9.314367E-17	5.909466E-19
2.640000E+03	9.833658E-17	6.238927E-19
2.680000E+03	1.038796E-16	6.590599E-19
2.720000E+03	1.097601E-16	6.963687E-19
2.760000E+03	1.159895E-16	7.358907E-19
2.800000E+03	1.225626E-16	7.775930E-19
2.840000E+03	1.294543E-16	8.213173E-19
2.880000E+03	1.366166E-16	8.667578E-19
2.920000E+03	1.439747E-16	9.134410E-19
2.960000E+03	1.514786E-16	9.610486E-19
3.000000E+03	1.590236E-16	1.008918E-18
3.010000E+03	1.609109E-16	1.020891E-18
3.020000E+03	1.627990E-16	1.032870E-18
3.030000E+03	1.646744E-16	1.044769E-18
3.040000E+03	1.665460E-16	1.056643E-18
3.050000E+03	1.684112E-16	1.068477E-18
3.060000E+03	1.702563E-16	1.080183E-18
3.070000E+03	1.721007E-16	1.091884E-18
3.080000E+03	1.739190E-16	1.103421E-18
3.090000E+03	1.757309E-16	1.114916E-18
3.100000E+03	1.775103E-16	1.126205E-18
3.110000E+03	1.792764E-16	1.137410E-18
3.120000E+03	1.810256E-16	1.148508E-18
3.130000E+03	1.827428E-16	1.159402E-18
3.140000E+03	1.844241E-16	1.170069E-18
3.150000E+03	1.860768E-16	1.180554E-18
3.160000E+03	1.876961E-16	1.190828E-18
3.170000E+03	1.892776E-16	1.200862E-18
3.180000E+03	1.908168E-16	1.210627E-18
3.190000E+03	1.923085E-16	1.220091E-18
3.200000E+03	1.937477E-16	1.229222E-18
3.210000E+03	1.951398E-16	1.238054E-18
3.220000E+03	1.964686E-16	1.246484E-18
3.230000E+03	1.977498E-16	1.254613E-18
3.240000E+03	1.989558E-16	1.262264E-18
3.250000E+03	2.001019E-16	1.269535E-18
3.260000E+03	2.011602E-16	1.276250E-18
3.270000E+03	2.021562E-16	1.282569E-18
3.280000E+03	2.030617E-16	1.288314E-18
3.290000E+03	2.038803E-16	1.293507E-18
3.300000E+03	2.046051E-16	1.298105E-18
3.310000E+03	2.052388E-16	1.302126E-18
3.320000E+03	2.057641E-16	1.305459E-18
3.330000E+03	2.061838E-16	1.308122E-18
3.340000E+03	2.065006E-16	1.310131E-18
3.350000E+03	2.066969E-16	1.311377E-18
3.360000E+03	2.067757E-16	1.311876E-18
3.370000E+03	2.067300E-16	1.311587E-18
3.380000E+03	2.065630E-16	1.310527E-18
3.390000E+03	2.062685E-16	1.308659E-18
3.400000E+03	2.058411E-16	1.305947E-18
3.410000E+03	2.052856E-16	1.302422E-18
3.420000E+03	2.045986E-16	1.298064E-18
3.430000E+03	2.037869E-16	1.292914E-18
3.440000E+03	2.028499E-16	1.286969E-18
3.450000E+03	2.017976E-16	1.280293E-18
3.460000E+03	2.006420E-16	1.272961E-18
3.470000E+03	1.993887E-16	1.265010E-18
3.480000E+03	1.980553E-16	1.256550E-18
3.490000E+03	1.966542E-16	1.247661E-18
3.500000E+03	1.952175E-16	1.238546E-18
3.510000E+03	1.937658E-16	1.229335E-18
3.520000E+03	1.923324E-16	1.220241E-18
3.530000E+03	1.909488E-16	1.211463E-18
3.540000E+03	1.896594E-16	1.203282E-18
3.550000E+03	1.885010E-16	1.195933E-18
3.560000E+03	1.875288E-16	1.189765E-18
3.570000E+03	1.867810E-16	1.185020E-18
3.580000E+03	1.863055E-16	1.182004E-18
3.590000E+03	1.861316E-16	1.180900E-18
3.600000E+03	1.862755E-16	1.181813E-18
3.610000E+03	1.866999E-16	1.184506E-18
3.620000E+03	1.873786E-16	1.188811E-18
3.630000E+03	1.882485E-16	1.194331E-18
3.640000E+03	1.892712E-16	1.200819E-18
3.650000E+03	1.903961E-16	1.207956E-18
3.660000E+03	1.915917E-16	1.215541E-18
3.670000E+03	1.928290E-16	1.223391E-18
3.680000E+03	1.940982E-16	1.231443E-18
3.690000E+03	1.953758E-16	1.239549E-18
3.700000E+03	1.966673E-16	1.247743E-18
3.710000E+03	1.979747E-16	1.256038E-18
3.720000E+03	1.993062E-16	1.264485E-18
3.730000E+03	2.006808E-16	1.273206E-18
3.740000E+03	2.021230E-16	1.282356E-18
3.750000E+03	2.036563E-16	1.292084E-18
3.760000E+03	2.053079E-16	1.302562E-18
3.770000E+03	2.071132E-16	1.314016E-18
3.780000E+03	2.091150E-16	1.326716E-18
3.790000E+03	2.113383E-16	1.340822E-18
3.800000E+03	2.138290E-16	1.356624E-18
3.810000E+03	2.166290E-16	1.374388E-18
3.820000E+03	2.197757E-16	1.394352E-18
3.830000E+03	2.233115E-16	1.416785E-18
3.840000E+03	2.272743E-16	1.441926E-18
3.850000E+03	2.317066E-16	1.470047E-18
3.860000E+03	2.366461E-16	1.501385E-18
3.870000E+03	2.421402E-16	1.536242E-18
3.880000E+03	2.482222E-16	1.574829E-18
3.890000E+03	2.549408E-16	1.617455E-18
3.900000E+03	2.623364E-16	1.664375E-18
3.910000E+03	2.704557E-16	1.715888E-18
3.920000E+03	2.793423E-16	1.772268E-18
3.930000E+03	2.890422E-16	1.833808E-18
3.940000E+03	2.995700E-16	1.900601E-18
3.950000E+03	3.108924E-16	1.972435E-18
3.960000E+03	3.229150E-16	2.048712E-18
3.968100E+03	2.790957E-16	1.770703E-18
3.969570E+03	2.802186E-16	1.777827E-18
3.971040E+03	2.833436E-16	1.797654E-18
3.972510E+03	2.855029E-16	1.811353E-18
3.973980E+03	2.876789E-16	1.825159E-18
3.975450E+03	2.902787E-16	1.841653E-18
3.976920E+03	2.923403E-16	1.854733E-18
3.978390E+03	2.922927E-16	1.854430E-18
3.979860E+03	2.956540E-16	1.875756E-18
3.981330E+03	2.998015E-16	1.902069E-18
3.982800E+03	3.033490E-16	1.924576E-18
3.984270E+03	3.043467E-16	1.930907E-18
3.985740E+03	3.008896E-16	1.908973E-18
3.987210E+03	3.003280E-16	1.905410E-18
3.988680E+03	3.006591E-16	1.907511E-18
3.990150E+03	3.008956E-16	1.909011E-18
3.991620E+03	2.997537E-16	1.901766E-18
3.993090E+03	2.997637E-16	1.901830E-18
3.994560E+03	3.020125E-16	1.916097E-18
3.996030E+03	3.053028E-16	1.936972E-18
3.997500E+03	3.080092E-16	1.954142E-18
3.998970E+03	3.131322E-16	1.986645E-18
4.000440E+03	3.167574E-16	2.009645E-18
4.001910E+03	3.213836E-16	2.038995E-18
4.003380E+03	3.285508E-16	2.084467E-18
4.004850E+03	3.328283E-16	2.111606E-18
4.006320E+03	3.391202E-16	2.151524E-18
4.007790E+03	3.435267E-16	2.179481E-18
4.009260E+03	3.502444E-16	2.222101E-18
4.010730E+03	3.572348E-16	2.266451E-18
4.012200E+03	3.622943E-16	2.298551E-18
4.013670E+03	3.690228E-16	2.341239E-18
4.015140E+03	3.756617E-16	2.383359E-18
4.016610E+03	3.778560E-16	2.397281E-18
4.018080E+03	3.784271E-16	2.400904E-18
4.019550E+03	3.848989E-16	2.441964E-18
4.021020E+03	3.943469E-16	2.501906E-18
4.022490E+03	4.022466E-16	2.552025E-18
4.023960E+03	4.084246E-16	2.591221E-18
4.025430E+03	4.149785E-16	2.632802E-18
4.026900E+03	4.227575E-16	2.682155E-18
4.028370E+03	4.254671E-16	2.699346E-18
4.029840E+03	4.280533E-16	2.715754E-18
4.031310E+03	4.338969E-16	2.752828E-18
4.032780E+03	4.409370E-16	2.797493E-18
4.034250E+03	4.470296E-16	2.836148E-18
4.035720E+03	4.517622E-16	2.866173E-18
4.037190E+03	4.580624E-16	2.906144E-18
4.038660E+03	4.628788E-16	2.936702E-18
4.040130E+03	4.659633E-16	2.956271E-18
4.041600E+03	4.737919E-16	3.005939E-18
4.043070E+03	4.819928E-16	3.057969E-18
4.044540E+03	4.851617E-16	3.078073E-18
4.046010E+03	4.925804E-16	3.125141E-18
4.047480E+03	5.006190E-16	3.176141E-18
4.048950E+03	5.055226E-16	3.207252E-18
4.050420E+03	5.046494E-16	3.201712E-18
4.051890E+03	5.069125E-16	3.216070E-18
4.053360E+03	5.117348E-16	3.246665E-18
4.054830E+03	5.156907E-16	3.271763E-18
4.056300E+03	5.181199E-16	3.287175E-18
4.057770E+03	5.180725E-16	3.286874E-18
4.059240E+03	5.168690E-16	3.279239E-18
4.060710E+03	5.170278E-16	3.280246E-18
4.062180E+03	5.159478E-16	3.273394E-18
4.063650E+03	5.195336E-16	3.296144E-18
4.065120E+03	5.227067E-16	3.316275E-18
4.066590E+03	5.224113E-16	3.314401E-18
4.068060E+03	5.214963E-16	3.308596E-18
4.069530E+03	5.211179E-16	3.306195E-18
4.071000E+03	5.183436E-16	3.288594E-18
4.072470E+03	5.157342E-16	3.272038E-18
4.073940E+03	5.160573E-16	3.274089E-18
4.075410E+03	5.141083E-16	3.261723E-18
4.076880E+03	5.117457E-16	3.246734E-18
4.078350E+03	5.102090E-16	3.236984E-18
4.079820E+03	5.104903E-16	3.238769E-18
4.081290E+03	5.070935E-16	3.217218E-18
4.082760E+03	5.029523E-16	3.190945E-18
4.084230E+03	5.000505E-16	3.172534E-18
4.085700E+03	4.972721E-16	3.154907E-18
4.087170E+03	4.984203E-16	3.162191E-18
4.088640E+03	4.976668E-16	3.157411E-18
4.090110E+03	4.918697E-16	3.120632E-18
4.091580E+03	4.844592E-16	3.073617E-18
4.093050E+03	4.778748E-16	3.031842E-18
4.094520E+03	4.749694E-16	3.013409E-18
4.095990E+03	4.721461E-16	2.995497E-18
4.097460E+03	4.685782E-16	2.972861E-18
4.098930E+03	4.602123E-16	2.919784E-18
4.100400E+03	4.530035E-16	2.874048E-18
4.101870E+03	4.495574E-16	2.852184E-18
4.103340E+03	4.425122E-16	2.807486E-18
4.104810E+03	4.351765E-16	2.760946E-18
4.106280E+03	4.306942E-16	2.732508E-18
4.107750E+03	4.246392E-16	2.694092E-18
4.109220E+03	4.187075E-16	2.656459E-18
4.110690E+03	4.134825E-16	2.623310E-18
4.112160E+03	4.120388E-16	2.614150E-18
4.113630E+03	4.151841E-16	2.634106E-18
4.115100E+03	4.147956E-16	2.631641E-18
4.116570E+03	4.103178E-16	2.603232E-18
4.118040E+03	4.067667E-16	2.580701E-18
4.119510E+03	4.012197E-16	2.545510E-18
4.120980E+03	3.945173E-16	2.502986E-18
