#wls	flux	fluxerr
1.600000E+03	1.396628E-18	6.440581E-20
1.640000E+03	1.393840E-18	6.410248E-20
1.680000E+03	1.390944E-18	6.379047E-20
1.720000E+03	1.387944E-18	6.346992E-20
1.760000E+03	1.385093E-18	6.315236E-20
1.800000E+03	1.381900E-18	6.281534E-20
1.840000E+03	1.378621E-18	6.247056E-20
1.880000E+03	1.375517E-18	6.212972E-20
1.920000E+03	1.372102E-18	6.177092E-20
1.960000E+03	1.368887E-18	6.141710E-20
2.000000E+03	1.365396E-18	6.104684E-20
2.040000E+03	1.362141E-18	6.068307E-20
2.080000E+03	1.358904E-18	6.031590E-20
2.120000E+03	1.355467E-18	5.993567E-20
2.160000E+03	1.352353E-18	5.956545E-20
2.200000E+03	1.349355E-18	5.919593E-20
2.240000E+03	1.346277E-18	5.881844E-20
2.280000E+03	1.343651E-18	5.845616E-20
2.320000E+03	1.341291E-18	5.810073E-20
2.360000E+03	1.339264E-18	5.775479E-20
2.400000E+03	1.337641E-18	5.742113E-20
2.440000E+03	1.336504E-18	5.710305E-20
2.480000E+03	1.335944E-18	5.680403E-20
2.520000E+03	1.336067E-18	5.652809E-20
2.560000E+03	1.336987E-18	5.627957E-20
2.600000E+03	1.338835E-18	5.606336E-20
2.640000E+03	1.341757E-18	5.588483E-20
2.680000E+03	1.345917E-18	5.574997E-20
2.720000E+03	1.351740E-18	5.567530E-20
2.760000E+03	1.358948E-18	5.564818E-20
2.800000E+03	1.368015E-18	5.568671E-20
2.840000E+03	1.379445E-18	5.580980E-20
2.880000E+03	1.393040E-18	5.600753E-20
2.920000E+03	1.409375E-18	5.630100E-20
2.960000E+03	1.429074E-18	5.671260E-20
3.000000E+03	1.452053E-18	5.723610E-20
3.010000E+03	1.458533E-18	5.739288E-20
3.020000E+03	1.465012E-18	5.754830E-20
3.030000E+03	1.472018E-18	5.772304E-20
3.040000E+03	1.479038E-18	5.789693E-20
3.050000E+03	1.486605E-18	5.809076E-20
3.060000E+03	1.494465E-18	5.829457E-20
3.070000E+03	1.502362E-18	5.849823E-20
3.080000E+03	1.510838E-18	5.872288E-20
3.090000E+03	1.519639E-18	5.895848E-20
3.100000E+03	1.528500E-18	5.919473E-20
3.110000E+03	1.537979E-18	5.945312E-20
3.120000E+03	1.547536E-18	5.971276E-20
3.130000E+03	1.557735E-18	5.999527E-20
3.140000E+03	1.568314E-18	6.029047E-20
3.150000E+03	1.579004E-18	6.058793E-20
3.160000E+03	1.590377E-18	6.090956E-20
3.170000E+03	1.602167E-18	6.124500E-20
