#wls	flux	fluxerr
1.600000E+03	9.186667E-17	8.327802E-17
1.640000E+03	9.507332E-17	8.587819E-17
1.680000E+03	9.855140E-17	8.867431E-17
1.720000E+03	1.023131E-16	9.166927E-17
1.760000E+03	1.063935E-16	9.488525E-17
1.800000E+03	1.108074E-16	9.832480E-17
1.840000E+03	1.156047E-16	1.020197E-16
1.880000E+03	1.207925E-16	1.059618E-16
1.920000E+03	1.264361E-16	1.101922E-16
1.960000E+03	1.325583E-16	1.147112E-16
2.000000E+03	1.391948E-16	1.195278E-16
2.040000E+03	1.463961E-16	1.246598E-16
2.080000E+03	1.542151E-16	1.301231E-16
2.120000E+03	1.626959E-16	1.359208E-16
2.160000E+03	1.718719E-16	1.420422E-16
2.200000E+03	1.818424E-16	1.485250E-16
2.240000E+03	1.926860E-16	1.553815E-16
2.280000E+03	2.046186E-16	1.627243E-16
2.320000E+03	2.177063E-16	1.705325E-16
2.360000E+03	2.320165E-16	1.787751E-16
2.400000E+03	2.476596E-16	1.874417E-16
2.440000E+03	2.647341E-16	1.964976E-16
2.480000E+03	2.834115E-16	2.059447E-16
2.520000E+03	3.038068E-16	2.157222E-16
2.560000E+03	3.260768E-16	2.257775E-16
2.600000E+03	3.503272E-16	2.359980E-16
2.640000E+03	3.766828E-16	2.462602E-16
2.680000E+03	4.052191E-16	2.563833E-16
2.720000E+03	4.360011E-16	2.661567E-16
2.760000E+03	4.690244E-16	2.753064E-16
2.800000E+03	5.041836E-16	2.834865E-16
2.840000E+03	5.413415E-16	2.903301E-16
2.880000E+03	5.801941E-16	2.953892E-16
2.920000E+03	6.204610E-16	2.982539E-16
2.960000E+03	6.620530E-16	2.986333E-16
3.000000E+03	7.047784E-16	2.962103E-16
3.010000E+03	7.156136E-16	2.951327E-16
3.020000E+03	7.264945E-16	2.938543E-16
3.030000E+03	7.374075E-16	2.923674E-16
3.040000E+03	7.483741E-16	2.906785E-16
3.050000E+03	7.593613E-16	2.887731E-16
3.060000E+03	7.703716E-16	2.866505E-16
3.070000E+03	7.813884E-16	2.843038E-16
3.080000E+03	7.924126E-16	2.817328E-16
3.090000E+03	8.034263E-16	2.789308E-16
3.100000E+03	8.144287E-16	2.758981E-16
3.110000E+03	8.254008E-16	2.726289E-16
3.120000E+03	8.363225E-16	2.691183E-16
3.130000E+03	8.471911E-16	2.653676E-16
3.140000E+03	8.579853E-16	2.613731E-16
3.150000E+03	8.687186E-16	2.571424E-16
3.160000E+03	8.793336E-16	2.526626E-16
3.170000E+03	8.898426E-16	2.479428E-16
3.180000E+03	9.002225E-16	2.429827E-16
3.190000E+03	9.104671E-16	2.377877E-16
3.200000E+03	9.205357E-16	2.323553E-16
3.210000E+03	9.304389E-16	2.266977E-16
3.220000E+03	9.401530E-16	2.208194E-16
3.230000E+03	9.496379E-16	2.147229E-16
3.240000E+03	9.589044E-16	2.084239E-16
3.250000E+03	9.679466E-16	2.019357E-16
3.260000E+03	9.767096E-16	1.952628E-16
3.270000E+03	9.852062E-16	1.884260E-16
3.280000E+03	9.934167E-16	1.814412E-16
3.290000E+03	1.001324E-15	1.743269E-16
3.300000E+03	1.008911E-15	1.671045E-16
3.310000E+03	1.016181E-15	1.598006E-16
3.320000E+03	1.023121E-15	1.524423E-16
3.330000E+03	1.029724E-15	1.450601E-16
3.340000E+03	1.035984E-15	1.376880E-16
3.350000E+03	1.041898E-15	1.303643E-16
3.360000E+03	1.047482E-15	1.231330E-16
3.370000E+03	1.052727E-15	1.160387E-16
3.380000E+03	1.057642E-15	1.091323E-16
3.390000E+03	1.062238E-15	1.024670E-16
3.400000E+03	1.066526E-15	9.609550E-17
3.410000E+03	1.070517E-15	9.006584E-17
