#wls	flux	fluxerr
1.592674E+03	3.091826E-04	2.735413E-05
1.632491E+03	3.153582E-04	2.753278E-05
1.672307E+03	3.199575E-04	2.755485E-05
1.712124E+03	3.225335E-04	2.738776E-05
1.751941E+03	3.225301E-04	2.699221E-05
1.791758E+03	3.195088E-04	2.634159E-05
1.831575E+03	3.128971E-04	2.540097E-05
1.871392E+03	3.023430E-04	2.415631E-05
1.911208E+03	2.876180E-04	2.260555E-05
1.951025E+03	2.688361E-04	2.077470E-05
1.990842E+03	2.465774E-04	1.872500E-05
2.030659E+03	2.221455E-04	1.656891E-05
2.070476E+03	1.975875E-04	1.446652E-05
2.110293E+03	1.751782E-04	1.258306E-05
2.150109E+03	1.566970E-04	1.103608E-05
2.189926E+03	1.436185E-04	9.911809E-06
2.229743E+03	1.371419E-04	9.269026E-06
2.269560E+03	1.382748E-04	9.146506E-06
2.309377E+03	1.480072E-04	9.575557E-06
2.349194E+03	1.677285E-04	1.060650E-05
2.389011E+03	1.996963E-04	1.233468E-05
2.428827E+03	2.471449E-04	1.490068E-05
2.468644E+03	3.141280E-04	1.847385E-05
2.508461E+03	4.050173E-04	2.321753E-05
2.548278E+03	5.238508E-04	2.925060E-05
2.588095E+03	6.743624E-04	3.665189E-05
2.627912E+03	8.599327E-04	4.546047E-05
2.667728E+03	1.080007E-03	5.549467E-05
2.707545E+03	1.328574E-03	6.630540E-05
2.747362E+03	1.597923E-03	7.739905E-05
2.787179E+03	1.881145E-03	8.836755E-05
2.826996E+03	2.172710E-03	9.890873E-05
2.866813E+03	2.468643E-03	1.088240E-04
2.906630E+03	2.767262E-03	1.180386E-04
2.946446E+03	3.069145E-03	1.265836E-04
2.986263E+03	3.377036E-03	1.345769E-04
2.996217E+03	3.455384E-03	1.365063E-04
3.006172E+03	3.534518E-03	1.384172E-04
3.016126E+03	3.614318E-03	1.403045E-04
3.026080E+03	3.695075E-03	1.421792E-04
3.036034E+03	3.776742E-03	1.440391E-04
3.045988E+03	3.859364E-03	1.458855E-04
3.055943E+03	3.943068E-03	1.477228E-04
3.065897E+03	4.027984E-03	1.495552E-04
3.075851E+03	4.114065E-03	1.513805E-04
3.085805E+03	4.201536E-03	1.532063E-04
3.095760E+03	4.290344E-03	1.550300E-04
3.105714E+03	4.380618E-03	1.568556E-04
3.115668E+03	4.472491E-03	1.586871E-04
3.125622E+03	4.565992E-03	1.605246E-04
3.135576E+03	4.661063E-03	1.623655E-04
3.145531E+03	4.758000E-03	1.642191E-04
3.155485E+03	4.856637E-03	1.660790E-04
