#wls	flux	fluxerr
1.597285E+03	2.832094E-05	2.002866E-06
1.637217E+03	2.896874E-05	2.042721E-06
1.677149E+03	2.965626E-05	2.084950E-06
1.717081E+03	3.039770E-05	2.130508E-06
1.757013E+03	3.118622E-05	2.178869E-06
1.796945E+03	3.203723E-05	2.231060E-06
1.836877E+03	3.295000E-05	2.286968E-06
1.876809E+03	3.392965E-05	2.346887E-06
1.916742E+03	3.498175E-05	2.411132E-06
1.956674E+03	3.610586E-05	2.479599E-06
1.996606E+03	3.732124E-05	2.553527E-06
2.036538E+03	3.862861E-05	2.632871E-06
2.076470E+03	4.003550E-05	2.718041E-06
2.116402E+03	4.154994E-05	2.809470E-06
2.156334E+03	4.318819E-05	2.908132E-06
2.196266E+03	4.494409E-05	3.013473E-06
2.236198E+03	4.683443E-05	3.126474E-06
2.276131E+03	4.886887E-05	3.247617E-06
2.316063E+03	5.106630E-05	3.377975E-06
2.355995E+03	5.341857E-05	3.516812E-06
2.395927E+03	5.594369E-05	3.665109E-06
2.435859E+03	5.866061E-05	3.823876E-06
2.475791E+03	6.156704E-05	3.992711E-06
2.515723E+03	6.465675E-05	4.170956E-06
2.555655E+03	6.795452E-05	4.359938E-06
2.595588E+03	7.143514E-05	4.557750E-06
2.635520E+03	7.511656E-05	4.765254E-06
2.675452E+03	7.897310E-05	4.980519E-06
2.715384E+03	8.298237E-05	5.201853E-06
2.755316E+03	8.711119E-05	5.426917E-06
2.795248E+03	9.131349E-05	5.652616E-06
2.835180E+03	9.551059E-05	5.873919E-06
2.875112E+03	9.965623E-05	6.087903E-06
2.915044E+03	1.036349E-04	6.287519E-06
2.954977E+03	1.073455E-04	6.466783E-06
2.994909E+03	1.106091E-04	6.615245E-06
3.004892E+03	1.113248E-04	6.645790E-06
3.014875E+03	1.120207E-04	6.674946E-06
3.024858E+03	1.126745E-04	6.701384E-06
3.034841E+03	1.132833E-04	6.724951E-06
3.044824E+03	1.138445E-04	6.745497E-06
3.054807E+03	1.143348E-04	6.761671E-06
3.064790E+03	1.147918E-04	6.775707E-06
3.074773E+03	1.151923E-04	6.786256E-06
3.084756E+03	1.155336E-04	6.793173E-06
3.094739E+03	1.158127E-04	6.796299E-06
3.104722E+03	1.160062E-04	6.794293E-06
3.114705E+03	1.161523E-04	6.789411E-06
3.124688E+03	1.162278E-04	6.780317E-06
3.134671E+03	1.162299E-04	6.766872E-06
3.144654E+03	1.161560E-04	6.748950E-06
3.154637E+03	1.159828E-04	6.725228E-06
3.164620E+03	1.157489E-04	6.697974E-06
3.174603E+03	1.154323E-04	6.665942E-06
3.184586E+03	1.150348E-04	6.629265E-06
3.194569E+03	1.145633E-04	6.588368E-06
3.204552E+03	1.140099E-04	6.542826E-06
3.214535E+03	1.134350E-04	6.496125E-06
3.224518E+03	1.128476E-04	6.448793E-06
3.234501E+03	1.122838E-04	6.402891E-06
3.244484E+03	1.117832E-04	6.360664E-06
3.254467E+03	1.113874E-04	6.324456E-06
3.264450E+03	1.111175E-04	6.295424E-06
3.274433E+03	1.110472E-04	6.277680E-06
3.284416E+03	1.111807E-04	6.271397E-06
3.294400E+03	1.115334E-04	6.277358E-06
3.304383E+03	1.121117E-04	6.295843E-06
3.314366E+03	1.129119E-04	6.326560E-06
3.324349E+03	1.139036E-04	6.367721E-06
3.334332E+03	1.151133E-04	6.420735E-06
3.344315E+03	1.165066E-04	6.483596E-06
3.354298E+03	1.180677E-04	6.555363E-06
3.364281E+03	1.197800E-04	6.635045E-06
3.374264E+03	1.216247E-04	6.721543E-06
3.384247E+03	1.235569E-04	6.812326E-06
3.394230E+03	1.255874E-04	6.907951E-06
3.404213E+03	1.276480E-04	7.004639E-06
3.414196E+03	1.296806E-04	7.099192E-06
3.424179E+03	1.316186E-04	7.187977E-06
3.434162E+03	1.333901E-04	7.267116E-06
3.444145E+03	1.349247E-04	7.332848E-06
3.454128E+03	1.361439E-04	7.381001E-06
3.464111E+03	1.370674E-04	7.412775E-06
3.474094E+03	1.376698E-04	7.426910E-06
3.484077E+03	1.379767E-04	7.424915E-06
3.494060E+03	1.380433E-04	7.409865E-06
3.504043E+03	1.379433E-04	7.385817E-06
3.514026E+03	1.377552E-04	7.357018E-06
