#wls	flux	fluxerr
1.597285E+03	2.063383E-05	1.648299E-06
1.637217E+03	2.114181E-05	1.684209E-06
1.677149E+03	2.166886E-05	1.721286E-06
1.717081E+03	2.221613E-05	1.759596E-06
1.757013E+03	2.278411E-05	1.799150E-06
1.796945E+03	2.337044E-05	1.839735E-06
1.836877E+03	2.397109E-05	1.881009E-06
1.876809E+03	2.458476E-05	1.922843E-06
1.916742E+03	2.519586E-05	1.963999E-06
1.956674E+03	2.580304E-05	2.004358E-06
1.996606E+03	2.640746E-05	2.043998E-06
2.036538E+03	2.702696E-05	2.084282E-06
2.076470E+03	2.771169E-05	2.129033E-06
2.116402E+03	2.852407E-05	2.182954E-06
2.156334E+03	2.954501E-05	2.252077E-06
2.196266E+03	3.082333E-05	2.339892E-06
2.236198E+03	3.234123E-05	2.444779E-06
2.276131E+03	3.406902E-05	2.564236E-06
2.316063E+03	3.594842E-05	2.693646E-06
2.355995E+03	3.795828E-05	2.831231E-06
2.395927E+03	4.006721E-05	2.974475E-06
2.435859E+03	4.228258E-05	3.123760E-06
2.475791E+03	4.458887E-05	3.277776E-06
2.515723E+03	4.700274E-05	3.437575E-06
2.555655E+03	4.950774E-05	3.601774E-06
2.595588E+03	5.211793E-05	3.771218E-06
2.635520E+03	5.481722E-05	3.944550E-06
2.675452E+03	5.758181E-05	4.119886E-06
2.715384E+03	6.041122E-05	4.297030E-06
2.755316E+03	6.326660E-05	4.473073E-06
2.795248E+03	6.610951E-05	4.645197E-06
2.835180E+03	6.887831E-05	4.809031E-06
2.875112E+03	7.153654E-05	4.962064E-06
2.915044E+03	7.399967E-05	5.098540E-06
2.954977E+03	7.618387E-05	5.212921E-06
2.994909E+03	7.799552E-05	5.299176E-06
3.004892E+03	7.837161E-05	5.315139E-06
3.014875E+03	7.873062E-05	5.329806E-06
3.024858E+03	7.904294E-05	5.341183E-06
3.034841E+03	7.933541E-05	5.351096E-06
3.044824E+03	7.957926E-05	5.357615E-06
3.054807E+03	7.980228E-05	5.362626E-06
3.064790E+03	7.997436E-05	5.364115E-06
3.074773E+03	8.012241E-05	5.363904E-06
3.084756E+03	8.021647E-05	5.360000E-06
3.094739E+03	8.028385E-05	5.354243E-06
3.104722E+03	8.029497E-05	5.344676E-06
3.114705E+03	8.027786E-05	5.333182E-06
3.124688E+03	8.020355E-05	5.317851E-06
3.134671E+03	8.010105E-05	5.300625E-06
3.144654E+03	7.994276E-05	5.279692E-06
3.154637E+03	7.975913E-05	5.257082E-06
3.164620E+03	7.952471E-05	5.231131E-06
3.174603E+03	7.927246E-05	5.204023E-06
3.184586E+03	7.898020E-05	5.174312E-06
3.194569E+03	7.868413E-05	5.144382E-06
3.204552E+03	7.836604E-05	5.113046E-06
3.214535E+03	7.806564E-05	5.082901E-06
3.224518E+03	7.776839E-05	5.052993E-06
3.234501E+03	7.751656E-05	5.026063E-06
3.244484E+03	7.729739E-05	5.001269E-06
3.254467E+03	7.715325E-05	4.981331E-06
3.264450E+03	7.707049E-05	4.965340E-06
3.274433E+03	7.708882E-05	4.955823E-06
3.284416E+03	7.719073E-05	4.951616E-06
3.294400E+03	7.741122E-05	4.954923E-06
3.304383E+03	7.772726E-05	4.964222E-06
3.314366E+03	7.816823E-05	4.981347E-06
3.324349E+03	7.870535E-05	5.004413E-06
3.334332E+03	7.936288E-05	5.034917E-06
3.344315E+03	8.010636E-05	5.070625E-06
3.354298E+03	8.095545E-05	5.112740E-06
3.364281E+03	8.187032E-05	5.158707E-06
3.374264E+03	8.286627E-05	5.209456E-06
3.384247E+03	8.389776E-05	5.262094E-06
3.394230E+03	8.497577E-05	5.317291E-06
3.404213E+03	8.604964E-05	5.371862E-06
3.414196E+03	8.712780E-05	5.426332E-06
3.424179E+03	8.815715E-05	5.477399E-06
3.434162E+03	8.914793E-05	5.525716E-06
3.444145E+03	9.005040E-05	5.568222E-06
3.454128E+03	9.088266E-05	5.606074E-06
3.464111E+03	9.160461E-05	5.636834E-06
3.474094E+03	9.224739E-05	5.662460E-06
3.484077E+03	9.278361E-05	5.681311E-06
3.494060E+03	9.325770E-05	5.696150E-06
3.504043E+03	9.365299E-05	5.705986E-06
3.514026E+03	9.402226E-05	5.714063E-06
3.524009E+03	9.435312E-05	5.719643E-06
3.533992E+03	9.469959E-05	5.726008E-06
3.543975E+03	9.504660E-05	5.732242E-06
3.553958E+03	9.544302E-05	5.741284E-06
3.563941E+03	9.586602E-05	5.751739E-06
3.573924E+03	9.635574E-05	5.765999E-06
3.583907E+03	9.687916E-05	5.782058E-06
3.593890E+03	9.746631E-05	5.801690E-06
3.603873E+03	9.807284E-05	5.822228E-06
3.613856E+03	9.871851E-05	5.844833E-06
3.623839E+03	9.934914E-05	5.866287E-06
3.633823E+03	9.997685E-05	5.887310E-06
3.643806E+03	1.005579E-04	5.905332E-06
3.653789E+03	1.010457E-04	5.917647E-06
3.663772E+03	1.014461E-04	5.924637E-06
3.673755E+03	1.016927E-04	5.922488E-06
3.683738E+03	1.017931E-04	5.911701E-06
3.693721E+03	1.016860E-04	5.888811E-06
3.703704E+03	1.013896E-04	5.854958E-06
3.713687E+03	1.008592E-04	5.807677E-06
3.723670E+03	1.001351E-04	5.749392E-06
3.733653E+03	9.920095E-05	5.679258E-06
3.743636E+03	9.812690E-05	5.601394E-06
3.753619E+03	9.692796E-05	5.516724E-06
3.763602E+03	9.570153E-05	5.430840E-06
3.773585E+03	9.448571E-05	5.345914E-06
3.783568E+03	9.339189E-05	5.268227E-06
3.793551E+03	9.246600E-05	5.200300E-06
3.803534E+03	9.181786E-05	5.148209E-06
3.813517E+03	9.148669E-05	5.114005E-06
3.823500E+03	9.156963E-05	5.102939E-06
3.833483E+03	9.208988E-05	5.116088E-06
3.843466E+03	9.312568E-05	5.157557E-06
3.853449E+03	9.467870E-05	5.227171E-06
3.863432E+03	9.680446E-05	5.327713E-06
3.873415E+03	9.947743E-05	5.457483E-06
3.883398E+03	1.027256E-04	5.617721E-06
3.893381E+03	1.064894E-04	5.804865E-06
3.903364E+03	1.107633E-04	6.018352E-06
3.913347E+03	1.154476E-04	6.252492E-06
3.923330E+03	1.205018E-04	6.504882E-06
3.933313E+03	1.257866E-04	6.767816E-06
3.943296E+03	1.312337E-04	7.037510E-06
3.953279E+03	1.366767E-04	7.304969E-06
3.963262E+03	1.420386E-04	7.566080E-06
