#wls	flux	fluxerr
1.597285E+03	7.937713E-16	1.757450E-18
1.637217E+03	8.119698E-16	1.797743E-18
1.677149E+03	8.288320E-16	1.835077E-18
1.717081E+03	8.444525E-16	1.869661E-18
1.757013E+03	8.584196E-16	1.900585E-18
1.796945E+03	8.704344E-16	1.927186E-18
1.836877E+03	8.794261E-16	1.947094E-18
1.876809E+03	8.849319E-16	1.959284E-18
1.916742E+03	8.859953E-16	1.961639E-18
1.956674E+03	8.818865E-16	1.952542E-18
1.996606E+03	8.729647E-16	1.932788E-18
2.036538E+03	8.609137E-16	1.906107E-18
2.076470E+03	8.500327E-16	1.882016E-18
2.116402E+03	8.462407E-16	1.873620E-18
2.156334E+03	8.554719E-16	1.894058E-18
2.196266E+03	8.805682E-16	1.949623E-18
2.236198E+03	9.196063E-16	2.036055E-18
2.276131E+03	9.683739E-16	2.144029E-18
2.316063E+03	1.021528E-15	2.261713E-18
2.355995E+03	1.075126E-15	2.380382E-18
2.395927E+03	1.126109E-15	2.493261E-18
2.435859E+03	1.172807E-15	2.596653E-18
2.475791E+03	1.214239E-15	2.688384E-18
2.515723E+03	1.249782E-15	2.767076E-18
2.555655E+03	1.278972E-15	2.831703E-18
2.595588E+03	1.301243E-15	2.881011E-18
2.635520E+03	1.316226E-15	2.914181E-18
2.675452E+03	1.323591E-15	2.930484E-18
2.715384E+03	1.323387E-15	2.930029E-18
2.755316E+03	1.315289E-15	2.912093E-18
2.795248E+03	1.299588E-15	2.877325E-18
2.835180E+03	1.276351E-15	2.825868E-18
2.875112E+03	1.245987E-15	2.758631E-18
2.915044E+03	1.209234E-15	2.677245E-18
2.954977E+03	1.167557E-15	2.584955E-18
2.994909E+03	1.123286E-15	2.486917E-18
3.004892E+03	1.112242E-15	2.462460E-18
3.014875E+03	1.101250E-15	2.438118E-18
3.024858E+03	1.090483E-15	2.414272E-18
3.034841E+03	1.079926E-15	2.390893E-18
3.044824E+03	1.069755E-15	2.368366E-18
3.054807E+03	1.060134E-15	2.347058E-18
3.064790E+03	1.051042E-15	2.326922E-18
3.074773E+03	1.042664E-15	2.308364E-18
3.084756E+03	1.035094E-15	2.291594E-18
3.094739E+03	1.028343E-15	2.276639E-18
3.104722E+03	1.022715E-15	2.264167E-18
3.114705E+03	1.018149E-15	2.254048E-18
3.124688E+03	1.014965E-15	2.246987E-18
3.134671E+03	1.013128E-15	2.242909E-18
3.144654E+03	1.012976E-15	2.242557E-18
3.154637E+03	1.014584E-15	2.246104E-18
3.164620E+03	1.018130E-15	2.253940E-18
3.174603E+03	1.023885E-15	2.266665E-18
3.184586E+03	1.031954E-15	2.284511E-18
3.194569E+03	1.042622E-15	2.308109E-18
3.204552E+03	1.056005E-15	2.337715E-18
3.214535E+03	1.072478E-15	2.374162E-18
3.224518E+03	1.092071E-15	2.417512E-18
3.234501E+03	1.115065E-15	2.468390E-18
3.244484E+03	1.141736E-15	2.527404E-18
3.254467E+03	1.172159E-15	2.594723E-18
3.264450E+03	1.206478E-15	2.670661E-18
