#wls	flux	fluxerr
1.600000E+03	6.114875E-17	4.684258E-18
1.640000E+03	6.243329E-17	4.766561E-18
1.680000E+03	6.381778E-17	4.855409E-18
1.720000E+03	6.529855E-17	4.950411E-18
1.760000E+03	6.687159E-17	5.051151E-18
1.800000E+03	6.856922E-17	5.159946E-18
1.840000E+03	7.038924E-17	5.276483E-18
1.880000E+03	7.234202E-17	5.401386E-18
1.920000E+03	7.443886E-17	5.535328E-18
1.960000E+03	7.669208E-17	5.679039E-18
2.000000E+03	7.912919E-17	5.834344E-18
2.040000E+03	8.173697E-17	6.000035E-18
2.080000E+03	8.455995E-17	6.179134E-18
2.120000E+03	8.758554E-17	6.370439E-18
2.160000E+03	9.086275E-17	6.577213E-18
2.200000E+03	9.439626E-17	6.799445E-18
2.240000E+03	9.818954E-17	7.037020E-18
2.280000E+03	1.022988E-16	7.293562E-18
2.320000E+03	1.067492E-16	7.570392E-18
2.360000E+03	1.115272E-16	7.866062E-18
2.400000E+03	1.166751E-16	8.183012E-18
2.440000E+03	1.222161E-16	8.522293E-18
2.480000E+03	1.281950E-16	8.886383E-18
2.520000E+03	1.345873E-16	9.272895E-18
2.560000E+03	1.414554E-16	9.685403E-18
2.600000E+03	1.487870E-16	1.012226E-17
2.640000E+03	1.565835E-16	1.058277E-17
2.680000E+03	1.648067E-16	1.106351E-17
2.720000E+03	1.734884E-16	1.156579E-17
2.760000E+03	1.825889E-16	1.208613E-17
2.800000E+03	1.919775E-16	1.261507E-17
2.840000E+03	2.015862E-16	1.314750E-17
2.880000E+03	2.112820E-16	1.367422E-17
2.920000E+03	2.209309E-16	1.418624E-17
2.960000E+03	2.302435E-16	1.466491E-17
3.000000E+03	2.390467E-16	1.509958E-17
3.010000E+03	2.411087E-16	1.519771E-17
3.020000E+03	2.431567E-16	1.529427E-17
3.030000E+03	2.451022E-16	1.538370E-17
3.040000E+03	2.470258E-16	1.547110E-17
3.050000E+03	2.488379E-16	1.555088E-17
3.060000E+03	2.506213E-16	1.562823E-17
3.070000E+03	2.522855E-16	1.569753E-17
3.080000E+03	2.538710E-16	1.576135E-17
3.090000E+03	2.554205E-16	1.582236E-17
3.100000E+03	2.568438E-16	1.587500E-17
3.110000E+03	2.582298E-16	1.592480E-17
3.120000E+03	2.594898E-16	1.596631E-17
3.130000E+03	2.607165E-16	1.600528E-17
3.140000E+03	2.618231E-16	1.603641E-17
3.150000E+03	2.629070E-16	1.606568E-17
3.160000E+03	2.638848E-16	1.608804E-17
3.170000E+03	2.648590E-16	1.610975E-17
3.180000E+03	2.657506E-16	1.612602E-17
3.190000E+03	2.666674E-16	1.614341E-17
3.200000E+03	2.675349E-16	1.615741E-17
3.210000E+03	2.684663E-16	1.617487E-17
3.220000E+03	2.693904E-16	1.619147E-17
3.230000E+03	2.704241E-16	1.621422E-17
3.240000E+03	2.714974E-16	1.623888E-17
3.250000E+03	2.727281E-16	1.627247E-17
3.260000E+03	2.740441E-16	1.631063E-17
3.270000E+03	2.755607E-16	1.636016E-17
3.280000E+03	2.771997E-16	1.641634E-17
3.290000E+03	2.790699E-16	1.648554E-17
3.300000E+03	2.810834E-16	1.656246E-17
3.310000E+03	2.833397E-16	1.665291E-17
3.320000E+03	2.857378E-16	1.675083E-17
3.330000E+03	2.883663E-16	1.686135E-17
3.340000E+03	2.911090E-16	1.697758E-17
3.350000E+03	2.940432E-16	1.710396E-17
3.360000E+03	2.970375E-16	1.723277E-17
3.370000E+03	3.001587E-16	1.736785E-17
3.380000E+03	3.033147E-16	1.750382E-17
3.390000E+03	3.064075E-16	1.763503E-17
3.400000E+03	3.094949E-16	1.776481E-17
3.410000E+03	3.124216E-16	1.788426E-17
3.420000E+03	3.152476E-16	1.799690E-17
3.430000E+03	3.178208E-16	1.809409E-17
3.440000E+03	3.202120E-16	1.817998E-17
3.450000E+03	3.222812E-16	1.824673E-17
3.460000E+03	3.241190E-16	1.829959E-17
3.470000E+03	3.256608E-16	1.833505E-17
3.480000E+03	3.268527E-16	1.835020E-17
3.490000E+03	3.278211E-16	1.835230E-17
3.500000E+03	3.284773E-16	1.833650E-17
3.510000E+03	3.289671E-16	1.831106E-17
3.520000E+03	3.292161E-16	1.827194E-17
3.530000E+03	3.293803E-16	1.822788E-17
3.540000E+03	3.294460E-16	1.817818E-17
3.550000E+03	3.293975E-16	1.812201E-17
3.560000E+03	3.293845E-16	1.806765E-17
3.570000E+03	3.293229E-16	1.801048E-17
3.580000E+03	3.293457E-16	1.795777E-17
3.590000E+03	3.294035E-16	1.790681E-17
3.600000E+03	3.294306E-16	1.785401E-17
3.610000E+03	3.295123E-16	1.780399E-17
3.620000E+03	3.294907E-16	1.774824E-17
3.630000E+03	3.294247E-16	1.768996E-17
3.640000E+03	3.291419E-16	1.761995E-17
3.650000E+03	3.286950E-16	1.754113E-17
3.660000E+03	3.279712E-16	1.744757E-17
3.670000E+03	3.268654E-16	1.733385E-17
3.680000E+03	3.254538E-16	1.720420E-17
3.690000E+03	3.236045E-16	1.705180E-17
3.700000E+03	3.214294E-16	1.688278E-17
3.710000E+03	3.188961E-16	1.669560E-17
3.720000E+03	3.159999E-16	1.649020E-17
3.730000E+03	3.129252E-16	1.627636E-17
3.740000E+03	3.096647E-16	1.605381E-17
3.750000E+03	3.064488E-16	1.583454E-17
3.760000E+03	3.033664E-16	1.562312E-17
3.770000E+03	3.005230E-16	1.542489E-17
3.780000E+03	2.981872E-16	1.525348E-17
3.790000E+03	2.964253E-16	1.511201E-17
3.800000E+03	2.955057E-16	1.501382E-17
3.810000E+03	2.955375E-16	1.496399E-17
3.820000E+03	2.966202E-16	1.496706E-17
3.830000E+03	2.989904E-16	1.503437E-17
3.840000E+03	3.026653E-16	1.516610E-17
3.850000E+03	3.078462E-16	1.537161E-17
3.860000E+03	3.145041E-16	1.564867E-17
3.870000E+03	3.227932E-16	1.600413E-17
3.880000E+03	3.326769E-16	1.643530E-17
3.890000E+03	3.440746E-16	1.693737E-17
3.900000E+03	3.570373E-16	1.751202E-17
3.910000E+03	3.713315E-16	1.814699E-17
3.920000E+03	3.869163E-16	1.883956E-17
3.930000E+03	4.034424E-16	1.957208E-17
3.940000E+03	4.207730E-16	2.033742E-17
3.950000E+03	4.385230E-16	2.111657E-17
3.960000E+03	4.562578E-16	2.188846E-17
3.970000E+03	4.737499E-16	2.264218E-17
3.980000E+03	4.904548E-16	2.335195E-17
3.990000E+03	5.061652E-16	2.400833E-17
4.000000E+03	5.203751E-16	2.458794E-17
4.010000E+03	5.329777E-16	2.508656E-17
4.020000E+03	5.436771E-16	2.549119E-17
4.030000E+03	5.522538E-16	2.579260E-17
4.040000E+03	5.588593E-16	2.599900E-17
4.050000E+03	5.633618E-16	2.610535E-17
4.060000E+03	5.660931E-16	2.612814E-17
4.070000E+03	5.670772E-16	2.606943E-17
4.080000E+03	5.667809E-16	2.595156E-17
4.090000E+03	5.653276E-16	2.578088E-17
4.100000E+03	5.632480E-16	2.558213E-17
4.110000E+03	5.606940E-16	2.536254E-17
4.120000E+03	5.581886E-16	2.514593E-17
4.130000E+03	5.558492E-16	2.493756E-17
4.140000E+03	5.541371E-16	2.475794E-17
4.150000E+03	5.530933E-16	2.460856E-17
4.160000E+03	5.530877E-16	2.450544E-17
4.170000E+03	5.540652E-16	2.444557E-17
4.180000E+03	5.562968E-16	2.444032E-17
4.190000E+03	5.596294E-16	2.448228E-17
4.200000E+03	5.642417E-16	2.457864E-17
4.210000E+03	5.698909E-16	2.471814E-17
4.220000E+03	5.766796E-16	2.490464E-17
4.230000E+03	5.842913E-16	2.512389E-17
4.240000E+03	5.927729E-16	2.537744E-17
4.250000E+03	6.017558E-16	2.564909E-17
4.260000E+03	6.112592E-16	2.593937E-17
4.270000E+03	6.208900E-16	2.623139E-17
4.280000E+03	6.306729E-16	2.652612E-17
4.290000E+03	6.402256E-16	2.680746E-17
4.300000E+03	6.496142E-16	2.707832E-17
4.310000E+03	6.585032E-16	2.732485E-17
4.320000E+03	6.669204E-16	2.754851E-17
4.330000E+03	6.749433E-16	2.775275E-17
4.340000E+03	6.823547E-16	2.792891E-17
4.350000E+03	6.894409E-16	2.808901E-17
4.360000E+03	6.960746E-16	2.822808E-17
4.370000E+03	7.026385E-16	2.836182E-17
4.380000E+03	7.090881E-16	2.848852E-17
4.390000E+03	7.157733E-16	2.862222E-17
4.400000E+03	7.230877E-16	2.877846E-17
4.410000E+03	7.310870E-16	2.895913E-17
4.420000E+03	7.403188E-16	2.918542E-17
4.430000E+03	7.508165E-16	2.945796E-17
4.440000E+03	7.629422E-16	2.979019E-17
4.450000E+03	7.770006E-16	3.019305E-17
4.460000E+03	7.928200E-16	3.065883E-17
4.470000E+03	8.105070E-16	3.119062E-17
4.480000E+03	8.300491E-16	3.178691E-17
4.490000E+03	8.508713E-16	3.242473E-17
4.500000E+03	8.726522E-16	3.309118E-17
4.510000E+03	8.949262E-16	3.376816E-17
4.520000E+03	9.166371E-16	3.441571E-17
4.530000E+03	9.370613E-16	3.500713E-17
4.540000E+03	9.554293E-16	3.551454E-17
4.550000E+03	9.705000E-16	3.589318E-17
4.560000E+03	9.815942E-16	3.611991E-17
4.570000E+03	9.882005E-16	3.617823E-17
4.580000E+03	9.895417E-16	3.604235E-17
4.590000E+03	9.856071E-16	3.571483E-17
4.600000E+03	9.765126E-16	3.520281E-17
4.610000E+03	9.628083E-16	3.452888E-17
4.620000E+03	9.447861E-16	3.370605E-17
