#wls	flux	fluxerr
1.600000E+03	4.834474E-17	5.573082E-17
1.640000E+03	4.947646E-17	5.671490E-17
1.680000E+03	5.068663E-17	5.774657E-17
1.720000E+03	5.199093E-17	5.883795E-17
1.760000E+03	5.337777E-17	5.996943E-17
1.800000E+03	5.487363E-17	6.116352E-17
1.840000E+03	5.646718E-17	6.239925E-17
1.880000E+03	5.818727E-17	6.369922E-17
1.920000E+03	6.002283E-17	6.504059E-17
1.960000E+03	6.200542E-17	6.644561E-17
2.000000E+03	6.412420E-17	6.788887E-17
2.040000E+03	6.641375E-17	6.939160E-17
2.080000E+03	6.887568E-17	7.093761E-17
2.120000E+03	7.151070E-17	7.250790E-17
2.160000E+03	7.435825E-17	7.412016E-17
2.200000E+03	7.742091E-17	7.575111E-17
2.240000E+03	8.071410E-17	7.738717E-17
2.280000E+03	8.425355E-17	7.901119E-17
2.320000E+03	8.805493E-17	8.060181E-17
2.360000E+03	9.213348E-17	8.213274E-17
2.400000E+03	9.650342E-17	8.357199E-17
2.440000E+03	1.011772E-16	8.488115E-17
2.480000E+03	1.061645E-16	8.601459E-17
2.520000E+03	1.114710E-16	8.691879E-17
2.560000E+03	1.170971E-16	8.753188E-17
2.600000E+03	1.230354E-16	8.778340E-17
2.640000E+03	1.292924E-16	8.761030E-17
2.680000E+03	1.357937E-16	8.689521E-17
2.720000E+03	1.425169E-16	8.556262E-17
2.760000E+03	1.494252E-16	8.353437E-17
2.800000E+03	1.563807E-16	8.069032E-17
2.840000E+03	1.632970E-16	7.696636E-17
2.880000E+03	1.700632E-16	7.231630E-17
2.920000E+03	1.764464E-16	6.668740E-17
2.960000E+03	1.823021E-16	6.012726E-17
3.000000E+03	1.873282E-16	5.270536E-17
3.010000E+03	1.884461E-16	5.074089E-17
3.020000E+03	1.894935E-16	4.873794E-17
3.030000E+03	1.904320E-16	4.669270E-17
3.040000E+03	1.913246E-16	4.462720E-17
3.050000E+03	1.921332E-16	4.253845E-17
3.060000E+03	1.928188E-16	4.042557E-17
3.070000E+03	1.934454E-16	3.831038E-17
3.080000E+03	1.939742E-16	3.619313E-17
3.090000E+03	1.943661E-16	3.407646E-17
3.100000E+03	1.946857E-16	3.198251E-17
3.110000E+03	1.948941E-16	2.991553E-17
3.120000E+03	1.949523E-16	2.788240E-17
3.130000E+03	1.949256E-16	2.590644E-17
3.140000E+03	1.947406E-16	2.399234E-17
3.150000E+03	1.944627E-16	2.216419E-17
3.160000E+03	1.940532E-16	2.043293E-17
3.170000E+03	1.934743E-16	1.881026E-17
3.180000E+03	1.927931E-16	1.731712E-17
3.190000E+03	1.919789E-16	1.596127E-17
3.200000E+03	1.910099E-16	1.474716E-17
3.210000E+03	1.899754E-16	1.368305E-17
3.220000E+03	1.888750E-16	1.276434E-17
3.230000E+03	1.877250E-16	1.198201E-17
3.240000E+03	1.866524E-16	1.132970E-17
3.250000E+03	1.856900E-16	1.079145E-17
3.260000E+03	1.849073E-16	1.035126E-17
3.270000E+03	1.843394E-16	9.991424E-18
3.280000E+03	1.841085E-16	9.700800E-18
3.290000E+03	1.842219E-16	9.464013E-18
3.300000E+03	1.846723E-16	9.268653E-18
3.310000E+03	1.855360E-16	9.110321E-18
3.320000E+03	1.867747E-16	8.981775E-18
3.330000E+03	1.883382E-16	8.878630E-18
3.340000E+03	1.902717E-16	8.803365E-18
3.350000E+03	1.925186E-16	8.754212E-18
3.360000E+03	1.950197E-16	8.730246E-18
3.370000E+03	1.978169E-16	8.734707E-18
3.380000E+03	2.008462E-16	8.763667E-18
3.390000E+03	2.040347E-16	8.812169E-18
3.400000E+03	2.074015E-16	8.879357E-18
3.410000E+03	2.108355E-16	8.958088E-18
3.420000E+03	2.142035E-16	9.041337E-18
3.430000E+03	2.174718E-16	9.127428E-18
3.440000E+03	2.204848E-16	9.209261E-18
3.450000E+03	2.231266E-16	9.282434E-18
3.460000E+03	2.252661E-16	9.342559E-18
3.470000E+03	2.269356E-16	9.390730E-18
3.480000E+03	2.280911E-16	9.424956E-18
3.490000E+03	2.287322E-16	9.444942E-18
3.500000E+03	2.290288E-16	9.455625E-18
3.510000E+03	2.290605E-16	9.458504E-18
3.520000E+03	2.289138E-16	9.456450E-18
3.530000E+03	2.287905E-16	9.457042E-18
3.540000E+03	2.287585E-16	9.463841E-18
3.550000E+03	2.289061E-16	9.482583E-18
3.560000E+03	2.292535E-16	9.515704E-18
3.570000E+03	2.299206E-16	9.570170E-18
3.580000E+03	2.308875E-16	9.646667E-18
3.590000E+03	2.321146E-16	9.742240E-18
3.600000E+03	2.336675E-16	9.856854E-18
3.610000E+03	2.354679E-16	9.982347E-18
3.620000E+03	2.374135E-16	1.010717E-17
3.630000E+03	2.395122E-16	1.022488E-17
3.640000E+03	2.416417E-16	1.032537E-17
3.650000E+03	2.437203E-16	1.040180E-17
3.660000E+03	2.456209E-16	1.044854E-17
3.670000E+03	2.473374E-16	1.046838E-17
3.680000E+03	2.487218E-16	1.046011E-17
3.690000E+03	2.496089E-16	1.042458E-17
3.700000E+03	2.499424E-16	1.036870E-17
3.710000E+03	2.495095E-16	1.029161E-17
3.720000E+03	2.481034E-16	1.019220E-17
3.730000E+03	2.457074E-16	1.007485E-17
3.740000E+03	2.422693E-16	9.937305E-18
3.750000E+03	2.378313E-16	9.778177E-18
3.760000E+03	2.326603E-16	9.603013E-18
3.770000E+03	2.269958E-16	9.413111E-18
3.780000E+03	2.211753E-16	9.214035E-18
3.790000E+03	2.155105E-16	9.012277E-18
3.800000E+03	2.104227E-16	8.820268E-18
3.810000E+03	2.061955E-16	8.647482E-18
3.820000E+03	2.030787E-16	8.504767E-18
3.830000E+03	2.013905E-16	8.407140E-18
3.840000E+03	2.013104E-16	8.365301E-18
3.850000E+03	2.029798E-16	8.388626E-18
3.860000E+03	2.065963E-16	8.487285E-18
3.870000E+03	2.122169E-16	8.665520E-18
3.880000E+03	2.198957E-16	8.927469E-18
3.890000E+03	2.295803E-16	9.271537E-18
3.900000E+03	2.412708E-16	9.698333E-18
3.910000E+03	2.547766E-16	1.020053E-17
3.920000E+03	2.698001E-16	1.076400E-17
3.930000E+03	2.860819E-16	1.137547E-17
3.940000E+03	3.031507E-16	1.201303E-17
3.950000E+03	3.204787E-16	1.265077E-17
3.960000E+03	3.376715E-16	1.326927E-17
3.970000E+03	3.541725E-16	1.384565E-17
3.980000E+03	3.694653E-16	1.436047E-17
3.990000E+03	3.832898E-16	1.480845E-17
4.000000E+03	3.952700E-16	1.518269E-17
4.010000E+03	4.051172E-16	1.547822E-17
4.020000E+03	4.128453E-16	1.570186E-17
4.030000E+03	4.183331E-16	1.585352E-17
4.040000E+03	4.215261E-16	1.592930E-17
4.050000E+03	4.226630E-16	1.593458E-17
4.060000E+03	4.218416E-16	1.586959E-17
4.070000E+03	4.192474E-16	1.573585E-17
