#wls	flux	fluxerr	mangling_mask
3.310000E+03	1.820779E-14	1.150945E-15	3.595890E-15
3.312000E+03	1.815458E-14	1.148985E-15	3.595750E-15
3.314000E+03	1.811792E-14	1.147445E-15	3.595610E-15
3.316000E+03	1.805537E-14	1.145269E-15	3.595470E-15
3.318000E+03	1.799786E-14	1.143227E-15	3.595329E-15
3.320000E+03	1.797091E-14	1.141946E-15	3.595188E-15
3.322000E+03	1.793641E-14	1.140483E-15	3.595047E-15
3.324000E+03	1.796769E-14	1.140636E-15	3.594905E-15
3.326000E+03	1.799826E-14	1.140768E-15	3.594763E-15
3.328000E+03	1.797094E-14	1.139486E-15	3.594620E-15
3.330000E+03	1.793357E-14	1.137962E-15	3.594477E-15
3.332000E+03	1.786995E-14	1.135810E-15	3.594334E-15
3.334000E+03	1.783940E-14	1.134464E-15	3.594190E-15
3.336000E+03	1.780598E-14	1.133253E-15	3.594046E-15
3.338000E+03	1.777472E-14	1.133803E-15	3.593902E-15
3.340000E+03	1.776430E-14	1.121276E-15	3.593757E-15
3.342000E+03	1.780347E-14	1.184144E-15	3.593612E-15
3.344000E+03	1.782647E-14	1.132580E-15	3.593466E-15
3.346000E+03	1.784910E-14	1.117069E-15	3.593320E-15
3.348000E+03	1.784406E-14	1.046759E-15	3.593174E-15
3.350000E+03	1.785088E-14	1.043785E-15	3.593027E-15
3.352000E+03	1.790835E-14	1.050002E-15	3.592880E-15
3.354000E+03	1.793995E-14	1.036684E-15	3.592733E-15
3.356000E+03	1.797406E-14	1.037739E-15	3.592585E-15
3.358000E+03	1.801499E-14	1.052318E-15	3.592437E-15
3.360000E+03	1.806526E-14	1.063835E-15	3.592288E-15
3.362000E+03	1.812845E-14	1.069158E-15	3.592139E-15
3.364000E+03	1.818553E-14	1.069369E-15	3.591990E-15
3.366000E+03	1.821817E-14	1.055675E-15	3.591840E-15
3.368000E+03	1.824363E-14	1.094905E-15	3.591690E-15
3.370000E+03	1.827555E-14	1.097980E-15	3.591539E-15
3.372000E+03	1.832937E-14	1.104365E-15	3.591388E-15
3.374000E+03	1.838965E-14	1.131740E-15	3.591237E-15
3.376000E+03	1.846177E-14	1.217944E-15	3.591085E-15
3.378000E+03	1.852886E-14	1.224281E-15	3.590933E-15
3.380000E+03	1.858660E-14	1.223893E-15	3.590781E-15
3.382000E+03	1.862746E-14	1.249275E-15	3.590628E-15
3.384000E+03	1.867262E-14	1.251639E-15	3.590475E-15
3.386000E+03	1.871850E-14	1.262952E-15	3.590321E-15
3.388000E+03	1.878196E-14	1.286386E-15	3.590167E-15
3.390000E+03	1.883715E-14	1.293548E-15	3.590012E-15
3.392000E+03	1.885645E-14	1.241360E-15	3.589858E-15
3.394000E+03	1.879676E-14	1.227182E-15	3.589702E-15
3.396000E+03	1.879235E-14	1.227455E-15	3.589547E-15
3.398000E+03	1.881164E-14	1.238074E-15	3.589391E-15
3.400000E+03	1.880508E-14	1.249884E-15	3.589234E-15
3.402000E+03	1.880928E-14	1.259130E-15	3.589078E-15
3.404000E+03	1.877687E-14	1.253046E-15	3.588920E-15
3.406000E+03	1.875739E-14	1.249257E-15	3.588763E-15
3.408000E+03	1.875477E-14	1.230145E-15	3.588605E-15
3.410000E+03	1.873169E-14	1.212826E-15	3.588447E-15
3.412000E+03	1.872010E-14	1.222470E-15	3.588288E-15
3.414000E+03	1.870635E-14	1.231356E-15	3.588129E-15
3.416000E+03	1.876113E-14	1.207755E-15	3.587969E-15
3.418000E+03	1.878469E-14	1.179760E-15	3.587809E-15
3.420000E+03	1.876556E-14	1.189471E-15	3.587649E-15
3.422000E+03	1.880525E-14	1.172900E-15	3.587488E-15
3.424000E+03	1.887077E-14	1.114274E-15	3.587327E-15
3.426000E+03	1.893987E-14	9.773689E-16	3.587165E-15
3.428000E+03	1.896341E-14	9.654272E-16	3.587003E-15
3.430000E+03	1.896363E-14	9.608292E-16	3.586841E-15
3.432000E+03	1.897711E-14	9.465455E-16	3.586678E-15
3.434000E+03	1.901750E-14	9.495925E-16	3.586515E-15
3.436000E+03	1.906289E-14	9.457020E-16	3.586352E-15
3.438000E+03	1.911940E-14	9.286209E-16	3.586188E-15
3.440000E+03	1.914721E-14	9.672998E-16	3.586023E-15
3.442000E+03	1.910868E-14	9.602142E-16	3.585858E-15
3.444000E+03	1.909776E-14	9.651836E-16	3.585693E-15
3.446000E+03	1.913345E-14	9.966461E-16	3.585528E-15
3.448000E+03	1.917272E-14	9.865702E-16	3.585362E-15
3.450000E+03	1.923637E-14	9.748147E-16	3.585195E-15
3.452000E+03	1.930215E-14	9.618942E-16	3.585029E-15
3.454000E+03	1.936363E-14	9.620119E-16	3.584861E-15
3.456000E+03	1.940825E-14	9.614904E-16	3.584694E-15
3.458000E+03	1.940949E-14	9.616103E-16	3.584526E-15
3.460000E+03	1.941395E-14	9.937317E-16	3.584357E-15
