#wls	flux	fluxerr
1.590679E+03	9.777642E-05	1.607775E-05
1.630446E+03	1.004907E-04	1.650863E-05
1.670213E+03	1.033062E-04	1.695478E-05
1.709980E+03	1.061938E-04	1.741135E-05
1.749746E+03	1.091834E-04	1.788312E-05
1.789513E+03	1.122755E-04	1.837007E-05
1.829280E+03	1.154701E-04	1.887207E-05
1.869047E+03	1.187669E-04	1.938897E-05
1.908814E+03	1.221339E-04	1.991540E-05
1.948581E+03	1.256326E-04	2.046130E-05
1.988348E+03	1.291985E-04	2.101596E-05
2.028115E+03	1.328933E-04	2.158933E-05
2.067882E+03	1.366831E-04	2.217571E-05
2.107649E+03	1.405646E-04	2.277444E-05
2.147416E+03	1.445678E-04	2.339019E-05
2.187183E+03	1.486557E-04	2.401681E-05
2.226950E+03	1.528236E-04	2.465335E-05
2.266717E+03	1.571000E-04	2.530428E-05
2.306484E+03	1.614453E-04	2.596298E-05
2.346251E+03	1.658874E-04	2.663378E-05
2.386018E+03	1.704543E-04	2.732096E-05
2.425785E+03	1.750688E-04	2.801194E-05
2.465552E+03	1.797574E-04	2.871075E-05
2.505319E+03	1.845466E-04	2.942141E-05
2.545086E+03	1.893914E-04	3.013653E-05
2.584853E+03	1.943171E-04	3.085992E-05
2.624620E+03	1.993131E-04	3.158964E-05
2.664387E+03	2.044042E-04	3.232937E-05
2.704154E+03	2.095421E-04	3.307124E-05
2.743921E+03	2.147505E-04	3.381875E-05
2.783688E+03	2.200526E-04	3.457526E-05
2.823455E+03	2.253985E-04	3.533265E-05
2.863222E+03	2.308465E-04	3.609979E-05
2.902988E+03	2.363819E-04	3.687407E-05
2.942755E+03	2.420255E-04	3.765840E-05
2.982522E+03	2.477252E-04	3.844430E-05
2.992464E+03	2.491897E-04	3.864577E-05
3.002406E+03	2.506405E-04	3.884466E-05
3.012348E+03	2.521137E-04	3.904652E-05
3.022289E+03	2.535727E-04	3.924570E-05
3.032231E+03	2.550533E-04	3.944775E-05
3.042173E+03	2.565194E-04	3.964705E-05
3.052115E+03	2.580065E-04	3.984910E-05
3.062056E+03	2.595145E-04	4.005388E-05
3.071998E+03	2.610429E-04	4.026130E-05
