#wls	flux	fluxerr
1.600000E+03	1.517069E-16	1.360706E-17
1.640000E+03	1.528316E-16	1.359038E-17
1.680000E+03	1.540670E-16	1.357940E-17
1.720000E+03	1.554870E-16	1.358022E-17
1.760000E+03	1.570516E-16	1.358886E-17
1.800000E+03	1.588434E-16	1.361194E-17
1.840000E+03	1.608906E-16	1.365118E-17
1.880000E+03	1.632870E-16	1.371370E-17
1.920000E+03	1.659502E-16	1.379162E-17
1.960000E+03	1.690454E-16	1.389764E-17
2.000000E+03	1.726221E-16	1.403451E-17
2.040000E+03	1.767353E-16	1.420511E-17
2.080000E+03	1.813801E-16	1.440735E-17
2.120000E+03	1.868089E-16	1.465930E-17
2.160000E+03	1.928937E-16	1.494850E-17
2.200000E+03	1.998274E-16	1.528750E-17
2.240000E+03	2.077416E-16	1.568334E-17
2.280000E+03	2.165602E-16	1.612701E-17
2.320000E+03	2.264701E-16	1.662901E-17
2.360000E+03	2.374404E-16	1.718323E-17
2.400000E+03	2.495690E-16	1.779274E-17
2.440000E+03	2.629458E-16	1.845957E-17
2.480000E+03	2.774935E-16	1.917364E-17
2.520000E+03	2.932701E-16	1.993437E-17
2.560000E+03	3.103237E-16	2.074010E-17
2.600000E+03	3.286065E-16	2.158260E-17
2.640000E+03	3.482304E-16	2.246404E-17
2.680000E+03	3.690378E-16	2.336895E-17
2.720000E+03	3.912196E-16	2.430414E-17
2.760000E+03	4.146003E-16	2.525316E-17
2.800000E+03	4.392744E-16	2.621644E-17
2.840000E+03	4.652420E-16	2.718839E-17
2.880000E+03	4.926978E-16	2.817455E-17
2.920000E+03	5.214348E-16	2.915697E-17
2.960000E+03	5.517379E-16	3.014564E-17
3.000000E+03	5.835792E-16	3.113242E-17
3.010000E+03	5.918111E-16	3.137972E-17
3.020000E+03	6.000946E-16	3.162401E-17
3.030000E+03	6.085309E-16	3.187056E-17
3.040000E+03	6.171174E-16	3.211907E-17
3.050000E+03	6.257468E-16	3.236383E-17
3.060000E+03	6.344157E-16	3.260463E-17
3.070000E+03	6.433300E-16	3.285193E-17
3.080000E+03	6.522770E-16	3.309469E-17
3.090000E+03	6.613578E-16	3.333798E-17
3.100000E+03	6.705686E-16	3.358147E-17
3.110000E+03	6.799052E-16	3.382482E-17
3.120000E+03	6.893637E-16	3.406771E-17
3.130000E+03	6.989393E-16	3.430978E-17
3.140000E+03	7.086273E-16	3.455069E-17
3.150000E+03	7.184227E-16	3.479008E-17
