#wls	flux	fluxerr
1.600000E+03	2.523268E-15	5.378879E-16
1.640000E+03	2.558615E-15	4.947539E-16
1.680000E+03	2.592201E-15	4.503225E-16
1.720000E+03	2.624016E-15	4.049281E-16
1.760000E+03	2.653970E-15	3.589427E-16
1.800000E+03	2.682033E-15	3.128107E-16
1.840000E+03	2.708178E-15	2.670570E-16
1.880000E+03	2.732064E-15	2.222934E-16
1.920000E+03	2.753243E-15	1.793196E-16
1.960000E+03	2.770561E-15	1.392339E-16
2.000000E+03	2.782354E-15	1.037916E-16
2.040000E+03	2.786400E-15	7.603731E-17
2.080000E+03	2.781114E-15	6.037737E-17
2.120000E+03	2.768864E-15	5.718316E-17
2.160000E+03	2.755093E-15	5.818703E-17
2.200000E+03	2.748112E-15	5.789806E-17
2.240000E+03	2.755896E-15	5.795414E-17
2.280000E+03	2.785381E-15	6.354217E-17
2.320000E+03	2.840074E-15	7.517973E-17
2.360000E+03	2.921258E-15	8.874890E-17
2.400000E+03	3.029674E-15	1.005609E-16
2.440000E+03	3.164761E-15	1.080243E-16
2.480000E+03	3.324714E-15	1.093357E-16
2.520000E+03	3.506417E-15	1.037159E-16
2.560000E+03	3.705274E-15	9.291399E-17
2.600000E+03	3.916544E-15	8.531427E-17
2.640000E+03	4.137984E-15	9.727276E-17
2.680000E+03	4.365359E-15	1.328262E-16
2.720000E+03	4.594530E-15	1.820244E-16
2.760000E+03	4.824863E-15	2.373015E-16
2.800000E+03	5.056936E-15	2.943825E-16
2.840000E+03	5.291594E-15	3.504256E-16
2.880000E+03	5.529371E-15	4.031724E-16
2.920000E+03	5.770815E-15	4.506692E-16
2.960000E+03	6.015923E-15	4.911184E-16
3.000000E+03	6.264527E-15	5.228752E-16
3.010000E+03	6.327217E-15	5.292811E-16
3.020000E+03	6.390079E-15	5.350274E-16
3.030000E+03	6.453096E-15	5.400927E-16
3.040000E+03	6.516251E-15	5.444566E-16
3.050000E+03	6.579598E-15	5.481058E-16
3.060000E+03	6.642974E-15	5.510097E-16
3.070000E+03	6.706507E-15	5.531633E-16
3.080000E+03	6.770108E-15	5.545445E-16
3.090000E+03	6.833759E-15	5.551387E-16
3.100000E+03	6.897444E-15	5.549327E-16
3.110000E+03	6.961146E-15	5.539147E-16
3.120000E+03	7.024778E-15	5.520688E-16
3.130000E+03	7.088396E-15	5.493924E-16
3.140000E+03	7.151914E-15	5.458734E-16
3.150000E+03	7.215318E-15	5.415070E-16
3.160000E+03	7.278522E-15	5.362855E-16
3.170000E+03	7.341587E-15	5.302140E-16
3.180000E+03	7.404357E-15	5.232840E-16
3.190000E+03	7.466895E-15	5.155055E-16
3.200000E+03	7.529047E-15	5.068756E-16
3.210000E+03	7.590877E-15	4.974096E-16
3.220000E+03	7.652307E-15	4.871156E-16
3.230000E+03	7.713188E-15	4.760009E-16
3.240000E+03	7.773589E-15	4.640898E-16
3.250000E+03	7.833434E-15	4.514011E-16
3.260000E+03	7.892580E-15	4.379537E-16
3.270000E+03	7.951029E-15	4.237791E-16
3.280000E+03	8.008710E-15	4.089090E-16
3.290000E+03	8.065558E-15	3.933799E-16
3.300000E+03	8.121436E-15	3.772306E-16
3.310000E+03	8.176352E-15	3.605120E-16
3.320000E+03	8.230106E-15	3.432718E-16
3.330000E+03	8.282777E-15	3.255769E-16
3.340000E+03	8.334171E-15	3.074900E-16
3.350000E+03	8.384236E-15	2.890885E-16
3.360000E+03	8.432922E-15	2.704599E-16
3.370000E+03	8.480050E-15	2.516991E-16
3.380000E+03	8.525516E-15	2.329187E-16
3.390000E+03	8.569360E-15	2.142528E-16
3.400000E+03	8.611432E-15	1.958523E-16
3.410000E+03	8.651735E-15	1.779005E-16
3.420000E+03	8.690096E-15	1.606131E-16
3.430000E+03	8.726641E-15	1.442575E-16
3.440000E+03	8.761275E-15	1.291509E-16
3.450000E+03	8.794226E-15	1.156710E-16
3.460000E+03	8.825595E-15	1.042286E-16
3.470000E+03	8.855694E-15	9.520860E-17
3.478000E+03	8.782923E-15	3.636000E-16
3.479470E+03	8.761554E-15	3.630143E-16
3.480940E+03	8.738186E-15	3.623922E-16
3.482410E+03	8.719033E-15	3.618523E-16
3.483880E+03	8.699548E-15	3.613076E-16
3.485350E+03	8.677730E-15	3.607203E-16
3.486820E+03	8.655801E-15	3.601328E-16
3.488290E+03	8.635868E-15	3.595846E-16
3.489760E+03	8.621040E-15	3.591336E-16
3.491230E+03	8.609097E-15	3.587377E-16
3.492700E+03	8.598374E-15	3.583653E-16
3.494170E+03	8.579881E-15	3.578491E-16
3.495640E+03	8.563163E-15	3.573672E-16
3.497110E+03	8.547665E-15	3.569092E-16
3.498580E+03	8.532166E-15	3.564524E-16
3.500050E+03	8.522661E-15	3.561069E-16
3.501520E+03	8.518927E-15	3.558680E-16
3.502990E+03	8.512973E-15	3.555886E-16
3.504460E+03	8.506685E-15	3.550869E-16
3.505930E+03	8.503949E-15	3.518301E-16
3.507400E+03	8.499880E-15	3.440220E-16
3.508870E+03	8.501362E-15	3.379041E-16
3.510340E+03	8.506285E-15	3.325338E-16
3.511810E+03	8.503659E-15	3.329006E-16
3.513280E+03	8.503586E-15	3.380815E-16
3.514750E+03	8.508952E-15	3.396942E-16
3.516220E+03	8.511099E-15	3.491395E-16
3.517690E+03	8.514800E-15	3.500514E-16
3.519160E+03	8.522609E-15	3.498788E-16
3.520630E+03	8.529530E-15	3.494660E-16
3.522100E+03	8.536562E-15	3.490383E-16
3.523570E+03	8.550144E-15	3.492835E-16
3.525040E+03	8.569723E-15	3.489007E-16
3.526510E+03	8.592189E-15	3.499335E-16
3.527980E+03	8.615876E-15	3.503092E-16
3.529450E+03	8.636456E-15	3.516455E-16
3.530920E+03	8.660367E-15	3.414152E-16
3.532390E+03	8.687943E-15	3.398683E-16
3.533860E+03	8.719295E-15	3.402989E-16
3.535330E+03	8.749537E-15	3.402434E-16
3.536800E+03	8.787331E-15	3.405052E-16
3.538270E+03	8.822906E-15	3.391123E-16
3.539740E+03	8.857926E-15	3.334506E-16
3.541210E+03	8.893391E-15	3.198572E-16
3.542680E+03	8.931412E-15	3.158060E-16
3.544150E+03	8.967101E-15	3.191815E-16
3.545620E+03	8.998905E-15	3.202008E-16
3.547090E+03	9.033707E-15	3.216529E-16
3.548560E+03	9.068067E-15	3.238693E-16
3.550030E+03	9.103871E-15	3.278690E-16
3.551500E+03	9.140565E-15	3.261435E-16
3.552970E+03	9.175815E-15	3.174325E-16
3.554440E+03	9.207291E-15	3.181128E-16
3.555910E+03	9.231991E-15	3.184684E-16
3.557380E+03	9.248584E-15	3.201961E-16
3.558850E+03	9.269399E-15	3.199197E-16
3.560320E+03	9.287769E-15	3.242857E-16
3.561790E+03	9.301142E-15	3.349877E-16
3.563260E+03	9.311627E-15	3.284076E-16
3.564730E+03	9.323556E-15	3.242626E-16
3.566200E+03	9.330375E-15	3.181387E-16
3.567670E+03	9.330196E-15	3.144085E-16
3.569140E+03	9.339792E-15	3.146408E-16
3.570610E+03	9.349166E-15	3.139144E-16
3.572080E+03	9.350541E-15	3.152895E-16
3.573550E+03	9.349695E-15	3.216339E-16
3.575020E+03	9.354402E-15	3.230985E-16
3.576490E+03	9.361887E-15	3.219776E-16
3.577960E+03	9.360040E-15	3.210075E-16
3.579430E+03	9.356193E-15	3.185458E-16
3.580900E+03	9.363011E-15	3.223456E-16
3.582370E+03	9.364718E-15	3.233914E-16
3.583840E+03	9.359981E-15	3.249700E-16
3.585310E+03	9.358909E-15	3.250388E-16
3.586780E+03	9.358727E-15	3.258095E-16
3.588250E+03	9.358544E-15	3.227544E-16
3.589720E+03	9.361250E-15	3.199207E-16
3.591190E+03	9.369289E-15	3.200629E-16
3.592660E+03	9.375105E-15	3.183184E-16
3.594130E+03	9.371810E-15	3.139651E-16
3.595600E+03	9.369181E-15	3.128199E-16
3.597070E+03	9.372108E-15	3.139385E-16
3.598540E+03	9.377146E-15	3.130335E-16
3.600010E+03	9.385629E-15	3.102347E-16
3.601480E+03	9.387333E-15	3.103233E-16
3.602950E+03	9.381702E-15	3.088067E-16
3.604420E+03	9.385183E-15	3.115539E-16
3.605890E+03	9.392665E-15	3.134820E-16
3.607360E+03	9.399480E-15	3.115721E-16
3.608830E+03	9.406184E-15	3.116685E-16
3.610300E+03	9.414333E-15	3.077370E-16
3.611770E+03	9.421036E-15	2.958490E-16
3.613240E+03	9.422294E-15	2.959693E-16
3.614710E+03	9.421773E-15	2.949697E-16
3.616180E+03	9.412916E-15	2.923048E-16
3.617650E+03	9.404836E-15	2.918951E-16
3.619120E+03	9.396089E-15	2.923104E-16
3.620590E+03	9.388342E-15	2.927007E-16
3.622060E+03	9.381038E-15	2.916633E-16
3.623530E+03	9.369288E-15	2.846255E-16
3.625000E+03	9.362762E-15	2.820210E-16
3.626470E+03	9.355568E-15	2.821756E-16
3.627940E+03	9.346262E-15	2.967943E-16
3.629410E+03	9.322170E-15	2.965459E-16
3.630880E+03	9.303191E-15	2.905267E-16
3.632350E+03	9.287102E-15	2.864271E-16
3.633820E+03	9.264897E-15	2.824247E-16
3.635290E+03	9.243804E-15	2.805322E-16
3.636760E+03	9.224599E-15	2.764094E-16
3.638230E+03	9.202502E-15	2.774471E-16
3.639700E+03	9.179294E-15	2.762530E-16
3.641170E+03	9.149636E-15	2.740955E-16
3.642640E+03	9.115085E-15	2.723078E-16
3.644110E+03	9.077864E-15	2.715156E-16
3.645580E+03	9.041198E-15	2.725707E-16
3.647050E+03	9.003419E-15	2.773096E-16
3.648520E+03	8.972976E-15	2.787468E-16
3.649990E+03	8.948092E-15	2.784603E-16
3.651460E+03	8.916868E-15	2.786787E-16
3.652930E+03	8.875970E-15	2.793582E-16
3.654400E+03	8.838296E-15	2.818389E-16
3.655870E+03	8.801620E-15	2.821477E-16
3.657340E+03	8.760718E-15	2.813653E-16
3.658810E+03	8.725707E-15	2.811809E-16
3.660280E+03	8.687915E-15	2.847483E-16
3.661750E+03	8.644896E-15	2.815002E-16
3.663220E+03	8.607880E-15	2.801756E-16
3.664690E+03	8.571752E-15	2.792139E-16
3.666160E+03	8.533065E-15	2.757607E-16
3.667630E+03	8.502716E-15	2.774477E-16
3.669100E+03	8.483487E-15	2.777471E-16
3.670570E+03	8.467371E-15	2.848063E-16
3.672040E+03	8.454256E-15	2.851262E-16
3.673510E+03	8.454486E-15	2.845256E-16
3.674980E+03	8.462500E-15	2.912962E-16
3.676450E+03	8.471070E-15	2.900735E-16
3.677920E+03	8.484200E-15	2.707530E-16
3.679390E+03	8.499220E-15	2.696344E-16
3.680860E+03	8.523360E-15	2.721704E-16
3.682330E+03	8.558177E-15	2.677592E-16
3.683800E+03	8.600336E-15	2.659661E-16
3.685270E+03	8.641827E-15	2.643447E-16
3.686740E+03	8.692329E-15	2.608080E-16
3.688210E+03	8.749060E-15	2.618890E-16
3.689680E+03	8.819918E-15	2.635991E-16
3.691150E+03	8.892446E-15	2.670233E-16
3.692620E+03	8.969535E-15	2.681695E-16
3.694090E+03	9.048740E-15	2.711893E-16
3.695560E+03	9.133953E-15	2.828363E-16
3.697030E+03	9.229402E-15	2.805805E-16
3.698500E+03	9.326520E-15	2.814939E-16
3.699970E+03	9.429648E-15	2.911061E-16
3.701440E+03	9.528885E-15	3.107253E-16
3.702910E+03	9.627902E-15	3.228958E-16
3.704380E+03	9.734708E-15	3.247238E-16
3.705850E+03	9.833395E-15	3.294314E-16
3.707320E+03	9.932752E-15	3.339434E-16
3.708790E+03	1.004112E-14	3.346319E-16
3.710260E+03	1.014682E-14	3.329060E-16
3.711730E+03	1.025331E-14	3.364987E-16
3.713200E+03	1.036524E-14	3.378235E-16
3.714670E+03	1.047207E-14	3.391562E-16
3.716140E+03	1.057611E-14	3.417145E-16
3.717610E+03	1.068182E-14	3.442784E-16
3.719080E+03	1.079433E-14	3.493655E-16
3.720550E+03	1.090550E-14	3.414016E-16
3.722020E+03	1.101133E-14	3.403005E-16
3.723490E+03	1.111672E-14	3.504652E-16
3.724960E+03	1.122723E-14	3.465733E-16
3.726430E+03	1.133195E-14	3.472591E-16
3.727900E+03	1.142444E-14	3.492846E-16
3.729370E+03	1.152583E-14	3.513462E-16
3.730840E+03	1.162611E-14	3.528051E-16
3.732310E+03	1.171416E-14	3.644425E-16
3.733780E+03	1.180109E-14	3.709852E-16
3.735250E+03	1.189136E-14	3.751079E-16
3.736720E+03	1.197274E-14	3.897135E-16
3.738190E+03	1.205077E-14	4.055956E-16
3.739660E+03	1.212547E-14	4.097252E-16
3.741130E+03	1.219127E-14	4.096298E-16
3.742600E+03	1.225373E-14	4.090778E-16
3.744070E+03	1.231285E-14	4.076663E-16
3.745540E+03	1.237531E-14	4.029326E-16
3.747010E+03	1.243444E-14	4.034730E-16
3.748480E+03	1.248689E-14	4.053370E-16
3.749950E+03	1.253377E-14	4.031146E-16
3.751420E+03	1.257287E-14	3.970655E-16
3.752890E+03	1.261308E-14	3.895047E-16
