#wls	flux	fluxerr
1.573796E+03	2.298701E-03	1.456490E-05
1.613141E+03	2.349526E-03	1.488694E-05
1.652486E+03	2.404876E-03	1.523764E-05
1.691831E+03	2.466146E-03	1.562586E-05
1.731176E+03	2.532988E-03	1.604938E-05
1.770521E+03	2.607000E-03	1.651832E-05
1.809866E+03	2.688936E-03	1.703749E-05
1.849211E+03	2.780621E-03	1.761842E-05
1.888556E+03	2.880791E-03	1.825311E-05
1.927900E+03	2.992176E-03	1.895885E-05
1.967245E+03	3.115238E-03	1.973860E-05
2.006590E+03	3.250000E-03	2.059247E-05
2.045935E+03	3.394654E-03	2.150902E-05
2.085280E+03	3.551356E-03	2.250190E-05
2.124625E+03	3.714225E-03	2.353386E-05
2.163970E+03	3.882596E-03	2.460068E-05
2.203315E+03	4.054082E-03	2.568725E-05
2.242660E+03	4.221944E-03	2.675085E-05
2.282005E+03	4.384680E-03	2.778196E-05
2.321350E+03	4.536931E-03	2.874664E-05
2.360694E+03	4.676378E-03	2.963020E-05
2.400039E+03	4.801061E-03	3.042021E-05
2.439384E+03	4.906520E-03	3.108842E-05
2.478729E+03	4.991533E-03	3.162707E-05
2.518074E+03	5.055493E-03	3.203233E-05
2.557419E+03	5.097388E-03	3.229778E-05
2.596764E+03	5.120172E-03	3.244214E-05
2.636109E+03	5.124271E-03	3.246811E-05
2.675454E+03	5.116572E-03	3.241933E-05
2.714799E+03	5.099848E-03	3.231337E-05
2.754144E+03	5.081031E-03	3.219414E-05
2.793488E+03	5.065816E-03	3.209773E-05
2.832833E+03	5.061725E-03	3.207181E-05
2.872178E+03	5.071712E-03	3.213509E-05
2.911523E+03	5.103608E-03	3.233719E-05
2.950868E+03	5.162080E-03	3.270767E-05
2.960704E+03	5.181742E-03	3.283225E-05
2.970541E+03	5.203099E-03	3.296758E-05
2.980377E+03	5.227126E-03	3.311982E-05
2.990213E+03	5.253879E-03	3.328933E-05
3.000049E+03	5.282556E-03	3.347103E-05
3.009885E+03	5.313235E-03	3.366542E-05
3.019722E+03	5.347762E-03	3.388418E-05
3.029558E+03	5.384464E-03	3.411673E-05
3.039394E+03	5.424304E-03	3.436916E-05
3.049230E+03	5.467387E-03	3.464214E-05
3.059067E+03	5.513802E-03	3.493624E-05
3.068903E+03	5.563658E-03	3.525213E-05
3.078739E+03	5.617076E-03	3.559059E-05
3.088575E+03	5.674174E-03	3.595238E-05
3.098411E+03	5.735084E-03	3.633831E-05
3.108248E+03	5.799946E-03	3.674929E-05
3.118084E+03	5.868896E-03	3.718616E-05
3.127920E+03	5.942935E-03	3.765529E-05
3.137756E+03	6.021380E-03	3.815232E-05
3.147593E+03	6.105247E-03	3.868372E-05
3.157429E+03	6.193880E-03	3.924531E-05
3.167265E+03	6.288300E-03	3.984357E-05
3.177101E+03	6.387888E-03	4.047457E-05
3.186937E+03	6.493685E-03	4.114491E-05
3.196774E+03	6.605917E-03	4.185603E-05
3.206610E+03	6.723993E-03	4.260418E-05
3.216446E+03	6.848993E-03	4.339620E-05
3.226282E+03	6.982029E-03	4.423913E-05
3.236119E+03	7.121686E-03	4.512401E-05
3.245955E+03	7.269956E-03	4.606348E-05
3.255791E+03	7.425433E-03	4.704860E-05
3.265627E+03	7.590148E-03	4.809226E-05
3.275464E+03	7.764447E-03	4.919664E-05
3.285300E+03	7.946947E-03	5.035299E-05
3.295136E+03	8.140637E-03	5.158024E-05
3.304972E+03	8.344161E-03	5.286979E-05
3.314808E+03	8.557924E-03	5.422423E-05
3.324645E+03	8.784165E-03	5.565772E-05
3.334481E+03	9.021558E-03	5.716188E-05
3.344317E+03	9.272430E-03	5.875144E-05
3.354153E+03	9.535492E-03	6.041824E-05
3.363990E+03	9.813180E-03	6.217770E-05
3.373826E+03	1.010518E-02	6.402786E-05
3.383662E+03	1.041213E-02	6.597276E-05
3.393498E+03	1.073566E-02	6.802265E-05
3.403334E+03	1.107540E-02	7.017528E-05
3.413171E+03	1.143388E-02	7.244672E-05
3.423007E+03	1.180939E-02	7.482599E-05
