#wls	flux	fluxerr
1.573796E+03	9.861681E-05	1.025765E-05
1.613141E+03	1.011254E-04	1.049510E-05
1.652486E+03	1.035456E-04	1.072157E-05
1.691831E+03	1.058197E-04	1.093112E-05
1.731176E+03	1.079610E-04	1.112517E-05
1.770521E+03	1.098649E-04	1.129300E-05
1.809866E+03	1.114899E-04	1.143050E-05
1.849211E+03	1.126948E-04	1.152339E-05
1.888556E+03	1.133749E-04	1.156130E-05
1.927900E+03	1.134950E-04	1.154106E-05
1.967245E+03	1.130712E-04	1.146475E-05
2.006590E+03	1.122737E-04	1.135007E-05
2.045935E+03	1.116348E-04	1.125099E-05
2.085280E+03	1.118357E-04	1.123581E-05
2.124625E+03	1.135633E-04	1.137248E-05
2.163970E+03	1.172107E-04	1.169870E-05
2.203315E+03	1.225175E-04	1.218653E-05
2.242660E+03	1.289835E-04	1.278455E-05
2.282005E+03	1.361141E-04	1.344251E-05
2.321350E+03	1.434613E-04	1.411540E-05
2.360694E+03	1.508880E-04	1.478933E-05
2.400039E+03	1.581481E-04	1.543996E-05
2.439384E+03	1.653762E-04	1.608032E-05
2.478729E+03	1.724978E-04	1.670303E-05
2.518074E+03	1.795581E-04	1.731233E-05
2.557419E+03	1.867260E-04	1.792429E-05
2.596764E+03	1.939452E-04	1.853313E-05
2.636109E+03	2.012668E-04	1.914340E-05
2.675454E+03	2.088643E-04	1.977115E-05
2.714799E+03	2.166618E-04	2.040857E-05
2.754144E+03	2.246985E-04	2.105876E-05
2.793488E+03	2.331439E-04	2.173692E-05
2.832833E+03	2.418972E-04	2.243277E-05
2.872178E+03	2.510507E-04	2.315405E-05
2.911523E+03	2.605494E-04	2.389475E-05
2.950868E+03	2.705467E-04	2.466798E-05
2.960704E+03	2.730629E-04	2.486067E-05
2.970541E+03	2.756765E-04	2.506134E-05
2.980377E+03	2.782348E-04	2.525609E-05
2.990213E+03	2.808934E-04	2.545902E-05
3.000049E+03	2.835064E-04	2.565689E-05
3.009885E+03	2.862381E-04	2.586456E-05
3.019722E+03	2.890078E-04	2.607469E-05
3.029558E+03	2.917330E-04	2.627983E-05
3.039394E+03	2.945691E-04	2.649397E-05
3.049230E+03	2.974343E-04	2.670970E-05
3.059067E+03	3.003260E-04	2.692678E-05
3.068903E+03	3.032414E-04	2.714493E-05
3.078739E+03	3.061780E-04	2.736391E-05
3.088575E+03	3.091332E-04	2.758349E-05
3.098411E+03	3.121047E-04	2.780343E-05
3.108248E+03	3.150901E-04	2.802351E-05
3.118084E+03	3.180872E-04	2.824351E-05
3.127920E+03	3.211783E-04	2.847073E-05
3.137756E+03	3.241920E-04	2.868994E-05
3.147593E+03	3.272106E-04	2.890845E-05
3.157429E+03	3.303182E-04	2.913366E-05
3.167265E+03	3.333403E-04	2.935015E-05
3.177101E+03	3.363605E-04	2.956532E-05
3.186937E+03	3.394647E-04	2.978668E-05
3.196774E+03	3.425642E-04	3.000643E-05
3.206610E+03	3.455676E-04	3.021655E-05
3.216446E+03	3.486501E-04	3.043240E-05
3.226282E+03	3.517212E-04	3.064603E-05
3.236119E+03	3.546884E-04	3.084939E-05
3.245955E+03	3.577302E-04	3.105804E-05
3.255791E+03	3.607545E-04	3.126392E-05
3.265627E+03	3.637592E-04	3.146689E-05
3.275464E+03	3.667421E-04	3.166674E-05
3.285300E+03	3.697015E-04	3.186331E-05
3.295136E+03	3.726350E-04	3.205643E-05
3.304972E+03	3.755409E-04	3.224594E-05
3.314808E+03	3.784174E-04	3.243169E-05
