#wls	flux	fluxerr
1.573796E+03	5.242818E-15	1.294455E-19
1.613141E+03	5.741804E-15	1.417655E-19
1.652486E+03	6.258333E-15	1.545187E-19
1.691831E+03	6.786484E-15	1.675587E-19
1.731176E+03	7.318019E-15	1.806824E-19
1.770521E+03	7.839482E-15	1.935573E-19
1.809866E+03	8.331989E-15	2.057173E-19
1.849211E+03	8.771726E-15	2.165744E-19
1.888556E+03	9.131112E-15	2.254477E-19
1.927900E+03	9.382855E-15	2.316633E-19
1.967245E+03	9.508635E-15	2.347687E-19
2.006590E+03	9.510397E-15	2.348122E-19
2.045935E+03	9.411926E-15	2.323810E-19
2.085280E+03	9.268906E-15	2.288498E-19
2.124625E+03	9.190978E-15	2.269258E-19
2.163970E+03	9.237819E-15	2.280822E-19
2.203315E+03	9.390325E-15	2.318476E-19
2.242660E+03	9.580058E-15	2.365321E-19
2.282005E+03	9.736934E-15	2.404054E-19
2.321350E+03	9.803654E-15	2.420527E-19
2.360694E+03	9.754018E-15	2.408272E-19
2.400039E+03	9.592580E-15	2.368413E-19
2.439384E+03	9.343366E-15	2.306881E-19
2.478729E+03	9.040396E-15	2.232078E-19
2.518074E+03	8.721148E-15	2.153255E-19
2.557419E+03	8.418998E-15	2.078654E-19
2.596764E+03	8.144842E-15	2.010965E-19
2.636109E+03	7.904639E-15	1.951659E-19
2.675454E+03	7.693768E-15	1.899594E-19
2.714799E+03	7.499262E-15	1.851570E-19
2.754144E+03	7.313673E-15	1.805748E-19
2.793488E+03	7.133863E-15	1.761353E-19
2.832833E+03	6.958668E-15	1.718097E-19
2.872178E+03	6.787562E-15	1.675851E-19
2.911523E+03	6.619961E-15	1.634470E-19
2.950868E+03	6.454827E-15	1.593698E-19
2.960704E+03	6.413753E-15	1.583557E-19
2.970541E+03	6.372713E-15	1.573424E-19
2.980377E+03	6.331663E-15	1.563289E-19
2.990213E+03	6.290622E-15	1.553156E-19
3.000049E+03	6.249750E-15	1.543065E-19
3.009885E+03	6.209197E-15	1.533052E-19
3.019722E+03	6.168829E-15	1.523085E-19
3.029558E+03	6.128553E-15	1.513141E-19
3.039394E+03	6.088283E-15	1.503198E-19
3.049230E+03	6.048019E-15	1.493257E-19
3.059067E+03	6.007795E-15	1.483326E-19
3.068903E+03	5.967469E-15	1.473369E-19
3.078739E+03	5.926916E-15	1.463357E-19
3.088575E+03	5.886030E-15	1.453262E-19
3.098411E+03	5.844675E-15	1.443051E-19
3.108248E+03	5.802760E-15	1.432702E-19
3.118084E+03	5.760184E-15	1.422190E-19
3.127920E+03	5.716874E-15	1.411497E-19
3.137756E+03	5.672762E-15	1.400606E-19
3.147593E+03	5.627774E-15	1.389498E-19
3.157429E+03	5.581861E-15	1.378162E-19
3.167265E+03	5.534969E-15	1.366585E-19
3.177101E+03	5.487079E-15	1.354761E-19
3.186937E+03	5.438153E-15	1.342681E-19
3.196774E+03	5.388206E-15	1.330349E-19
3.206610E+03	5.337217E-15	1.317759E-19
3.216446E+03	5.285215E-15	1.304920E-19
3.226282E+03	5.232242E-15	1.291841E-19
3.236119E+03	5.178331E-15	1.278530E-19
3.245955E+03	5.123532E-15	1.265000E-19
3.255791E+03	5.067949E-15	1.251277E-19
3.265627E+03	5.011645E-15	1.237376E-19
3.275464E+03	4.954726E-15	1.223322E-19
3.285300E+03	4.897306E-15	1.209145E-19
3.295136E+03	4.839513E-15	1.194876E-19
3.304972E+03	4.781472E-15	1.180546E-19
3.314808E+03	4.723343E-15	1.166194E-19
3.324645E+03	4.665257E-15	1.151852E-19
3.334481E+03	4.607398E-15	1.137567E-19
3.344317E+03	4.549932E-15	1.123379E-19
3.354153E+03	4.493082E-15	1.109342E-19
3.363990E+03	4.437098E-15	1.095520E-19
3.373826E+03	4.382285E-15	1.081986E-19
3.383662E+03	4.329002E-15	1.068831E-19
3.393498E+03	4.277668E-15	1.056156E-19
3.403334E+03	4.228673E-15	1.044059E-19
3.413171E+03	4.182343E-15	1.032620E-19
3.423007E+03	4.138822E-15	1.021875E-19
3.432843E+03	4.098076E-15	1.011815E-19
3.442679E+03	4.059876E-15	1.002383E-19
3.452516E+03	4.023924E-15	9.935067E-20
3.462352E+03	3.989921E-15	9.851115E-20
3.472188E+03	3.957608E-15	9.771333E-20
