#wls	flux	fluxerr
1.573796E+03	6.220872E-17	1.560236E-18
1.613141E+03	6.362516E-17	1.589439E-18
1.652486E+03	6.489448E-17	1.614572E-18
1.691831E+03	6.602620E-17	1.635907E-18
1.731176E+03	6.699615E-17	1.652883E-18
1.770521E+03	6.778569E-17	1.665087E-18
1.809866E+03	6.834918E-17	1.671454E-18
1.849211E+03	6.863263E-17	1.670742E-18
1.888556E+03	6.857141E-17	1.661475E-18
1.927900E+03	6.813423E-17	1.643017E-18
1.967245E+03	6.736918E-17	1.616653E-18
2.006590E+03	6.645287E-17	1.586723E-18
2.045935E+03	6.575767E-17	1.562130E-18
2.085280E+03	6.585820E-17	1.556380E-18
2.124625E+03	6.737602E-17	1.583788E-18
2.163970E+03	7.065907E-17	1.651945E-18
2.203315E+03	7.568136E-17	1.759555E-18
2.242660E+03	8.205578E-17	1.896963E-18
2.282005E+03	8.921595E-17	2.050581E-18
2.321350E+03	9.667351E-17	2.208898E-18
2.360694E+03	1.040970E-16	2.364225E-18
2.400039E+03	1.112586E-16	2.511396E-18
2.439384E+03	1.180937E-16	2.649037E-18
2.478729E+03	1.244879E-16	2.774702E-18
2.518074E+03	1.303521E-16	2.886582E-18
2.557419E+03	1.355947E-16	2.982870E-18
2.596764E+03	1.401423E-16	3.062216E-18
2.636109E+03	1.440976E-16	3.127145E-18
2.675454E+03	1.476763E-16	3.182565E-18
2.714799E+03	1.512144E-16	3.235831E-18
2.754144E+03	1.549846E-16	3.292756E-18
2.793488E+03	1.592542E-16	3.358875E-18
2.832833E+03	1.642488E-16	3.438678E-18
2.872178E+03	1.702288E-16	3.537242E-18
2.911523E+03	1.774065E-16	3.658489E-18
2.950868E+03	1.860936E-16	3.808240E-18
2.960704E+03	1.885429E-16	3.850899E-18
2.970541E+03	1.910938E-16	3.895429E-18
2.980377E+03	1.937791E-16	3.942486E-18
2.990213E+03	1.966058E-16	3.992195E-18
3.000049E+03	1.995715E-16	4.044493E-18
3.009885E+03	2.026889E-16	4.099618E-18
3.019722E+03	2.059764E-16	4.157925E-18
3.029558E+03	2.094249E-16	4.219211E-18
3.039394E+03	2.130552E-16	4.283874E-18
3.049230E+03	2.168768E-16	4.352085E-18
3.059067E+03	2.209016E-16	4.424059E-18
3.068903E+03	2.251358E-16	4.499895E-18
3.078739E+03	2.295858E-16	4.579699E-18
3.088575E+03	2.342590E-16	4.663592E-18
3.098411E+03	2.391632E-16	4.751702E-18
3.108248E+03	2.443069E-16	4.844169E-18
3.118084E+03	2.496988E-16	4.941141E-18
3.127920E+03	2.553485E-16	5.042778E-18
3.137756E+03	2.612807E-16	5.149535E-18
3.147593E+03	2.674913E-16	5.261300E-18
3.157429E+03	2.740061E-16	5.378548E-18
3.167265E+03	2.808215E-16	5.501172E-18
3.177101E+03	2.879643E-16	5.629662E-18
3.186937E+03	2.954463E-16	5.764211E-18
3.196774E+03	3.032643E-16	5.904715E-18
3.206610E+03	3.114294E-16	6.051356E-18
3.216446E+03	3.199843E-16	6.204921E-18
3.226282E+03	3.289083E-16	6.364963E-18
3.236119E+03	3.382428E-16	6.532242E-18
3.245955E+03	3.479637E-16	6.706248E-18
3.255791E+03	3.580928E-16	6.887354E-18
3.265627E+03	3.686498E-16	7.075896E-18
3.275464E+03	3.796003E-16	7.271166E-18
3.285300E+03	3.909719E-16	7.473647E-18
3.295136E+03	4.027350E-16	7.682731E-18
3.304972E+03	4.148683E-16	7.897969E-18
3.314808E+03	4.273581E-16	8.119061E-18
3.324645E+03	4.401420E-16	8.344787E-18
3.334481E+03	4.531781E-16	8.574324E-18
3.344317E+03	4.663697E-16	8.805820E-18
3.354153E+03	4.796366E-16	9.037754E-18
3.363990E+03	4.928405E-16	9.267519E-18
3.373826E+03	5.058623E-16	9.492896E-18
3.383662E+03	5.185729E-16	9.711490E-18
3.393498E+03	5.307688E-16	9.919541E-18
3.403334E+03	5.423901E-16	1.011600E-17
3.413171E+03	5.533561E-16	1.029943E-17
3.423007E+03	5.636551E-16	1.046970E-17
3.432843E+03	5.732086E-16	1.062543E-17
3.442679E+03	5.819753E-16	1.076596E-17
3.452516E+03	5.900049E-16	1.089228E-17
3.462352E+03	5.973573E-16	1.100561E-17
3.472188E+03	6.041385E-16	1.110796E-17
3.482024E+03	6.104660E-16	1.120156E-17
3.491861E+03	6.164750E-16	1.128894E-17
3.501697E+03	6.222737E-16	1.137213E-17
3.511533E+03	6.279406E-16	1.145257E-17
3.521369E+03	6.335806E-16	1.153219E-17
3.531205E+03	6.392492E-16	1.161201E-17
3.541042E+03	6.450279E-16	1.169351E-17
3.550878E+03	6.509499E-16	1.177726E-17
3.560714E+03	6.570760E-16	1.186436E-17
3.570550E+03	6.634387E-16	1.195536E-17
3.580387E+03	6.700412E-16	1.205031E-17
3.590223E+03	6.769163E-16	1.214977E-17
3.600059E+03	6.840489E-16	1.225343E-17
3.609895E+03	6.914501E-16	1.236148E-17
3.619731E+03	6.990853E-16	1.247326E-17
3.629568E+03	7.069245E-16	1.258822E-17
3.639404E+03	7.149426E-16	1.270590E-17
3.649240E+03	7.230648E-16	1.282494E-17
3.659076E+03	7.312170E-16	1.294404E-17
3.668913E+03	7.393102E-16	1.306160E-17
3.678749E+03	7.472590E-16	1.317615E-17
3.688585E+03	7.549183E-16	1.328514E-17
3.698421E+03	7.621795E-16	1.338669E-17
3.708258E+03	7.689823E-16	1.347979E-17
3.718094E+03	7.752267E-16	1.356274E-17
3.727930E+03	7.808905E-16	1.363521E-17
3.737766E+03	7.860186E-16	1.369804E-17
3.747602E+03	7.906807E-16	1.375250E-17
