#wls	flux	fluxerr
1.600000E+03	1.180304E-14	3.051610E-16
1.640000E+03	1.259519E-14	3.185865E-16
1.680000E+03	1.341371E-14	3.318282E-16
1.720000E+03	1.425313E-14	3.447383E-16
1.760000E+03	1.510636E-14	3.571499E-16
1.800000E+03	1.596469E-14	3.688816E-16
1.840000E+03	1.681736E-14	3.797322E-16
1.880000E+03	1.765199E-14	3.894961E-16
1.920000E+03	1.845407E-14	3.979544E-16
1.960000E+03	1.920770E-14	4.048960E-16
2.000000E+03	1.989591E-14	4.101225E-16
2.040000E+03	2.050229E-14	4.134811E-16
2.080000E+03	2.100316E-14	4.147036E-16
2.120000E+03	2.132982E-14	4.126715E-16
2.160000E+03	2.149829E-14	4.079447E-16
2.200000E+03	2.148428E-14	4.002823E-16
2.240000E+03	2.128170E-14	3.897819E-16
2.280000E+03	2.092441E-14	3.772319E-16
2.320000E+03	2.041565E-14	3.627875E-16
2.360000E+03	1.974859E-14	3.463917E-16
2.400000E+03	1.895275E-14	3.285986E-16
2.440000E+03	1.807138E-14	3.101516E-16
2.480000E+03	1.714910E-14	2.917722E-16
2.520000E+03	1.622841E-14	2.741123E-16
2.560000E+03	1.535224E-14	2.577993E-16
2.600000E+03	1.457330E-14	2.435908E-16
2.640000E+03	1.394260E-14	2.322160E-16
2.680000E+03	1.343804E-14	2.232020E-16
2.720000E+03	1.300086E-14	2.154932E-16
2.760000E+03	1.260287E-14	2.085622E-16
2.800000E+03	1.223400E-14	2.021946E-16
2.840000E+03	1.189086E-14	1.962953E-16
2.880000E+03	1.157211E-14	1.908103E-16
2.920000E+03	1.127665E-14	1.856957E-16
2.960000E+03	1.100270E-14	1.809019E-16
3.000000E+03	1.074745E-14	1.763675E-16
3.010000E+03	1.068610E-14	1.752653E-16
3.020000E+03	1.062559E-14	1.741731E-16
3.030000E+03	1.056587E-14	1.730899E-16
3.040000E+03	1.050680E-14	1.720133E-16
3.050000E+03	1.044829E-14	1.709416E-16
3.060000E+03	1.039027E-14	1.698738E-16
3.070000E+03	1.033261E-14	1.688077E-16
3.080000E+03	1.027520E-14	1.677411E-16
3.090000E+03	1.021791E-14	1.666724E-16
3.100000E+03	1.016067E-14	1.655999E-16
3.110000E+03	1.010328E-14	1.645208E-16
3.120000E+03	1.004565E-14	1.634333E-16
3.130000E+03	9.987609E-15	1.623349E-16
3.140000E+03	9.929089E-15	1.612245E-16
3.150000E+03	9.869857E-15	1.600983E-16
3.160000E+03	9.809862E-15	1.589556E-16
3.170000E+03	9.748876E-15	1.577928E-16
3.180000E+03	9.686808E-15	1.566087E-16
3.190000E+03	9.623504E-15	1.554009E-16
3.200000E+03	9.558812E-15	1.541670E-16
3.210000E+03	9.492618E-15	1.529056E-16
3.220000E+03	9.424813E-15	1.516150E-16
3.230000E+03	9.355270E-15	1.502934E-16
3.240000E+03	9.283899E-15	1.489397E-16
3.250000E+03	9.210597E-15	1.475524E-16
3.260000E+03	9.135280E-15	1.461306E-16
3.270000E+03	9.057972E-15	1.446750E-16
3.280000E+03	8.978599E-15	1.431847E-16
3.290000E+03	8.897176E-15	1.416603E-16
3.300000E+03	8.813777E-15	1.401033E-16
3.310000E+03	8.728446E-15	1.385148E-16
3.320000E+03	8.641291E-15	1.368970E-16
3.330000E+03	8.552486E-15	1.352529E-16
3.340000E+03	8.462211E-15	1.335857E-16
3.350000E+03	8.370681E-15	1.318992E-16
3.360000E+03	8.278169E-15	1.301980E-16
3.370000E+03	8.184916E-15	1.284863E-16
3.380000E+03	8.091299E-15	1.267703E-16
3.390000E+03	7.997612E-15	1.250548E-16
3.400000E+03	7.904155E-15	1.233448E-16
3.410000E+03	7.811265E-15	1.216458E-16
3.420000E+03	7.719373E-15	1.199646E-16
3.430000E+03	7.629039E-15	1.183101E-16
3.440000E+03	7.541091E-15	1.166951E-16
3.450000E+03	7.456541E-15	1.151351E-16
3.460000E+03	7.376445E-15	1.136459E-16
3.470000E+03	7.302073E-15	1.122467E-16
3.480000E+03	7.234335E-15	1.109509E-16
3.490000E+03	7.172489E-15	1.097464E-16
3.500000E+03	7.115390E-15	1.086152E-16
3.510000E+03	7.061960E-15	1.075403E-16
3.520000E+03	7.011250E-15	1.065070E-16
3.530000E+03	6.962560E-15	1.055044E-16
3.540000E+03	6.915353E-15	1.045241E-16
3.550000E+03	6.869334E-15	1.035616E-16
3.560000E+03	6.824462E-15	1.026162E-16
3.570000E+03	6.780869E-15	1.016897E-16
3.580000E+03	6.738739E-15	1.007848E-16
3.590000E+03	6.698292E-15	9.990463E-17
