#wls	flux	fluxerr
1.600000E+03	1.375521E-14	7.168585E-15
1.640000E+03	1.490500E-14	7.208651E-15
1.680000E+03	1.612437E-14	7.167392E-15
1.720000E+03	1.740968E-14	7.030920E-15
1.760000E+03	1.875490E-14	6.785858E-15
1.800000E+03	2.015107E-14	6.420471E-15
1.840000E+03	2.158562E-14	5.926291E-15
1.880000E+03	2.304182E-14	5.300574E-15
1.920000E+03	2.449800E-14	4.550072E-15
1.960000E+03	2.592650E-14	3.697857E-15
2.000000E+03	2.729182E-14	2.798750E-15
2.040000E+03	2.854198E-14	1.983182E-15
2.080000E+03	2.956710E-14	1.544997E-15
2.120000E+03	3.021963E-14	1.633012E-15
2.160000E+03	3.053069E-14	1.778491E-15
2.200000E+03	3.051551E-14	1.706518E-15
2.240000E+03	3.016314E-14	1.536781E-15
2.280000E+03	2.948373E-14	1.643081E-15
2.320000E+03	2.853184E-14	2.029647E-15
2.360000E+03	2.735245E-14	2.388759E-15
2.400000E+03	2.600386E-14	2.561758E-15
2.440000E+03	2.455746E-14	2.505280E-15
2.480000E+03	2.308549E-14	2.230396E-15
2.520000E+03	2.165662E-14	1.776848E-15
2.560000E+03	2.033477E-14	1.210086E-15
2.600000E+03	1.917321E-14	7.019148E-16
2.640000E+03	1.817453E-14	8.089083E-16
2.680000E+03	1.732845E-14	1.355347E-15
2.720000E+03	1.660141E-14	1.905864E-15
2.760000E+03	1.595105E-14	2.381161E-15
2.800000E+03	1.535371E-14	2.765129E-15
2.840000E+03	1.479742E-14	3.054841E-15
2.880000E+03	1.427553E-14	3.252215E-15
2.920000E+03	1.378352E-14	3.361529E-15
2.960000E+03	1.331733E-14	3.388279E-15
3.000000E+03	1.287249E-14	3.338572E-15
3.010000E+03	1.276403E-14	3.314951E-15
3.020000E+03	1.265650E-14	3.287059E-15
3.030000E+03	1.254980E-14	3.255002E-15
3.040000E+03	1.244383E-14	3.218885E-15
3.050000E+03	1.233848E-14	3.178814E-15
3.060000E+03	1.223367E-14	3.134907E-15
3.070000E+03	1.212926E-14	3.087267E-15
3.080000E+03	1.202518E-14	3.036025E-15
3.090000E+03	1.192129E-14	2.981289E-15
3.100000E+03	1.181749E-14	2.923190E-15
3.110000E+03	1.171366E-14	2.861854E-15
3.120000E+03	1.160968E-14	2.797410E-15
3.130000E+03	1.150545E-14	2.730002E-15
3.140000E+03	1.140087E-14	2.659778E-15
3.150000E+03	1.129580E-14	2.586881E-15
3.160000E+03	1.119013E-14	2.511473E-15
3.170000E+03	1.108376E-14	2.433718E-15
3.180000E+03	1.097659E-14	2.353794E-15
3.190000E+03	1.086856E-14	2.271888E-15
3.200000E+03	1.075956E-14	2.188192E-15
3.210000E+03	1.064954E-14	2.102911E-15
3.220000E+03	1.053842E-14	2.016257E-15
3.230000E+03	1.042617E-14	1.928458E-15
3.240000E+03	1.031273E-14	1.839749E-15
3.250000E+03	1.019813E-14	1.750386E-15
3.260000E+03	1.008233E-14	1.660623E-15
3.270000E+03	9.965403E-15	1.570741E-15
3.280000E+03	9.847395E-15	1.481029E-15
3.290000E+03	9.728365E-15	1.391787E-15
3.300000E+03	9.608392E-15	1.303331E-15
3.310000E+03	9.487657E-15	1.216000E-15
3.320000E+03	9.366263E-15	1.130140E-15
3.330000E+03	9.244388E-15	1.046120E-15
3.340000E+03	9.122231E-15	9.643315E-16
3.350000E+03	9.000010E-15	8.851890E-16
3.360000E+03	8.877938E-15	8.091290E-16
3.370000E+03	8.756290E-15	7.366182E-16
3.380000E+03	8.635284E-15	6.681396E-16
3.390000E+03	8.515230E-15	6.041957E-16
3.400000E+03	8.396400E-15	5.452785E-16
3.410000E+03	8.279168E-15	4.918492E-16
3.420000E+03	8.163964E-15	4.442995E-16
3.430000E+03	8.051333E-15	4.029304E-16
3.440000E+03	7.941936E-15	3.679538E-16
3.450000E+03	7.836579E-15	3.395074E-16
3.460000E+03	7.736041E-15	3.176214E-16
3.470000E+03	7.640988E-15	3.020779E-16
3.480000E+03	7.551703E-15	2.921746E-16
3.490000E+03	7.468033E-15	2.866524E-16
3.500000E+03	7.389418E-15	2.839692E-16
3.510000E+03	7.315176E-15	2.826881E-16
3.520000E+03	7.244661E-15	2.816878E-16
3.530000E+03	7.177325E-15	2.801908E-16
3.540000E+03	7.112838E-15	2.777089E-16
3.550000E+03	7.050975E-15	2.739604E-16
3.560000E+03	6.991604E-15	2.688021E-16
3.570000E+03	6.934757E-15	2.621817E-16
3.580000E+03	6.880529E-15	2.541023E-16
3.590000E+03	6.828987E-15	2.446027E-16
3.600000E+03	6.780192E-15	2.337582E-16
3.610000E+03	6.734156E-15	2.216921E-16
3.620000E+03	6.690724E-15	2.086004E-16
3.630000E+03	6.649609E-15	1.947984E-16
3.640000E+03	6.610263E-15	1.807756E-16
3.650000E+03	6.571831E-15	1.672536E-16
3.660000E+03	6.533125E-15	1.551931E-16
3.670000E+03	6.492890E-15	1.453991E-16
3.680000E+03	6.450359E-15	1.378576E-16
3.690000E+03	6.404596E-15	1.324000E-16
3.700000E+03	6.354604E-15	1.288149E-16
3.710000E+03	6.300083E-15	1.263891E-16
3.720000E+03	6.240621E-15	1.245542E-16
3.730000E+03	6.175773E-15	1.229975E-16
3.740000E+03	6.105642E-15	1.212425E-16
3.750000E+03	6.030501E-15	1.190649E-16
3.760000E+03	5.950616E-15	1.164864E-16
3.770000E+03	5.866769E-15	1.133911E-16
3.780000E+03	5.780037E-15	1.098787E-16
3.790000E+03	5.691616E-15	1.061998E-16
