#wls	flux	fluxerr
1.600000E+03	3.184665E-16	1.757617E-16
1.640000E+03	3.224036E-16	1.671713E-16
1.680000E+03	3.263460E-16	1.580097E-16
1.720000E+03	3.303151E-16	1.483512E-16
1.760000E+03	3.343738E-16	1.383155E-16
1.800000E+03	3.385713E-16	1.280476E-16
1.840000E+03	3.430142E-16	1.177560E-16
1.880000E+03	3.478503E-16	1.077096E-16
1.920000E+03	3.533205E-16	9.825458E-17
1.960000E+03	3.596788E-16	8.977890E-17
2.000000E+03	3.672963E-16	8.270368E-17
2.040000E+03	3.765859E-16	7.737141E-17
2.080000E+03	3.879469E-16	7.390101E-17
2.120000E+03	4.013698E-16	7.201650E-17
2.160000E+03	4.166338E-16	7.120903E-17
2.200000E+03	4.328753E-16	7.106453E-17
2.240000E+03	4.490571E-16	7.164222E-17
2.280000E+03	4.641824E-16	7.326084E-17
2.320000E+03	4.778444E-16	7.585727E-17
2.360000E+03	4.902520E-16	7.873377E-17
2.400000E+03	5.019285E-16	8.093112E-17
2.440000E+03	5.132667E-16	8.161469E-17
2.480000E+03	5.245126E-16	8.037894E-17
2.520000E+03	5.357223E-16	7.750642E-17
2.560000E+03	5.465754E-16	7.427003E-17
2.600000E+03	5.563181E-16	7.309170E-17
2.640000E+03	5.640994E-16	7.658315E-17
2.680000E+03	5.703779E-16	8.532256E-17
2.720000E+03	5.764459E-16	9.771575E-17
2.760000E+03	5.836690E-16	1.118830E-16
2.800000E+03	5.928704E-16	1.264571E-16
2.840000E+03	6.047639E-16	1.406216E-16
2.880000E+03	6.199182E-16	1.538833E-16
2.920000E+03	6.389237E-16	1.659350E-16
2.960000E+03	6.624132E-16	1.765508E-16
3.000000E+03	6.910969E-16	1.855241E-16
3.010000E+03	6.991788E-16	1.874865E-16
3.020000E+03	7.076576E-16	1.893302E-16
3.030000E+03	7.165127E-16	1.910416E-16
3.040000E+03	7.258183E-16	1.926319E-16
3.050000E+03	7.355232E-16	1.940786E-16
3.060000E+03	7.456713E-16	1.953838E-16
3.070000E+03	7.562750E-16	1.965411E-16
3.080000E+03	7.673789E-16	1.975517E-16
3.090000E+03	7.789651E-16	1.984002E-16
3.100000E+03	7.910162E-16	1.990711E-16
3.110000E+03	8.036403E-16	1.995800E-16
3.120000E+03	8.167578E-16	1.998950E-16
3.130000E+03	8.304460E-16	2.000227E-16
3.140000E+03	8.446568E-16	1.999387E-16
3.150000E+03	8.594676E-16	1.996483E-16
3.160000E+03	8.748931E-16	1.991412E-16
3.170000E+03	8.908842E-16	1.983925E-16
3.180000E+03	9.075181E-16	1.974056E-16
3.190000E+03	9.247443E-16	1.961554E-16
3.200000E+03	9.426388E-16	1.946441E-16
3.210000E+03	9.611811E-16	1.928529E-16
3.220000E+03	9.803811E-16	1.907700E-16
3.230000E+03	1.000247E-15	1.883829E-16
3.240000E+03	1.020787E-15	1.856792E-16
3.250000E+03	1.042003E-15	1.826464E-16
3.260000E+03	1.063899E-15	1.792718E-16
3.270000E+03	1.086475E-15	1.755429E-16
3.280000E+03	1.109692E-15	1.714418E-16
3.290000E+03	1.133577E-15	1.669618E-16
3.300000E+03	1.158119E-15	1.620905E-16
3.310000E+03	1.183269E-15	1.568115E-16
3.320000E+03	1.209041E-15	1.511180E-16
3.330000E+03	1.235377E-15	1.449947E-16
3.340000E+03	1.262280E-15	1.384357E-16
3.350000E+03	1.289680E-15	1.314276E-16
3.360000E+03	1.317534E-15	1.239632E-16
3.370000E+03	1.345791E-15	1.160373E-16
3.380000E+03	1.374424E-15	1.076519E-16
3.390000E+03	1.403325E-15	9.880929E-17
3.400000E+03	1.432396E-15	8.952669E-17
3.410000E+03	1.461478E-15	7.983971E-17
3.420000E+03	1.490471E-15	6.982742E-17
3.430000E+03	1.519100E-15	5.963417E-17
3.440000E+03	1.546977E-15	4.955276E-17
3.450000E+03	1.573661E-15	4.019986E-17
3.460000E+03	1.598367E-15	3.286224E-17
3.470000E+03	1.619998E-15	2.975773E-17
3.480000E+03	1.637584E-15	3.244462E-17
3.490000E+03	1.651807E-15	3.931852E-17
3.500000E+03	1.663674E-15	4.800888E-17
3.510000E+03	1.673980E-15	5.712613E-17
3.520000E+03	1.683213E-15	6.599517E-17
3.530000E+03	1.691825E-15	7.428657E-17
3.540000E+03	1.700135E-15	8.182993E-17
3.550000E+03	1.708398E-15	8.853534E-17
3.560000E+03	1.716828E-15	9.435707E-17
3.570000E+03	1.725615E-15	9.927538E-17
3.580000E+03	1.734928E-15	1.032868E-16
3.590000E+03	1.744927E-15	1.063983E-16
3.600000E+03	1.755723E-15	1.086221E-16
3.610000E+03	1.767485E-15	1.099797E-16
3.620000E+03	1.780333E-15	1.104949E-16
3.630000E+03	1.794307E-15	1.101920E-16
3.640000E+03	1.809525E-15	1.091069E-16
3.650000E+03	1.826050E-15	1.072809E-16
3.660000E+03	1.843887E-15	1.047643E-16
3.670000E+03	1.863073E-15	1.016269E-16
3.680000E+03	1.883514E-15	9.795503E-17
3.690000E+03	1.905172E-15	9.387068E-17
3.700000E+03	1.927902E-15	8.953203E-17
3.710000E+03	1.949617E-15	1.408897E-16
3.714235E+03	1.935584E-15	1.397791E-16
3.718471E+03	1.919509E-15	1.385809E-16
3.722706E+03	1.899241E-15	1.371961E-16
3.726941E+03	1.882476E-15	1.359908E-16
3.731177E+03	1.881663E-15	1.355383E-16
3.735412E+03	1.895787E-15	1.423404E-16
3.739647E+03	1.923152E-15	1.401213E-16
