#wls	flux	fluxerr	mangling_mask
3.600000E+03	2.252592E-16	3.882176E-17	1.601103E+00
3.602982E+03	2.262145E-16	3.882526E-17	1.601065E+00
3.605965E+03	2.265454E-16	3.882358E-17	1.601027E+00
3.608947E+03	2.255634E-16	3.881113E-17	1.600989E+00
3.611930E+03	2.243572E-16	3.879695E-17	1.600951E+00
3.614912E+03	2.234233E-16	3.878507E-17	1.600912E+00
3.617894E+03	2.238180E-16	3.878388E-17	1.600873E+00
3.620877E+03	2.249811E-16	3.878882E-17	1.600833E+00
3.623859E+03	2.259200E-16	3.879193E-17	1.600793E+00
3.626841E+03	2.286996E-16	3.899575E-17	1.600753E+00
3.629824E+03	2.322634E-16	3.848618E-17	1.600713E+00
3.632806E+03	2.345305E-16	4.012719E-17	1.600672E+00
3.635789E+03	2.346365E-16	3.994990E-17	1.600631E+00
3.638771E+03	2.371273E-16	3.948881E-17	1.600589E+00
3.641753E+03	2.394579E-16	3.366525E-17	1.600548E+00
3.644736E+03	2.420604E-16	3.188507E-17	1.600505E+00
3.647718E+03	2.440546E-16	3.204568E-17	1.600463E+00
3.650701E+03	2.451524E-16	3.257397E-17	1.600420E+00
3.653683E+03	2.444096E-16	3.245924E-17	1.600377E+00
3.656665E+03	2.452191E-16	3.386281E-17	1.600333E+00
3.659648E+03	2.462366E-16	3.423291E-17	1.600290E+00
3.662630E+03	2.469499E-16	3.289513E-17	1.600245E+00
3.665613E+03	2.462069E-16	3.034992E-17	1.600201E+00
3.668595E+03	2.452559E-16	3.016089E-17	1.600156E+00
3.671577E+03	2.438889E-16	2.827235E-17	1.600111E+00
3.674560E+03	2.442819E-16	2.787668E-17	1.600065E+00
3.677542E+03	2.450909E-16	2.920850E-17	1.600019E+00
3.680524E+03	2.426839E-16	2.652977E-17	1.599973E+00
3.683507E+03	2.414769E-16	2.764530E-17	1.599926E+00
3.686489E+03	2.378220E-16	2.772220E-17	1.599879E+00
3.689472E+03	2.340554E-16	3.067797E-17	1.599832E+00
3.692454E+03	2.374079E-16	2.899633E-17	1.599784E+00
3.695436E+03	2.403923E-16	2.911899E-17	1.599736E+00
3.698419E+03	2.420647E-16	2.960156E-17	1.599687E+00
3.701401E+03	2.431931E-16	3.100329E-17	1.599639E+00
3.704384E+03	2.432336E-16	3.022205E-17	1.599589E+00
3.707366E+03	2.429701E-16	2.872807E-17	1.599540E+00
3.710348E+03	2.443861E-16	2.903596E-17	1.599490E+00
3.713331E+03	2.474173E-16	2.973057E-17	1.599440E+00
3.716313E+03	2.464498E-16	2.934875E-17	1.599389E+00
3.719296E+03	2.451145E-16	2.874483E-17	1.599338E+00
3.722278E+03	2.413323E-16	2.882237E-17	1.599286E+00
3.725260E+03	2.380461E-16	2.914068E-17	1.599234E+00
3.728243E+03	2.345201E-16	2.911441E-17	1.599182E+00
3.731225E+03	2.363674E-16	2.883772E-17	1.599130E+00
3.734207E+03	2.391259E-16	2.906098E-17	1.599077E+00
3.737190E+03	2.427157E-16	2.766056E-17	1.599023E+00
3.740172E+03	2.474246E-16	3.243642E-17	1.598970E+00
3.743155E+03	2.504861E-16	3.732452E-17	1.598915E+00
3.746137E+03	2.550983E-16	3.621475E-17	1.598861E+00
3.749119E+03	2.627158E-16	3.445087E-17	1.598806E+00
3.752102E+03	2.707964E-16	3.492646E-17	1.598751E+00
3.755084E+03	2.759188E-16	3.519528E-17	1.598695E+00
3.758066E+03	2.800336E-16	3.523315E-17	1.598639E+00
3.761049E+03	2.836205E-16	3.448839E-17	1.598582E+00
3.764031E+03	2.881981E-16	3.463597E-17	1.598525E+00
3.767014E+03	2.948374E-16	3.863763E-17	1.598468E+00
3.769996E+03	3.017799E-16	4.126853E-17	1.598410E+00
3.772979E+03	3.071873E-16	4.144819E-17	1.598352E+00
3.775961E+03	3.136971E-16	4.142982E-17	1.598294E+00
3.778943E+03	3.189917E-16	4.120719E-17	1.598235E+00
3.781926E+03	3.226077E-16	4.447246E-17	1.598175E+00
3.784908E+03	3.253763E-16	4.380792E-17	1.598116E+00
3.787890E+03	3.308135E-16	4.077639E-17	1.598055E+00
3.790873E+03	3.345242E-16	3.566422E-17	1.597995E+00
3.793855E+03	3.375635E-16	3.580720E-17	1.597934E+00
3.796838E+03	3.382057E-16	3.646739E-17	1.597872E+00
3.799820E+03	3.379689E-16	3.747279E-17	1.597810E+00
3.802802E+03	3.362781E-16	3.741687E-17	1.597748E+00
3.805785E+03	3.350666E-16	3.850129E-17	1.597685E+00
3.808767E+03	3.324492E-16	3.866334E-17	1.597622E+00
3.811749E+03	3.298000E-16	3.822870E-17	1.597559E+00
3.814732E+03	3.249464E-16	3.523127E-17	1.597495E+00
3.817714E+03	3.199493E-16	3.167229E-17	1.597430E+00
3.820697E+03	3.169333E-16	2.734070E-17	1.597365E+00
3.823679E+03	3.150036E-16	2.850936E-17	1.597300E+00
3.826662E+03	3.114767E-16	2.846137E-17	1.597234E+00
3.829644E+03	3.075507E-16	2.442614E-17	1.597168E+00
3.832626E+03	3.063081E-16	2.372479E-17	1.597102E+00
3.835609E+03	3.064230E-16	2.318621E-17	1.597034E+00
3.838591E+03	3.077515E-16	2.318106E-17	1.596967E+00
3.841573E+03	3.121778E-16	2.342697E-17	1.596899E+00
3.844556E+03	3.148630E-16	2.304656E-17	1.596831E+00
3.847538E+03	3.184741E-16	2.096821E-17	1.596762E+00
3.850521E+03	3.215100E-16	2.097534E-17	1.596692E+00
3.853503E+03	3.257429E-16	1.973068E-17	1.596623E+00
3.856485E+03	3.306939E-16	2.013265E-17	1.596552E+00
3.859468E+03	3.360115E-16	1.947379E-17	1.596482E+00
3.862450E+03	3.415361E-16	1.913493E-17	1.596410E+00
3.865432E+03	3.446496E-16	2.042221E-17	1.596339E+00
3.868415E+03	3.445222E-16	2.045536E-17	1.596267E+00
3.871397E+03	3.437723E-16	2.093327E-17	1.596194E+00
3.874380E+03	3.429745E-16	2.077104E-17	1.596121E+00
3.877362E+03	3.414265E-16	2.102821E-17	1.596048E+00
3.880344E+03	3.421129E-16	2.379403E-17	1.595974E+00
