#wls	flux	fluxerr
1.575579E+03	5.866080E-04	3.949008E-05
1.614968E+03	5.931067E-04	3.979263E-05
1.654357E+03	6.002256E-04	4.013042E-05
1.693747E+03	6.078907E-04	4.049793E-05
1.733136E+03	6.163577E-04	4.091155E-05
1.772526E+03	6.256721E-04	4.137352E-05
1.811915E+03	6.357685E-04	4.187869E-05
1.851305E+03	6.468095E-04	4.243689E-05
1.890694E+03	6.588524E-04	4.305089E-05
1.930084E+03	6.719571E-04	4.372354E-05
1.969473E+03	6.863087E-04	4.446565E-05
2.008863E+03	7.018619E-04	4.527298E-05
2.048252E+03	7.188161E-04	4.615696E-05
2.087642E+03	7.373834E-04	4.712957E-05
2.127031E+03	7.575371E-04	4.818729E-05
2.166420E+03	7.795068E-04	4.934279E-05
2.205810E+03	8.034063E-04	5.060111E-05
2.245199E+03	8.294909E-04	5.197592E-05
2.284589E+03	8.578961E-04	5.347304E-05
2.323978E+03	8.889042E-04	5.510710E-05
2.363368E+03	9.225291E-04	5.687575E-05
2.402757E+03	9.593639E-04	5.881200E-05
2.442147E+03	9.992930E-04	6.090477E-05
2.481536E+03	1.042792E-03	6.317879E-05
2.520926E+03	1.090204E-03	6.565017E-05
2.560315E+03	1.141725E-03	6.832531E-05
2.599705E+03	1.197870E-03	7.122946E-05
2.639094E+03	1.258664E-03	7.435782E-05
2.678484E+03	1.324798E-03	7.774449E-05
2.717873E+03	1.396448E-03	8.139257E-05
2.757262E+03	1.473953E-03	8.531386E-05
2.796652E+03	1.557836E-03	8.953024E-05
2.836041E+03	1.648449E-03	9.405285E-05
2.875431E+03	1.746380E-03	9.890545E-05
2.914820E+03	1.852319E-03	1.041165E-04
2.954210E+03	1.967142E-03	1.097234E-04
2.964057E+03	1.997153E-03	1.111810E-04
2.973904E+03	2.028102E-03	1.126836E-04
2.983752E+03	2.059576E-03	1.142080E-04
2.993599E+03	2.091811E-03	1.157671E-04
3.003447E+03	2.124609E-03	1.173498E-04
