#wls	flux	fluxerr
1.575579E+03	6.314576E-19	2.073584E-20
1.614968E+03	6.501993E-19	2.129972E-20
1.654357E+03	6.655702E-19	2.174918E-20
1.693747E+03	6.775469E-19	2.208415E-20
1.733136E+03	6.857235E-19	2.229221E-20
1.772526E+03	6.894405E-19	2.235286E-20
1.811915E+03	6.875435E-19	2.222991E-20
1.851305E+03	6.787247E-19	2.188267E-20
1.890694E+03	6.616964E-19	2.127169E-20
1.930084E+03	6.357020E-19	2.037510E-20
1.969473E+03	6.008933E-19	1.920050E-20
2.008863E+03	5.595870E-19	1.782448E-20
2.048252E+03	5.173388E-19	1.642566E-20
2.087642E+03	4.819666E-19	1.525200E-20
2.127031E+03	4.619737E-19	1.456973E-20
2.166420E+03	4.632660E-19	1.455967E-20
2.205810E+03	4.879694E-19	1.528134E-20
2.245199E+03	5.338505E-19	1.665699E-20
2.284589E+03	5.963785E-19	1.853815E-20
2.323978E+03	6.699079E-19	2.074369E-20
2.363368E+03	7.495001E-19	2.311674E-20
2.402757E+03	8.315722E-19	2.554442E-20
2.442147E+03	9.141241E-19	2.796395E-20
2.481536E+03	9.958229E-19	3.033390E-20
2.520926E+03	1.076748E-18	3.265634E-20
2.560315E+03	1.156955E-18	3.493257E-20
2.599705E+03	1.236918E-18	3.717655E-20
2.639094E+03	1.317251E-18	3.940603E-20
2.678484E+03	1.398873E-18	4.164754E-20
2.717873E+03	1.482015E-18	4.390678E-20
2.757262E+03	1.567900E-18	4.621838E-20
2.796652E+03	1.657021E-18	4.859490E-20
2.836041E+03	1.749830E-18	5.104736E-20
2.875431E+03	1.847702E-18	5.361321E-20
2.914820E+03	1.951514E-18	5.631457E-20
2.954210E+03	2.061489E-18	5.915422E-20
2.964057E+03	2.090105E-18	5.988986E-20
2.973904E+03	2.119200E-18	6.063653E-20
2.983752E+03	2.148791E-18	6.139460E-20
2.993599E+03	2.178894E-18	6.216447E-20
3.003447E+03	2.209905E-18	6.295737E-20
3.013294E+03	2.241086E-18	6.375216E-20
3.023141E+03	2.272830E-18	6.455997E-20
3.032989E+03	2.305333E-18	6.538626E-20
3.042836E+03	2.338190E-18	6.621947E-20
3.052683E+03	2.372261E-18	6.708387E-20
3.062531E+03	2.407502E-18	6.797801E-20
3.072378E+03	2.444292E-18	6.891244E-20
3.082226E+03	2.481764E-18	6.986250E-20
3.092073E+03	2.520300E-18	7.083886E-20
3.101920E+03	2.559872E-18	7.184061E-20
3.111768E+03	2.600460E-18	7.286696E-20
3.121615E+03	2.642497E-18	7.392991E-20
3.131462E+03	2.685068E-18	7.500371E-20
3.141310E+03	2.728608E-18	7.610040E-20
3.151157E+03	2.773109E-18	7.721959E-20
3.161004E+03	2.818564E-18	7.836096E-20
3.170852E+03	2.865461E-18	7.953791E-20
3.180699E+03	2.912830E-18	8.072331E-20
3.190547E+03	2.961155E-18	8.193052E-20
3.200394E+03	3.010442E-18	8.315954E-20
3.210241E+03	3.061223E-18	8.442488E-20
3.220089E+03	3.112473E-18	8.569812E-20
3.229936E+03	3.164719E-18	8.699366E-20
3.239783E+03	3.218528E-18	8.832687E-20
3.249631E+03	3.272829E-18	8.966822E-20
3.259478E+03	3.328184E-18	9.103297E-20
3.269325E+03	3.384617E-18	9.242160E-20
3.279173E+03	3.442738E-18	9.385062E-20
3.289020E+03	3.501416E-18	9.528892E-20
3.298868E+03	3.561256E-18	9.675289E-20
3.308715E+03	3.622906E-18	9.825994E-20
3.318562E+03	3.685180E-18	9.977765E-20
3.328410E+03	3.748721E-18	1.013233E-19
3.338257E+03	3.814219E-18	1.029153E-19
3.348104E+03	3.880426E-18	1.045197E-19
3.357952E+03	3.948024E-18	1.061548E-19
3.367799E+03	4.017737E-18	1.078398E-19
3.377646E+03	4.088269E-18	1.095397E-19
3.387494E+03	4.160330E-18	1.112732E-19
3.397341E+03	4.234696E-18	1.130609E-19
3.407189E+03	4.309997E-18	1.148659E-19
3.417036E+03	4.386992E-18	1.167082E-19
3.426883E+03	4.466492E-18	1.186091E-19
3.436731E+03	4.547064E-18	1.205303E-19
3.446578E+03	4.630296E-18	1.225136E-19
3.456425E+03	4.714695E-18	1.245191E-19
3.466273E+03	4.801097E-18	1.265687E-19
3.476120E+03	4.890399E-18	1.286857E-19
3.485968E+03	4.981034E-18	1.308286E-19
3.495815E+03	5.073883E-18	1.330200E-19
3.505662E+03	5.169892E-18	1.352846E-19
3.515510E+03	5.267413E-18	1.375787E-19
3.525357E+03	5.368279E-18	1.399499E-19
3.535204E+03	5.470785E-18	1.423534E-19
3.545052E+03	5.575898E-18	1.448138E-19
3.554899E+03	5.684659E-18	1.473580E-19
3.564746E+03	5.795257E-18	1.499384E-19
3.574594E+03	5.909721E-18	1.526072E-19
3.584441E+03	6.026167E-18	1.553151E-19
3.594289E+03	6.145661E-18	1.580894E-19
3.604136E+03	6.269358E-18	1.609591E-19
3.613983E+03	6.395265E-18	1.638726E-19
3.623831E+03	6.525607E-18	1.668865E-19
3.633678E+03	6.658319E-18	1.699473E-19
3.643525E+03	6.794574E-18	1.730845E-19
3.653373E+03	6.935642E-18	1.763300E-19
3.663220E+03	7.079324E-18	1.796271E-19
3.673067E+03	7.228077E-18	1.830378E-19
3.682915E+03	7.379614E-18	1.865033E-19
3.692762E+03	7.535231E-18	1.900560E-19
3.702610E+03	7.696326E-18	1.937304E-19
3.712457E+03	7.860465E-18	1.974646E-19
3.722304E+03	8.030364E-18	2.013262E-19
3.732152E+03	8.203473E-18	2.052505E-19
3.741999E+03	8.382628E-18	2.093078E-19
3.751846E+03	8.565172E-18	2.134311E-19
3.761694E+03	8.752587E-18	2.176566E-19
3.771541E+03	8.946477E-18	2.220234E-19
3.781388E+03	9.144002E-18	2.264603E-19
3.791236E+03	9.348298E-18	2.310441E-19
3.801083E+03	9.556386E-18	2.357004E-19
3.810931E+03	9.769902E-18	2.404689E-19
3.820778E+03	9.990612E-18	2.453922E-19
3.830625E+03	1.021533E-17	2.503910E-19
3.840473E+03	1.044751E-17	2.555496E-19
3.850320E+03	1.068383E-17	2.607852E-19
3.860167E+03	1.092607E-17	2.661409E-19
3.870015E+03	1.117616E-17	2.716628E-19
3.879862E+03	1.143051E-17	2.772627E-19
3.889710E+03	1.169102E-17	2.829857E-19
3.899557E+03	1.195973E-17	2.888804E-19
3.909404E+03	1.223276E-17	2.948521E-19
3.919252E+03	1.251418E-17	3.009981E-19
3.929099E+03	1.279992E-17	3.072194E-19
3.938946E+03	1.309202E-17	3.135644E-19
3.948794E+03	1.339272E-17	3.200856E-19
3.958641E+03	1.369761E-17	3.266769E-19
3.968488E+03	1.400886E-17	3.333890E-19
3.978336E+03	1.432878E-17	3.402762E-19
3.988183E+03	1.465263E-17	3.472249E-19
3.998031E+03	1.498265E-17	3.542877E-19
4.007878E+03	1.532127E-17	3.615211E-19
4.017725E+03	1.566337E-17	3.688030E-19
4.027573E+03	1.601127E-17	3.761880E-19
4.037420E+03	1.636749E-17	3.837345E-19
4.047267E+03	1.672649E-17	3.913116E-19
4.057115E+03	1.709069E-17	3.989752E-19
4.066962E+03	1.746268E-17	4.067858E-19
4.076809E+03	1.783648E-17	4.146029E-19
4.086657E+03	1.821456E-17	4.224840E-19
4.096504E+03	1.859961E-17	4.304909E-19
4.106352E+03	1.898515E-17	4.384730E-19
4.116199E+03	1.937372E-17	4.464892E-19
