#wls	flux	fluxerr
1.600000E+03	8.760318E-18	2.789869E-19
1.640000E+03	8.856007E-18	2.814420E-19
1.680000E+03	8.958713E-18	2.840912E-19
1.720000E+03	9.068875E-18	2.869460E-19
1.760000E+03	9.186963E-18	2.900187E-19
1.800000E+03	9.315070E-18	2.933726E-19
1.840000E+03	9.450584E-18	2.969223E-19
1.880000E+03	9.597283E-18	3.007834E-19
1.920000E+03	9.755856E-18	3.049735E-19
1.960000E+03	9.925386E-18	3.094599E-19
2.000000E+03	1.010661E-17	3.142615E-19
2.040000E+03	1.030203E-17	3.194513E-19
2.080000E+03	1.051084E-17	3.249991E-19
2.120000E+03	1.073749E-17	3.310367E-19
2.160000E+03	1.097956E-17	3.374832E-19
2.200000E+03	1.123996E-17	3.444211E-19
2.240000E+03	1.151993E-17	3.518814E-19
2.280000E+03	1.182085E-17	3.598974E-19
2.320000E+03	1.214417E-17	3.685048E-19
2.360000E+03	1.249150E-17	3.777422E-19
2.400000E+03	1.286655E-17	3.877113E-19
2.440000E+03	1.326927E-17	3.983983E-19
2.480000E+03	1.370168E-17	4.098508E-19
2.520000E+03	1.416814E-17	4.221856E-19
2.560000E+03	1.467121E-17	4.354623E-19
2.600000E+03	1.521139E-17	4.496790E-19
2.640000E+03	1.579391E-17	4.649707E-19
2.680000E+03	1.642448E-17	4.814847E-19
2.720000E+03	1.710200E-17	4.991654E-19
2.760000E+03	1.783286E-17	5.181739E-19
2.800000E+03	1.862407E-17	5.386858E-19
2.840000E+03	1.947803E-17	5.607390E-19
2.880000E+03	2.040007E-17	5.844523E-19
2.920000E+03	2.139894E-17	6.100389E-19
2.960000E+03	2.248133E-17	6.376466E-19
3.000000E+03	2.365130E-17	6.673440E-19
3.010000E+03	2.395843E-17	6.751160E-19
3.020000E+03	2.427101E-17	6.830139E-19
3.030000E+03	2.459241E-17	6.911316E-19
3.040000E+03	2.491953E-17	6.993810E-19
3.050000E+03	2.525249E-17	7.077648E-19
3.060000E+03	2.559138E-17	7.162846E-19
3.070000E+03	2.593971E-17	7.250374E-19
3.080000E+03	2.629428E-17	7.339326E-19
3.090000E+03	2.665519E-17	7.429723E-19
3.100000E+03	2.702253E-17	7.521581E-19
3.110000E+03	2.739999E-17	7.615912E-19
3.120000E+03	2.778061E-17	7.710776E-19
3.130000E+03	2.817524E-17	7.809168E-19
3.140000E+03	2.857327E-17	7.908137E-19
3.150000E+03	2.897838E-17	8.008694E-19
3.160000E+03	2.939442E-17	8.111886E-19
3.170000E+03	2.981784E-17	8.216726E-19
3.180000E+03	3.025257E-17	8.324277E-19
3.190000E+03	3.069112E-17	8.432469E-19
3.200000E+03	3.114128E-17	8.543432E-19
3.210000E+03	3.159934E-17	8.656133E-19
3.220000E+03	3.206938E-17	8.771674E-19
3.230000E+03	3.254359E-17	8.887904E-19
3.240000E+03	3.303006E-17	9.007025E-19
3.250000E+03	3.352491E-17	9.127962E-19
3.260000E+03	3.403242E-17	9.251860E-19
3.270000E+03	3.454436E-17	9.376472E-19
3.280000E+03	3.506922E-17	9.504086E-19
3.290000E+03	3.560721E-17	9.634743E-19
3.300000E+03	3.614985E-17	9.766132E-19
3.310000E+03	3.670586E-17	9.900596E-19
3.320000E+03	3.727102E-17	1.003698E-18
3.330000E+03	3.784539E-17	1.017528E-18
3.340000E+03	3.842902E-17	1.031549E-18
3.350000E+03	3.902658E-17	1.045886E-18
3.360000E+03	3.963361E-17	1.060417E-18
3.370000E+03	4.025485E-17	1.075266E-18
3.380000E+03	4.088096E-17	1.090184E-18
3.390000E+03	4.152147E-17	1.105421E-18
3.400000E+03	4.217167E-17	1.120852E-18
3.410000E+03	4.283157E-17	1.136474E-18
3.420000E+03	4.350619E-17	1.152418E-18
3.430000E+03	4.419064E-17	1.168554E-18
3.440000E+03	4.488489E-17	1.184879E-18
3.450000E+03	4.558895E-17	1.201391E-18
3.460000E+03	4.630801E-17	1.218225E-18
3.470000E+03	4.703694E-17	1.235244E-18
3.480000E+03	4.777569E-17	1.252445E-18
3.490000E+03	4.852421E-17	1.269825E-18
3.500000E+03	4.928793E-17	1.287524E-18
3.510000E+03	5.006143E-17	1.305397E-18
3.520000E+03	5.084463E-17	1.323443E-18
3.530000E+03	5.164315E-17	1.341803E-18
3.540000E+03	5.244559E-17	1.360181E-18
3.550000E+03	5.326329E-17	1.378869E-18
3.560000E+03	5.409633E-17	1.397866E-18
3.570000E+03	5.493292E-17	1.416867E-18
3.580000E+03	5.578476E-17	1.436170E-18
3.590000E+03	5.664586E-17	1.455620E-18
3.600000E+03	5.751608E-17	1.475211E-18
3.610000E+03	5.839528E-17	1.494938E-18
3.620000E+03	5.928961E-17	1.514956E-18
3.630000E+03	6.019276E-17	1.535102E-18
3.640000E+03	6.110457E-17	1.555370E-18
3.650000E+03	6.202489E-17	1.575755E-18
3.660000E+03	6.296009E-17	1.596416E-18
3.670000E+03	6.390360E-17	1.617184E-18
3.680000E+03	6.485522E-17	1.638054E-18
3.690000E+03	6.581478E-17	1.659018E-18
3.700000E+03	6.678207E-17	1.680070E-18
3.710000E+03	6.776383E-17	1.701378E-18
3.720000E+03	6.875307E-17	1.722764E-18
3.730000E+03	6.974962E-17	1.744223E-18
3.740000E+03	7.075324E-17	1.765746E-18
3.750000E+03	7.177094E-17	1.787506E-18
3.760000E+03	7.279545E-17	1.809322E-18
3.770000E+03	7.382654E-17	1.831185E-18
3.780000E+03	7.486404E-17	1.853090E-18
3.790000E+03	7.590768E-17	1.875028E-18
3.800000E+03	7.696483E-17	1.897181E-18
3.810000E+03	7.802023E-17	1.919171E-18
3.820000E+03	7.908883E-17	1.941363E-18
3.830000E+03	8.016284E-17	1.963566E-18
3.840000E+03	8.124206E-17	1.985772E-18
3.850000E+03	8.233417E-17	2.008169E-18
3.860000E+03	8.342318E-17	2.030365E-18
3.870000E+03	8.452477E-17	2.052740E-18
3.880000E+03	8.563079E-17	2.075094E-18
3.890000E+03	8.674100E-17	2.097422E-18
3.900000E+03	8.785518E-17	2.119717E-18
3.910000E+03	8.897307E-17	2.141971E-18
3.920000E+03	9.010285E-17	2.164380E-18
3.930000E+03	9.122753E-17	2.186535E-18
3.940000E+03	9.236371E-17	2.208834E-18
3.950000E+03	9.350272E-17	2.231067E-18
3.960000E+03	9.464430E-17	2.253227E-18
3.970000E+03	9.578814E-17	2.275307E-18
3.980000E+03	9.693393E-17	2.297299E-18
3.990000E+03	9.808136E-17	2.319194E-18
4.000000E+03	9.923901E-17	2.341195E-18
4.010000E+03	1.003887E-16	2.362872E-18
4.020000E+03	1.015480E-16	2.384639E-18
4.030000E+03	1.026983E-16	2.406059E-18
4.040000E+03	1.038575E-16	2.427550E-18
4.050000E+03	1.050159E-16	2.448885E-18
4.060000E+03	1.061636E-16	2.469835E-18
4.070000E+03	1.073187E-16	2.490819E-18
4.080000E+03	1.084712E-16	2.511607E-18
4.090000E+03	1.096204E-16	2.532181E-18
4.100000E+03	1.107655E-16	2.552524E-18
4.110000E+03	1.119056E-16	2.572618E-18
4.120000E+03	1.130398E-16	2.592441E-18
4.130000E+03	1.141671E-16	2.611971E-18
4.140000E+03	1.152864E-16	2.631185E-18
4.150000E+03	1.163963E-16	2.650054E-18
