#wls	flux	fluxerr
1.600000E+03	2.798213E-16	3.302078E-16
1.640000E+03	2.870970E-16	3.382724E-16
1.680000E+03	2.949110E-16	3.468709E-16
1.720000E+03	3.032817E-16	3.560062E-16
1.760000E+03	3.123358E-16	3.658050E-16
1.800000E+03	3.220234E-16	3.761827E-16
1.840000E+03	3.324755E-16	3.872617E-16
1.880000E+03	3.437168E-16	3.990346E-16
1.920000E+03	3.558471E-16	4.115745E-16
1.960000E+03	3.688939E-16	4.248628E-16
2.000000E+03	3.829602E-16	4.389591E-16
2.040000E+03	3.981516E-16	4.539143E-16
2.080000E+03	4.145364E-16	4.697240E-16
2.120000E+03	4.322998E-16	4.865010E-16
2.160000E+03	4.516697E-16	5.043850E-16
2.200000E+03	4.728379E-16	5.234508E-16
2.240000E+03	4.960776E-16	5.438335E-16
2.280000E+03	5.217860E-16	5.657669E-16
2.320000E+03	5.501170E-16	5.891746E-16
2.360000E+03	5.812549E-16	6.139697E-16
2.400000E+03	6.152432E-16	6.398685E-16
2.440000E+03	6.521409E-16	6.665574E-16
2.480000E+03	6.919745E-16	6.936388E-16
2.520000E+03	7.347284E-16	7.206227E-16
2.560000E+03	7.804226E-16	7.470032E-16
2.600000E+03	8.290164E-16	7.721643E-16
2.640000E+03	8.802634E-16	7.952584E-16
2.680000E+03	9.340521E-16	8.155378E-16
2.720000E+03	9.899991E-16	8.320028E-16
2.760000E+03	1.047663E-15	8.436314E-16
2.800000E+03	1.106408E-15	8.493092E-16
2.840000E+03	1.165686E-15	8.480937E-16
2.880000E+03	1.224869E-15	8.391206E-16
2.920000E+03	1.283545E-15	8.218438E-16
2.960000E+03	1.341510E-15	7.960176E-16
3.000000E+03	1.398719E-15	7.616644E-16
3.010000E+03	1.412911E-15	7.517718E-16
3.020000E+03	1.427050E-15	7.413631E-16
3.030000E+03	1.441168E-15	7.304618E-16
3.040000E+03	1.455255E-15	7.190708E-16
3.050000E+03	1.469345E-15	7.072151E-16
3.060000E+03	1.483429E-15	6.949002E-16
3.070000E+03	1.497502E-15	6.821344E-16
3.080000E+03	1.511597E-15	6.689464E-16
3.090000E+03	1.525711E-15	6.553482E-16
3.100000E+03	1.539918E-15	6.413876E-16
3.110000E+03	1.554137E-15	6.270474E-16
3.120000E+03	1.568483E-15	6.123951E-16
3.130000E+03	1.582876E-15	5.974213E-16
3.140000E+03	1.597433E-15	5.821956E-16
3.150000E+03	1.612076E-15	5.667180E-16
3.160000E+03	1.626883E-15	5.510490E-16
3.170000E+03	1.641891E-15	5.352375E-16
3.180000E+03	1.657066E-15	5.193120E-16
3.190000E+03	1.672482E-15	5.033427E-16
3.200000E+03	1.688104E-15	4.873695E-16
3.210000E+03	1.703970E-15	4.714607E-16
3.220000E+03	1.720117E-15	4.556884E-16
3.230000E+03	1.736545E-15	4.401191E-16
3.240000E+03	1.753286E-15	4.248324E-16
3.250000E+03	1.770339E-15	4.099008E-16
3.260000E+03	1.787696E-15	3.953969E-16
3.270000E+03	1.805384E-15	3.813979E-16
3.280000E+03	1.823391E-15	3.679649E-16
3.290000E+03	1.841699E-15	3.551465E-16
3.300000E+03	1.860323E-15	3.429790E-16
3.310000E+03	1.879233E-15	3.314677E-16
3.320000E+03	1.898430E-15	3.205945E-16
3.330000E+03	1.917807E-15	3.102932E-16
3.340000E+03	1.937388E-15	3.004893E-16
3.350000E+03	1.957058E-15	2.910600E-16
3.360000E+03	1.976866E-15	2.818883E-16
3.370000E+03	1.996665E-15	2.728190E-16
3.380000E+03	2.016413E-15	2.637161E-16
3.390000E+03	2.036136E-15	2.544683E-16
3.400000E+03	2.055713E-15	2.449747E-16
3.410000E+03	2.075136E-15	2.351912E-16
3.420000E+03	2.094420E-15	2.251296E-16
3.430000E+03	2.113581E-15	2.148647E-16
3.440000E+03	2.132673E-15	2.045430E-16
3.450000E+03	2.151756E-15	1.943728E-16
3.460000E+03	2.170962E-15	1.846020E-16
3.470000E+03	2.190330E-15	1.754708E-16
3.480000E+03	2.210023E-15	1.672111E-16
3.490000E+03	2.230052E-15	1.599921E-16
3.500000E+03	2.250603E-15	1.539130E-16
3.510000E+03	2.271716E-15	1.489850E-16
3.520000E+03	2.293457E-15	1.451564E-16
3.530000E+03	2.315800E-15	1.423145E-16
3.540000E+03	2.338691E-15	1.403204E-16
3.550000E+03	2.361831E-15	1.390130E-16
3.560000E+03	2.384833E-15	1.382223E-16
3.570000E+03	2.407161E-15	1.377883E-16
3.580000E+03	2.428237E-15	1.375758E-16
3.590000E+03	2.447395E-15	1.374623E-16
3.600000E+03	2.464089E-15	1.373558E-16
3.610000E+03	2.477916E-15	1.371847E-16
3.620000E+03	2.488731E-15	1.368820E-16
3.630000E+03	2.496602E-15	1.363939E-16
3.640000E+03	2.501716E-15	1.356760E-16
3.650000E+03	2.504348E-15	1.346842E-16
3.660000E+03	2.504846E-15	1.333990E-16
3.670000E+03	2.503554E-15	1.318382E-16
3.680000E+03	2.500874E-15	1.300531E-16
3.690000E+03	2.497116E-15	1.281205E-16
3.700000E+03	2.492824E-15	1.261338E-16
3.710000E+03	2.488540E-15	1.241610E-16
3.720000E+03	2.484937E-15	1.222627E-16
3.730000E+03	2.482642E-15	1.204824E-16
3.740000E+03	2.482168E-15	1.188310E-16
3.750000E+03	2.483976E-15	1.173137E-16
3.760000E+03	2.488427E-15	1.159314E-16
3.770000E+03	2.495820E-15	1.146693E-16
3.780000E+03	2.506335E-15	1.135136E-16
3.790000E+03	2.520056E-15	1.124506E-16
3.800000E+03	2.536925E-15	1.114449E-16
3.810000E+03	2.556755E-15	1.104712E-16
3.820000E+03	2.579036E-15	1.095151E-16
3.830000E+03	2.602940E-15	1.085582E-16
3.840000E+03	2.627439E-15	1.076042E-16
3.850000E+03	2.651428E-15	1.066698E-16
3.860000E+03	2.673986E-15	1.057598E-16
3.870000E+03	2.694250E-15	1.048854E-16
3.880000E+03	2.711747E-15	1.040602E-16
3.890000E+03	2.726428E-15	1.032622E-16
3.900000E+03	2.738459E-15	1.024852E-16
3.910000E+03	2.748351E-15	1.017668E-16
3.920000E+03	2.756662E-15	1.011530E-16
