#wls	flux	fluxerr
1.588878E+03	6.109728E-03	2.792526E-04
1.628600E+03	6.126183E-03	2.794667E-04
1.668322E+03	6.117928E-03	2.785393E-04
1.708044E+03	6.084761E-03	2.764673E-04
1.747766E+03	6.025885E-03	2.732217E-04
1.787488E+03	5.940734E-03	2.687843E-04
1.827210E+03	5.830283E-03	2.632068E-04
1.866931E+03	5.697081E-03	2.566124E-04
1.906653E+03	5.544711E-03	2.491698E-04
1.946375E+03	5.376337E-03	2.410276E-04
1.986097E+03	5.198501E-03	2.324846E-04
2.025819E+03	5.016052E-03	2.237614E-04
2.065541E+03	4.835586E-03	2.151543E-04
2.105263E+03	4.663522E-03	2.069486E-04
2.144985E+03	4.504895E-03	1.993655E-04
2.184707E+03	4.364842E-03	1.926280E-04
2.224429E+03	4.246327E-03	1.868604E-04
2.264151E+03	4.150408E-03	1.821020E-04
2.303873E+03	4.077809E-03	1.783763E-04
2.343595E+03	4.026085E-03	1.755678E-04
2.383317E+03	3.992729E-03	1.735594E-04
2.423039E+03	3.973855E-03	1.721752E-04
2.462761E+03	3.964586E-03	1.711983E-04
2.502483E+03	3.960001E-03	1.704129E-04
2.542205E+03	3.954951E-03	1.695957E-04
2.581927E+03	3.945273E-03	1.685691E-04
2.621648E+03	3.927057E-03	1.671687E-04
2.661370E+03	3.897726E-03	1.652892E-04
2.701092E+03	3.856164E-03	1.628891E-04
2.740814E+03	3.801973E-03	1.599580E-04
2.780536E+03	3.736356E-03	1.565530E-04
2.820258E+03	3.661198E-03	1.527594E-04
2.859980E+03	3.579107E-03	1.486911E-04
2.899702E+03	3.493386E-03	1.444894E-04
2.939424E+03	3.407612E-03	1.403042E-04
2.979146E+03	3.325129E-03	1.362736E-04
2.989076E+03	3.305514E-03	1.353101E-04
2.999007E+03	3.286286E-03	1.343636E-04
3.008937E+03	3.267846E-03	1.334503E-04
3.018868E+03	3.249900E-03	1.325582E-04
3.028798E+03	3.232507E-03	1.316896E-04
3.038729E+03	3.216056E-03	1.308603E-04
3.048659E+03	3.200433E-03	1.300655E-04
3.058590E+03	3.185526E-03	1.293006E-04
3.068520E+03	3.171556E-03	1.285744E-04
3.078451E+03	3.158579E-03	1.278890E-04
3.088381E+03	3.146649E-03	1.272465E-04
3.098312E+03	3.135978E-03	1.266554E-04
3.108242E+03	3.126312E-03	1.261051E-04
3.118173E+03	3.117865E-03	1.256042E-04
3.128103E+03	3.110698E-03	1.251549E-04
3.138034E+03	3.105023E-03	1.247655E-04
3.147964E+03	3.100750E-03	1.244323E-04
3.157895E+03	3.097799E-03	1.241517E-04
3.167825E+03	3.096679E-03	1.239439E-04
3.177756E+03	3.097022E-03	1.237941E-04
3.187686E+03	3.099190E-03	1.237163E-04
3.197617E+03	3.103118E-03	1.237077E-04
3.207547E+03	3.108889E-03	1.237712E-04
3.217478E+03	3.116731E-03	1.239158E-04
3.227408E+03	3.126591E-03	1.241388E-04
3.237339E+03	3.138711E-03	1.244497E-04
3.247269E+03	3.153192E-03	1.248519E-04
3.257200E+03	3.170004E-03	1.253440E-04
3.267130E+03	3.189269E-03	1.259303E-04
3.277061E+03	3.211249E-03	1.266209E-04
3.286991E+03	3.236084E-03	1.274205E-04
3.296922E+03	3.263914E-03	1.283344E-04
3.306852E+03	3.294898E-03	1.293683E-04
3.316783E+03	3.329059E-03	1.305224E-04
3.326713E+03	3.366714E-03	1.318087E-04
3.336643E+03	3.408185E-03	1.332390E-04
3.346574E+03	3.453390E-03	1.348097E-04
3.356504E+03	3.502673E-03	1.365332E-04
3.366435E+03	3.556249E-03	1.384174E-04
3.376365E+03	3.614340E-03	1.404700E-04
3.386296E+03	3.677319E-03	1.427047E-04
3.396226E+03	3.745278E-03	1.451242E-04
3.406157E+03	3.818455E-03	1.477367E-04
3.416087E+03	3.897092E-03	1.505507E-04
3.426018E+03	3.981429E-03	1.535744E-04
3.435948E+03	4.071858E-03	1.568218E-04
3.445879E+03	4.168621E-03	1.603011E-04
3.455809E+03	4.271642E-03	1.640081E-04
3.465740E+03	4.381621E-03	1.679686E-04
3.475670E+03	4.498465E-03	1.721776E-04
3.485601E+03	4.622388E-03	1.766419E-04
3.495531E+03	4.753935E-03	1.813811E-04
3.505462E+03	4.892979E-03	1.863888E-04
3.515392E+03	5.039713E-03	1.916708E-04
3.525323E+03	5.194691E-03	1.972468E-04
3.535253E+03	5.357755E-03	2.031090E-04
3.545184E+03	5.529472E-03	2.092773E-04
3.555114E+03	5.709672E-03	2.157437E-04
3.565045E+03	5.898749E-03	2.225213E-04
3.574975E+03	6.096917E-03	2.296162E-04
3.584906E+03	6.304604E-03	2.370429E-04
3.594836E+03	6.521627E-03	2.447925E-04
3.604767E+03	6.748634E-03	2.528873E-04
3.614697E+03	6.985650E-03	2.613263E-04
3.624628E+03	7.232901E-03	2.701158E-04
3.634558E+03	7.490830E-03	2.792702E-04
3.644489E+03	7.759406E-03	2.887862E-04
3.654419E+03	8.038782E-03	2.986673E-04
3.664350E+03	8.329316E-03	3.089244E-04
3.674280E+03	8.630806E-03	3.195477E-04
3.684211E+03	8.943201E-03	3.305330E-04
3.694141E+03	9.266614E-03	3.418822E-04
3.704071E+03	9.600777E-03	3.535830E-04
3.714002E+03	9.944975E-03	3.656069E-04
3.723932E+03	1.029858E-02	3.779284E-04
3.733863E+03	1.066136E-02	3.905373E-04
3.743793E+03	1.103137E-02	4.033602E-04
3.753724E+03	1.140825E-02	4.163820E-04
3.763654E+03	1.178947E-02	4.295096E-04
3.773585E+03	1.217418E-02	4.427106E-04
3.783515E+03	1.255964E-02	4.558847E-04
3.793446E+03	1.294383E-02	4.689582E-04
3.803376E+03	1.332380E-02	4.818246E-04
3.813307E+03	1.369710E-02	4.943960E-04
3.823237E+03	1.406037E-02	5.065528E-04
3.833168E+03	1.441092E-02	5.181995E-04
3.843098E+03	1.474561E-02	5.292264E-04
3.853029E+03	1.506101E-02	5.395132E-04
3.862959E+03	1.535453E-02	5.489717E-04
3.872890E+03	1.562308E-02	5.574955E-04
3.882820E+03	1.586462E-02	5.650173E-04
3.892751E+03	1.607713E-02	5.714704E-04
3.902681E+03	1.625826E-02	5.767778E-04
3.912612E+03	1.640811E-02	5.809493E-04
3.922542E+03	1.652502E-02	5.839326E-04
3.932473E+03	1.660981E-02	5.857637E-04
3.942403E+03	1.666306E-02	5.864700E-04
3.952334E+03	1.668556E-02	5.860854E-04
3.962264E+03	1.667894E-02	5.846738E-04
3.972195E+03	1.664530E-02	5.823151E-04
3.982125E+03	1.658714E-02	5.791019E-04
3.992056E+03	1.650729E-02	5.751384E-04
4.001986E+03	1.640921E-02	5.705495E-04
4.011917E+03	1.629546E-02	5.654283E-04
4.021847E+03	1.617021E-02	5.599220E-04
4.031778E+03	1.603628E-02	5.541315E-04
4.041708E+03	1.589754E-02	5.481918E-04
4.051639E+03	1.575753E-02	5.422256E-04
4.061569E+03	1.561936E-02	5.363403E-04
4.071500E+03	1.548668E-02	5.306609E-04
4.081430E+03	1.536264E-02	5.252936E-04
4.091360E+03	1.524963E-02	5.203184E-04
4.101291E+03	1.515132E-02	5.158583E-04
4.111221E+03	1.506943E-02	5.119676E-04
4.121152E+03	1.500659E-02	5.087330E-04
4.131082E+03	1.496523E-02	5.062320E-04
4.141013E+03	1.494672E-02	5.045062E-04
4.150943E+03	1.495308E-02	5.036189E-04
4.160874E+03	1.498560E-02	5.036075E-04
4.170804E+03	1.504615E-02	5.045297E-04
4.180735E+03	1.513508E-02	5.063905E-04
4.190665E+03	1.525389E-02	5.092335E-04
4.200596E+03	1.540298E-02	5.130659E-04
4.210526E+03	1.558276E-02	5.178943E-04
4.220457E+03	1.579357E-02	5.237230E-04
4.230387E+03	1.603421E-02	5.305056E-04
4.240318E+03	1.630462E-02	5.382333E-04
4.250248E+03	1.660274E-02	5.468316E-04
4.260179E+03	1.692634E-02	5.562207E-04
4.270109E+03	1.727228E-02	5.662924E-04
4.280040E+03	1.763673E-02	5.769158E-04
4.289970E+03	1.801391E-02	5.878982E-04
4.299901E+03	1.839776E-02	5.990399E-04
4.309831E+03	1.878088E-02	6.100982E-04
4.319762E+03	1.915464E-02	6.207940E-04
4.329692E+03	1.951036E-02	6.308488E-04
4.339623E+03	1.984018E-02	6.400129E-04
4.349553E+03	2.013822E-02	6.481033E-04
4.359484E+03	2.040112E-02	6.550189E-04
4.369414E+03	2.062829E-02	6.607492E-04
4.379345E+03	2.082145E-02	6.653568E-04
4.389275E+03	2.098439E-02	6.689710E-04
4.399206E+03	2.112173E-02	6.717449E-04
4.409136E+03	2.123811E-02	6.738321E-04
4.419067E+03	2.133749E-02	6.753622E-04
4.428997E+03	2.142367E-02	6.764589E-04
4.438928E+03	2.149922E-02	6.772069E-04
4.448858E+03	2.156520E-02	6.776414E-04
4.458788E+03	2.162263E-02	6.777964E-04
4.468719E+03	2.167175E-02	6.776817E-04
4.478649E+03	2.171088E-02	6.772467E-04
4.488580E+03	2.173933E-02	6.764721E-04
4.498510E+03	2.175542E-02	6.753082E-04
4.508441E+03	2.175662E-02	6.736798E-04
4.518371E+03	2.174125E-02	6.715378E-04
4.528302E+03	2.170734E-02	6.688258E-04
4.538232E+03	2.165287E-02	6.654859E-04
4.548163E+03	2.157667E-02	6.614871E-04
4.558093E+03	2.147749E-02	6.567960E-04
4.568024E+03	2.135484E-02	6.514030E-04
4.577954E+03	2.120859E-02	6.453095E-04
4.587885E+03	2.103973E-02	6.385514E-04
4.597815E+03	2.084962E-02	6.311746E-04
4.607746E+03	2.063990E-02	6.232341E-04
4.617676E+03	2.041326E-02	6.148154E-04
4.627607E+03	2.017201E-02	6.059913E-04
