#wls	flux	fluxerr
1.588878E+03	1.605129E-05	1.009895E-06
1.628600E+03	1.677157E-05	1.054086E-06
1.668322E+03	1.722723E-05	1.081535E-06
1.708044E+03	1.739046E-05	1.090550E-06
1.747766E+03	1.723345E-05	1.079450E-06
1.787488E+03	1.670945E-05	1.045380E-06
1.827210E+03	1.577673E-05	9.858164E-07
1.866931E+03	1.442686E-05	9.003326E-07
1.906653E+03	1.269976E-05	7.915241E-07
1.946375E+03	1.071524E-05	6.669485E-07
1.986097E+03	8.680584E-06	5.395670E-07
2.025819E+03	6.850277E-06	4.252011E-07
2.065541E+03	5.449448E-06	3.377630E-07
2.105263E+03	4.597061E-06	2.845091E-07
2.144985E+03	4.310677E-06	2.663793E-07
2.184707E+03	4.566434E-06	2.817433E-07
2.224429E+03	5.342480E-06	3.290960E-07
2.264151E+03	6.613372E-06	4.067125E-07
2.303873E+03	8.321864E-06	5.109180E-07
2.343595E+03	1.037627E-05	6.359438E-07
2.383317E+03	1.266427E-05	7.747910E-07
2.423039E+03	1.507788E-05	9.207714E-07
2.462761E+03	1.753028E-05	1.068531E-06
2.502483E+03	1.996108E-05	1.214362E-06
2.542205E+03	2.232917E-05	1.355754E-06
2.581927E+03	2.461585E-05	1.491578E-06
2.621648E+03	2.680850E-05	1.621079E-06
2.661370E+03	2.891200E-05	1.744568E-06
2.701092E+03	3.093067E-05	1.862319E-06
2.740814E+03	3.287883E-05	1.975208E-06
2.780536E+03	3.477266E-05	2.084214E-06
2.820258E+03	3.663665E-05	2.190806E-06
2.859980E+03	3.850080E-05	2.296767E-06
2.899702E+03	4.039576E-05	2.403904E-06
2.939424E+03	4.236398E-05	2.514703E-06
2.979146E+03	4.445567E-05	2.632085E-06
2.989076E+03	4.500491E-05	2.662866E-06
2.999007E+03	4.556446E-05	2.694205E-06
3.008937E+03	4.613905E-05	2.726380E-06
3.018868E+03	4.673112E-05	2.759533E-06
3.028798E+03	4.735344E-05	2.794415E-06
3.038729E+03	4.801953E-05	2.831820E-06
3.048659E+03	4.872748E-05	2.871629E-06
3.058590E+03	4.947564E-05	2.913740E-06
3.068520E+03	5.026266E-05	2.958068E-06
3.078451E+03	5.108947E-05	3.004662E-06
3.088381E+03	5.195133E-05	3.053239E-06
3.098312E+03	5.285161E-05	3.103992E-06
3.108242E+03	5.378804E-05	3.156782E-06
3.118173E+03	5.476255E-05	3.211717E-06
3.128103E+03	5.577326E-05	3.268683E-06
3.138034E+03	5.682050E-05	3.327692E-06
3.147964E+03	5.790470E-05	3.388765E-06
3.157895E+03	5.902883E-05	3.452071E-06
3.167825E+03	6.019159E-05	3.517527E-06
3.177756E+03	6.139417E-05	3.585199E-06
3.187686E+03	6.264001E-05	3.655279E-06
3.197617E+03	6.393071E-05	3.727856E-06
3.207547E+03	6.526339E-05	3.802755E-06
3.217478E+03	6.664674E-05	3.880475E-06
3.227408E+03	6.807826E-05	3.960865E-06
3.237339E+03	6.956018E-05	4.044046E-06
3.247269E+03	7.109725E-05	4.130287E-06
3.257200E+03	7.268968E-05	4.219591E-06
3.267130E+03	7.434265E-05	4.312252E-06
3.277061E+03	7.605921E-05	4.408436E-06
3.286991E+03	7.784254E-05	4.508318E-06
3.296922E+03	7.969343E-05	4.611935E-06
3.306852E+03	8.161534E-05	4.719475E-06
3.316783E+03	8.361727E-05	4.831448E-06
3.326713E+03	8.569779E-05	4.947759E-06
3.336643E+03	8.786374E-05	5.068791E-06
3.346574E+03	9.011941E-05	5.194777E-06
3.356504E+03	9.246644E-05	5.325800E-06
3.366435E+03	9.491227E-05	5.462273E-06
3.376365E+03	9.746471E-05	5.604629E-06
3.386296E+03	1.001230E-04	5.752811E-06
3.396226E+03	1.028954E-04	5.907271E-06
3.406157E+03	1.057842E-04	6.068124E-06
3.416087E+03	1.088010E-04	6.236025E-06
3.426018E+03	1.119488E-04	6.411114E-06
3.435948E+03	1.152301E-04	6.593522E-06
3.445879E+03	1.186576E-04	6.783947E-06
3.455809E+03	1.222343E-04	6.982546E-06
3.465740E+03	1.259633E-04	7.189461E-06
3.475670E+03	1.298579E-04	7.405435E-06
3.485601E+03	1.339214E-04	7.630627E-06
3.495531E+03	1.381606E-04	7.865399E-06
3.505462E+03	1.425785E-04	8.109888E-06
3.515392E+03	1.471896E-04	8.364892E-06
3.525323E+03	1.520010E-04	8.630784E-06
3.535253E+03	1.570118E-04	8.907480E-06
3.545184E+03	1.622329E-04	9.195560E-06
3.555114E+03	1.676753E-04	9.495620E-06
3.565045E+03	1.733373E-04	9.807524E-06
3.574975E+03	1.792343E-04	1.013210E-05
3.584906E+03	1.853683E-04	1.046943E-05
3.594836E+03	1.917502E-04	1.082009E-05
3.604767E+03	1.983766E-04	1.118384E-05
3.614697E+03	2.052628E-04	1.156150E-05
3.624628E+03	2.124091E-04	1.195305E-05
3.634558E+03	2.198202E-04	1.235871E-05
3.644489E+03	2.275005E-04	1.277867E-05
3.654419E+03	2.354535E-04	1.321310E-05
3.664350E+03	2.436881E-04	1.366243E-05
3.674280E+03	2.522013E-04	1.412646E-05
3.684211E+03	2.609950E-04	1.460523E-05
3.694141E+03	2.700702E-04	1.509876E-05
3.704071E+03	2.794334E-04	1.560737E-05
3.714002E+03	2.890785E-04	1.613065E-05
3.723932E+03	2.989977E-04	1.666812E-05
3.733863E+03	3.092024E-04	1.722038E-05
3.743793E+03	3.196837E-04	1.778687E-05
3.753724E+03	3.304391E-04	1.836739E-05
3.763654E+03	3.414651E-04	1.896172E-05
3.773585E+03	3.527661E-04	1.957004E-05
3.783515E+03	3.643242E-04	2.019131E-05
3.793446E+03	3.761436E-04	2.082571E-05
3.803376E+03	3.882220E-04	2.147307E-05
3.813307E+03	4.005584E-04	2.213328E-05
3.823237E+03	4.131610E-04	2.280676E-05
3.833168E+03	4.260065E-04	2.349215E-05
3.843098E+03	4.391233E-04	2.419098E-05
3.853029E+03	4.525073E-04	2.490297E-05
3.862959E+03	4.661529E-04	2.562776E-05
3.872890E+03	4.800667E-04	2.636567E-05
3.882820E+03	4.942356E-04	2.711593E-05
3.892751E+03	5.086211E-04	2.787636E-05
3.902681E+03	5.231878E-04	2.864500E-05
3.912612E+03	5.378684E-04	2.941812E-05
3.922542E+03	5.526066E-04	3.019263E-05
3.932473E+03	5.673190E-04	3.096394E-05
3.942403E+03	5.819387E-04	3.172842E-05
3.952334E+03	5.963754E-04	3.248116E-05
3.962264E+03	6.105474E-04	3.321773E-05
3.972195E+03	6.243730E-04	3.393373E-05
3.982125E+03	6.377837E-04	3.462551E-05
3.992056E+03	6.506845E-04	3.528798E-05
4.001986E+03	6.630270E-04	3.591859E-05
4.011917E+03	6.747825E-04	3.651590E-05
4.021847E+03	6.859098E-04	3.707776E-05
4.031778E+03	6.964266E-04	3.760525E-05
4.041708E+03	7.063513E-04	3.809946E-05
4.051639E+03	7.157455E-04	3.856381E-05
4.061569E+03	7.246753E-04	3.900196E-05
4.071500E+03	7.332047E-04	3.941742E-05
4.081430E+03	7.414179E-04	3.981477E-05
4.091360E+03	7.494154E-04	4.019948E-05
4.101291E+03	7.572679E-04	4.057537E-05
4.111221E+03	7.651001E-04	4.094912E-05
4.121152E+03	7.730046E-04	4.132571E-05
4.131082E+03	7.810796E-04	4.171034E-05
4.141013E+03	7.894649E-04	4.211046E-05
4.150943E+03	7.982503E-04	4.253079E-05
4.160874E+03	8.075478E-04	4.297721E-05
4.170804E+03	8.174761E-04	4.345594E-05
4.180735E+03	8.281211E-04	4.397143E-05
4.190665E+03	8.395685E-04	4.452809E-05
4.200596E+03	8.519011E-04	4.513015E-05
4.210526E+03	8.651437E-04	4.577877E-05
4.220457E+03	8.793468E-04	4.647643E-05
4.230387E+03	8.944819E-04	4.722148E-05
4.240318E+03	9.105127E-04	4.801181E-05
4.250248E+03	9.273922E-04	4.884478E-05
4.260179E+03	9.449713E-04	4.971239E-05
4.270109E+03	9.631276E-04	5.060808E-05
4.280040E+03	9.816639E-04	5.152138E-05
4.289970E+03	1.000366E-03	5.244102E-05
4.299901E+03	1.018980E-03	5.335364E-05
4.309831E+03	1.037283E-03	5.424758E-05
4.319762E+03	1.054986E-03	5.510788E-05
4.329692E+03	1.071843E-03	5.592172E-05
4.339623E+03	1.087640E-03	5.667819E-05
4.349553E+03	1.102186E-03	5.736748E-05
4.359484E+03	1.115422E-03	5.798683E-05
4.369414E+03	1.127522E-03	5.854544E-05
4.379345E+03	1.138887E-03	5.906438E-05
4.389275E+03	1.150019E-03	5.956975E-05
4.399206E+03	1.161417E-03	6.008752E-05
4.409136E+03	1.173576E-03	6.064308E-05
4.419067E+03	1.186965E-03	6.126055E-05
4.428997E+03	1.201947E-03	6.195841E-05
4.438928E+03	1.218876E-03	6.275463E-05
4.448858E+03	1.237987E-03	6.366089E-05
4.458788E+03	1.259422E-03	6.468408E-05
4.468719E+03	1.283260E-03	6.582777E-05
4.478649E+03	1.309442E-03	6.708856E-05
4.488580E+03	1.337829E-03	6.845889E-05
4.498510E+03	1.368156E-03	6.992471E-05
4.508441E+03	1.400009E-03	7.146463E-05
4.518371E+03	1.432943E-03	7.305563E-05
4.528302E+03	1.466372E-03	7.466766E-05
4.538232E+03	1.499638E-03	7.626719E-05
4.548163E+03	1.532095E-03	7.782143E-05
4.558093E+03	1.563012E-03	7.929346E-05
4.568024E+03	1.591716E-03	8.064940E-05
4.577954E+03	1.617634E-03	8.186079E-05
4.587885E+03	1.640208E-03	8.289987E-05
4.597815E+03	1.659043E-03	8.374743E-05
4.607746E+03	1.673882E-03	8.439109E-05
4.617676E+03	1.684627E-03	8.482679E-05
4.627607E+03	1.691248E-03	8.505376E-05
4.637537E+03	1.693905E-03	8.508083E-05
4.647468E+03	1.692789E-03	8.491827E-05
4.657398E+03	1.688162E-03	8.458006E-05
4.667329E+03	1.680405E-03	8.408580E-05
4.677259E+03	1.669860E-03	8.345319E-05
4.687190E+03	1.656964E-03	8.270467E-05
4.697120E+03	1.642137E-03	8.186156E-05
4.707051E+03	1.625845E-03	8.094743E-05
