#wls	flux	fluxerr
1.588878E+03	5.779437E-18	2.095298E-19
1.628600E+03	6.418508E-18	2.322872E-19
1.668322E+03	7.001480E-18	2.529236E-19
1.708044E+03	7.494150E-18	2.702133E-19
1.747766E+03	7.858938E-18	2.828193E-19
1.787488E+03	8.039511E-18	2.887425E-19
1.827210E+03	7.977537E-18	2.859305E-19
1.866931E+03	7.627868E-18	2.728220E-19
1.906653E+03	6.977677E-18	2.490260E-19
1.946375E+03	6.071810E-18	2.162131E-19
1.986097E+03	5.027555E-18	1.786169E-19
2.025819E+03	4.015416E-18	1.423209E-19
2.065541E+03	3.200039E-18	1.131453E-19
2.105263E+03	2.683812E-18	9.465537E-20
2.144985E+03	2.499791E-18	8.793818E-20
2.184707E+03	2.648062E-18	9.290739E-20
2.224429E+03	3.135948E-18	1.097251E-19
2.264151E+03	3.986172E-18	1.390830E-19
2.303873E+03	5.226379E-18	1.818297E-19
2.343595E+03	6.876945E-18	2.385444E-19
2.383317E+03	8.945090E-18	3.093366E-19
2.423039E+03	1.142267E-17	3.937760E-19
2.462761E+03	1.428482E-17	4.908543E-19
2.502483E+03	1.747966E-17	5.986414E-19
2.542205E+03	2.091663E-17	7.139054E-19
2.581927E+03	2.444892E-17	8.315371E-19
2.621648E+03	2.788922E-17	9.451223E-19
2.661370E+03	3.110194E-17	1.050085E-18
2.701092E+03	3.404145E-17	1.144946E-18
2.740814E+03	3.670181E-17	1.229583E-18
2.780536E+03	3.909931E-17	1.304622E-18
2.820258E+03	4.126740E-17	1.371257E-18
2.859980E+03	4.325279E-17	1.431105E-18
2.899702E+03	4.511293E-17	1.486115E-18
2.939424E+03	4.691065E-17	1.538381E-18
2.979146E+03	4.871870E-17	1.590283E-18
2.989076E+03	4.918106E-17	1.603484E-18
2.999007E+03	4.964945E-17	1.616835E-18
3.008937E+03	5.012600E-17	1.630404E-18
3.018868E+03	5.061466E-17	1.644318E-18
3.028798E+03	5.113020E-17	1.659055E-18
3.038729E+03	5.168648E-17	1.675060E-18
3.048659E+03	5.228154E-17	1.692265E-18
3.058590E+03	5.291493E-17	1.710650E-18
3.068520E+03	5.358331E-17	1.730102E-18
3.078451E+03	5.428687E-17	1.750623E-18
3.088381E+03	5.502294E-17	1.772122E-18
3.098312E+03	5.579231E-17	1.794619E-18
3.108242E+03	5.659284E-17	1.818041E-18
3.118173E+03	5.742509E-17	1.842402E-18
3.128103E+03	5.828831E-17	1.867674E-18
3.138034E+03	5.918372E-17	1.893890E-18
3.147964E+03	6.011115E-17	1.921041E-18
3.157895E+03	6.107249E-17	1.949182E-18
3.167825E+03	6.206818E-17	1.978323E-18
3.177756E+03	6.309897E-17	2.008482E-18
3.187686E+03	6.416839E-17	2.039765E-18
3.197617E+03	6.527662E-17	2.072174E-18
3.207547E+03	6.642620E-17	2.105782E-18
3.217478E+03	6.761850E-17	2.140627E-18
3.227408E+03	6.885225E-17	2.176662E-18
3.237339E+03	7.012869E-17	2.213920E-18
3.247269E+03	7.144482E-17	2.252300E-18
3.257200E+03	7.279569E-17	2.291640E-18
3.267130E+03	7.417700E-17	2.331798E-18
3.277061E+03	7.557702E-17	2.372402E-18
3.286991E+03	7.698627E-17	2.413150E-18
3.296922E+03	7.838948E-17	2.453563E-18
3.306852E+03	7.976989E-17	2.493117E-18
3.316783E+03	8.110832E-17	2.531215E-18
3.326713E+03	8.238305E-17	2.567185E-18
3.336643E+03	8.357356E-17	2.600396E-18
3.346574E+03	8.465654E-17	2.630134E-18
3.356504E+03	8.561445E-17	2.655872E-18
3.366435E+03	8.642866E-17	2.677047E-18
3.376365E+03	8.708677E-17	2.693297E-18
3.386296E+03	8.758271E-17	2.704454E-18
3.396226E+03	8.791322E-17	2.710443E-18
3.406157E+03	8.808492E-17	2.711490E-18
3.416087E+03	8.810457E-17	2.707826E-18
3.426018E+03	8.798788E-17	2.699954E-18
3.435948E+03	8.774985E-17	2.688355E-18
3.445879E+03	8.740674E-17	2.673543E-18
3.455809E+03	8.697125E-17	2.655922E-18
3.465740E+03	8.645802E-17	2.635953E-18
3.475670E+03	8.587190E-17	2.613796E-18
3.485601E+03	8.521653E-17	2.589570E-18
3.495531E+03	8.449235E-17	2.563303E-18
3.505462E+03	8.369478E-17	2.534865E-18
3.515392E+03	8.281768E-17	2.504082E-18
3.525323E+03	8.185405E-17	2.470756E-18
3.535253E+03	8.079636E-17	2.434675E-18
3.545184E+03	7.964001E-17	2.395714E-18
3.555114E+03	7.838324E-17	2.353838E-18
3.565045E+03	7.703185E-17	2.309236E-18
3.574975E+03	7.559389E-17	2.262166E-18
3.584906E+03	7.408843E-17	2.213212E-18
3.594836E+03	7.253856E-17	2.163073E-18
3.604767E+03	7.097613E-17	2.112708E-18
3.614697E+03	6.943719E-17	2.063188E-18
3.624628E+03	6.796239E-17	2.015719E-18
3.634558E+03	6.659472E-17	1.971563E-18
3.644489E+03	6.537757E-17	1.931985E-18
3.654419E+03	6.435341E-17	1.898216E-18
3.664350E+03	6.356161E-17	1.871385E-18
3.674280E+03	6.303897E-17	1.852533E-18
3.684211E+03	6.281875E-17	1.842594E-18
3.694141E+03	6.292776E-17	1.842302E-18
3.704071E+03	6.338946E-17	1.852288E-18
3.714002E+03	6.422061E-17	1.872981E-18
3.723932E+03	6.543036E-17	1.904585E-18
3.733863E+03	6.701984E-17	1.947068E-18
3.743793E+03	6.898061E-17	2.000121E-18
3.753724E+03	7.129029E-17	2.063030E-18
3.763654E+03	7.391470E-17	2.134747E-18
3.773585E+03	7.680434E-17	2.213789E-18
3.783515E+03	7.989428E-17	2.298241E-18
3.793446E+03	8.310794E-17	2.385867E-18
3.803376E+03	8.635766E-17	2.474133E-18
3.813307E+03	8.955179E-17	2.560407E-18
3.823237E+03	9.260060E-17	2.642139E-18
3.833168E+03	9.542290E-17	2.717039E-18
3.843098E+03	9.795150E-17	2.783236E-18
3.853029E+03	1.001400E-16	2.839467E-18
3.862959E+03	1.019618E-16	2.885032E-18
3.872890E+03	1.034127E-16	2.919885E-18
3.882820E+03	1.045053E-16	2.944442E-18
3.892751E+03	1.052672E-16	2.959542E-18
3.902681E+03	1.057353E-16	2.966283E-18
3.912612E+03	1.059518E-16	2.965898E-18
3.922542E+03	1.059601E-16	2.959645E-18
3.932473E+03	1.058020E-16	2.948728E-18
3.942403E+03	1.055154E-16	2.934230E-18
3.952334E+03	1.051355E-16	2.917152E-18
3.962264E+03	1.046913E-16	2.898316E-18
3.972195E+03	1.042087E-16	2.878452E-18
3.982125E+03	1.037074E-16	2.858106E-18
3.992056E+03	1.032029E-16	2.837708E-18
4.001986E+03	1.027070E-16	2.817585E-18
4.011917E+03	1.022250E-16	2.797884E-18
4.021847E+03	1.017593E-16	2.778663E-18
4.031778E+03	1.013086E-16	2.759886E-18
4.041708E+03	1.008696E-16	2.741459E-18
4.051639E+03	1.004380E-16	2.723269E-18
4.061569E+03	1.000076E-16	2.705140E-18
4.071500E+03	9.957492E-17	2.686984E-18
4.081430E+03	9.913864E-17	2.668764E-18
4.091360E+03	9.869687E-17	2.650430E-18
4.101291E+03	9.825342E-17	2.632086E-18
4.111221E+03	9.781126E-17	2.613813E-18
4.121152E+03	9.737802E-17	2.595814E-18
4.131082E+03	9.696353E-17	2.578348E-18
4.141013E+03	9.657748E-17	2.561670E-18
4.150943E+03	9.623512E-17	2.546178E-18
4.160874E+03	9.595239E-17	2.532284E-18
4.170804E+03	9.574975E-17	2.520516E-18
4.180735E+03	9.565182E-17	2.511503E-18
4.190665E+03	9.568819E-17	2.506000E-18
4.200596E+03	9.589400E-17	2.504897E-18
4.210526E+03	9.630748E-17	2.509157E-18
4.220457E+03	9.697072E-17	2.519831E-18
4.230387E+03	9.792909E-17	2.538043E-18
4.240318E+03	9.922352E-17	2.564790E-18
4.250248E+03	1.008965E-16	2.601100E-18
4.260179E+03	1.029807E-16	2.647730E-18
4.270109E+03	1.055020E-16	2.705261E-18
4.280040E+03	1.084736E-16	2.773936E-18
4.289970E+03	1.118932E-16	2.853601E-18
4.299901E+03	1.157401E-16	2.943639E-18
4.309831E+03	1.199699E-16	3.042830E-18
4.319762E+03	1.245146E-16	3.149368E-18
4.329692E+03	1.292765E-16	3.260726E-18
4.339623E+03	1.341332E-16	3.373772E-18
4.349553E+03	1.389367E-16	3.484777E-18
4.359484E+03	1.435232E-16	3.589650E-18
4.369414E+03	1.477206E-16	3.684143E-18
4.379345E+03	1.513656E-16	3.764276E-18
4.389275E+03	1.543196E-16	3.826729E-18
4.399206E+03	1.564807E-16	3.869130E-18
4.409136E+03	1.577885E-16	3.890160E-18
4.419067E+03	1.582364E-16	3.889837E-18
4.428997E+03	1.578612E-16	3.869251E-18
4.438928E+03	1.567376E-16	3.830407E-18
4.448858E+03	1.549746E-16	3.776120E-18
4.458788E+03	1.526965E-16	3.709553E-18
4.468719E+03	1.500384E-16	3.634093E-18
4.478649E+03	1.471362E-16	3.553101E-18
4.488580E+03	1.441170E-16	3.469696E-18
4.498510E+03	1.410889E-16	3.386500E-18
4.508441E+03	1.381458E-16	3.305761E-18
4.518371E+03	1.353521E-16	3.229002E-18
4.528302E+03	1.327564E-16	3.157344E-18
4.538232E+03	1.303815E-16	3.091287E-18
4.548163E+03	1.282345E-16	3.030952E-18
4.558093E+03	1.263064E-16	2.976078E-18
4.568024E+03	1.245798E-16	2.926208E-18
4.577954E+03	1.230304E-16	2.880730E-18
4.587885E+03	1.216324E-16	2.839005E-18
4.597815E+03	1.203589E-16	2.800372E-18
4.607746E+03	1.191876E-16	2.764288E-18
4.617676E+03	1.181038E-16	2.730394E-18
4.627607E+03	1.170968E-16	2.698419E-18
4.637537E+03	1.161633E-16	2.668278E-18
4.647468E+03	1.153059E-16	2.640010E-18
4.657398E+03	1.145323E-16	2.613774E-18
4.667329E+03	1.138464E-16	2.589645E-18
4.677259E+03	1.132530E-16	2.567708E-18
4.687190E+03	1.127506E-16	2.547915E-18
4.697120E+03	1.123333E-16	2.530108E-18
4.707051E+03	1.119869E-16	2.513953E-18
4.716981E+03	1.116940E-16	2.499045E-18
4.726912E+03	1.114360E-16	2.484958E-18
4.736842E+03	1.111945E-16	2.471276E-18
4.746773E+03	1.109538E-16	2.457646E-18
4.756703E+03	1.107070E-16	2.443921E-18
4.766634E+03	1.104521E-16	2.430053E-18
4.776564E+03	1.101975E-16	2.416235E-18
4.786495E+03	1.099593E-16	2.402814E-18
4.796425E+03	1.097591E-16	2.390262E-18
4.806356E+03	1.096237E-16	2.379151E-18
4.816286E+03	1.095778E-16	2.370002E-18
4.826216E+03	1.096485E-16	2.363379E-18
4.836147E+03	1.098562E-16	2.359695E-18
4.846077E+03	1.102166E-16	2.359257E-18
4.856008E+03	1.107405E-16	2.362264E-18
4.865938E+03	1.114305E-16	2.368733E-18
4.875869E+03	1.122851E-16	2.378598E-18
4.885799E+03	1.132961E-16	2.391649E-18
4.895730E+03	1.144522E-16	2.407618E-18
4.905660E+03	1.157398E-16	2.426187E-18
4.915591E+03	1.171411E-16	2.446958E-18
4.925521E+03	1.186379E-16	2.469528E-18
4.935452E+03	1.202092E-16	2.493441E-18
4.945382E+03	1.218302E-16	2.518172E-18
4.955313E+03	1.234757E-16	2.543191E-18
4.965243E+03	1.251152E-16	2.567871E-18
4.975174E+03	1.267188E-16	2.591602E-18
4.985104E+03	1.282486E-16	2.613622E-18
4.995035E+03	1.296725E-16	2.633299E-18
5.004965E+03	1.309534E-16	2.649904E-18
5.014896E+03	1.320588E-16	2.662819E-18
5.024826E+03	1.329629E-16	2.671561E-18
5.034757E+03	1.336408E-16	2.675679E-18
5.044687E+03	1.340778E-16	2.674931E-18
5.054618E+03	1.342639E-16	2.669170E-18
5.064548E+03	1.341999E-16	2.658465E-18
5.074479E+03	1.338886E-16	2.642926E-18
5.084409E+03	1.333412E-16	2.622830E-18
5.094340E+03	1.325764E-16	2.598589E-18
5.104270E+03	1.316117E-16	2.570595E-18
5.114201E+03	1.304700E-16	2.539332E-18
5.124131E+03	1.291717E-16	2.505234E-18
5.134062E+03	1.277394E-16	2.468772E-18
5.143992E+03	1.261881E-16	2.430259E-18
5.153923E+03	1.245317E-16	2.389986E-18
5.163853E+03	1.227827E-16	2.348216E-18
5.173784E+03	1.209468E-16	2.305072E-18
5.183714E+03	1.190316E-16	2.260717E-18
5.193644E+03	1.170424E-16	2.215265E-18
5.203575E+03	1.149898E-16	2.168929E-18
5.213505E+03	1.128819E-16	2.121873E-18
5.223436E+03	1.107325E-16	2.074364E-18
5.233366E+03	1.085600E-16	2.026753E-18
5.243297E+03	1.063803E-16	1.979339E-18
5.253227E+03	1.042138E-16	1.932498E-18
5.263158E+03	1.020783E-16	1.886555E-18
5.273088E+03	9.998914E-17	1.841784E-18
5.283019E+03	9.796087E-17	1.798443E-18
5.292949E+03	9.600047E-17	1.756646E-18
5.302880E+03	9.411275E-17	1.716466E-18
5.312810E+03	9.230063E-17	1.677941E-18
5.322741E+03	9.056052E-17	1.640991E-18
5.332671E+03	8.889066E-17	1.605568E-18
5.342602E+03	8.728514E-17	1.571552E-18
5.352532E+03	8.574106E-17	1.538877E-18
5.362463E+03	8.425573E-17	1.507480E-18
5.372393E+03	8.282766E-17	1.477321E-18
5.382324E+03	8.145629E-17	1.448379E-18
5.392254E+03	8.014110E-17	1.420631E-18
5.402185E+03	7.887973E-17	1.394025E-18
5.412115E+03	7.767027E-17	1.368514E-18
5.422046E+03	7.650613E-17	1.343973E-18
5.431976E+03	7.538613E-17	1.320372E-18
5.441907E+03	7.431961E-17	1.297863E-18
5.451837E+03	7.335665E-17	1.277309E-18
5.461768E+03	7.255275E-17	1.259656E-18
5.471698E+03	7.185996E-17	1.244047E-18
5.481629E+03	7.126399E-17	1.230218E-18
5.491559E+03	7.077840E-17	1.218387E-18
5.501490E+03	7.042277E-17	1.208873E-18
5.511420E+03	7.021314E-17	1.201930E-18
5.521351E+03	7.015711E-17	1.197666E-18
5.531281E+03	7.025683E-17	1.196097E-18
5.541212E+03	7.050649E-17	1.197101E-18
5.551142E+03	7.089877E-17	1.200535E-18
5.561072E+03	7.142113E-17	1.206166E-18
5.571003E+03	7.205967E-17	1.213745E-18
5.580933E+03	7.279929E-17	1.223003E-18
5.590864E+03	7.362412E-17	1.233661E-18
5.600794E+03	7.451846E-17	1.245447E-18
5.610725E+03	7.546356E-17	1.258040E-18
5.620655E+03	7.644214E-17	1.271148E-18
5.630586E+03	7.743507E-17	1.284451E-18
5.640516E+03	7.842210E-17	1.297613E-18
5.650447E+03	7.938198E-17	1.310286E-18
5.660377E+03	8.029278E-17	1.322112E-18
5.670308E+03	8.113236E-17	1.332736E-18
5.680238E+03	8.187897E-17	1.341810E-18
5.690169E+03	8.251088E-17	1.348990E-18
5.700099E+03	8.301072E-17	1.354009E-18
5.710030E+03	8.335974E-17	1.356575E-18
5.719960E+03	8.354578E-17	1.356510E-18
5.729891E+03	8.355663E-17	1.353634E-18
5.739821E+03	8.338697E-17	1.347879E-18
5.749752E+03	8.303506E-17	1.339237E-18
5.759682E+03	8.250370E-17	1.327773E-18
5.769613E+03	8.179990E-17	1.313616E-18
5.779543E+03	8.093428E-17	1.296954E-18
5.789474E+03	7.992014E-17	1.278016E-18
5.799404E+03	7.877181E-17	1.257042E-18
5.809335E+03	7.750728E-17	1.234331E-18
5.819265E+03	7.614152E-17	1.210132E-18
5.829196E+03	7.469309E-17	1.184746E-18
5.839126E+03	7.317707E-17	1.158418E-18
5.849057E+03	7.161117E-17	1.131431E-18
5.858987E+03	7.001236E-17	1.104057E-18
5.868918E+03	6.839888E-17	1.076582E-18
5.878848E+03	6.678721E-17	1.049265E-18
5.888779E+03	6.519715E-17	1.022414E-18
5.898709E+03	6.364869E-17	9.963376E-19
5.908640E+03	6.216270E-17	9.713563E-19
5.918570E+03	6.076056E-17	9.477963E-19
5.928500E+03	5.946407E-17	9.259886E-19
5.938431E+03	5.829191E-17	9.062131E-19
5.948361E+03	5.726291E-17	8.887509E-19
5.958292E+03	5.639261E-17	8.738301E-19
5.968222E+03	5.569392E-17	8.616378E-19
5.978153E+03	5.517429E-17	8.522755E-19
5.988083E+03	5.484008E-17	8.458275E-19
5.998014E+03	5.469174E-17	8.422878E-19
6.007944E+03	5.472640E-17	8.415993E-19
6.017875E+03	5.493686E-17	8.436398E-19
6.027805E+03	5.531137E-17	8.482181E-19
6.037736E+03	5.583396E-17	8.550800E-19
6.047666E+03	5.648158E-17	8.638655E-19
6.057597E+03	5.722904E-17	8.741834E-19
6.067527E+03	5.804471E-17	8.855471E-19
6.077458E+03	5.889512E-17	8.974445E-19
6.087388E+03	5.974371E-17	9.093192E-19
6.097319E+03	6.055508E-17	9.206350E-19
6.107249E+03	6.129677E-17	9.309029E-19
6.117180E+03	6.194263E-17	9.397313E-19
6.127110E+03	6.247270E-17	9.468238E-19
6.137041E+03	6.287837E-17	9.520570E-19
6.146971E+03	6.316024E-17	9.554464E-19
6.156902E+03	6.333151E-17	9.571979E-19
6.166832E+03	6.341465E-17	9.576555E-19
6.176763E+03	6.344516E-17	9.573577E-19
6.186693E+03	6.347409E-17	9.570752E-19
6.196624E+03	6.358502E-17	9.580666E-19
6.206554E+03	6.382645E-17	9.610587E-19
6.216485E+03	6.415023E-17	9.653227E-19
6.226415E+03	6.453530E-17	9.705391E-19
6.236346E+03	6.497512E-17	9.766078E-19
6.246276E+03	6.546671E-17	9.834823E-19
6.256207E+03	6.600702E-17	9.911155E-19
6.266137E+03	6.659209E-17	9.994471E-19
6.276068E+03	6.721709E-17	1.008403E-18
6.285998E+03	6.787673E-17	1.017905E-18
6.295929E+03	6.856678E-17	1.027887E-18
6.305859E+03	6.928147E-17	1.038263E-18
6.315789E+03	7.001757E-17	1.048984E-18
6.325720E+03	7.077021E-17	1.059978E-18
6.335650E+03	7.153671E-17	1.071204E-18
6.345581E+03	7.231214E-17	1.082589E-18
6.355511E+03	7.309312E-17	1.094081E-18
6.365442E+03	7.387347E-17	1.105588E-18
6.375372E+03	7.464928E-17	1.117053E-18
6.385303E+03	7.541165E-17	1.128341E-18
6.395233E+03	7.615417E-17	1.139357E-18
6.405164E+03	7.686777E-17	1.149966E-18
6.415094E+03	7.754655E-17	1.160080E-18
6.425025E+03	7.818023E-17	1.169543E-18
6.434955E+03	7.876347E-17	1.178278E-18
6.444886E+03	7.928714E-17	1.186146E-18
6.454816E+03	7.974791E-17	1.193098E-18
6.464747E+03	8.013911E-17	1.199034E-18
6.474677E+03	8.046054E-17	1.203950E-18
6.484608E+03	8.070902E-17	1.207798E-18
6.494538E+03	8.088802E-17	1.210629E-18
6.504469E+03	8.099914E-17	1.212466E-18
6.514399E+03	8.104670E-17	1.213374E-18
6.524330E+03	8.103621E-17	1.213433E-18
6.534260E+03	8.097523E-17	1.212757E-18
6.544191E+03	8.086936E-17	1.211427E-18
6.554121E+03	8.072551E-17	1.209547E-18
6.564052E+03	8.055178E-17	1.207237E-18
6.573982E+03	8.035219E-17	1.204557E-18
6.583913E+03	8.013546E-17	1.201637E-18
6.593843E+03	7.990738E-17	1.198562E-18
6.603774E+03	7.967213E-17	1.195396E-18
6.613704E+03	7.943490E-17	1.192215E-18
6.623635E+03	7.920197E-17	1.189113E-18
6.633565E+03	7.897691E-17	1.186145E-18
6.643496E+03	7.876450E-17	1.183381E-18
6.653426E+03	7.857060E-17	1.180909E-18
6.663357E+03	7.839969E-17	1.178797E-18
6.673287E+03	7.825455E-17	1.177088E-18
6.683217E+03	7.813882E-17	1.175836E-18
6.693148E+03	7.805676E-17	1.175106E-18
6.703078E+03	7.801043E-17	1.174929E-18
6.713009E+03	7.799953E-17	1.175302E-18
6.722939E+03	7.802523E-17	1.176244E-18
6.732870E+03	7.808491E-17	1.177716E-18
6.742800E+03	7.817735E-17	1.179700E-18
6.752731E+03	7.829771E-17	1.182124E-18
6.762661E+03	7.844288E-17	1.184943E-18
6.772592E+03	7.860633E-17	1.188058E-18
6.782522E+03	7.878369E-17	1.191405E-18
6.792453E+03	7.896890E-17	1.194893E-18
6.802383E+03	7.915422E-17	1.198404E-18
6.812314E+03	7.933470E-17	1.201866E-18
6.822244E+03	7.950406E-17	1.205182E-18
6.832175E+03	7.965489E-17	1.208241E-18
6.842105E+03	7.978296E-17	1.210979E-18
6.852036E+03	7.988310E-17	1.213317E-18
6.861966E+03	7.994936E-17	1.215165E-18
6.871897E+03	7.997786E-17	1.216462E-18
6.881827E+03	7.996837E-17	1.217206E-18
6.891758E+03	7.991566E-17	1.217315E-18
6.901688E+03	7.981964E-17	1.216788E-18
6.911619E+03	7.967809E-17	1.215590E-18
6.921549E+03	7.949247E-17	1.213742E-18
6.931480E+03	7.926345E-17	1.211253E-18
6.941410E+03	7.899073E-17	1.208117E-18
6.951341E+03	7.867741E-17	1.204381E-18
6.961271E+03	7.832536E-17	1.200072E-18
6.971202E+03	7.793645E-17	1.195218E-18
6.981132E+03	7.751105E-17	1.189824E-18
6.991063E+03	7.705077E-17	1.183912E-18
7.000993E+03	7.655990E-17	1.177548E-18
7.010924E+03	7.603627E-17	1.170697E-18
7.020854E+03	7.548171E-17	1.163386E-18
7.030785E+03	7.489454E-17	1.155588E-18
7.040715E+03	7.427553E-17	1.147313E-18
7.050645E+03	7.362342E-17	1.138541E-18
7.060576E+03	7.293657E-17	1.129243E-18
7.070506E+03	7.221157E-17	1.119366E-18
7.080437E+03	7.144772E-17	1.108896E-18
7.090367E+03	7.064137E-17	1.097775E-18
7.100298E+03	6.979199E-17	1.085990E-18
7.110228E+03	6.889786E-17	1.073513E-18
7.120159E+03	6.795640E-17	1.060299E-18
7.130089E+03	6.696996E-17	1.046383E-18
7.140020E+03	6.593475E-17	1.031700E-18
7.149950E+03	6.485626E-17	1.016332E-18
7.159881E+03	6.373414E-17	1.000271E-18
7.169811E+03	6.257319E-17	9.835866E-19
7.179742E+03	6.137662E-17	9.663258E-19
7.189672E+03	6.015128E-17	9.485925E-19
7.199603E+03	5.890357E-17	9.304838E-19
7.209533E+03	5.763939E-17	9.120897E-19
7.219464E+03	5.636780E-17	8.935507E-19
7.229394E+03	5.509569E-17	8.749735E-19
7.239325E+03	5.383250E-17	8.565063E-19
7.249255E+03	5.258635E-17	8.382775E-19
7.259186E+03	5.136502E-17	8.204105E-19
7.269116E+03	5.017472E-17	8.030050E-19
7.279047E+03	4.902214E-17	7.861693E-19
7.288977E+03	4.791428E-17	7.700171E-19
7.298908E+03	4.685628E-17	7.546342E-19
7.308838E+03	4.585258E-17	7.400951E-19
7.318769E+03	4.490592E-17	7.264479E-19
7.328699E+03	4.401952E-17	7.137493E-19
7.338630E+03	4.319707E-17	7.020643E-19
7.348560E+03	4.244071E-17	6.914334E-19
7.358491E+03	4.175115E-17	6.818746E-19
7.368421E+03	4.113051E-17	6.734291E-19
7.378352E+03	4.057927E-17	6.661120E-19
7.388282E+03	4.009632E-17	6.599131E-19
7.398213E+03	3.968063E-17	6.548232E-19
7.408143E+03	3.933138E-17	6.508357E-19
7.418073E+03	3.904602E-17	6.479158E-19
7.428004E+03	3.882051E-17	6.460035E-19
7.437934E+03	3.865215E-17	6.450613E-19
7.447865E+03	3.853712E-17	6.450319E-19
7.457795E+03	3.847045E-17	6.458390E-19
7.467726E+03	3.844805E-17	6.474199E-19
7.477656E+03	3.846656E-17	6.497243E-19
7.487587E+03	3.852155E-17	6.526825E-19
7.497517E+03	3.860723E-17	6.562017E-19
7.507448E+03	3.871919E-17	6.602108E-19
7.517378E+03	3.885038E-17	6.645934E-19
7.527309E+03	3.899516E-17	6.692555E-19
7.537239E+03	3.914793E-17	6.741024E-19
7.547170E+03	3.930737E-17	6.791128E-19
7.557100E+03	3.949177E-17	6.846042E-19
7.567031E+03	3.973980E-17	6.912535E-19
7.576961E+03	4.001066E-17	6.983599E-19
7.586892E+03	4.027690E-17	7.054464E-19
7.596822E+03	4.053008E-17	7.123636E-19
7.606753E+03	4.076805E-17	7.190712E-19
7.616683E+03	4.098776E-17	7.255124E-19
7.626614E+03	4.119098E-17	7.317146E-19
7.636544E+03	4.137342E-17	7.375980E-19
7.646475E+03	4.153214E-17	7.431058E-19
7.656405E+03	4.166472E-17	7.481894E-19
7.666336E+03	4.176628E-17	7.527552E-19
7.676266E+03	4.183383E-17	7.567430E-19
7.686197E+03	4.186350E-17	7.600747E-19
7.696127E+03	4.185041E-17	7.626535E-19
7.706058E+03	4.179108E-17	7.644064E-19
7.715988E+03	4.168363E-17	7.652885E-19
7.725919E+03	4.152558E-17	7.652437E-19
7.735849E+03	4.131396E-17	7.642056E-19
7.745780E+03	4.104769E-17	7.621423E-19
7.755710E+03	4.072747E-17	7.590544E-19
7.765641E+03	4.035278E-17	7.549197E-19
7.775571E+03	3.992601E-17	7.497705E-19
7.785501E+03	3.944941E-17	7.436371E-19
