#wls	flux	fluxerr
1.600000E+03	1.728114E-16	2.056243E-17
1.640000E+03	1.711739E-16	2.032810E-17
1.680000E+03	1.693562E-16	2.007218E-17
1.720000E+03	1.673807E-16	1.979744E-17
1.760000E+03	1.652513E-16	1.950449E-17
1.800000E+03	1.629931E-16	1.919642E-17
1.840000E+03	1.606225E-16	1.887528E-17
1.880000E+03	1.581477E-16	1.854212E-17
1.920000E+03	1.555957E-16	1.820026E-17
1.960000E+03	1.529763E-16	1.785088E-17
2.000000E+03	1.503162E-16	1.749722E-17
2.040000E+03	1.476249E-16	1.714044E-17
2.080000E+03	1.449281E-16	1.678357E-17
2.120000E+03	1.422340E-16	1.642763E-17
2.160000E+03	1.395659E-16	1.607532E-17
2.200000E+03	1.369306E-16	1.572744E-17
2.240000E+03	1.343415E-16	1.538555E-17
2.280000E+03	1.318177E-16	1.505181E-17
2.320000E+03	1.293632E-16	1.472666E-17
2.360000E+03	1.269949E-16	1.441198E-17
2.400000E+03	1.247154E-16	1.410802E-17
2.440000E+03	1.225338E-16	1.381574E-17
2.480000E+03	1.204586E-16	1.353605E-17
2.520000E+03	1.185045E-16	1.327049E-17
2.560000E+03	1.166684E-16	1.301861E-17
2.600000E+03	1.149711E-16	1.278262E-17
2.640000E+03	1.134167E-16	1.256285E-17
2.680000E+03	1.120161E-16	1.236034E-17
2.720000E+03	1.107813E-16	1.217624E-17
2.760000E+03	1.097254E-16	1.201180E-17
2.800000E+03	1.088631E-16	1.186839E-17
2.840000E+03	1.082106E-16	1.174754E-17
2.880000E+03	1.077858E-16	1.165088E-17
2.920000E+03	1.076034E-16	1.157970E-17
2.960000E+03	1.076902E-16	1.153650E-17
3.000000E+03	1.080697E-16	1.152340E-17
3.010000E+03	1.082126E-16	1.152502E-17
3.020000E+03	1.083755E-16	1.152866E-17
3.030000E+03	1.085636E-16	1.153488E-17
3.040000E+03	1.087680E-16	1.154271E-17
3.050000E+03	1.089936E-16	1.155267E-17
3.060000E+03	1.092412E-16	1.156483E-17
3.070000E+03	1.095159E-16	1.157973E-17
3.080000E+03	1.098086E-16	1.159639E-17
3.090000E+03	1.101246E-16	1.161536E-17
3.100000E+03	1.104692E-16	1.163720E-17
3.110000E+03	1.108334E-16	1.166095E-17
3.120000E+03	1.112272E-16	1.168764E-17
3.130000E+03	1.116417E-16	1.171633E-17
3.140000E+03	1.120869E-16	1.174806E-17
3.150000E+03	1.125539E-16	1.178188E-17
3.160000E+03	1.130529E-16	1.181885E-17
3.170000E+03	1.135796E-16	1.185851E-17
3.180000E+03	1.141297E-16	1.190040E-17
3.190000E+03	1.147137E-16	1.194559E-17
3.200000E+03	1.153273E-16	1.199363E-17
3.210000E+03	1.159662E-16	1.204407E-17
3.220000E+03	1.166409E-16	1.209796E-17
3.230000E+03	1.173471E-16	1.215487E-17
3.240000E+03	1.180857E-16	1.221485E-17
3.250000E+03	1.188522E-16	1.227744E-17
3.260000E+03	1.196575E-16	1.234373E-17
3.270000E+03	1.204971E-16	1.241327E-17
3.280000E+03	1.213720E-16	1.248611E-17
3.290000E+03	1.222828E-16	1.256233E-17
3.300000E+03	1.232304E-16	1.264198E-17
3.310000E+03	1.242155E-16	1.272513E-17
3.320000E+03	1.252391E-16	1.281185E-17
3.330000E+03	1.262967E-16	1.290168E-17
3.340000E+03	1.273996E-16	1.299574E-17
3.350000E+03	1.285435E-16	1.309357E-17
3.360000E+03	1.297293E-16	1.319525E-17
3.370000E+03	1.309580E-16	1.330086E-17
3.380000E+03	1.322304E-16	1.341046E-17
3.390000E+03	1.335476E-16	1.352413E-17
3.400000E+03	1.349106E-16	1.364196E-17
3.410000E+03	1.363204E-16	1.376403E-17
3.420000E+03	1.377780E-16	1.389041E-17
3.430000E+03	1.392845E-16	1.402119E-17
3.440000E+03	1.408411E-16	1.415646E-17
3.450000E+03	1.424488E-16	1.429630E-17
3.460000E+03	1.441089E-16	1.444081E-17
3.470000E+03	1.458225E-16	1.459008E-17
3.480000E+03	1.475908E-16	1.474420E-17
3.490000E+03	1.494151E-16	1.490328E-17
3.500000E+03	1.512968E-16	1.506740E-17
3.510000E+03	1.532370E-16	1.523667E-17
3.520000E+03	1.552373E-16	1.541120E-17
3.530000E+03	1.572989E-16	1.559110E-17
3.540000E+03	1.594233E-16	1.577647E-17
3.550000E+03	1.616121E-16	1.596742E-17
3.560000E+03	1.638602E-16	1.616344E-17
3.570000E+03	1.661820E-16	1.636591E-17
3.580000E+03	1.685729E-16	1.657432E-17
3.590000E+03	1.710343E-16	1.678880E-17
3.600000E+03	1.735680E-16	1.700947E-17
3.610000E+03	1.761758E-16	1.723647E-17
3.620000E+03	1.788594E-16	1.746992E-17
3.630000E+03	1.816136E-16	1.770928E-17
3.640000E+03	1.844541E-16	1.795604E-17
