#wls	flux	fluxerr
1.600000E+03	9.782023E-17	1.125492E-16
1.640000E+03	9.692338E-17	1.108885E-16
1.680000E+03	9.591043E-17	1.091147E-16
1.720000E+03	9.479462E-17	1.072467E-16
1.760000E+03	9.358466E-17	1.052978E-16
1.800000E+03	9.229037E-17	1.032818E-16
1.840000E+03	9.091748E-17	1.012073E-16
1.880000E+03	8.948759E-17	9.910011E-17
1.920000E+03	8.800268E-17	9.696321E-17
1.960000E+03	8.648444E-17	9.482087E-17
2.000000E+03	8.493554E-17	9.267571E-17
2.040000E+03	8.337677E-17	9.054960E-17
2.080000E+03	8.181054E-17	8.844386E-17
2.120000E+03	8.025184E-17	8.637301E-17
2.160000E+03	7.871040E-17	8.434547E-17
2.200000E+03	7.719504E-17	8.236831E-17
2.240000E+03	7.571363E-17	8.044740E-17
2.280000E+03	7.426957E-17	7.858356E-17
2.320000E+03	7.287629E-17	7.678812E-17
2.360000E+03	7.153210E-17	7.505623E-17
2.400000E+03	7.024543E-17	7.339355E-17
2.440000E+03	6.902070E-17	7.180137E-17
2.480000E+03	6.785904E-17	7.027740E-17
2.520000E+03	6.677099E-17	6.882886E-17
2.560000E+03	6.575493E-17	6.745017E-17
2.600000E+03	6.481602E-17	6.614251E-17
2.640000E+03	6.396283E-17	6.491016E-17
2.680000E+03	6.320173E-17	6.375478E-17
2.720000E+03	6.253480E-17	6.267325E-17
2.760000E+03	6.197868E-17	6.167655E-17
2.800000E+03	6.153786E-17	6.076284E-17
2.840000E+03	6.122363E-17	5.993630E-17
2.880000E+03	6.104873E-17	5.920163E-17
2.920000E+03	6.102747E-17	5.856395E-17
2.960000E+03	6.117830E-17	5.803093E-17
3.000000E+03	6.151420E-17	5.760336E-17
3.010000E+03	6.163080E-17	5.751493E-17
3.020000E+03	6.176037E-17	5.743335E-17
3.030000E+03	6.190327E-17	5.735872E-17
3.040000E+03	6.205982E-17	5.729112E-17
3.050000E+03	6.223040E-17	5.723061E-17
3.060000E+03	6.241536E-17	5.717727E-17
3.070000E+03	6.261508E-17	5.713118E-17
3.080000E+03	6.283235E-17	5.709458E-17
3.090000E+03	6.306276E-17	5.706316E-17
3.100000E+03	6.331152E-17	5.704134E-17
3.110000E+03	6.357664E-17	5.702698E-17
3.120000E+03	6.385854E-17	5.702014E-17
3.130000E+03	6.415767E-17	5.702085E-17
3.140000E+03	6.447446E-17	5.702916E-17
3.150000E+03	6.480938E-17	5.704508E-17
3.160000E+03	6.516289E-17	5.706865E-17
3.170000E+03	6.553792E-17	5.710201E-17
3.180000E+03	6.593007E-17	5.714089E-17
3.190000E+03	6.634475E-17	5.718956E-17
3.200000E+03	6.677756E-17	5.724375E-17
3.210000E+03	6.723396E-17	5.730768E-17
3.220000E+03	6.771204E-17	5.737921E-17
3.230000E+03	6.821235E-17	5.745829E-17
3.240000E+03	6.873546E-17	5.754488E-17
3.250000E+03	6.928196E-17	5.763890E-17
3.260000E+03	6.985244E-17	5.774029E-17
3.270000E+03	7.045007E-17	5.785105E-17
3.280000E+03	7.107039E-17	5.796688E-17
3.290000E+03	7.171917E-17	5.809188E-17
3.300000E+03	7.239191E-17	5.822171E-17
3.310000E+03	7.309449E-17	5.836043E-17
3.320000E+03	7.382235E-17	5.850368E-17
3.330000E+03	7.458150E-17	5.865549E-17
3.340000E+03	7.537003E-17	5.881358E-17
3.350000E+03	7.618869E-17	5.897773E-17
3.360000E+03	7.703825E-17	5.914772E-17
3.370000E+03	7.791949E-17	5.932333E-17
3.380000E+03	7.883323E-17	5.950429E-17
3.390000E+03	7.978030E-17	5.969033E-17
3.400000E+03	8.076153E-17	5.988116E-17
3.410000E+03	8.177782E-17	6.007648E-17
3.420000E+03	8.283293E-17	6.027806E-17
3.430000E+03	8.392205E-17	6.048136E-17
3.440000E+03	8.504897E-17	6.068812E-17
3.450000E+03	8.621765E-17	6.090007E-17
3.460000E+03	8.742316E-17	6.111262E-17
3.470000E+03	8.867253E-17	6.132955E-17
3.480000E+03	8.996382E-17	6.154836E-17
3.490000E+03	9.129501E-17	6.176647E-17
3.500000E+03	9.267342E-17	6.198768E-17
3.510000E+03	9.409714E-17	6.220939E-17
3.520000E+03	9.556410E-17	6.242902E-17
3.530000E+03	9.708199E-17	6.265032E-17
3.540000E+03	9.864887E-17	6.287068E-17
3.550000E+03	1.002660E-16	6.308958E-17
3.560000E+03	1.019349E-16	6.330653E-17
3.570000E+03	1.036567E-16	6.352102E-17
3.580000E+03	1.054331E-16	6.373252E-17
3.590000E+03	1.072619E-16	6.393840E-17
3.600000E+03	1.091518E-16	6.414242E-17
3.610000E+03	1.111008E-16	6.434193E-17
3.620000E+03	1.131106E-16	6.453646E-17
3.630000E+03	1.151829E-16	6.472551E-17
3.640000E+03	1.173196E-16	6.490862E-17
3.650000E+03	1.195223E-16	6.508536E-17
3.660000E+03	1.217932E-16	6.525528E-17
3.670000E+03	1.241381E-16	6.542015E-17
3.680000E+03	1.265511E-16	6.557531E-17
3.690000E+03	1.290384E-16	6.572258E-17
3.700000E+03	1.316021E-16	6.586166E-17
3.710000E+03	1.342444E-16	6.599231E-17
3.720000E+03	1.369679E-16	6.611433E-17
3.730000E+03	1.397748E-16	6.622759E-17
3.740000E+03	1.426677E-16	6.633200E-17
3.750000E+03	1.456491E-16	6.642756E-17
3.760000E+03	1.487219E-16	6.651432E-17
3.770000E+03	1.518887E-16	6.659243E-17
3.780000E+03	1.551523E-16	6.666211E-17
3.790000E+03	1.585158E-16	6.672370E-17
3.800000E+03	1.619769E-16	6.677550E-17
3.810000E+03	1.655489E-16	6.682227E-17
3.820000E+03	1.692299E-16	6.686255E-17
3.830000E+03	1.730233E-16	6.689711E-17
3.840000E+03	1.769322E-16	6.692686E-17
3.850000E+03	1.809545E-16	6.695074E-17
3.860000E+03	1.851049E-16	6.697413E-17
3.870000E+03	1.893813E-16	6.699626E-17
3.880000E+03	1.937815E-16	6.701652E-17
3.890000E+03	1.983211E-16	6.704069E-17
3.900000E+03	2.029980E-16	6.706847E-17
3.910000E+03	2.078098E-16	6.709967E-17
3.920000E+03	2.127668E-16	6.713838E-17
3.930000E+03	2.178797E-16	6.718880E-17
3.940000E+03	2.231396E-16	6.724897E-17
3.950000E+03	2.285578E-16	6.732318E-17
3.960000E+03	2.341458E-16	6.741572E-17
3.970000E+03	2.398946E-16	6.752464E-17
3.980000E+03	2.458161E-16	6.765404E-17
3.990000E+03	2.519158E-16	6.780578E-17
4.000000E+03	2.581993E-16	6.798144E-17
4.010000E+03	2.646645E-16	6.818021E-17
4.020000E+03	2.713335E-16	6.840699E-17
4.030000E+03	2.782051E-16	6.865998E-17
4.040000E+03	2.852776E-16	6.893674E-17
4.050000E+03	2.925751E-16	6.924031E-17
4.060000E+03	3.000880E-16	6.956463E-17
4.070000E+03	3.078417E-16	6.991107E-17
4.080000E+03	3.158260E-16	7.027172E-17
4.090000E+03	3.240579E-16	7.064386E-17
4.100000E+03	3.325453E-16	7.102166E-17
4.110000E+03	3.412959E-16	7.139815E-17
4.120000E+03	3.503168E-16	7.176524E-17
4.130000E+03	3.596146E-16	7.211368E-17
4.140000E+03	3.691838E-16	7.243098E-17
4.150000E+03	3.790495E-16	7.270984E-17
4.160000E+03	3.891920E-16	7.293344E-17
4.170000E+03	3.996333E-16	7.309241E-17
4.180000E+03	4.103470E-16	7.316798E-17
4.190000E+03	4.213376E-16	7.314698E-17
4.200000E+03	4.325939E-16	7.301359E-17
4.210000E+03	4.440997E-16	7.275172E-17
4.220000E+03	4.558201E-16	7.234329E-17
4.230000E+03	4.677528E-16	7.177715E-17
4.240000E+03	4.798359E-16	7.103512E-17
4.250000E+03	4.920392E-16	7.010743E-17
4.260000E+03	5.043252E-16	6.898748E-17
4.270000E+03	5.166046E-16	6.766743E-17
4.280000E+03	5.288214E-16	6.615185E-17
4.290000E+03	5.408807E-16	6.445010E-17
4.300000E+03	5.527243E-16	6.258826E-17
4.310000E+03	5.642243E-16	6.059921E-17
4.320000E+03	5.753084E-16	5.854014E-17
4.330000E+03	5.858358E-16	5.648141E-17
4.340000E+03	5.957120E-16	5.451998E-17
4.350000E+03	6.048115E-16	5.276984E-17
4.360000E+03	6.130661E-16	5.136325E-17
4.370000E+03	6.203688E-16	5.042866E-17
4.380000E+03	6.266287E-16	5.007561E-17
4.390000E+03	6.318096E-16	5.037555E-17
4.400000E+03	6.358797E-16	5.134157E-17
4.410000E+03	6.388296E-16	5.292769E-17
4.420000E+03	6.406552E-16	5.503960E-17
4.430000E+03	6.414267E-16	5.756080E-17
4.440000E+03	6.411612E-16	6.036175E-17
4.450000E+03	6.399419E-16	6.332500E-17
4.460000E+03	6.378434E-16	6.634705E-17
4.470000E+03	6.349453E-16	6.934280E-17
4.480000E+03	6.313116E-16	7.224345E-17
4.490000E+03	6.270574E-16	7.500248E-17
4.500000E+03	6.222263E-16	7.757958E-17
4.510000E+03	6.169093E-16	7.995207E-17
4.520000E+03	6.111586E-16	8.210250E-17
4.530000E+03	6.050708E-16	8.402753E-17
4.540000E+03	5.986709E-16	8.572079E-17
4.550000E+03	5.920274E-16	8.718715E-17
4.560000E+03	5.851875E-16	8.843266E-17
4.570000E+03	5.781931E-16	8.946595E-17
4.580000E+03	5.710669E-16	9.029507E-17
4.590000E+03	5.638585E-16	9.093421E-17
4.600000E+03	5.565988E-16	9.139605E-17
4.610000E+03	5.493160E-16	9.169386E-17
4.620000E+03	5.420361E-16	9.184116E-17
4.630000E+03	5.347691E-16	9.184916E-17
4.640000E+03	5.275526E-16	9.173390E-17
4.650000E+03	5.204085E-16	9.150881E-17
4.660000E+03	5.133579E-16	9.118704E-17
4.670000E+03	5.064082E-16	9.077901E-17
4.680000E+03	4.995931E-16	9.029956E-17
4.690000E+03	4.929325E-16	8.976063E-17
4.700000E+03	4.864455E-16	8.917369E-17
4.710000E+03	4.801388E-16	8.854733E-17
4.720000E+03	4.740437E-16	8.789426E-17
4.730000E+03	4.681782E-16	8.722424E-17
4.740000E+03	4.625598E-16	8.654641E-17
4.750000E+03	4.571931E-16	8.586704E-17
4.760000E+03	4.521063E-16	8.519625E-17
4.770000E+03	4.473140E-16	8.454126E-17
4.780000E+03	4.428301E-16	8.390860E-17
4.790000E+03	4.386554E-16	8.330200E-17
4.800000E+03	4.348128E-16	8.272889E-17
4.810000E+03	4.313119E-16	8.219385E-17
4.820000E+03	4.281496E-16	8.169876E-17
4.830000E+03	4.253548E-16	8.125119E-17
4.840000E+03	4.229103E-16	8.084975E-17
4.850000E+03	4.208199E-16	8.049670E-17
4.860000E+03	4.191070E-16	8.019789E-17
4.870000E+03	4.177505E-16	7.995043E-17
4.880000E+03	4.167601E-16	7.975713E-17
4.890000E+03	4.161229E-16	7.961630E-17
4.900000E+03	4.158568E-16	7.953196E-17
4.910000E+03	4.159360E-16	7.949963E-17
4.920000E+03	4.163554E-16	7.951858E-17
4.930000E+03	4.171299E-16	7.959179E-17
4.940000E+03	4.182317E-16	7.971389E-17
4.950000E+03	4.196644E-16	7.988532E-17
4.960000E+03	4.214098E-16	8.010221E-17
4.970000E+03	4.234709E-16	8.036455E-17
4.980000E+03	4.258399E-16	8.067009E-17
4.990000E+03	4.285090E-16	8.101636E-17
5.000000E+03	4.314596E-16	8.139869E-17
5.010000E+03	4.346947E-16	8.181628E-17
5.020000E+03	4.382064E-16	8.226608E-17
5.030000E+03	4.419757E-16	8.274278E-17
5.040000E+03	4.460054E-16	8.324492E-17
5.050000E+03	4.502869E-16	8.376875E-17
5.060000E+03	4.547995E-16	8.430809E-17
5.070000E+03	4.595444E-16	8.486058E-17
5.080000E+03	4.645102E-16	8.542137E-17
5.090000E+03	4.696842E-16	8.598515E-17
5.100000E+03	4.750400E-16	8.654392E-17
5.110000E+03	4.805728E-16	8.709338E-17
5.120000E+03	4.862516E-16	8.762427E-17
5.130000E+03	4.920671E-16	8.813099E-17
5.140000E+03	4.979956E-16	8.860507E-17
5.150000E+03	5.039983E-16	8.903515E-17
5.160000E+03	5.100587E-16	8.941355E-17
5.170000E+03	5.161460E-16	8.972970E-17
5.180000E+03	5.222273E-16	8.997248E-17
5.190000E+03	5.282551E-16	9.012802E-17
5.200000E+03	5.341937E-16	9.018421E-17
5.210000E+03	5.400328E-16	9.013308E-17
5.220000E+03	5.457101E-16	8.995768E-17
5.230000E+03	5.511894E-16	8.964545E-17
5.240000E+03	5.564626E-16	8.918830E-17
5.250000E+03	5.614694E-16	8.856973E-17
5.260000E+03	5.661779E-16	8.777806E-17
5.270000E+03	5.705856E-16	8.680644E-17
5.280000E+03	5.746375E-16	8.564025E-17
5.290000E+03	5.783083E-16	8.427014E-17
5.300000E+03	5.815885E-16	8.268985E-17
5.310000E+03	5.844573E-16	8.089230E-17
5.320000E+03	5.868953E-16	7.887193E-17
5.330000E+03	5.888709E-16	7.662311E-17
5.340000E+03	5.903819E-16	7.414615E-17
5.350000E+03	5.913986E-16	7.144028E-17
5.360000E+03	5.919209E-16	6.851143E-17
5.370000E+03	5.919344E-16	6.536759E-17
5.380000E+03	5.914113E-16	6.202018E-17
5.390000E+03	5.903524E-16	5.849007E-17
5.400000E+03	5.887444E-16	5.480464E-17
5.410000E+03	5.865607E-16	5.100079E-17
5.420000E+03	5.838037E-16	4.713236E-17
5.430000E+03	5.804493E-16	4.326987E-17
5.440000E+03	5.765036E-16	3.951147E-17
5.450000E+03	5.719617E-16	3.598663E-17
5.460000E+03	5.668099E-16	3.286179E-17
5.470000E+03	5.610672E-16	3.033872E-17
5.480000E+03	5.547465E-16	2.862490E-17
5.490000E+03	5.478574E-16	2.787317E-17
5.500000E+03	5.404342E-16	2.810775E-17
5.510000E+03	5.325491E-16	2.920012E-17
5.520000E+03	5.242329E-16	3.092437E-17
5.530000E+03	5.155614E-16	3.304376E-17
5.540000E+03	5.065898E-16	3.535674E-17
5.550000E+03	4.974004E-16	3.771418E-17
5.560000E+03	4.880523E-16	4.001168E-17
5.570000E+03	4.786274E-16	4.218300E-17
5.580000E+03	4.691944E-16	4.418784E-17
5.590000E+03	4.598085E-16	4.600398E-17
5.600000E+03	4.505438E-16	4.762475E-17
5.610000E+03	4.414593E-16	4.905191E-17
5.620000E+03	4.325994E-16	5.029243E-17
5.630000E+03	4.240244E-16	5.135984E-17
5.640000E+03	4.157689E-16	5.226793E-17
5.650000E+03	4.078819E-16	5.303429E-17
5.660000E+03	4.003872E-16	5.367456E-17
5.670000E+03	3.933309E-16	5.420791E-17
5.680000E+03	3.867065E-16	5.464652E-17
5.690000E+03	3.805567E-16	5.500900E-17
5.700000E+03	3.748725E-16	5.530630E-17
5.710000E+03	3.696576E-16	5.555029E-17
5.720000E+03	3.649265E-16	5.575379E-17
5.730000E+03	3.606454E-16	5.592143E-17
5.740000E+03	3.568259E-16	5.606386E-17
5.750000E+03	3.534322E-16	5.618353E-17
5.760000E+03	3.504405E-16	5.628385E-17
5.770000E+03	3.478302E-16	5.636793E-17
5.780000E+03	3.455682E-16	5.643613E-17
5.790000E+03	3.436175E-16	5.648747E-17
5.800000E+03	3.419297E-16	5.651845E-17
5.810000E+03	3.404618E-16	5.652585E-17
5.820000E+03	3.391765E-16	5.650690E-17
5.830000E+03	3.380273E-16	5.645687E-17
5.840000E+03	3.369677E-16	5.637061E-17
5.850000E+03	3.359445E-16	5.624143E-17
5.860000E+03	3.349141E-16	5.606401E-17
5.870000E+03	3.338445E-16	5.583454E-17
5.880000E+03	3.327005E-16	5.554842E-17
5.890000E+03	3.314451E-16	5.520050E-17
5.900000E+03	3.300641E-16	5.478904E-17
5.910000E+03	3.285435E-16	5.431209E-17
5.920000E+03	3.268706E-16	5.376759E-17
5.930000E+03	3.250572E-16	5.315720E-17
5.940000E+03	3.231094E-16	5.248131E-17
5.950000E+03	3.210574E-16	5.174388E-17
5.960000E+03	3.189327E-16	5.094868E-17
5.970000E+03	3.167673E-16	5.009918E-17
5.980000E+03	3.146148E-16	4.920182E-17
5.990000E+03	3.125202E-16	4.826117E-17
6.000000E+03	3.105473E-16	4.728417E-17
6.010000E+03	3.087494E-16	4.627538E-17
6.020000E+03	3.072034E-16	4.524218E-17
6.030000E+03	3.059523E-16	4.418595E-17
6.040000E+03	3.050823E-16	4.311336E-17
6.050000E+03	3.046443E-16	4.202477E-17
6.060000E+03	3.047033E-16	4.092122E-17
6.070000E+03	3.053305E-16	3.980309E-17
6.080000E+03	3.065897E-16	3.866808E-17
6.090000E+03	3.085371E-16	3.751123E-17
6.100000E+03	3.112427E-16	3.632754E-17
6.110000E+03	3.147693E-16	3.510935E-17
6.120000E+03	3.191725E-16	3.384666E-17
6.130000E+03	3.245223E-16	3.252992E-17
6.140000E+03	3.308745E-16	3.114760E-17
6.150000E+03	3.382994E-16	2.969045E-17
6.160000E+03	3.468519E-16	2.815073E-17
6.170000E+03	3.566007E-16	2.652853E-17
6.180000E+03	3.676040E-16	2.483565E-17
6.190000E+03	3.799061E-16	2.310559E-17
6.200000E+03	3.935585E-16	2.141112E-17
6.210000E+03	4.085901E-16	1.988559E-17
6.220000E+03	4.249976E-16	1.874780E-17
6.230000E+03	4.427634E-16	1.830317E-17
6.240000E+03	4.618074E-16	1.886537E-17
6.250000E+03	4.820196E-16	2.060650E-17
6.260000E+03	5.032244E-16	2.347755E-17
6.270000E+03	5.251715E-16	2.729011E-17
6.280000E+03	5.475704E-16	3.183095E-17
6.290000E+03	5.700499E-16	3.691081E-17
6.300000E+03	5.922180E-16	4.237200E-17
6.310000E+03	6.136252E-16	4.807602E-17
6.320000E+03	6.338486E-16	5.389952E-17
6.330000E+03	6.524136E-16	5.972172E-17
6.340000E+03	6.688966E-16	6.542902E-17
6.350000E+03	6.829323E-16	7.091536E-17
6.360000E+03	6.942014E-16	7.608148E-17
