#wls	flux	fluxerr
1.588878E+03	3.904582E-03	5.025941E-05
1.628600E+03	4.199120E-03	5.319759E-05
1.668322E+03	4.520976E-03	5.634338E-05
1.708044E+03	4.872717E-03	5.970879E-05
1.747766E+03	5.255437E-03	6.328554E-05
1.787488E+03	5.671320E-03	6.707694E-05
1.827210E+03	6.121224E-03	7.106870E-05
1.866931E+03	6.606459E-03	7.525058E-05
1.906653E+03	7.127122E-03	7.959739E-05
1.946375E+03	7.682347E-03	8.407309E-05
1.986097E+03	8.268854E-03	8.861645E-05
2.025819E+03	8.882963E-03	9.316506E-05
2.065541E+03	9.518646E-03	9.763593E-05
2.105263E+03	1.016594E-02	1.019126E-04
2.144985E+03	1.081269E-02	1.058669E-04
2.184707E+03	1.144271E-02	1.093443E-04
2.224429E+03	1.203750E-02	1.121849E-04
2.264151E+03	1.258066E-02	1.142667E-04
2.303873E+03	1.305804E-02	1.155041E-04
2.343595E+03	1.346537E-02	1.159113E-04
2.383317E+03	1.380375E-02	1.155528E-04
2.423039E+03	1.408463E-02	1.145770E-04
2.462761E+03	1.433973E-02	1.132825E-04
2.502483E+03	1.463207E-02	1.121790E-04
2.542205E+03	1.508368E-02	1.121578E-04
2.581927E+03	1.592854E-02	1.148074E-04
2.621648E+03	1.736863E-02	1.212880E-04
2.661370E+03	1.953085E-02	1.320858E-04
2.701092E+03	2.232580E-02	1.461828E-04
2.740814E+03	2.558154E-02	1.621429E-04
2.780536E+03	2.912321E-02	1.786716E-04
2.820258E+03	3.276574E-02	1.945605E-04
2.859980E+03	3.630437E-02	2.086403E-04
2.899702E+03	3.951753E-02	2.198059E-04
2.939424E+03	4.217864E-02	2.270838E-04
2.979146E+03	4.407249E-02	2.297088E-04
2.989076E+03	4.440305E-02	2.295721E-04
2.999007E+03	4.467183E-02	2.291103E-04
3.008937E+03	4.487538E-02	2.283145E-04
3.018868E+03	4.501347E-02	2.271919E-04
3.028798E+03	4.508318E-02	2.257365E-04
3.038729E+03	4.508287E-02	2.239487E-04
3.048659E+03	4.501122E-02	2.218308E-04
3.058590E+03	4.486914E-02	2.193957E-04
3.068520E+03	4.465408E-02	2.166397E-04
3.078451E+03	4.436762E-02	2.135787E-04
3.088381E+03	4.400896E-02	2.102170E-04
3.098312E+03	4.357946E-02	2.065689E-04
3.108242E+03	4.308004E-02	2.026463E-04
3.118173E+03	4.251199E-02	1.984626E-04
3.128103E+03	4.187707E-02	1.940326E-04
3.138034E+03	4.117822E-02	1.893765E-04
3.147964E+03	4.041725E-02	1.845082E-04
3.157895E+03	3.959791E-02	1.794503E-04
3.167825E+03	3.872358E-02	1.742229E-04
3.177756E+03	3.779804E-02	1.688472E-04
3.187686E+03	3.682611E-02	1.633481E-04
3.197617E+03	3.581101E-02	1.577428E-04
3.207547E+03	3.475945E-02	1.520633E-04
3.217478E+03	3.367476E-02	1.463256E-04
3.227408E+03	3.256408E-02	1.405617E-04
3.237339E+03	3.143191E-02	1.347914E-04
3.247269E+03	3.028461E-02	1.290416E-04
3.257200E+03	2.912816E-02	1.233368E-04
3.267130E+03	2.796818E-02	1.176992E-04
3.277061E+03	2.681172E-02	1.121564E-04
3.286991E+03	2.566411E-02	1.067281E-04
3.296922E+03	2.453159E-02	1.014370E-04
3.306852E+03	2.342089E-02	9.630739E-05
3.316783E+03	2.233709E-02	9.135626E-05
3.326713E+03	2.128596E-02	8.660285E-05
3.336643E+03	2.027320E-02	8.206524E-05
3.346574E+03	1.930468E-02	7.776169E-05
3.356504E+03	1.838542E-02	7.370688E-05
3.366435E+03	1.752097E-02	6.991754E-05
3.376365E+03	1.671705E-02	6.641102E-05
3.386296E+03	1.597883E-02	6.320244E-05
3.396226E+03	1.531152E-02	6.030701E-05
3.406157E+03	1.471932E-02	5.773598E-05
3.416087E+03	1.420515E-02	5.549573E-05
3.426018E+03	1.376634E-02	5.357084E-05
3.435948E+03	1.338411E-02	5.188402E-05
3.445879E+03	1.299141E-02	5.017287E-05
3.455809E+03	1.248064E-02	4.802289E-05
3.465740E+03	1.196050E-02	4.585492E-05
3.475670E+03	1.150162E-02	4.393833E-05
3.485601E+03	1.111485E-02	4.231113E-05
3.495531E+03	1.079423E-02	4.094721E-05
3.505462E+03	1.053033E-02	3.980772E-05
3.515392E+03	1.031398E-02	3.885540E-05
3.525323E+03	1.013713E-02	3.805783E-05
3.535253E+03	9.993420E-03	3.738921E-05
3.545184E+03	9.877378E-03	3.682757E-05
3.555114E+03	9.784869E-03	3.635616E-05
3.565045E+03	9.712725E-03	3.596205E-05
