#wls	flux	fluxerr
1.588878E+03	2.815458E-07	8.853771E-09
1.628600E+03	2.866556E-07	8.998858E-09
1.668322E+03	2.877671E-07	9.017702E-09
1.708044E+03	2.847619E-07	8.907255E-09
1.747766E+03	2.775708E-07	8.666068E-09
1.787488E+03	2.655471E-07	8.274746E-09
1.827210E+03	2.483285E-07	7.722939E-09
1.866931E+03	2.257482E-07	7.006493E-09
1.906653E+03	1.983957E-07	6.144776E-09
1.946375E+03	1.677935E-07	5.185884E-09
1.986097E+03	1.368122E-07	4.219123E-09
2.025819E+03	1.090118E-07	3.354256E-09
2.065541E+03	8.767539E-08	2.691537E-09
2.105263E+03	7.470687E-08	2.288008E-09
2.144985E+03	7.049963E-08	2.153932E-09
2.184707E+03	7.484356E-08	2.280976E-09
2.224429E+03	8.746290E-08	2.658789E-09
2.264151E+03	1.080190E-07	3.275108E-09
2.303873E+03	1.356957E-07	4.103256E-09
2.343595E+03	1.692728E-07	5.104552E-09
2.383317E+03	2.073009E-07	6.233752E-09
2.423039E+03	2.483927E-07	7.447914E-09
2.462761E+03	2.916691E-07	8.719722E-09
2.502483E+03	3.365554E-07	1.003121E-08
2.542205E+03	3.828921E-07	1.137694E-08
2.581927E+03	4.308216E-07	1.276045E-08
2.621648E+03	4.808021E-07	1.419451E-08
2.661370E+03	5.333261E-07	1.569272E-08
2.701092E+03	5.891058E-07	1.727488E-08
2.740814E+03	6.489998E-07	1.896475E-08
2.780536E+03	7.141408E-07	2.079366E-08
2.820258E+03	7.856171E-07	2.279113E-08
2.859980E+03	8.648281E-07	2.499510E-08
2.899702E+03	9.535907E-07	2.745485E-08
2.939424E+03	1.053573E-06	3.021447E-08
2.979146E+03	1.167489E-06	3.334700E-08
2.989076E+03	1.198392E-06	3.419481E-08
2.999007E+03	1.230588E-06	3.507750E-08
3.008937E+03	1.263719E-06	3.598476E-08
3.018868E+03	1.298127E-06	3.692625E-08
3.028798E+03	1.334415E-06	3.791891E-08
3.038729E+03	1.372554E-06	3.896180E-08
3.048659E+03	1.412774E-06	4.006122E-08
3.058590E+03	1.455335E-06	4.122435E-08
3.068520E+03	1.499780E-06	4.243805E-08
3.078451E+03	1.546376E-06	4.370965E-08
3.088381E+03	1.595428E-06	4.504752E-08
3.098312E+03	1.646450E-06	4.643776E-08
3.108242E+03	1.699751E-06	4.788887E-08
3.118173E+03	1.755680E-06	4.941042E-08
3.128103E+03	1.813721E-06	5.098763E-08
3.138034E+03	1.874538E-06	5.263895E-08
3.147964E+03	1.937591E-06	5.434891E-08
3.157895E+03	2.003597E-06	5.613742E-08
3.167825E+03	2.071988E-06	5.798823E-08
3.177756E+03	2.143540E-06	5.992280E-08
3.187686E+03	2.217652E-06	6.192403E-08
3.197617E+03	2.295163E-06	6.401502E-08
3.207547E+03	2.375440E-06	6.617778E-08
3.217478E+03	2.459387E-06	6.843719E-08
3.227408E+03	2.546335E-06	7.077426E-08
3.237339E+03	2.637262E-06	7.321577E-08
3.247269E+03	2.731457E-06	7.574165E-08
3.257200E+03	2.829977E-06	7.838076E-08
3.267130E+03	2.932555E-06	8.112529E-08
3.277061E+03	3.038871E-06	8.396593E-08
3.286991E+03	3.150109E-06	8.693493E-08
3.296922E+03	3.265444E-06	9.000903E-08
3.306852E+03	3.386152E-06	9.322294E-08
3.316783E+03	3.511939E-06	9.656794E-08
3.326713E+03	3.642440E-06	1.000334E-07
3.336643E+03	3.779087E-06	1.036582E-07
3.346574E+03	3.921559E-06	1.074328E-07
3.356504E+03	4.069459E-06	1.113456E-07
3.366435E+03	4.224393E-06	1.154400E-07
3.376365E+03	4.386011E-06	1.197056E-07
3.386296E+03	4.554626E-06	1.241502E-07
3.396226E+03	4.729787E-06	1.287608E-07
3.406157E+03	4.913359E-06	1.335872E-07
3.416087E+03	5.104944E-06	1.386177E-07
3.426018E+03	5.304038E-06	1.438377E-07
3.435948E+03	5.512729E-06	1.493030E-07
3.445879E+03	5.730572E-06	1.550004E-07
3.455809E+03	5.957973E-06	1.609398E-07
3.465740E+03	6.194339E-06	1.671040E-07
3.475670E+03	6.442090E-06	1.735574E-07
3.485601E+03	6.700696E-06	1.802841E-07
3.495531E+03	6.970614E-06	1.872954E-07
3.505462E+03	7.252309E-06	1.946023E-07
3.515392E+03	7.545040E-06	2.021836E-07
3.525323E+03	7.851696E-06	2.101153E-07
3.535253E+03	8.171603E-06	2.183778E-07
3.545184E+03	8.505263E-06	2.269828E-07
3.555114E+03	8.853191E-06	2.359425E-07
3.565045E+03	9.214410E-06	2.452291E-07
3.574975E+03	9.592374E-06	2.549329E-07
3.584906E+03	9.986164E-06	2.650275E-07
3.594836E+03	1.039632E-05	2.755252E-07
3.604767E+03	1.082335E-05	2.864376E-07
3.614697E+03	1.126779E-05	2.977766E-07
3.624628E+03	1.172823E-05	3.095033E-07
3.634558E+03	1.220893E-05	3.217273E-07
3.644489E+03	1.270853E-05	3.344111E-07
3.654419E+03	1.322752E-05	3.475648E-07
3.664350E+03	1.376636E-05	3.611983E-07
3.674280E+03	1.432550E-05	3.753205E-07
3.684211E+03	1.490533E-05	3.899398E-07
3.694141E+03	1.550377E-05	4.049987E-07
3.704071E+03	1.612608E-05	4.206320E-07
3.714002E+03	1.677016E-05	4.367827E-07
3.723932E+03	1.743632E-05	4.534555E-07
3.733863E+03	1.812481E-05	4.706541E-07
3.743793E+03	1.883582E-05	4.883810E-07
3.753724E+03	1.956952E-05	5.066375E-07
3.763654E+03	2.032601E-05	5.254232E-07
3.773585E+03	2.110196E-05	5.446495E-07
3.783515E+03	2.190404E-05	5.644852E-07
3.793446E+03	2.272890E-05	5.848414E-07
3.803376E+03	2.357642E-05	6.057120E-07
3.813307E+03	2.444645E-05	6.270896E-07
3.823237E+03	2.533872E-05	6.489650E-07
3.833168E+03	2.625295E-05	6.713275E-07
3.843098E+03	2.718875E-05	6.941648E-07
3.853029E+03	2.814120E-05	7.173484E-07
3.862959E+03	2.911864E-05	7.410882E-07
3.872890E+03	3.011619E-05	7.652570E-07
3.882820E+03	3.113320E-05	7.898358E-07
3.892751E+03	3.216903E-05	8.148051E-07
3.902681E+03	3.322293E-05	8.401441E-07
3.912612E+03	3.429414E-05	8.658307E-07
3.922542E+03	3.537619E-05	8.916998E-07
3.932473E+03	3.647932E-05	9.180072E-07
3.942403E+03	3.759717E-05	9.445900E-07
3.952334E+03	3.872879E-05	9.714230E-07
3.962264E+03	3.987324E-05	9.984801E-07
3.972195E+03	4.102954E-05	1.025735E-06
3.982125E+03	4.218999E-05	1.052994E-06
3.992056E+03	4.336682E-05	1.080562E-06
4.001986E+03	4.455250E-05	1.108247E-06
4.011917E+03	4.574604E-05	1.136026E-06
4.021847E+03	4.694647E-05	1.163871E-06
4.031778E+03	4.814519E-05	1.191570E-06
4.041708E+03	4.935631E-05	1.219471E-06
4.051639E+03	5.057150E-05	1.247367E-06
4.061569E+03	5.178988E-05	1.275235E-06
4.071500E+03	5.300223E-05	1.302848E-06
4.081430E+03	5.422431E-05	1.330594E-06
4.091360E+03	5.544718E-05	1.358251E-06
4.101291E+03	5.667017E-05	1.385805E-06
4.111221E+03	5.788349E-05	1.413014E-06
4.121152E+03	5.910463E-05	1.440307E-06
4.131082E+03	6.032409E-05	1.467452E-06
4.141013E+03	6.154144E-05	1.494438E-06
4.150943E+03	6.274639E-05	1.521016E-06
4.160874E+03	6.395814E-05	1.547651E-06
4.170804E+03	6.516672E-05	1.574103E-06
4.180735E+03	6.636151E-05	1.600115E-06
4.190665E+03	6.756299E-05	1.626182E-06
4.200596E+03	6.876082E-05	1.652055E-06
4.210526E+03	6.994401E-05	1.677470E-06
4.220457E+03	7.113431E-05	1.702951E-06
4.230387E+03	7.230970E-05	1.727970E-06
4.240318E+03	7.349273E-05	1.753067E-06
4.250248E+03	7.467245E-05	1.777980E-06
4.260179E+03	7.583723E-05	1.802434E-06
4.270109E+03	7.701078E-05	1.826992E-06
4.280040E+03	7.816954E-05	1.851096E-06
4.289970E+03	7.933799E-05	1.875327E-06
4.299901E+03	8.049185E-05	1.899110E-06
4.309831E+03	8.165629E-05	1.923040E-06
4.319762E+03	8.280632E-05	1.946529E-06
4.329692E+03	8.396773E-05	1.970183E-06
4.339623E+03	8.511472E-05	1.993398E-06
4.349553E+03	8.627360E-05	2.016790E-06
4.359484E+03	8.741765E-05	2.039734E-06
4.369414E+03	8.857358E-05	2.062855E-06
4.379345E+03	8.971366E-05	2.085506E-06
4.389275E+03	9.086494E-05	2.108318E-06
4.399206E+03	9.199872E-05	2.130625E-06
4.409136E+03	9.312807E-05	2.152731E-06
4.419067E+03	9.426664E-05	2.174953E-06
4.428997E+03	9.538444E-05	2.196597E-06
4.438928E+03	9.649481E-05	2.217975E-06
4.448858E+03	9.761174E-05	2.239408E-06
4.458788E+03	9.870406E-05	2.260182E-06
4.468719E+03	9.978556E-05	2.280615E-06
4.478649E+03	1.008706E-04	2.301036E-06
4.488580E+03	1.019272E-04	2.320715E-06
4.498510E+03	1.029696E-04	2.339980E-06
4.508441E+03	1.039966E-04	2.358809E-06
4.518371E+03	1.050074E-04	2.377180E-06
4.528302E+03	1.060173E-04	2.395443E-06
4.538232E+03	1.069929E-04	2.412846E-06
4.548163E+03	1.079496E-04	2.429741E-06
4.558093E+03	1.088869E-04	2.446114E-06
4.568024E+03	1.098040E-04	2.461957E-06
4.577954E+03	1.107007E-04	2.477261E-06
4.587885E+03	1.115765E-04	2.492023E-06
4.597815E+03	1.124314E-04	2.506241E-06
4.607746E+03	1.132653E-04	2.519917E-06
4.617676E+03	1.140782E-04	2.533057E-06
4.627607E+03	1.148705E-04	2.545667E-06
4.637537E+03	1.156424E-04	2.557758E-06
4.647468E+03	1.163945E-04	2.569346E-06
4.657398E+03	1.171275E-04	2.580446E-06
4.667329E+03	1.178420E-04	2.591076E-06
4.677259E+03	1.185390E-04	2.601260E-06
4.687190E+03	1.192195E-04	2.611021E-06
4.697120E+03	1.198844E-04	2.620383E-06
4.707051E+03	1.205351E-04	2.629376E-06
4.716981E+03	1.211727E-04	2.638028E-06
4.726912E+03	1.217800E-04	2.645964E-06
4.736842E+03	1.223953E-04	2.654023E-06
4.746773E+03	1.230016E-04	2.661833E-06
4.756703E+03	1.236003E-04	2.669425E-06
4.766634E+03	1.241738E-04	2.676424E-06
4.776564E+03	1.247614E-04	2.683675E-06
4.786495E+03	1.253456E-04	2.690802E-06
4.796425E+03	1.259086E-04	2.697424E-06
4.806356E+03	1.264899E-04	2.704390E-06
4.816286E+03	1.270717E-04	2.711316E-06
4.826216E+03	1.276359E-04	2.717817E-06
4.836147E+03	1.282223E-04	2.724741E-06
4.846077E+03	1.287930E-04	2.731283E-06
4.856008E+03	1.293881E-04	2.738293E-06
4.865938E+03	1.299890E-04	2.745375E-06
4.875869E+03	1.305767E-04	2.752127E-06
4.885799E+03	1.311715E-04	2.758978E-06
4.895730E+03	1.317940E-04	2.766361E-06
4.905660E+03	1.324047E-04	2.773448E-06
4.915591E+03	1.330443E-04	2.781084E-06
4.925521E+03	1.336726E-04	2.788434E-06
4.935452E+03	1.343304E-04	2.796346E-06
4.945382E+03	1.349772E-04	2.803974E-06
4.955313E+03	1.356332E-04	2.811741E-06
4.965243E+03	1.362983E-04	2.819644E-06
4.975174E+03	1.369932E-04	2.828107E-06
4.985104E+03	1.376762E-04	2.836270E-06
4.995035E+03	1.383676E-04	2.844553E-06
5.004965E+03	1.390671E-04	2.852945E-06
5.014896E+03	1.397953E-04	2.861871E-06
5.024826E+03	1.405096E-04	2.870455E-06
5.034757E+03	1.412304E-04	2.879117E-06
5.044687E+03	1.419571E-04	2.887842E-06
5.054618E+03	1.426889E-04	2.896618E-06
5.064548E+03	1.434252E-04	2.905429E-06
5.074479E+03	1.441652E-04	2.914260E-06
5.084409E+03	1.449081E-04	2.923094E-06
5.094340E+03	1.456531E-04	2.931916E-06
5.104270E+03	1.463992E-04	2.940709E-06
5.114201E+03	1.471457E-04	2.949455E-06
5.124131E+03	1.478917E-04	2.958139E-06
5.134062E+03	1.486363E-04	2.966742E-06
5.143992E+03	1.493785E-04	2.975249E-06
5.153923E+03	1.501176E-04	2.983642E-06
5.163853E+03	1.508525E-04	2.991905E-06
5.173784E+03	1.515825E-04	3.000024E-06
5.183714E+03	1.522839E-04	3.007530E-06
5.193644E+03	1.530014E-04	3.015313E-06
5.203575E+03	1.537116E-04	3.022907E-06
5.213505E+03	1.544136E-04	3.030299E-06
5.223436E+03	1.550834E-04	3.037022E-06
5.233366E+03	1.557668E-04	3.043974E-06
5.243297E+03	1.564400E-04	3.050690E-06
5.253227E+03	1.570789E-04	3.056704E-06
5.263158E+03	1.577297E-04	3.062921E-06
5.273088E+03	1.583687E-04	3.068877E-06
5.283019E+03	1.589714E-04	3.074104E-06
5.292949E+03	1.595849E-04	3.079516E-06
5.302880E+03	1.601611E-04	3.084187E-06
5.312810E+03	1.607476E-04	3.089034E-06
5.322741E+03	1.612958E-04	3.093131E-06
5.332671E+03	1.618538E-04	3.097399E-06
5.342602E+03	1.623727E-04	3.100909E-06
5.352532E+03	1.629010E-04	3.104586E-06
5.362463E+03	1.633896E-04	3.107502E-06
5.372393E+03	1.638628E-04	3.110120E-06
5.382324E+03	1.643449E-04	3.112905E-06
5.392254E+03	1.647867E-04	3.114929E-06
5.402185E+03	1.652127E-04	3.116659E-06
5.412115E+03	1.656477E-04	3.118564E-06
5.422046E+03	1.660423E-04	3.119718E-06
5.431976E+03	1.664213E-04	3.120594E-06
5.441907E+03	1.667852E-04	3.121199E-06
5.451837E+03	1.671591E-04	3.122011E-06
5.461768E+03	1.674936E-04	3.122106E-06
5.471698E+03	1.678139E-04	3.121961E-06
5.481629E+03	1.681206E-04	3.121587E-06
5.491559E+03	1.684143E-04	3.120996E-06
5.501490E+03	1.686954E-04	3.120205E-06
5.511420E+03	1.689650E-04	3.119229E-06
5.521351E+03	1.692238E-04	3.118089E-06
5.531281E+03	1.694981E-04	3.117269E-06
5.541212E+03	1.697387E-04	3.115864E-06
5.551142E+03	1.699719E-04	3.114362E-06
5.561072E+03	1.701737E-04	3.112326E-06
5.571003E+03	1.703962E-04	3.110711E-06
5.580933E+03	1.706154E-04	3.109080E-06
5.590864E+03	1.708329E-04	3.107462E-06
5.600794E+03	1.710502E-04	3.105888E-06
5.610725E+03	1.712690E-04	3.104387E-06
5.620655E+03	1.714907E-04	3.102989E-06
5.630586E+03	1.717170E-04	3.101724E-06
5.640516E+03	1.719494E-04	3.100621E-06
5.650447E+03	1.721640E-04	3.099250E-06
5.660377E+03	1.724135E-04	3.098561E-06
5.670308E+03	1.726738E-04	3.098119E-06
5.680238E+03	1.729463E-04	3.097952E-06
5.690169E+03	1.732066E-04	3.097625E-06
5.700099E+03	1.735075E-04	3.098080E-06
5.710030E+03	1.738244E-04	3.098881E-06
5.719960E+03	1.741327E-04	3.099586E-06
5.729891E+03	1.744850E-04	3.101135E-06
5.739821E+03	1.748564E-04	3.103084E-06
5.749752E+03	1.752215E-04	3.104985E-06
5.759682E+03	1.756333E-04	3.107775E-06
5.769613E+03	1.760400E-04	3.110541E-06
5.779543E+03	1.764946E-04	3.114217E-06
5.789474E+03	1.769450E-04	3.117886E-06
5.799404E+03	1.774440E-04	3.122480E-06
5.809335E+03	1.779395E-04	3.127080E-06
5.819265E+03	1.784843E-04	3.132619E-06
5.829196E+03	1.790258E-04	3.138171E-06
5.839126E+03	1.796174E-04	3.144675E-06
5.849057E+03	1.802060E-04	3.151202E-06
5.858987E+03	1.808185E-04	3.158223E-06
5.868918E+03	1.814820E-04	3.166215E-06
5.878848E+03	1.821432E-04	3.174248E-06
5.888779E+03	1.828292E-04	3.182797E-06
5.898709E+03	1.835680E-04	3.192349E-06
5.908640E+03	1.843055E-04	3.201968E-06
5.918570E+03	1.850697E-04	3.212140E-06
5.928500E+03	1.858889E-04	3.223358E-06
5.938431E+03	1.867089E-04	3.234685E-06
5.948361E+03	1.875581E-04	3.246615E-06
5.958292E+03	1.884374E-04	3.259169E-06
5.968222E+03	1.893480E-04	3.272366E-06
5.978153E+03	1.903191E-04	3.286717E-06
5.988083E+03	1.912956E-04	3.301270E-06
5.998014E+03	1.923066E-04	3.316532E-06
6.007944E+03	1.933533E-04	3.332525E-06
6.017875E+03	1.944366E-04	3.349270E-06
6.027805E+03	1.955575E-04	3.366785E-06
6.037736E+03	1.967166E-04	3.385087E-06
6.047666E+03	1.979145E-04	3.404188E-06
6.057597E+03	1.991516E-04	3.424101E-06
6.067527E+03	2.004280E-04	3.444828E-06
6.077458E+03	2.017434E-04	3.466372E-06
6.087388E+03	2.030971E-04	3.488726E-06
6.097319E+03	2.044884E-04	3.511880E-06
6.107249E+03	2.059157E-04	3.535813E-06
6.117180E+03	2.073773E-04	3.560501E-06
