#wls	flux	fluxerr
1.588878E+03	2.257632E-20	7.046318E-21
1.628600E+03	2.292942E-20	7.102655E-21
1.668322E+03	2.293961E-20	7.050890E-21
1.708044E+03	2.260534E-20	6.892998E-21
1.747766E+03	2.191892E-20	6.629207E-21
1.787488E+03	2.084694E-20	6.252208E-21
1.827210E+03	1.936425E-20	5.757588E-21
1.866931E+03	1.746169E-20	5.146031E-21
1.906653E+03	1.520478E-20	4.440241E-21
1.946375E+03	1.272724E-20	3.682064E-21
1.986097E+03	1.025607E-20	2.938706E-21
2.025819E+03	8.068434E-21	2.289107E-21
2.065541E+03	6.409275E-21	1.799978E-21
2.105263E+03	5.402412E-21	1.501425E-21
2.144985E+03	5.064301E-21	1.392402E-21
2.184707E+03	5.366235E-21	1.459190E-21
2.224429E+03	6.288646E-21	1.690672E-21
2.264151E+03	7.813294E-21	2.076133E-21
2.303873E+03	9.894104E-21	2.597585E-21
2.343595E+03	1.244835E-20	3.227946E-21
2.383317E+03	1.537742E-20	3.936972E-21
2.423039E+03	1.858651E-20	4.696551E-21
2.462761E+03	2.200781E-20	5.486464E-21
2.502483E+03	2.560850E-20	6.295936E-21
2.542205E+03	2.937731E-20	7.119811E-21
2.581927E+03	3.333454E-20	7.960569E-21
2.621648E+03	3.750940E-20	8.822449E-21
2.661370E+03	4.195616E-20	9.715005E-21
2.701092E+03	4.672993E-20	1.064711E-20
2.740814E+03	5.190316E-20	1.163061E-20
2.780536E+03	5.757005E-20	1.268096E-20
2.820258E+03	6.383420E-20	1.381407E-20
2.859980E+03	7.081880E-20	1.504823E-20
2.899702E+03	7.866051E-20	1.640245E-20
2.939424E+03	8.753659E-20	1.790163E-20
2.979146E+03	9.769475E-20	1.958168E-20
2.989076E+03	1.004631E-19	2.003365E-20
2.999007E+03	1.033159E-19	2.049639E-20
3.008937E+03	1.063036E-19	2.097956E-20
3.018868E+03	1.093937E-19	2.147634E-20
3.028798E+03	1.126337E-19	2.199569E-20
3.038729E+03	1.160605E-19	2.254426E-20
3.048659E+03	1.196945E-19	2.312537E-20
3.058590E+03	1.235061E-19	2.373269E-20
3.068520E+03	1.275342E-19	2.437302E-20
3.078451E+03	1.317657E-19	2.504321E-20
3.088381E+03	1.362059E-19	2.574354E-20
3.098312E+03	1.408605E-19	2.647442E-20
3.108242E+03	1.457362E-19	2.723636E-20
3.118173E+03	1.508404E-19	2.803000E-20
3.128103E+03	1.561814E-19	2.885610E-20
3.138034E+03	1.617911E-19	2.971975E-20
3.147964E+03	1.676347E-19	3.061365E-20
3.157895E+03	1.737697E-19	3.154748E-20
3.167825E+03	1.801855E-19	3.251832E-20
3.177756E+03	1.868952E-19	3.352759E-20
3.187686E+03	1.938863E-19	3.457202E-20
3.197617E+03	2.012557E-19	3.566787E-20
3.207547E+03	2.089391E-19	3.680249E-20
3.217478E+03	2.169818E-19	3.798276E-20
3.227408E+03	2.254038E-19	3.921091E-20
3.237339E+03	2.342589E-19	4.049495E-20
3.247269E+03	2.435065E-19	4.182642E-20
3.257200E+03	2.532377E-19	4.321951E-20
3.267130E+03	2.634468E-19	4.467163E-20
3.277061E+03	2.741629E-19	4.618599E-20
3.286991E+03	2.853778E-19	4.775949E-20
3.296922E+03	2.972422E-19	4.941547E-20
3.306852E+03	3.096743E-19	5.113821E-20
3.316783E+03	3.227517E-19	5.293842E-20
3.326713E+03	3.365152E-19	5.482054E-20
3.336643E+03	3.510562E-19	5.679698E-20
3.346574E+03	3.663281E-19	5.885759E-20
3.356504E+03	3.824783E-19	6.102333E-20
3.366435E+03	3.995128E-19	6.329211E-20
3.376365E+03	4.174328E-19	6.566105E-20
3.386296E+03	4.364087E-19	6.815371E-20
3.396226E+03	4.564517E-19	7.076812E-20
3.406157E+03	4.776943E-19	7.352099E-20
3.416087E+03	5.000852E-19	7.640031E-20
3.426018E+03	5.237629E-19	7.942310E-20
