#wls	flux	fluxerr
1.600000E+03	1.384873E-17	9.548809E-18
1.640000E+03	1.310599E-17	8.927144E-18
1.680000E+03	1.236833E-17	8.314524E-18
1.720000E+03	1.164250E-17	7.716265E-18
1.760000E+03	1.093471E-17	7.137146E-18
1.800000E+03	1.024494E-17	6.577699E-18
1.840000E+03	9.582945E-18	6.044640E-18
1.880000E+03	8.948517E-18	5.538071E-18
1.920000E+03	8.345240E-18	5.060360E-18
1.960000E+03	7.779161E-18	4.615103E-18
2.000000E+03	7.252457E-18	4.203262E-18
2.040000E+03	6.764505E-18	3.823994E-18
2.080000E+03	6.320636E-18	3.479671E-18
2.120000E+03	5.920562E-18	3.169225E-18
2.160000E+03	5.564945E-18	2.891987E-18
2.200000E+03	5.255054E-18	2.647446E-18
2.240000E+03	4.990820E-18	2.434273E-18
2.280000E+03	4.772041E-18	2.251015E-18
2.320000E+03	4.599233E-18	2.096533E-18
2.360000E+03	4.472815E-18	1.969627E-18
2.400000E+03	4.391852E-18	1.868552E-18
2.440000E+03	4.357920E-18	1.792746E-18
2.480000E+03	4.370881E-18	1.740995E-18
2.520000E+03	4.433409E-18	1.713307E-18
2.560000E+03	4.547756E-18	1.709501E-18
2.600000E+03	4.718924E-18	1.730351E-18
2.640000E+03	4.951547E-18	1.776261E-18
2.680000E+03	5.254536E-18	1.848817E-18
2.720000E+03	5.638666E-18	1.949677E-18
2.760000E+03	6.117614E-18	2.080726E-18
2.800000E+03	6.709134E-18	2.244190E-18
2.840000E+03	7.432676E-18	2.441477E-18
2.880000E+03	8.314039E-18	2.674272E-18
2.920000E+03	9.380847E-18	2.942448E-18
2.960000E+03	1.066642E-17	3.244623E-18
3.000000E+03	1.220470E-17	3.575785E-18
3.010000E+03	1.263270E-17	3.662091E-18
3.020000E+03	1.307985E-17	3.749649E-18
3.030000E+03	1.354671E-17	3.838246E-18
3.040000E+03	1.403384E-17	3.927647E-18
3.050000E+03	1.454018E-17	4.017148E-18
3.060000E+03	1.506777E-17	4.106894E-18
3.070000E+03	1.561879E-17	4.197025E-18
3.080000E+03	1.619039E-17	4.286298E-18
3.090000E+03	1.678642E-17	4.375257E-18
3.100000E+03	1.740378E-17	4.462583E-18
3.110000E+03	1.804644E-17	4.548782E-18
3.120000E+03	1.871101E-17	4.632461E-18
3.130000E+03	1.940156E-17	4.714090E-18
3.140000E+03	2.011843E-17	4.793171E-18
3.150000E+03	2.085987E-17	4.868699E-18
3.160000E+03	2.162594E-17	4.940121E-18
3.170000E+03	2.241664E-17	5.006866E-18
3.180000E+03	2.323413E-17	5.068837E-18
3.190000E+03	2.407842E-17	5.125438E-18
3.200000E+03	2.494942E-17	5.176065E-18
3.210000E+03	2.584458E-17	5.219625E-18
3.220000E+03	2.676591E-17	5.256006E-18
3.230000E+03	2.771308E-17	5.284625E-18
3.240000E+03	2.868307E-17	5.304440E-18
3.250000E+03	2.968047E-17	5.315887E-18
3.260000E+03	3.070214E-17	5.318007E-18
3.270000E+03	3.174739E-17	5.310387E-18
3.280000E+03	3.281549E-17	5.292698E-18
3.290000E+03	3.390848E-17	5.265160E-18
3.300000E+03	3.502276E-17	5.227209E-18
3.310000E+03	3.615744E-17	5.178897E-18
3.320000E+03	3.731468E-17	5.120877E-18
3.330000E+03	3.849373E-17	5.053578E-18
3.340000E+03	3.969078E-17	4.977288E-18
3.350000E+03	4.090821E-17	4.893423E-18
3.360000E+03	4.214546E-17	4.803340E-18
3.370000E+03	4.340540E-17	4.709182E-18
3.380000E+03	4.468112E-17	4.612484E-18
3.390000E+03	4.597569E-17	4.516432E-18
3.400000E+03	4.729258E-17	4.424755E-18
3.410000E+03	4.862860E-17	4.341128E-18
3.420000E+03	4.998770E-17	4.270459E-18
3.430000E+03	5.136699E-17	4.217509E-18
3.440000E+03	5.277091E-17	4.187919E-18
3.450000E+03	5.420054E-17	4.186965E-18
3.460000E+03	5.565712E-17	4.219442E-18
3.470000E+03	5.713813E-17	4.288891E-18
3.480000E+03	5.865227E-17	4.398254E-18
3.490000E+03	6.019679E-17	4.547897E-18
3.500000E+03	6.177644E-17	4.737131E-18
3.510000E+03	6.338816E-17	4.963386E-18
3.520000E+03	6.503681E-17	5.223815E-18
3.530000E+03	6.672351E-17	5.514784E-18
3.540000E+03	6.844547E-17	5.832133E-18
3.550000E+03	7.021238E-17	6.172781E-18
3.560000E+03	7.201791E-17	6.532448E-18
3.570000E+03	7.387254E-17	6.908573E-18
3.580000E+03	7.577478E-17	7.297803E-18
3.590000E+03	7.773191E-17	7.697878E-18
3.600000E+03	7.974755E-17	8.106457E-18
3.610000E+03	8.182139E-17	8.521016E-18
3.620000E+03	8.396222E-17	8.940152E-18
3.630000E+03	8.617949E-17	9.362734E-18
3.640000E+03	8.846980E-17	9.786382E-18
3.650000E+03	9.084797E-17	1.021080E-17
3.660000E+03	9.332041E-17	1.063487E-17
3.670000E+03	9.588929E-17	1.105703E-17
3.680000E+03	9.856156E-17	1.147631E-17
3.690000E+03	1.013538E-16	1.189285E-17
3.700000E+03	1.042690E-16	1.230522E-17
3.710000E+03	1.073146E-16	1.271249E-17
3.720000E+03	1.104982E-16	1.311368E-17
3.730000E+03	1.138321E-16	1.350837E-17
3.740000E+03	1.173185E-16	1.389484E-17
3.750000E+03	1.209691E-16	1.427250E-17
3.760000E+03	1.247900E-16	1.464002E-17
3.770000E+03	1.287867E-16	1.499598E-17
3.780000E+03	1.329584E-16	1.533824E-17
3.790000E+03	1.373241E-16	1.566698E-17
3.800000E+03	1.418699E-16	1.597868E-17
3.810000E+03	1.466070E-16	1.627281E-17
3.820000E+03	1.515285E-16	1.654706E-17
3.830000E+03	1.566368E-16	1.680042E-17
3.840000E+03	1.619267E-16	1.703146E-17
3.850000E+03	1.673849E-16	1.723840E-17
3.860000E+03	1.730132E-16	1.742170E-17
3.870000E+03	1.787874E-16	1.757984E-17
3.880000E+03	1.847046E-16	1.771432E-17
3.890000E+03	1.907346E-16	1.782483E-17
3.900000E+03	1.968688E-16	1.791400E-17
3.910000E+03	2.030767E-16	1.798311E-17
3.920000E+03	2.093300E-16	1.803437E-17
3.930000E+03	2.156036E-16	1.807067E-17
3.940000E+03	2.218565E-16	1.809389E-17
3.950000E+03	2.280517E-16	1.810638E-17
3.960000E+03	2.341503E-16	1.811032E-17
3.970000E+03	2.401194E-16	1.810813E-17
3.980000E+03	2.459125E-16	1.810081E-17
3.990000E+03	2.514901E-16	1.808942E-17
4.000000E+03	2.568146E-16	1.807455E-17
4.010000E+03	2.618507E-16	1.805626E-17
4.020000E+03	2.665673E-16	1.803417E-17
4.030000E+03	2.709386E-16	1.800750E-17
4.040000E+03	2.749450E-16	1.797520E-17
4.050000E+03	2.785674E-16	1.793561E-17
4.060000E+03	2.818014E-16	1.788744E-17
4.070000E+03	2.846568E-16	1.782983E-17
4.080000E+03	2.871304E-16	1.776071E-17
4.090000E+03	2.892458E-16	1.767942E-17
4.100000E+03	2.910252E-16	1.758505E-17
4.110000E+03	2.924888E-16	1.747646E-17
4.120000E+03	2.936678E-16	1.735317E-17
