#wls	flux	fluxerr
1.587349E+03	9.508982E-06	1.873384E-07
1.627033E+03	8.593930E-06	1.681360E-07
1.666716E+03	7.743147E-06	1.504095E-07
1.706400E+03	6.952987E-06	1.340690E-07
1.746084E+03	6.223792E-06	1.191020E-07
1.785767E+03	5.551423E-06	1.054096E-07
1.825451E+03	4.933114E-06	9.292052E-08
1.865135E+03	4.366858E-06	8.157816E-08
1.904819E+03	3.848768E-06	7.129153E-08
1.944502E+03	3.376716E-06	6.200351E-08
1.984186E+03	2.948369E-06	5.365378E-08
2.023870E+03	2.559903E-06	4.615587E-08
2.063553E+03	2.210481E-06	3.947849E-08
2.103237E+03	1.897127E-06	3.355230E-08
2.142921E+03	1.618718E-06	2.834186E-08
2.182605E+03	1.374413E-06	2.381671E-08
2.222288E+03	1.163288E-06	1.994487E-08
2.261972E+03	9.853874E-07	1.671090E-08
2.301656E+03	8.408378E-07	1.410004E-08
2.341340E+03	7.301171E-07	1.210259E-08
2.381023E+03	6.535532E-07	1.070543E-08
2.420707E+03	6.113017E-07	9.891728E-09
2.460391E+03	6.032088E-07	9.638974E-09
2.500074E+03	6.284045E-07	9.912858E-09
2.539758E+03	6.854027E-07	1.066961E-08
2.579442E+03	7.718832E-07	1.185337E-08
2.619126E+03	8.851792E-07	1.340448E-08
2.658809E+03	1.021904E-06	1.525442E-08
2.698493E+03	1.179275E-06	1.734621E-08
2.738177E+03	1.354303E-06	1.962201E-08
2.777860E+03	1.545526E-06	2.204829E-08
2.817544E+03	1.751794E-06	2.459714E-08
2.857228E+03	1.974508E-06	2.727690E-08
2.896912E+03	2.215746E-06	3.010385E-08
2.936595E+03	2.480217E-06	3.312764E-08
2.976279E+03	2.774465E-06	3.641779E-08
2.986200E+03	2.853698E-06	3.729281E-08
2.996121E+03	2.935310E-06	3.818949E-08
3.006042E+03	3.019827E-06	3.911423E-08
3.015963E+03	3.107437E-06	4.006894E-08
3.025884E+03	3.197953E-06	4.105069E-08
3.035805E+03	3.291958E-06	4.206645E-08
3.045726E+03	3.389277E-06	4.311338E-08
3.055646E+03	3.490948E-06	4.420408E-08
3.065567E+03	3.596415E-06	4.533077E-08
3.075488E+03	3.706783E-06	4.650669E-08
