#wls	flux	fluxerr
1.587349E+03	2.163271E-18	1.163899E-19
1.627033E+03	2.105895E-18	1.128979E-19
1.666716E+03	2.043560E-18	1.091535E-19
1.706400E+03	1.976895E-18	1.051936E-19
1.746084E+03	1.905484E-18	1.009996E-19
1.785767E+03	1.829758E-18	9.659809E-20
1.825451E+03	1.750024E-18	9.200886E-20
1.865135E+03	1.665655E-18	8.720279E-20
1.904819E+03	1.577380E-18	8.222216E-20
1.944502E+03	1.485265E-18	7.707427E-20
1.984186E+03	1.389995E-18	7.179858E-20
2.023870E+03	1.293969E-18	6.652212E-20
2.063553E+03	1.200022E-18	6.139202E-20
2.103237E+03	1.112085E-18	5.660835E-20
2.142921E+03	1.033491E-18	5.233662E-20
2.182605E+03	9.652152E-19	4.862000E-20
2.222288E+03	9.055863E-19	4.536759E-20
2.261972E+03	8.509830E-19	4.239289E-20
2.301656E+03	7.986335E-19	3.955532E-20
2.341340E+03	7.469728E-19	3.677682E-20
2.381023E+03	6.952096E-19	3.401901E-20
2.420707E+03	6.438178E-19	3.130600E-20
2.460391E+03	5.932059E-19	2.865816E-20
2.500074E+03	5.438868E-19	2.610037E-20
2.539758E+03	4.966142E-19	2.366830E-20
2.579442E+03	4.517293E-19	2.137703E-20
2.619126E+03	4.095624E-19	1.924063E-20
2.658809E+03	3.703359E-19	1.726755E-20
2.698493E+03	3.341774E-19	1.546144E-20
2.738177E+03	3.011872E-19	1.382442E-20
2.777860E+03	2.712358E-19	1.234784E-20
2.817544E+03	2.443132E-19	1.102851E-20
2.857228E+03	2.203497E-19	9.860450E-21
2.896912E+03	1.991288E-19	8.831156E-21
2.936595E+03	1.805729E-19	7.934440E-21
2.976279E+03	1.644566E-19	7.157669E-21
2.986200E+03	1.607954E-19	6.981335E-21
2.996121E+03	1.573042E-19	6.813047E-21
3.006042E+03	1.539248E-19	6.650249E-21
3.015963E+03	1.506831E-19	6.494021E-21
3.025884E+03	1.475768E-19	6.344233E-21
3.035805E+03	1.446048E-19	6.200793E-21
3.045726E+03	1.417891E-19	6.064600E-21
3.055646E+03	1.390829E-19	5.933620E-21
3.065567E+03	1.365087E-19	5.808768E-21
3.075488E+03	1.340634E-19	5.689883E-21
3.085409E+03	1.317446E-19	5.576817E-21
3.095330E+03	1.295498E-19	5.469430E-21
3.105251E+03	1.274993E-19	5.368537E-21
3.115172E+03	1.255461E-19	5.272122E-21
3.125093E+03	1.237114E-19	5.181036E-21
3.135014E+03	1.219936E-19	5.095181E-21
3.144935E+03	1.204126E-19	5.015347E-21
3.154856E+03	1.189249E-19	4.939685E-21
3.164777E+03	1.175512E-19	4.869016E-21
3.174698E+03	1.162908E-19	4.803281E-21
3.184619E+03	1.151435E-19	4.742426E-21
3.194540E+03	1.141289E-19	4.687229E-21
3.204460E+03	1.132073E-19	4.636009E-21
3.214381E+03	1.123990E-19	4.589570E-21
3.224302E+03	1.117048E-19	4.547900E-21
3.234223E+03	1.111449E-19	4.511784E-21
3.244144E+03	1.106816E-19	4.479646E-21
3.254065E+03	1.103359E-19	4.452301E-21
3.263986E+03	1.101095E-19	4.429776E-21
3.273907E+03	1.100239E-19	4.412886E-21
3.283828E+03	1.100431E-19	4.400140E-21
3.293749E+03	1.101891E-19	4.392381E-21
3.303670E+03	1.104653E-19	4.389691E-21
3.313591E+03	1.108946E-19	4.392934E-21
3.323512E+03	1.114426E-19	4.400689E-21
