#wls	flux	fluxerr
1.596966E+03	1.321995E-04	7.695813E-06
1.636890E+03	1.367644E-04	7.879367E-06
1.676814E+03	1.406857E-04	8.019444E-06
1.716738E+03	1.439050E-04	8.113821E-06
1.756662E+03	1.463532E-04	8.159886E-06
1.796586E+03	1.477391E-04	8.142980E-06
1.836511E+03	1.477719E-04	8.049283E-06
1.876435E+03	1.460833E-04	7.861625E-06
1.916359E+03	1.423726E-04	7.567462E-06
1.956283E+03	1.365471E-04	7.166080E-06
1.996207E+03	1.290024E-04	6.682406E-06
2.036131E+03	1.208698E-04	6.177987E-06
2.076055E+03	1.141894E-04	5.757105E-06
2.115980E+03	1.114688E-04	5.541587E-06
2.155904E+03	1.145751E-04	5.614659E-06
2.195828E+03	1.247116E-04	6.022003E-06
2.235752E+03	1.422291E-04	6.765022E-06
2.275676E+03	1.666905E-04	7.806965E-06
2.315600E+03	1.971165E-04	9.087127E-06
2.355525E+03	2.323858E-04	1.054109E-05
2.395449E+03	2.714052E-04	1.210885E-05
2.435373E+03	3.131236E-04	1.373537E-05
2.475297E+03	3.563350E-04	1.536203E-05
2.515221E+03	3.991900E-04	1.690658E-05
2.555145E+03	4.384799E-04	1.823589E-05
2.595069E+03	4.703118E-04	1.919882E-05
2.634994E+03	4.935789E-04	1.976795E-05
2.674918E+03	5.072890E-04	1.992401E-05
2.714842E+03	5.125390E-04	1.973151E-05
2.754766E+03	5.130776E-04	1.935173E-05
2.794690E+03	5.124129E-04	1.892552E-05
2.834614E+03	5.129785E-04	1.854393E-05
2.874538E+03	5.166344E-04	1.827016E-05
2.914463E+03	5.250334E-04	1.815437E-05
2.954387E+03	5.398784E-04	1.824330E-05
2.994311E+03	5.631518E-04	1.858760E-05
3.004292E+03	5.705581E-04	1.872020E-05
3.014273E+03	5.786905E-04	1.887365E-05
3.024254E+03	5.876336E-04	1.905025E-05
3.034235E+03	5.974204E-04	1.925061E-05
3.044216E+03	6.081742E-04	1.947818E-05
3.054197E+03	6.200281E-04	1.973663E-05
3.064178E+03	6.330713E-04	2.002815E-05
3.074159E+03	6.473643E-04	2.035394E-05
3.084140E+03	6.629365E-04	2.071421E-05
3.094121E+03	6.799037E-04	2.111180E-05
3.104102E+03	6.983530E-04	2.154860E-05
3.114083E+03	7.183820E-04	2.202674E-05
3.124064E+03	7.400993E-04	2.254861E-05
3.134045E+03	7.636677E-04	2.311817E-05
3.144026E+03	7.891796E-04	2.373715E-05
3.154007E+03	8.167820E-04	2.440879E-05
3.163988E+03	8.466821E-04	2.513807E-05
3.173969E+03	8.790587E-04	2.592893E-05
3.183950E+03	9.141537E-04	2.678704E-05
3.193932E+03	9.520765E-04	2.771403E-05
3.203913E+03	9.931361E-04	2.871721E-05
3.213894E+03	1.037493E-03	2.979941E-05
3.223875E+03	1.085398E-03	3.096589E-05
3.233856E+03	1.137026E-03	3.221963E-05
3.243837E+03	1.192515E-03	3.356233E-05
3.253818E+03	1.252006E-03	3.499580E-05
3.263799E+03	1.315457E-03	3.651659E-05
3.273780E+03	1.382866E-03	3.812242E-05
3.283761E+03	1.454090E-03	3.980712E-05
3.293742E+03	1.528974E-03	4.156442E-05
3.303723E+03	1.607173E-03	4.338291E-05
3.313704E+03	1.688440E-03	4.525418E-05
3.323685E+03	1.772428E-03	4.716731E-05
3.333666E+03	1.858825E-03	4.911259E-05
3.343647E+03	1.947116E-03	5.107522E-05
3.353628E+03	2.036963E-03	5.304545E-05
3.363609E+03	2.127700E-03	5.500526E-05
3.373590E+03	2.218713E-03	5.693852E-05
3.383571E+03	2.309162E-03	5.882378E-05
3.393552E+03	2.398123E-03	6.063814E-05
3.403533E+03	2.484426E-03	6.235320E-05
3.413514E+03	2.566839E-03	6.393993E-05
3.423495E+03	2.644377E-03	6.537628E-05
3.433476E+03	2.716465E-03	6.665101E-05
3.443457E+03	2.783022E-03	6.776534E-05
3.453438E+03	2.845264E-03	6.875192E-05
3.463420E+03	2.905046E-03	6.965774E-05
3.473401E+03	2.964333E-03	7.053106E-05
3.483382E+03	3.022706E-03	7.136242E-05
3.493363E+03	3.078724E-03	7.211869E-05
3.503344E+03	3.131983E-03	7.279197E-05
3.513325E+03	3.182339E-03	7.338058E-05
3.523306E+03	3.230432E-03	7.390089E-05
3.533287E+03	3.277006E-03	7.437121E-05
3.543268E+03	3.323162E-03	7.481729E-05
3.543270E+03	4.658685E-03	1.048849E-04
3.547510E+03	4.578390E-03	1.027261E-04
3.551740E+03	4.480056E-03	1.001775E-04
3.555980E+03	4.374082E-03	9.747347E-05
3.560220E+03	4.273670E-03	9.490961E-05
3.564450E+03	4.144968E-03	9.173622E-05
3.568689E+03	3.999123E-03	8.820403E-05
3.572930E+03	3.882676E-03	8.534060E-05
3.577170E+03	3.794897E-03	8.312331E-05
3.581400E+03	3.722103E-03	8.124751E-05
3.585640E+03	3.648911E-03	7.937385E-05
3.589880E+03	3.611856E-03	7.829503E-05
3.594110E+03	3.618083E-03	7.815783E-05
3.598350E+03	3.645754E-03	7.848110E-05
3.602590E+03	3.672940E-03	7.879018E-05
3.606820E+03	3.698762E-03	7.906708E-05
3.611060E+03	3.733689E-03	7.953383E-05
3.615300E+03	3.769825E-03	8.002142E-05
3.619540E+03	3.775043E-03	7.985002E-05
3.623770E+03	3.782835E-03	7.973317E-05
3.628010E+03	3.812732E-03	8.007916E-05
3.632250E+03	3.856787E-03	8.071740E-05
3.636480E+03	3.910041E-03	8.154200E-05
3.640720E+03	3.942429E-03	8.192483E-05
3.644960E+03	3.959116E-03	8.197814E-05
3.649200E+03	4.004889E-03	8.262946E-05
3.653430E+03	4.065690E-03	8.358403E-05
3.657670E+03	4.114090E-03	8.427534E-05
3.661910E+03	4.176812E-03	8.525222E-05
3.666140E+03	4.241277E-03	8.625648E-05
3.670380E+03	4.320969E-03	8.755946E-05
3.674620E+03	4.405048E-03	8.893973E-05
3.678860E+03	4.489761E-03	9.032079E-05
3.683090E+03	4.585055E-03	9.190275E-05
3.687330E+03	4.674294E-03	9.334946E-05
3.691570E+03	4.750647E-03	9.452713E-05
3.695800E+03	4.797614E-03	9.511233E-05
3.700040E+03	4.844551E-03	9.568968E-05
3.704280E+03	4.861803E-03	9.567643E-05
3.708520E+03	4.804404E-03	9.419746E-05
3.712750E+03	4.708989E-03	9.198542E-05
3.716990E+03	4.594312E-03	8.941195E-05
3.721230E+03	4.431481E-03	8.592182E-05
3.725460E+03	4.219254E-03	8.150220E-05
3.729700E+03	3.969312E-03	7.638709E-05
3.733941E+03	3.715454E-03	7.123327E-05
3.738179E+03	3.448880E-03	6.587367E-05
3.742410E+03	3.173021E-03	6.037654E-05
3.746650E+03	2.891343E-03	5.480854E-05
3.750890E+03	2.618161E-03	4.944177E-05
3.755120E+03	2.387078E-03	4.490685E-05
3.759360E+03	2.186157E-03	4.097012E-05
3.763600E+03	1.994911E-03	3.724301E-05
3.767840E+03	1.846268E-03	3.433576E-05
3.772070E+03	1.739398E-03	3.222410E-05
3.776310E+03	1.650231E-03	3.045424E-05
3.780550E+03	1.569995E-03	2.886144E-05
3.784780E+03	1.514992E-03	2.774252E-05
3.789020E+03	1.489428E-03	2.716825E-05
3.793260E+03	1.485750E-03	2.699542E-05
3.797500E+03	1.497716E-03	2.710634E-05
3.801730E+03	1.527313E-03	2.753379E-05
3.805970E+03	1.581901E-03	2.840564E-05
3.810210E+03	1.646029E-03	2.944049E-05
3.814440E+03	1.710092E-03	3.046551E-05
3.818681E+03	1.779892E-03	3.158310E-05
