#wls	flux	fluxerr
1.596966E+03	6.446310E-18	1.805075E-19
1.636890E+03	6.536927E-18	1.826951E-19
1.676814E+03	6.585029E-18	1.836779E-19
1.716738E+03	6.590214E-18	1.834515E-19
1.756662E+03	6.548578E-18	1.819143E-19
1.796586E+03	6.451772E-18	1.788432E-19
1.836511E+03	6.287458E-18	1.739067E-19
1.876435E+03	6.045851E-18	1.668478E-19
1.916359E+03	5.718996E-18	1.574629E-19
1.956283E+03	5.310789E-18	1.458765E-19
1.996207E+03	4.845822E-18	1.327803E-19
2.036131E+03	4.374649E-18	1.195695E-19
2.076055E+03	3.970756E-18	1.082511E-19
2.115980E+03	3.713444E-18	1.009690E-19
2.155904E+03	3.659282E-18	9.922652E-20
2.195828E+03	3.830287E-18	1.035745E-19
2.235752E+03	4.213553E-18	1.136128E-19
2.275676E+03	4.771676E-18	1.282845E-19
2.315600E+03	5.457875E-18	1.462909E-19
2.355525E+03	6.230573E-18	1.664860E-19
2.395449E+03	7.055809E-18	1.879392E-19
2.435373E+03	7.914635E-18	2.101291E-19
2.475297E+03	8.802654E-18	2.329253E-19
2.515221E+03	9.718721E-18	2.562845E-19
2.555145E+03	1.066977E-17	2.803753E-19
2.595069E+03	1.166835E-17	3.055106E-19
2.634994E+03	1.272801E-17	3.320239E-19
2.674918E+03	1.386409E-17	3.602892E-19
2.714842E+03	1.509099E-17	3.906488E-19
2.754766E+03	1.643166E-17	4.236590E-19
2.794690E+03	1.789773E-17	4.595740E-19
2.834614E+03	1.951828E-17	4.990879E-19
2.874538E+03	2.130987E-17	5.425611E-19
2.914463E+03	2.329941E-17	5.906076E-19
2.954387E+03	2.550835E-17	6.436880E-19
2.994311E+03	2.797129E-17	7.025807E-19
3.004292E+03	2.862639E-17	7.181918E-19
3.014273E+03	2.930355E-17	7.343127E-19
3.024254E+03	2.999399E-17	7.507217E-19
3.034235E+03	3.070862E-17	7.676900E-19
3.044216E+03	3.144152E-17	7.850672E-19
3.054197E+03	3.220753E-17	8.032213E-19
3.064178E+03	3.300152E-17	8.220215E-19
3.074159E+03	3.381788E-17	8.413252E-19
3.084140E+03	3.466690E-17	8.613853E-19
3.094121E+03	3.554312E-17	8.820638E-19
3.104102E+03	3.644640E-17	9.033535E-19
3.114083E+03	3.737660E-17	9.252484E-19
3.124064E+03	3.833354E-17	9.477412E-19
3.134045E+03	3.931717E-17	9.708273E-19
3.144026E+03	4.032736E-17	9.945013E-19
3.154007E+03	4.136408E-17	1.018759E-18
3.163988E+03	4.242729E-17	1.043596E-18
3.173969E+03	4.351695E-17	1.069009E-18
3.183950E+03	4.463306E-17	1.094995E-18
3.193932E+03	4.577563E-17	1.121552E-18
3.203913E+03	4.695197E-17	1.148854E-18
3.213894E+03	4.814780E-17	1.176549E-18
3.223875E+03	4.937028E-17	1.204809E-18
3.233856E+03	5.062728E-17	1.233824E-18
3.243837E+03	5.190357E-17	1.263218E-18
3.253818E+03	5.320687E-17	1.293176E-18
3.263799E+03	5.454571E-17	1.323903E-18
3.273780E+03	5.590378E-17	1.354999E-18
3.283761E+03	5.729822E-17	1.386876E-18
3.293742E+03	5.872093E-17	1.419335E-18
3.303723E+03	6.016307E-17	1.452158E-18
3.313704E+03	6.164308E-17	1.485787E-18
3.323685E+03	6.315236E-17	1.520011E-18
3.333666E+03	6.468153E-17	1.554601E-18
3.343647E+03	6.625046E-17	1.590030E-18
3.353628E+03	6.785001E-17	1.626076E-18
3.363609E+03	6.948078E-17	1.662748E-18
3.373590E+03	7.114339E-17	1.700057E-18
3.383571E+03	7.282749E-17	1.737753E-18
3.393552E+03	7.455553E-17	1.776367E-18
3.403533E+03	7.631757E-17	1.815658E-18
3.413514E+03	7.811447E-17	1.855641E-18
3.423495E+03	7.994720E-17	1.896335E-18
3.433476E+03	8.181673E-17	1.937759E-18
3.443457E+03	8.373668E-17	1.980229E-18
3.453438E+03	8.568353E-17	2.023185E-18
3.463420E+03	8.767079E-17	2.066941E-18
3.473401E+03	8.969985E-17	2.111524E-18
3.483382E+03	9.177218E-17	2.156964E-18
3.493363E+03	9.388939E-17	2.203293E-18
3.503344E+03	9.606741E-17	2.250878E-18
3.513325E+03	9.827991E-17	2.299096E-18
3.523306E+03	1.005428E-16	2.348313E-18
3.533287E+03	1.028732E-16	2.398924E-18
3.543268E+03	1.052434E-16	2.450273E-18
3.553249E+03	1.076706E-16	2.502755E-18
3.563230E+03	1.101734E-16	2.556794E-18
3.573211E+03	1.127223E-16	2.611700E-18
3.583192E+03	1.153529E-16	2.668285E-18
3.593173E+03	1.180346E-16	2.725834E-18
3.603154E+03	1.208045E-16	2.785198E-18
3.613135E+03	1.236308E-16	2.845632E-18
