#wls	flux	fluxerr
1.600000E+03	3.530060E-17	1.782355E-18
1.640000E+03	3.521403E-17	1.773874E-18
1.680000E+03	3.515264E-17	1.766573E-18
1.720000E+03	3.512510E-17	1.760877E-18
1.760000E+03	3.512132E-17	1.756265E-18
1.800000E+03	3.515025E-17	1.753175E-18
1.840000E+03	3.522104E-17	1.752044E-18
1.880000E+03	3.532410E-17	1.752379E-18
1.920000E+03	3.547531E-17	1.754947E-18
1.960000E+03	3.567185E-17	1.759588E-18
2.000000E+03	3.591107E-17	1.766145E-18
2.040000E+03	3.620981E-17	1.775422E-18
2.080000E+03	3.656611E-17	1.787290E-18
2.120000E+03	3.698476E-17	1.801950E-18
2.160000E+03	3.747094E-17	1.819617E-18
2.200000E+03	3.803037E-17	1.840528E-18
2.240000E+03	3.867615E-17	1.865269E-18
2.280000E+03	3.940143E-17	1.893457E-18
2.320000E+03	4.022049E-17	1.925724E-18
2.360000E+03	4.114885E-17	1.962747E-18
2.400000E+03	4.218106E-17	2.004195E-18
2.440000E+03	4.334191E-17	2.051169E-18
2.480000E+03	4.463505E-17	2.103748E-18
2.520000E+03	4.606438E-17	2.162022E-18
2.560000E+03	4.765923E-17	2.227257E-18
2.600000E+03	4.942622E-17	2.299639E-18
2.640000E+03	5.138137E-17	2.379777E-18
2.680000E+03	5.354221E-17	2.468329E-18
2.720000E+03	5.592795E-17	2.566012E-18
2.760000E+03	5.857000E-17	2.674076E-18
2.800000E+03	6.147118E-17	2.792435E-18
2.840000E+03	6.466657E-17	2.922454E-18
2.880000E+03	6.819564E-17	3.065651E-18
2.920000E+03	7.206504E-17	3.222031E-18
2.960000E+03	7.633237E-17	3.393846E-18
3.000000E+03	8.100733E-17	3.581163E-18
3.010000E+03	8.224623E-17	3.630656E-18
3.020000E+03	8.352916E-17	3.681904E-18
3.030000E+03	8.482763E-17	3.733645E-18
3.040000E+03	8.615677E-17	3.786539E-18
3.050000E+03	8.751728E-17	3.840609E-18
3.060000E+03	8.890986E-17	3.895879E-18
3.070000E+03	9.035109E-17	3.953067E-18
3.080000E+03	9.181023E-17	4.010818E-18
3.090000E+03	9.330367E-17	4.069842E-18
3.100000E+03	9.483216E-17	4.130164E-18
3.110000E+03	9.639651E-17	4.191811E-18
3.120000E+03	9.799752E-17	4.254808E-18
3.130000E+03	9.965348E-17	4.319940E-18
3.140000E+03	1.013306E-16	4.385730E-18
3.150000E+03	1.030469E-16	4.452952E-18
3.160000E+03	1.048033E-16	4.521638E-18
3.170000E+03	1.066194E-16	4.592619E-18
3.180000E+03	1.084591E-16	4.664329E-18
