#wls	flux	fluxerr
1.600000E+03	8.618749E-17	7.564052E-17
1.640000E+03	8.517268E-17	7.409618E-17
1.680000E+03	8.421545E-17	7.262213E-17
1.720000E+03	8.332262E-17	7.122576E-17
1.760000E+03	8.248701E-17	6.990218E-17
1.800000E+03	8.174413E-17	6.868224E-17
1.840000E+03	8.108687E-17	6.755986E-17
1.880000E+03	8.052253E-17	6.654065E-17
1.920000E+03	8.007210E-17	6.564075E-17
1.960000E+03	7.972957E-17	6.485325E-17
2.000000E+03	7.950304E-17	6.418230E-17
2.040000E+03	7.940113E-17	6.363169E-17
2.080000E+03	7.944630E-17	6.321550E-17
2.120000E+03	7.964864E-17	6.293708E-17
2.160000E+03	8.000652E-17	6.278988E-17
2.200000E+03	8.053307E-17	6.277849E-17
2.240000E+03	8.126965E-17	6.292873E-17
2.280000E+03	8.220768E-17	6.322673E-17
2.320000E+03	8.338100E-17	6.369083E-17
2.360000E+03	8.481397E-17	6.433104E-17
2.400000E+03	8.653523E-17	6.515949E-17
2.440000E+03	8.857842E-17	6.619070E-17
2.480000E+03	9.098298E-17	6.744178E-17
2.520000E+03	9.379509E-17	6.893263E-17
2.560000E+03	9.708348E-17	7.069681E-17
2.600000E+03	1.008970E-16	7.274968E-17
2.640000E+03	1.053086E-16	7.512003E-17
2.680000E+03	1.104195E-16	7.785109E-17
2.720000E+03	1.163119E-16	8.096615E-17
2.760000E+03	1.231159E-16	8.451395E-17
2.800000E+03	1.309619E-16	8.853345E-17
2.840000E+03	1.399972E-16	9.306386E-17
2.880000E+03	1.503655E-16	9.812883E-17
2.920000E+03	1.622896E-16	1.037888E-16
2.960000E+03	1.759213E-16	1.100406E-16
3.000000E+03	1.914875E-16	1.169108E-16
3.010000E+03	1.957067E-16	1.187254E-16
3.020000E+03	2.000854E-16	1.205915E-16
3.030000E+03	2.045723E-16	1.224759E-16
3.040000E+03	2.092255E-16	1.244111E-16
3.050000E+03	2.140204E-16	1.263800E-16
3.060000E+03	2.189598E-16	1.283816E-16
3.070000E+03	2.240463E-16	1.304149E-16
3.080000E+03	2.292823E-16	1.324788E-16
3.090000E+03	2.347014E-16	1.345900E-16
3.100000E+03	2.402758E-16	1.367296E-16
3.110000E+03	2.460075E-16	1.388959E-16
3.120000E+03	2.518982E-16	1.410872E-16
3.130000E+03	2.579837E-16	1.433205E-16
3.140000E+03	2.641978E-16	1.455560E-16
3.150000E+03	2.706105E-16	1.478296E-16
3.160000E+03	2.771886E-16	1.501199E-16
3.170000E+03	2.839327E-16	1.524243E-16
3.180000E+03	2.908808E-16	1.547599E-16
3.190000E+03	2.979967E-16	1.571042E-16
3.200000E+03	3.052405E-16	1.594333E-16
3.210000E+03	3.126895E-16	1.617848E-16
3.220000E+03	3.203450E-16	1.641558E-16
3.230000E+03	3.281243E-16	1.665005E-16
3.240000E+03	3.361084E-16	1.688575E-16
3.250000E+03	3.442542E-16	1.712015E-16
3.260000E+03	3.525588E-16	1.735281E-16
3.270000E+03	3.610193E-16	1.758329E-16
3.280000E+03	3.696787E-16	1.781338E-16
3.290000E+03	3.784411E-16	1.803812E-16
3.300000E+03	3.873963E-16	1.826154E-16
3.310000E+03	3.965426E-16	1.848319E-16
3.320000E+03	4.057775E-16	1.869798E-16
3.330000E+03	4.151441E-16	1.890767E-16
3.340000E+03	4.246895E-16	1.911409E-16
3.350000E+03	4.343576E-16	1.931438E-16
3.360000E+03	4.441427E-16	1.950802E-16
3.370000E+03	4.540943E-16	1.969686E-16
3.380000E+03	4.640967E-16	1.987558E-16
3.390000E+03	4.742557E-16	2.004846E-16
3.400000E+03	4.845100E-16	2.021258E-16
3.410000E+03	4.948539E-16	2.036742E-16
3.420000E+03	5.053425E-16	2.051491E-16
3.430000E+03	5.158505E-16	2.064967E-16
3.440000E+03	5.264952E-16	2.077613E-16
3.450000E+03	5.372118E-16	2.089136E-16
3.460000E+03	5.479966E-16	2.099490E-16
3.470000E+03	5.589124E-16	2.108882E-16
3.480000E+03	5.698264E-16	2.116774E-16
3.490000E+03	5.808698E-16	2.123624E-16
3.500000E+03	5.919766E-16	2.129146E-16
3.510000E+03	6.031474E-16	2.133308E-16
3.520000E+03	6.143843E-16	2.136076E-16
3.530000E+03	6.257624E-16	2.137668E-16
3.540000E+03	6.372163E-16	2.137810E-16
3.550000E+03	6.487521E-16	2.136475E-16
3.560000E+03	6.603773E-16	2.133643E-16
3.570000E+03	6.721010E-16	2.129291E-16
3.580000E+03	6.840114E-16	2.123641E-16
3.590000E+03	6.959672E-16	2.116193E-16
3.600000E+03	7.081386E-16	2.107409E-16
3.610000E+03	7.204642E-16	2.097034E-16
3.620000E+03	7.329618E-16	2.085050E-16
3.630000E+03	7.457339E-16	2.071674E-16
3.640000E+03	7.586374E-16	2.056425E-16
3.650000E+03	7.718624E-16	2.039746E-16
3.660000E+03	7.853511E-16	2.021385E-16
3.670000E+03	7.991305E-16	2.001325E-16
3.680000E+03	8.132290E-16	1.979542E-16
3.690000E+03	8.277667E-16	1.956223E-16
3.700000E+03	8.425971E-16	1.930915E-16
3.710000E+03	8.579347E-16	1.904007E-16
3.720000E+03	8.737245E-16	1.875256E-16
3.730000E+03	8.900031E-16	1.844626E-16
3.740000E+03	9.068083E-16	1.812080E-16
3.750000E+03	9.241793E-16	1.777581E-16
3.760000E+03	9.422564E-16	1.741276E-16
3.770000E+03	9.608835E-16	1.702756E-16
3.780000E+03	9.803046E-16	1.662353E-16
3.790000E+03	1.000464E-15	1.619859E-16
3.800000E+03	1.021409E-15	1.575257E-16
3.810000E+03	1.043184E-15	1.528551E-16
3.820000E+03	1.065948E-15	1.479914E-16
3.830000E+03	1.089533E-15	1.429088E-16
3.840000E+03	1.114212E-15	1.376463E-16
3.850000E+03	1.139811E-15	1.321894E-16
3.860000E+03	1.166615E-15	1.265867E-16
3.870000E+03	1.194565E-15	1.208539E-16
3.880000E+03	1.223722E-15	1.150318E-16
3.890000E+03	3.651670E-16	1.284995E-16
3.892000E+03	3.806902E-16	1.282769E-16
3.894000E+03	4.013796E-16	1.302188E-16
3.896000E+03	4.286441E-16	1.309397E-16
3.898000E+03	4.528749E-16	1.224675E-16
3.900000E+03	4.820583E-16	1.250360E-16
3.902000E+03	5.117472E-16	1.270491E-16
3.904000E+03	5.465570E-16	1.312240E-16
3.906000E+03	5.897760E-16	1.323704E-16
3.908000E+03	6.334540E-16	1.262376E-16
3.910000E+03	6.787443E-16	1.275740E-16
3.912000E+03	7.287644E-16	1.316586E-16
3.914000E+03	7.730486E-16	1.326595E-16
3.916000E+03	8.177484E-16	1.348915E-16
3.918000E+03	8.663222E-16	1.484133E-16
3.920000E+03	9.177867E-16	1.606353E-16
3.922000E+03	9.666764E-16	1.520338E-16
3.924000E+03	1.027846E-15	1.443922E-16
3.926000E+03	1.079098E-15	1.440408E-16
3.928000E+03	1.126241E-15	1.473336E-16
3.930000E+03	1.179600E-15	1.504723E-16
3.932000E+03	1.229575E-15	1.539986E-16
3.934000E+03	1.280688E-15	1.557298E-16
3.936000E+03	1.336436E-15	1.666299E-16
3.938000E+03	1.382574E-15	1.630940E-16
3.940000E+03	1.426099E-15	1.653143E-16
3.942000E+03	1.466627E-15	1.658584E-16
3.944000E+03	1.503564E-15	1.667508E-16
3.946000E+03	1.536952E-15	1.693555E-16
3.948000E+03	1.576000E-15	1.721210E-16
3.950000E+03	1.611073E-15	1.725366E-16
3.952000E+03	1.642600E-15	1.697916E-16
3.954000E+03	1.669006E-15	1.708074E-16
3.956000E+03	1.693403E-15	1.709337E-16
3.958000E+03	1.719155E-15	1.723070E-16
3.960000E+03	1.742175E-15	1.696058E-16
3.962000E+03	1.762292E-15	1.703052E-16
3.964000E+03	1.772995E-15	1.699404E-16
3.966000E+03	1.782332E-15	1.612371E-16
3.968000E+03	1.785793E-15	1.521322E-16
3.970000E+03	1.789039E-15	1.564811E-16
3.972000E+03	1.784498E-15	1.560827E-16
3.974000E+03	1.773405E-15	1.563266E-16
3.976000E+03	1.762570E-15	1.554617E-16
3.978000E+03	1.747059E-15	1.611787E-16
3.980000E+03	1.738951E-15	1.612207E-16
3.982000E+03	1.731993E-15	1.625676E-16
3.984000E+03	1.720316E-15	1.538718E-16
3.986000E+03	1.703541E-15	1.527571E-16
3.988000E+03	1.696036E-15	1.527237E-16
3.990000E+03	1.686960E-15	1.539936E-16
3.992000E+03	1.679584E-15	1.532721E-16
3.994000E+03	1.678328E-15	1.512960E-16
3.996000E+03	1.671677E-15	1.462710E-16
3.998000E+03	1.663456E-15	1.452872E-16
4.000000E+03	1.659483E-15	1.450816E-16
4.002000E+03	1.662134E-15	1.446331E-16
4.004000E+03	1.655443E-15	1.424543E-16
4.006000E+03	1.659833E-15	1.402986E-16
4.008000E+03	1.666003E-15	1.397704E-16
4.010000E+03	1.659949E-15	1.368608E-16
4.012000E+03	1.659073E-15	1.431985E-16
4.014000E+03	1.663542E-15	1.468420E-16
4.016000E+03	1.680351E-15	1.463435E-16
4.018000E+03	1.704280E-15	1.464514E-16
4.020000E+03	1.719127E-15	1.474140E-16
4.022000E+03	1.733459E-15	1.505199E-16
4.024000E+03	1.746982E-15	1.562231E-16
4.026000E+03	1.761602E-15	1.488611E-16
4.028000E+03	1.774563E-15	1.472000E-16
4.030000E+03	1.788665E-15	1.494173E-16
4.032000E+03	1.801787E-15	1.487723E-16
4.034000E+03	1.808974E-15	1.476990E-16
4.036000E+03	1.815395E-15	1.477121E-16
4.038000E+03	1.821560E-15	1.559016E-16
4.040000E+03	1.829077E-15	1.594508E-16
4.042000E+03	1.836337E-15	1.617732E-16
4.044000E+03	1.838049E-15	1.605000E-16
4.046000E+03	1.837982E-15	1.575995E-16
4.048000E+03	1.839353E-15	1.549538E-16
4.050000E+03	1.841231E-15	1.548502E-16
4.052000E+03	1.844249E-15	1.573186E-16
4.054000E+03	1.840625E-15	1.570764E-16
4.056000E+03	1.836663E-15	1.617876E-16
4.058000E+03	1.833886E-15	1.615657E-16
4.060000E+03	1.827726E-15	1.632118E-16
4.062000E+03	1.816665E-15	1.635658E-16
4.064000E+03	1.810931E-15	1.686577E-16
4.066000E+03	1.805789E-15	1.685618E-16
4.068000E+03	1.798494E-15	1.680496E-16
4.070000E+03	1.788412E-15	1.720819E-16
4.072000E+03	1.774531E-15	1.678957E-16
4.074000E+03	1.756388E-15	1.657172E-16
4.076000E+03	1.747286E-15	1.627070E-16
4.078000E+03	1.740424E-15	1.624306E-16
4.080000E+03	1.724994E-15	1.641035E-16
4.082000E+03	1.714760E-15	1.666633E-16
4.084000E+03	1.711279E-15	1.675377E-16
4.086000E+03	1.696872E-15	1.640722E-16
4.088000E+03	1.680697E-15	1.604308E-16
4.090000E+03	1.670684E-15	1.587944E-16
4.092000E+03	1.662402E-15	1.583789E-16
4.094000E+03	1.651213E-15	1.592747E-16
4.096000E+03	1.646561E-15	1.620098E-16
4.098000E+03	1.644270E-15	1.639829E-16
4.100000E+03	1.642907E-15	1.630967E-16
4.102000E+03	1.639520E-15	1.630292E-16
4.104000E+03	1.637229E-15	1.587515E-16
4.106000E+03	1.639656E-15	1.605431E-16
4.108000E+03	1.639722E-15	1.544033E-16
4.110000E+03	1.639830E-15	1.517728E-16
4.112000E+03	1.640148E-15	1.456350E-16
4.114000E+03	1.644464E-15	1.438123E-16
4.116000E+03	1.649535E-15	1.439036E-16
4.118000E+03	1.655319E-15	1.371876E-16
4.120000E+03	1.659165E-15	1.349020E-16
4.122000E+03	1.658129E-15	1.358991E-16
4.124000E+03	1.654191E-15	1.360926E-16
4.126000E+03	1.648781E-15	1.373809E-16
4.128000E+03	1.652244E-15	1.363801E-16
4.130000E+03	1.654066E-15	1.312157E-16
4.132000E+03	1.650380E-15	1.282513E-16
4.134000E+03	1.649510E-15	1.220192E-16
4.136000E+03	1.656623E-15	1.363936E-16
4.138000E+03	1.663942E-15	1.347237E-16
4.140000E+03	1.673148E-15	1.349107E-16
4.142000E+03	1.676891E-15	1.349841E-16
4.144000E+03	1.675846E-15	1.318113E-16
4.146000E+03	1.679207E-15	1.313496E-16
4.148000E+03	1.683616E-15	1.301448E-16
4.150000E+03	1.687603E-15	1.298020E-16
4.152000E+03	1.689029E-15	1.287579E-16
4.154000E+03	1.696745E-15	1.259585E-16
4.156000E+03	1.700055E-15	1.257783E-16
4.158000E+03	1.691284E-15	1.249983E-16
4.160000E+03	1.692327E-15	1.276221E-16
