#wls	flux	fluxerr
1.600000E+03	4.692069E-17	4.529106E-17
1.640000E+03	4.665734E-17	4.486885E-17
1.680000E+03	4.642580E-17	4.447822E-17
1.720000E+03	4.623772E-17	4.413013E-17
1.760000E+03	4.608844E-17	4.381982E-17
1.800000E+03	4.598179E-17	4.355056E-17
1.840000E+03	4.592183E-17	4.332566E-17
1.880000E+03	4.591285E-17	4.314852E-17
1.920000E+03	4.596755E-17	4.303020E-17
1.960000E+03	4.607464E-17	4.295912E-17
2.000000E+03	4.625564E-17	4.295419E-17
2.040000E+03	4.651638E-17	4.301932E-17
2.080000E+03	4.684682E-17	4.314357E-17
2.120000E+03	4.727023E-17	4.334652E-17
2.160000E+03	4.778597E-17	4.362535E-17
2.200000E+03	4.840236E-17	4.398516E-17
2.240000E+03	4.913714E-17	4.443918E-17
2.280000E+03	4.999219E-17	4.498574E-17
2.320000E+03	5.097884E-17	4.563127E-17
2.360000E+03	5.210972E-17	4.638273E-17
2.400000E+03	5.340808E-17	4.725578E-17
2.440000E+03	5.487127E-17	4.824221E-17
2.480000E+03	5.654520E-17	4.937571E-17
2.520000E+03	5.842079E-17	5.064037E-17
2.560000E+03	6.053944E-17	5.206309E-17
2.600000E+03	6.290457E-17	5.363617E-17
2.640000E+03	6.557506E-17	5.539751E-17
2.680000E+03	6.854770E-17	5.732974E-17
2.720000E+03	7.187765E-17	5.946229E-17
2.760000E+03	7.558896E-17	6.179518E-17
2.800000E+03	7.972011E-17	6.433694E-17
2.840000E+03	8.432714E-17	6.710589E-17
2.880000E+03	8.942733E-17	7.008446E-17
2.920000E+03	9.509871E-17	7.329766E-17
2.960000E+03	1.013961E-16	7.674497E-17
3.000000E+03	1.083418E-16	8.039415E-17
3.010000E+03	1.102028E-16	8.134880E-17
3.020000E+03	1.120915E-16	8.230221E-17
3.030000E+03	1.140272E-16	8.326759E-17
3.040000E+03	1.160302E-16	8.425876E-17
3.050000E+03	1.180630E-16	8.524723E-17
3.060000E+03	1.201659E-16	8.626106E-17
3.070000E+03	1.222999E-16	8.727107E-17
3.080000E+03	1.245066E-16	8.830587E-17
3.090000E+03	1.267460E-16	8.933558E-17
3.100000E+03	1.290609E-16	9.038938E-17
3.110000E+03	1.314318E-16	9.145194E-17
3.120000E+03	1.338374E-16	9.250719E-17
3.130000E+03	1.363231E-16	9.358521E-17
3.140000E+03	1.388450E-16	9.465426E-17
3.150000E+03	1.414501E-16	9.574499E-17
3.160000E+03	1.441170E-16	9.684103E-17
3.170000E+03	1.468223E-16	9.792523E-17
3.180000E+03	1.496157E-16	9.902918E-17
3.190000E+03	1.524493E-16	1.001192E-16
3.200000E+03	1.553744E-16	1.012274E-16
3.210000E+03	1.583676E-16	1.023363E-16
3.220000E+03	1.614302E-16	1.034449E-16
3.230000E+03	1.645363E-16	1.045347E-16
3.240000E+03	1.677414E-16	1.056391E-16
3.250000E+03	1.710202E-16	1.067397E-16
3.260000E+03	1.743453E-16	1.078173E-16
3.270000E+03	1.777754E-16	1.089061E-16
3.280000E+03	1.812838E-16	1.099872E-16
3.290000E+03	1.848722E-16	1.110591E-16
3.300000E+03	1.885422E-16	1.121203E-16
3.310000E+03	1.922638E-16	1.131505E-16
3.320000E+03	1.961017E-16	1.141854E-16
3.330000E+03	2.000267E-16	1.152047E-16
3.340000E+03	2.040405E-16	1.162068E-16
3.350000E+03	2.081454E-16	1.171898E-16
3.360000E+03	2.123432E-16	1.181519E-16
3.370000E+03	2.166005E-16	1.190716E-16
3.380000E+03	2.209901E-16	1.199859E-16
3.390000E+03	2.254793E-16	1.208734E-16
