#wls	flux	fluxerr	mangling_mask
3.326789E+03	3.510691E-15	1.368317E-15	1.951251E+03
3.328923E+03	3.622319E-15	1.205952E-15	1.951365E+03
3.331067E+03	3.751720E-15	1.192425E-15	1.951480E+03
3.333201E+03	3.878207E-15	1.081683E-15	1.951594E+03
3.335335E+03	3.985388E-15	9.726450E-16	1.951708E+03
3.337469E+03	4.101168E-15	9.753683E-16	1.951822E+03
3.339613E+03	4.186708E-15	1.012648E-15	1.951936E+03
3.341747E+03	4.210572E-15	1.038802E-15	1.952050E+03
3.343881E+03	4.139759E-15	1.038381E-15	1.952164E+03
3.346015E+03	4.091779E-15	1.016472E-15	1.952278E+03
3.348159E+03	4.119157E-15	9.569658E-16	1.952392E+03
3.350294E+03	4.150637E-15	9.693012E-16	1.952506E+03
3.352427E+03	4.156345E-15	9.786129E-16	1.952619E+03
3.354562E+03	4.188026E-15	9.974456E-16	1.952733E+03
3.356706E+03	4.185927E-15	9.867316E-16	1.952847E+03
3.358840E+03	4.179921E-15	9.884876E-16	1.952960E+03
3.360974E+03	4.245396E-15	9.448049E-16	1.953074E+03
3.363108E+03	4.268299E-15	8.626207E-16	1.953187E+03
3.365252E+03	4.198620E-15	8.641348E-16	1.953301E+03
3.367386E+03	4.198472E-15	8.273464E-16	1.953414E+03
3.369520E+03	4.267089E-15	8.309333E-16	1.953527E+03
3.371654E+03	4.375177E-15	8.331614E-16	1.953640E+03
3.373798E+03	4.486795E-15	8.155144E-16	1.953754E+03
3.375932E+03	4.542740E-15	7.648691E-16	1.953867E+03
3.378066E+03	4.490245E-15	8.128201E-16	1.953980E+03
3.380200E+03	4.481515E-15	8.119968E-16	1.954092E+03
3.382344E+03	4.571473E-15	8.154532E-16	1.954206E+03
3.384478E+03	4.696813E-15	8.200320E-16	1.954318E+03
3.386612E+03	4.826077E-15	7.548894E-16	1.954431E+03
3.388756E+03	4.995424E-15	7.213737E-16	1.954544E+03
3.390890E+03	5.160880E-15	7.273872E-16	1.954657E+03
3.393024E+03	5.275531E-15	7.343166E-16	1.954769E+03
3.395159E+03	5.360285E-15	7.344080E-16	1.954882E+03
3.397303E+03	5.438795E-15	7.313798E-16	1.954994E+03
3.399437E+03	5.574987E-15	7.726271E-16	1.955107E+03
3.401571E+03	5.717647E-15	7.369974E-16	1.955219E+03
3.403705E+03	5.823563E-15	6.851859E-16	1.955331E+03
3.405849E+03	5.913653E-15	6.876249E-16	1.955444E+03
3.407983E+03	6.004339E-15	6.910825E-16	1.955556E+03
3.410117E+03	6.050640E-15	7.199670E-16	1.955668E+03
3.412251E+03	6.059983E-15	7.228805E-16	1.955780E+03
3.414395E+03	6.119008E-15	7.307012E-16	1.955892E+03
3.416529E+03	6.204053E-15	8.240382E-16	1.956004E+03
3.418663E+03	6.292432E-15	8.372594E-16	1.956115E+03
3.420797E+03	6.386103E-15	8.252398E-16	1.956227E+03
3.422941E+03	6.547671E-15	8.322110E-16	1.956339E+03
3.425075E+03	6.779688E-15	7.803380E-16	1.956451E+03
3.427209E+03	7.014862E-15	7.712477E-16	1.956562E+03
3.429343E+03	7.188035E-15	8.090566E-16	1.956673E+03
3.431488E+03	7.386081E-15	8.601371E-16	1.956785E+03
3.433622E+03	7.632092E-15	9.145662E-16	1.956896E+03
3.435756E+03	7.820006E-15	9.184443E-16	1.957008E+03
3.437890E+03	7.983478E-15	9.114135E-16	1.957119E+03
3.440034E+03	8.186506E-15	9.335725E-16	1.957230E+03
3.442168E+03	8.417741E-15	9.999621E-16	1.957341E+03
3.444302E+03	8.643520E-15	9.886834E-16	1.957452E+03
3.446436E+03	8.899471E-15	9.113962E-16	1.957563E+03
3.448580E+03	9.156041E-15	9.273224E-16	1.957674E+03
3.450714E+03	9.409895E-15	9.956028E-16	1.957784E+03
3.452848E+03	9.662212E-15	1.046126E-15	1.957895E+03
3.454982E+03	9.863649E-15	1.091499E-15	1.958006E+03
3.457126E+03	1.005884E-14	1.147071E-15	1.958116E+03
3.459260E+03	1.025230E-14	1.202232E-15	1.958227E+03
3.461394E+03	1.042756E-14	1.219944E-15	1.958337E+03
3.463528E+03	1.056876E-14	1.138792E-15	1.958447E+03
3.465672E+03	1.070136E-14	1.117706E-15	1.958558E+03
3.467806E+03	1.080049E-14	1.134305E-15	1.958668E+03
3.469940E+03	1.084458E-14	1.162781E-15	1.958778E+03
3.472074E+03	1.087849E-14	1.214852E-15	1.958888E+03
3.474218E+03	1.094551E-14	1.241931E-15	1.958998E+03
3.476352E+03	1.097179E-14	1.213264E-15	1.959108E+03
3.478487E+03	1.092655E-14	1.160935E-15	1.959217E+03
3.480621E+03	1.085879E-14	1.089589E-15	1.959327E+03
3.482765E+03	1.080042E-14	1.073467E-15	1.959437E+03
3.484899E+03	1.072440E-14	1.077197E-15	1.959546E+03
3.487033E+03	1.061996E-14	1.086899E-15	1.959655E+03
3.489167E+03	1.051041E-14	1.118656E-15	1.959765E+03
3.491311E+03	1.043300E-14	1.178498E-15	1.959874E+03
3.493445E+03	1.033009E-14	1.203351E-15	1.959983E+03
3.495579E+03	1.018738E-14	1.188860E-15	1.960092E+03
3.497713E+03	1.003917E-14	1.144964E-15	1.960201E+03
3.499857E+03	9.907998E-15	1.102777E-15	1.960311E+03
3.501991E+03	9.785629E-15	1.052549E-15	1.960419E+03
3.504125E+03	9.674421E-15	9.539931E-16	1.960528E+03
3.506259E+03	9.575160E-15	8.355026E-16	1.960636E+03
3.508403E+03	9.451970E-15	7.628367E-16	1.960745E+03
3.510537E+03	9.338174E-15	7.874474E-16	1.960854E+03
3.512671E+03	9.289666E-15	8.637010E-16	1.960962E+03
3.514805E+03	9.244289E-15	9.166572E-16	1.961070E+03
3.516950E+03	9.184005E-15	9.556775E-16	1.961179E+03
3.519084E+03	9.114297E-15	9.511280E-16	1.961287E+03
3.521218E+03	9.033008E-15	9.458627E-16	1.961395E+03
3.523352E+03	8.957202E-15	9.698059E-16	1.961503E+03
3.525496E+03	8.911599E-15	1.003987E-15	1.961611E+03
3.527630E+03	8.892275E-15	1.013730E-15	1.961719E+03
3.529764E+03	8.906495E-15	9.830124E-16	1.961826E+03
3.531898E+03	8.944848E-15	9.948253E-16	1.961934E+03
3.534042E+03	8.994588E-15	9.853113E-16	1.962042E+03
3.536176E+03	9.025100E-15	9.169261E-16	1.962149E+03
3.538310E+03	9.016567E-15	8.796995E-16	1.962256E+03
3.540444E+03	9.037272E-15	9.008751E-16	1.962363E+03
3.542588E+03	9.085651E-15	8.863290E-16	1.962471E+03
3.544722E+03	9.106361E-15	8.877432E-16	1.962578E+03
3.546856E+03	9.102735E-15	8.945983E-16	1.962685E+03
3.548990E+03	9.105193E-15	9.141572E-16	1.962791E+03
3.551134E+03	9.110008E-15	9.503782E-16	1.962898E+03
3.553268E+03	9.110306E-15	9.657924E-16	1.963005E+03
3.555403E+03	9.108248E-15	9.679393E-16	1.963111E+03
3.557537E+03	9.121110E-15	9.526425E-16	1.963218E+03
3.559681E+03	9.122588E-15	9.193497E-16	1.963325E+03
3.561815E+03	9.092255E-15	8.936403E-16	1.963431E+03
3.563949E+03	9.059955E-15	8.519332E-16	1.963537E+03
3.566083E+03	9.025295E-15	8.300933E-16	1.963643E+03
3.568227E+03	9.024802E-15	8.421597E-16	1.963749E+03
3.570361E+03	9.031572E-15	8.679480E-16	1.963855E+03
3.572495E+03	8.970586E-15	8.245222E-16	1.963961E+03
3.574629E+03	8.881900E-15	7.956398E-16	1.964066E+03
3.576773E+03	8.820311E-15	8.070569E-16	1.964172E+03
3.578907E+03	8.768338E-15	7.988666E-16	1.964277E+03
3.581041E+03	8.688857E-15	7.979793E-16	1.964383E+03
3.583185E+03	8.607798E-15	7.958173E-16	1.964488E+03
3.585319E+03	8.573878E-15	7.836857E-16	1.964593E+03
3.587453E+03	8.581606E-15	7.502993E-16	1.964698E+03
3.589587E+03	8.586779E-15	7.477609E-16	1.964803E+03
3.591731E+03	8.555604E-15	7.451936E-16	1.964908E+03
3.593865E+03	8.532283E-15	7.374537E-16	1.965013E+03
3.595999E+03	8.524876E-15	7.245311E-16	1.965118E+03
3.598133E+03	8.529063E-15	7.358743E-16	1.965222E+03
3.600278E+03	8.572755E-15	7.897935E-16	1.965327E+03
3.602412E+03	8.618415E-15	8.537617E-16	1.965431E+03
3.604546E+03	8.643244E-15	8.760273E-16	1.965535E+03
3.606680E+03	8.660212E-15	8.686300E-16	1.965639E+03
3.608824E+03	8.674039E-15	8.712547E-16	1.965743E+03
3.610958E+03	8.678428E-15	8.900643E-16	1.965847E+03
