#wls	flux	fluxerr
1.570167E+03	5.318238E-04	1.083811E-04
1.609421E+03	5.358645E-04	1.086804E-04
1.648675E+03	5.399608E-04	1.089677E-04
1.687929E+03	5.445698E-04	1.093340E-04
1.727184E+03	5.496957E-04	1.097778E-04
1.766438E+03	5.553432E-04	1.102975E-04
1.805692E+03	5.612941E-04	1.108476E-04
1.844946E+03	5.677796E-04	1.114713E-04
1.884200E+03	5.748067E-04	1.121672E-04
1.923454E+03	5.823836E-04	1.129340E-04
1.962709E+03	5.905193E-04	1.137700E-04
2.001963E+03	5.994465E-04	1.147167E-04
2.041217E+03	6.089532E-04	1.157292E-04
2.080471E+03	6.190516E-04	1.168061E-04
2.119725E+03	6.301999E-04	1.180293E-04
2.158979E+03	6.419677E-04	1.193129E-04
2.198234E+03	6.545935E-04	1.206962E-04
2.237488E+03	6.683176E-04	1.222176E-04
2.276742E+03	6.829368E-04	1.238331E-04
2.315996E+03	6.984717E-04	1.255403E-04
2.355250E+03	7.151688E-04	1.273761E-04
2.394504E+03	7.330534E-04	1.293370E-04
2.433759E+03	7.519281E-04	1.313796E-04
2.473013E+03	7.720462E-04	1.335400E-04
2.512267E+03	7.934389E-04	1.358138E-04
2.551521E+03	8.161398E-04	1.381965E-04
2.590775E+03	8.399567E-04	1.406453E-04
2.630029E+03	8.653821E-04	1.432317E-04
2.669284E+03	8.919982E-04	1.458740E-04
2.708538E+03	9.203050E-04	1.486419E-04
2.747792E+03	9.503511E-04	1.515284E-04
2.787046E+03	9.819505E-04	1.544889E-04
2.826300E+03	1.015621E-03	1.575889E-04
2.865554E+03	1.051186E-03	1.607826E-04
2.904809E+03	1.088937E-03	1.640962E-04
2.944063E+03	1.129415E-03	1.675894E-04
2.953876E+03	1.140030E-03	1.684980E-04
2.963690E+03	1.150702E-03	1.693991E-04
2.973503E+03	1.161671E-03	1.703277E-04
2.983317E+03	1.172699E-03	1.712484E-04
2.993131E+03	1.184027E-03	1.721961E-04
3.002944E+03	1.195417E-03	1.731354E-04
3.012758E+03	1.207109E-03	1.741010E-04
3.022571E+03	1.218865E-03	1.750581E-04
3.032385E+03	1.231170E-03	1.760756E-04
3.042198E+03	1.243542E-03	1.770838E-04
3.052012E+03	1.255980E-03	1.780825E-04
