#wls	flux	fluxerr
1.570167E+03	2.231160E-04	9.458310E-06
1.609421E+03	2.249835E-04	9.492787E-06
1.648675E+03	2.267653E-04	9.521819E-06
1.687929E+03	2.283489E-04	9.540713E-06
1.727184E+03	2.296989E-04	9.548077E-06
1.766438E+03	2.308022E-04	9.543478E-06
1.805692E+03	2.314140E-04	9.516974E-06
1.844946E+03	2.314536E-04	9.465563E-06
1.884200E+03	2.306403E-04	9.378209E-06
1.923454E+03	2.290329E-04	9.257874E-06
1.962709E+03	2.265888E-04	9.103429E-06
2.001963E+03	2.238280E-04	8.936278E-06
2.041217E+03	2.215451E-04	8.788198E-06
2.080471E+03	2.214075E-04	8.724552E-06
2.119725E+03	2.246610E-04	8.792391E-06
2.158979E+03	2.318347E-04	9.009463E-06
2.198234E+03	2.427573E-04	9.365777E-06
2.237488E+03	2.564905E-04	9.822034E-06
2.276742E+03	2.719353E-04	1.033378E-05
2.315996E+03	2.883357E-04	1.087069E-05
2.355250E+03	3.053613E-04	1.141924E-05
2.394504E+03	3.228475E-04	1.197239E-05
2.433759E+03	3.406834E-04	1.252528E-05
2.473013E+03	3.591565E-04	1.308769E-05
2.512267E+03	3.783942E-04	1.366321E-05
2.551521E+03	3.984256E-04	1.425174E-05
2.590775E+03	4.196207E-04	1.486516E-05
2.630029E+03	4.421329E-04	1.550720E-05
2.669284E+03	4.661141E-04	1.618130E-05
2.708538E+03	4.919638E-04	1.689910E-05
2.747792E+03	5.198506E-04	1.766376E-05
2.787046E+03	5.499487E-04	1.847829E-05
2.826300E+03	5.827007E-04	1.935429E-05
2.865554E+03	6.184469E-04	2.029922E-05
2.904809E+03	6.574151E-04	2.131623E-05
2.944063E+03	7.001274E-04	2.241747E-05
2.953876E+03	7.114670E-04	2.270775E-05
2.963690E+03	7.230809E-04	2.300414E-05
2.973503E+03	7.349739E-04	2.330670E-05
2.983317E+03	7.471585E-04	2.361572E-05
2.993131E+03	7.596631E-04	2.393199E-05
3.002944E+03	7.725199E-04	2.425640E-05
3.012758E+03	7.857281E-04	2.458882E-05
3.022571E+03	7.992878E-04	2.492911E-05
3.032385E+03	8.133469E-04	2.528174E-05
3.042198E+03	8.277605E-04	2.564207E-05
3.052012E+03	8.425312E-04	2.601003E-05
3.061825E+03	8.576598E-04	2.638552E-05
3.071639E+03	8.731492E-04	2.676850E-05
3.081452E+03	8.891553E-04	2.716360E-05
3.091266E+03	9.056837E-04	2.757080E-05
3.101079E+03	9.225874E-04	2.798547E-05
3.110893E+03	9.398705E-04	2.840759E-05
3.120707E+03	9.576945E-04	2.884187E-05
3.130520E+03	9.759099E-04	2.928364E-05
3.140334E+03	9.946810E-04	2.973766E-05
3.150147E+03	1.014018E-03	3.020404E-05
3.159961E+03	1.033768E-03	3.067804E-05
3.169774E+03	1.054103E-03	3.116456E-05
3.179588E+03	1.075031E-03	3.166366E-05
3.189401E+03	1.096566E-03	3.217549E-05
3.199215E+03	1.118718E-03	3.270017E-05
3.209028E+03	1.141500E-03	3.323782E-05
3.218842E+03	1.164926E-03	3.378861E-05
3.228656E+03	1.189009E-03	3.435268E-05
3.238469E+03	1.213762E-03	3.493020E-05
3.248283E+03	1.239375E-03	3.552628E-05
3.258096E+03	1.265691E-03	3.613621E-05
3.267910E+03	1.292726E-03	3.676016E-05
3.277723E+03	1.320675E-03	3.740334E-05
3.287537E+03	1.349380E-03	3.806100E-05
3.297350E+03	1.379216E-03	3.874340E-05
3.307164E+03	1.409851E-03	3.944079E-05
3.316977E+03	1.441304E-03	4.015344E-05
3.326791E+03	1.473960E-03	4.089170E-05
3.336605E+03	1.507664E-03	4.165085E-05
3.346418E+03	1.542441E-03	4.243120E-05
3.356232E+03	1.578317E-03	4.323307E-05
3.366045E+03	1.615509E-03	4.406192E-05
3.375859E+03	1.653857E-03	4.491299E-05
3.385672E+03	1.693582E-03	4.579176E-05
3.395486E+03	1.734717E-03	4.669865E-05
3.405299E+03	1.777103E-03	4.762881E-05
3.415113E+03	1.821160E-03	4.859307E-05
3.424926E+03	1.866534E-03	4.958136E-05
3.434740E+03	1.913655E-03	5.060455E-05
3.444553E+03	1.962364E-03	5.165781E-05
3.454367E+03	2.012899E-03	5.274679E-05
3.464181E+03	2.065099E-03	5.386663E-05
3.473994E+03	2.119414E-03	5.502835E-05
3.483808E+03	2.175477E-03	5.622172E-05
3.493621E+03	2.233746E-03	5.745788E-05
3.503435E+03	2.293851E-03	5.872648E-05
3.513248E+03	2.356471E-03	6.004421E-05
3.523062E+03	2.421241E-03	6.140082E-05
3.532875E+03	2.488216E-03	6.279692E-05
3.542689E+03	2.557895E-03	6.424424E-05
3.552502E+03	2.630137E-03	6.573826E-05
3.562316E+03	2.705021E-03	6.727999E-05
3.572130E+03	2.782855E-03	6.887607E-05
3.581943E+03	2.863502E-03	7.052206E-05
3.591757E+03	2.947050E-03	7.221903E-05
3.601570E+03	3.034046E-03	7.397931E-05
3.611384E+03	3.124355E-03	7.579835E-05
3.621197E+03	3.217832E-03	7.767141E-05
3.631011E+03	3.315272E-03	7.961644E-05
3.640824E+03	3.416050E-03	8.161708E-05
3.650638E+03	3.520968E-03	8.369113E-05
3.660451E+03	3.629619E-03	8.582752E-05
3.670265E+03	3.742316E-03	8.803222E-05
3.680079E+03	3.859121E-03	9.030523E-05
3.689892E+03	3.980336E-03	9.265210E-05
3.699706E+03	4.105753E-03	9.506638E-05
3.709519E+03	4.235649E-03	9.755302E-05
3.719333E+03	4.369778E-03	1.001047E-04
3.729146E+03	4.508649E-03	1.027316E-04
3.738960E+03	4.651974E-03	1.054254E-04
3.748773E+03	4.799697E-03	1.081834E-04
3.758587E+03	4.951735E-03	1.110021E-04
3.768400E+03	5.108521E-03	1.138897E-04
3.778214E+03	5.269369E-03	1.168294E-04
3.788027E+03	5.434096E-03	1.198157E-04
3.797841E+03	5.603318E-03	1.228608E-04
3.807655E+03	5.775940E-03	1.259394E-04
3.817468E+03	5.952224E-03	1.290561E-04
3.827282E+03	6.131545E-03	1.321961E-04
3.837095E+03	6.313791E-03	1.353562E-04
3.846909E+03	6.498521E-03	1.385262E-04
3.856722E+03	6.685254E-03	1.416950E-04
3.866536E+03	6.873454E-03	1.448510E-04
3.876349E+03	7.062839E-03	1.479879E-04
3.886163E+03	7.252194E-03	1.510803E-04
3.895976E+03	7.441459E-03	1.541272E-04
3.905790E+03	7.629951E-03	1.571149E-04
3.915604E+03	7.816951E-03	1.600292E-04
3.925417E+03	8.001429E-03	1.628501E-04
3.935231E+03	8.182948E-03	1.655700E-04
3.945044E+03	8.360775E-03	1.681755E-04
3.954858E+03	8.534201E-03	1.706541E-04
3.964671E+03	8.702541E-03	1.729943E-04
3.974485E+03	8.865154E-03	1.751854E-04
3.984298E+03	9.021760E-03	1.772245E-04
3.994112E+03	9.171251E-03	1.790925E-04
4.003925E+03	9.313500E-03	1.807897E-04
4.013739E+03	9.448457E-03	1.823183E-04
4.023553E+03	9.575278E-03	1.836649E-04
4.033366E+03	9.694394E-03	1.848411E-04
4.043180E+03	9.805168E-03	1.858378E-04
4.052993E+03	9.907933E-03	1.866646E-04
4.062807E+03	1.000283E-02	1.873274E-04
4.072620E+03	1.009010E-02	1.878337E-04
4.082434E+03	1.016981E-02	1.881878E-04
4.092247E+03	1.024241E-02	1.884010E-04
4.102061E+03	1.030845E-02	1.884860E-04
4.111874E+03	1.036854E-02	1.884565E-04
4.121688E+03	1.042312E-02	1.883231E-04
4.131501E+03	1.047322E-02	1.881061E-04
4.141315E+03	1.051938E-02	1.878175E-04
4.151129E+03	1.056222E-02	1.874694E-04
4.160942E+03	1.060283E-02	1.870830E-04
4.170756E+03	1.064162E-02	1.866666E-04
4.180569E+03	1.067969E-02	1.862401E-04
4.190383E+03	1.071767E-02	1.858153E-04
4.200196E+03	1.075639E-02	1.854069E-04
4.210010E+03	1.079619E-02	1.850211E-04
4.219823E+03	1.083806E-02	1.846749E-04
4.229637E+03	1.088251E-02	1.843766E-04
4.239450E+03	1.092998E-02	1.841337E-04
4.249264E+03	1.098111E-02	1.839564E-04
4.259078E+03	1.103627E-02	1.838504E-04
4.268891E+03	1.109579E-02	1.838206E-04
4.278705E+03	1.116017E-02	1.838748E-04
4.288518E+03	1.122951E-02	1.840136E-04
4.298332E+03	1.130424E-02	1.842436E-04
4.308145E+03	1.138461E-02	1.845682E-04
4.317959E+03	1.147107E-02	1.849935E-04
4.327772E+03	1.156342E-02	1.855161E-04
4.337586E+03	1.166248E-02	1.861479E-04
4.347399E+03	1.176786E-02	1.868821E-04
4.357213E+03	1.188009E-02	1.877265E-04
4.367026E+03	1.199933E-02	1.886827E-04
4.376840E+03	1.212545E-02	1.897482E-04
4.386654E+03	1.225869E-02	1.909259E-04
4.396467E+03	1.239899E-02	1.922148E-04
4.406281E+03	1.254627E-02	1.936128E-04
4.416094E+03	1.270015E-02	1.951130E-04
4.425908E+03	1.286094E-02	1.967192E-04
4.435721E+03	1.302806E-02	1.984218E-04
4.445535E+03	1.320127E-02	2.002159E-04
4.455348E+03	1.338018E-02	2.020952E-04
4.465162E+03	1.356415E-02	2.040490E-04
4.474975E+03	1.375279E-02	2.060712E-04
4.484789E+03	1.394503E-02	2.081453E-04
4.494603E+03	1.414050E-02	2.102653E-04
4.504416E+03	1.433794E-02	2.124126E-04
4.514230E+03	1.453660E-02	2.145760E-04
4.524043E+03	1.473528E-02	2.167381E-04
4.533857E+03	1.493296E-02	2.188840E-04
4.543670E+03	1.512865E-02	2.209996E-04
4.553484E+03	1.532156E-02	2.230740E-04
4.563297E+03	1.551063E-02	2.250922E-04
4.573111E+03	1.569486E-02	2.270406E-04
4.582924E+03	1.587399E-02	2.289161E-04
4.592738E+03	1.604727E-02	2.307087E-04
4.602552E+03	1.621430E-02	2.324134E-04
4.612365E+03	1.637502E-02	2.340300E-04
4.622179E+03	1.652909E-02	2.355545E-04
4.631992E+03	1.667673E-02	2.369909E-04
4.641806E+03	1.681790E-02	2.383388E-04
4.651619E+03	1.695303E-02	2.396053E-04
4.661433E+03	1.708266E-02	2.407984E-04
4.671246E+03	1.720696E-02	2.419207E-04
4.681060E+03	1.732628E-02	2.429777E-04
4.690873E+03	1.744114E-02	2.439768E-04
4.700687E+03	1.755195E-02	2.449240E-04
4.710500E+03	1.765840E-02	2.458152E-04
4.720314E+03	1.776087E-02	2.466556E-04
4.730128E+03	1.785896E-02	2.474401E-04
4.739941E+03	1.795237E-02	2.481645E-04
4.749755E+03	1.804044E-02	2.488199E-04
4.759568E+03	1.812280E-02	2.494013E-04
4.769382E+03	1.819856E-02	2.498969E-04
4.779195E+03	1.826694E-02	2.502961E-04
4.789009E+03	1.832730E-02	2.505907E-04
4.798822E+03	1.837837E-02	2.507635E-04
4.808636E+03	1.841964E-02	2.508085E-04
4.818449E+03	1.844990E-02	2.507093E-04
4.828263E+03	1.846858E-02	2.504591E-04
4.838077E+03	1.847524E-02	2.500525E-04
4.847890E+03	1.846899E-02	2.494781E-04
4.857704E+03	1.844991E-02	2.487379E-04
4.867517E+03	1.841769E-02	2.478283E-04
4.877331E+03	1.837241E-02	2.467511E-04
4.887144E+03	1.831458E-02	2.455139E-04
4.896958E+03	1.824448E-02	2.441214E-04
4.906771E+03	1.816302E-02	2.425859E-04
4.916585E+03	1.807105E-02	2.409198E-04
4.926398E+03	1.796955E-02	2.391365E-04
4.936212E+03	1.785964E-02	2.372514E-04
4.946026E+03	1.774268E-02	2.352829E-04
4.955839E+03	1.761974E-02	2.332454E-04
4.965653E+03	1.749245E-02	2.311609E-04
4.975466E+03	1.736196E-02	2.290447E-04
4.985280E+03	1.722961E-02	2.269144E-04
4.995093E+03	1.709694E-02	2.247904E-04
5.004907E+03	1.696532E-02	2.226906E-04
5.014720E+03	1.683631E-02	2.206351E-04
5.024534E+03	1.671107E-02	2.186393E-04
5.034347E+03	1.659127E-02	2.167243E-04
5.044161E+03	1.647794E-02	2.149035E-04
5.053974E+03	1.637218E-02	2.131906E-04
5.063788E+03	1.627527E-02	2.116019E-04
5.073602E+03	1.618795E-02	2.101468E-04
5.083415E+03	1.611066E-02	2.088300E-04
5.093229E+03	1.604394E-02	2.076584E-04
5.103042E+03	1.598818E-02	2.066364E-04
5.112856E+03	1.594341E-02	2.057638E-04
5.122669E+03	1.590948E-02	2.050385E-04
5.132483E+03	1.588627E-02	2.044585E-04
5.142296E+03	1.587339E-02	2.040182E-04
5.152110E+03	1.587044E-02	2.037125E-04
5.161923E+03	1.587669E-02	2.035316E-04
5.171737E+03	1.589179E-02	2.034709E-04
5.181551E+03	1.591486E-02	2.035191E-04
5.191364E+03	1.594533E-02	2.036689E-04
5.201178E+03	1.598245E-02	2.039107E-04
5.210991E+03	1.602557E-02	2.042364E-04
5.220805E+03	1.607388E-02	2.046358E-04
5.230618E+03	1.612655E-02	2.050985E-04
5.240432E+03	1.618285E-02	2.056158E-04
5.250245E+03	1.624176E-02	2.061748E-04
5.260059E+03	1.630286E-02	2.067708E-04
5.269872E+03	1.636477E-02	2.073867E-04
5.279686E+03	1.642713E-02	2.080183E-04
5.289500E+03	1.648893E-02	2.086537E-04
5.299313E+03	1.654941E-02	2.092835E-04
5.309127E+03	1.660802E-02	2.099017E-04
5.318940E+03	1.666429E-02	2.105028E-04
5.328754E+03	1.671735E-02	2.110763E-04
5.338567E+03	1.676704E-02	2.116211E-04
5.348381E+03	1.681300E-02	2.121330E-04
5.358194E+03	1.685507E-02	2.126109E-04
5.368008E+03	1.689268E-02	2.130482E-04
5.377821E+03	1.692603E-02	2.134477E-04
5.387635E+03	1.695496E-02	2.138078E-04
5.397448E+03	1.697941E-02	2.141274E-04
5.407262E+03	1.699912E-02	2.144026E-04
5.417076E+03	1.701435E-02	2.146360E-04
5.426889E+03	1.702465E-02	2.148217E-04
5.436703E+03	1.703028E-02	2.149621E-04
5.446516E+03	1.703078E-02	2.150510E-04
5.456330E+03	1.702625E-02	2.150889E-04
5.466143E+03	1.701668E-02	2.150749E-04
5.475957E+03	1.700194E-02	2.150071E-04
5.485770E+03	1.698243E-02	2.148894E-04
5.495584E+03	1.695812E-02	2.147210E-04
5.505397E+03	1.692980E-02	2.145112E-04
5.515211E+03	1.689785E-02	2.142640E-04
5.525025E+03	1.686268E-02	2.139840E-04
5.534838E+03	1.682488E-02	2.136781E-04
5.544652E+03	1.678518E-02	2.133549E-04
5.554465E+03	1.674377E-02	2.130162E-04
5.564279E+03	1.670123E-02	2.126688E-04
5.574092E+03	1.665780E-02	2.123152E-04
5.583906E+03	1.661376E-02	2.119585E-04
5.593719E+03	1.656939E-02	2.116016E-04
5.603533E+03	1.652475E-02	2.112448E-04
5.613346E+03	1.648004E-02	2.108904E-04
5.623160E+03	1.643547E-02	2.105406E-04
5.632974E+03	1.639111E-02	2.101958E-04
5.642787E+03	1.634720E-02	2.098587E-04
5.652601E+03	1.630385E-02	2.095302E-04
5.662414E+03	1.626149E-02	2.092158E-04
5.672228E+03	1.622029E-02	2.089171E-04
5.682041E+03	1.618021E-02	2.086336E-04
5.691855E+03	1.614189E-02	2.083730E-04
5.701668E+03	1.610547E-02	2.081369E-04
5.711482E+03	1.607088E-02	2.079244E-04
5.721295E+03	1.603869E-02	2.077424E-04
5.731109E+03	1.600860E-02	2.075872E-04
5.740922E+03	1.598108E-02	2.074646E-04
5.750736E+03	1.595589E-02	2.073714E-04
5.760550E+03	1.593306E-02	2.073078E-04
5.770363E+03	1.591253E-02	2.072731E-04
5.780177E+03	1.589401E-02	2.072632E-04
5.789990E+03	1.587730E-02	2.072755E-04
5.799804E+03	1.586210E-02	2.073062E-04
5.809617E+03	1.584775E-02	2.073464E-04
5.819431E+03	1.583398E-02	2.073926E-04
5.829244E+03	1.582003E-02	2.074346E-04
5.839058E+03	1.580573E-02	2.074702E-04
5.848871E+03	1.579030E-02	2.074891E-04
5.858685E+03	1.577316E-02	2.074834E-04
5.868499E+03	1.575406E-02	2.074497E-04
5.878312E+03	1.573252E-02	2.073815E-04
5.888126E+03	1.570810E-02	2.072731E-04
5.897939E+03	1.568076E-02	2.071239E-04
5.907753E+03	1.565009E-02	2.069279E-04
5.917566E+03	1.561618E-02	2.066866E-04
5.927380E+03	1.557891E-02	2.063981E-04
5.937193E+03	1.553824E-02	2.060617E-04
5.947007E+03	1.549430E-02	2.056794E-04
5.956820E+03	1.544746E-02	2.052558E-04
5.966634E+03	1.539754E-02	2.047884E-04
5.976447E+03	1.534513E-02	2.042851E-04
5.986261E+03	1.529025E-02	2.037463E-04
5.996075E+03	1.523341E-02	2.031786E-04
6.005888E+03	1.517467E-02	2.025830E-04
6.015702E+03	1.511472E-02	2.019685E-04
6.025515E+03	1.505363E-02	2.013365E-04
6.035329E+03	1.499166E-02	2.006903E-04
6.045142E+03	1.492951E-02	2.000395E-04
6.054956E+03	1.486744E-02	1.993878E-04
6.064769E+03	1.480576E-02	1.987393E-04
6.074583E+03	1.474510E-02	1.981027E-04
6.084396E+03	1.468582E-02	1.974832E-04
6.094210E+03	1.462866E-02	1.968908E-04
6.104024E+03	1.457426E-02	1.963344E-04
6.113837E+03	1.452346E-02	1.958255E-04
6.123651E+03	1.447704E-02	1.953751E-04
6.133464E+03	1.443609E-02	1.949983E-04
6.143278E+03	1.440154E-02	1.947077E-04
6.153091E+03	1.437448E-02	1.945189E-04
6.162905E+03	1.435623E-02	1.944498E-04
6.172718E+03	1.434802E-02	1.945180E-04
6.182532E+03	1.435119E-02	1.947418E-04
6.192345E+03	1.436710E-02	1.951398E-04
6.202159E+03	1.439722E-02	1.957322E-04
6.211973E+03	1.444324E-02	1.965420E-04
6.221786E+03	1.450662E-02	1.975893E-04
6.231600E+03	1.458932E-02	1.989014E-04
6.241413E+03	1.469298E-02	2.005008E-04
6.251227E+03	1.481939E-02	2.024124E-04
6.261040E+03	1.497057E-02	2.046644E-04
6.270854E+03	1.514844E-02	2.072835E-04
6.280667E+03	1.535490E-02	2.102963E-04
6.290481E+03	1.559185E-02	2.137294E-04
6.300294E+03	1.586131E-02	2.176112E-04
6.310108E+03	1.616484E-02	2.219638E-04
6.319921E+03	1.650422E-02	2.268121E-04
6.329735E+03	1.688063E-02	2.321733E-04
6.339549E+03	1.729520E-02	2.380631E-04
6.349362E+03	1.774863E-02	2.444921E-04
6.359176E+03	1.824103E-02	2.514621E-04
6.368989E+03	1.877153E-02	2.589615E-04
6.378803E+03	1.933920E-02	2.669776E-04
6.388616E+03	1.994212E-02	2.754842E-04
6.398430E+03	2.057703E-02	2.844360E-04
6.408243E+03	2.124051E-02	2.937855E-04
6.418057E+03	2.192676E-02	3.034520E-04
