#wls	flux	fluxerr
1.570167E+03	6.644919E-18	1.813997E-19
1.609421E+03	6.625452E-18	1.801266E-19
1.648675E+03	6.593991E-18	1.785155E-19
1.687929E+03	6.551880E-18	1.766068E-19
1.727184E+03	6.497268E-18	1.743546E-19
1.766438E+03	6.429851E-18	1.717554E-19
1.805692E+03	6.345344E-18	1.687003E-19
1.844946E+03	6.238724E-18	1.650633E-19
1.884200E+03	6.107431E-18	1.607861E-19
1.923454E+03	5.948271E-18	1.557959E-19
1.962709E+03	5.763686E-18	1.501687E-19
2.001963E+03	5.569309E-18	1.443214E-19
2.041217E+03	5.393430E-18	1.389888E-19
2.080471E+03	5.276471E-18	1.352002E-19
2.119725E+03	5.259466E-18	1.339757E-19
2.158979E+03	5.362810E-18	1.357868E-19
2.198234E+03	5.583100E-18	1.404913E-19
2.237488E+03	5.894960E-18	1.473975E-19
2.276742E+03	6.270892E-18	1.557753E-19
2.315996E+03	6.686554E-18	1.649888E-19
2.355250E+03	7.129154E-18	1.747004E-19
2.394504E+03	7.591950E-18	1.847277E-19
2.433759E+03	8.077884E-18	1.951265E-19
2.473013E+03	8.586877E-18	2.058775E-19
2.512267E+03	9.130188E-18	2.172310E-19
2.551521E+03	9.711983E-18	2.292606E-19
2.590775E+03	1.034119E-17	2.421481E-19
2.630029E+03	1.102889E-17	2.561169E-19
2.669284E+03	1.178536E-17	2.713630E-19
2.708538E+03	1.262164E-17	2.880900E-19
2.747792E+03	1.354969E-17	3.065125E-19
2.787046E+03	1.458606E-17	3.269357E-19
2.826300E+03	1.574553E-17	3.496110E-19
2.865554E+03	1.704821E-17	3.748917E-19
2.904809E+03	1.851664E-17	4.031648E-19
2.944063E+03	2.017428E-17	4.348148E-19
2.953876E+03	2.062222E-17	4.433241E-19
2.963690E+03	2.108352E-17	4.520658E-19
2.973503E+03	2.155852E-17	4.610449E-19
2.983317E+03	2.204976E-17	4.703129E-19
2.993131E+03	2.255836E-17	4.798911E-19
3.002944E+03	2.308358E-17	4.897600E-19
3.012758E+03	2.362968E-17	5.000071E-19
3.022571E+03	2.419095E-17	5.105077E-19
3.032385E+03	2.477399E-17	5.213983E-19
3.042198E+03	2.537657E-17	5.326277E-19
3.052012E+03	2.600013E-17	5.442224E-19
3.061825E+03	2.664288E-17	5.561415E-19
3.071639E+03	2.730942E-17	5.684766E-19
3.081452E+03	2.799801E-17	5.811876E-19
3.091266E+03	2.871123E-17	5.943236E-19
3.101079E+03	2.944737E-17	6.078445E-19
3.110893E+03	3.020688E-17	6.217553E-19
3.120707E+03	3.099241E-17	6.361062E-19
3.130520E+03	3.180224E-17	6.508569E-19
3.140334E+03	3.263912E-17	6.660589E-19
3.150147E+03	3.350129E-17	6.816713E-19
3.159961E+03	3.439388E-17	6.977931E-19
3.169774E+03	3.531281E-17	7.143363E-19
3.179588E+03	3.626094E-17	7.313534E-19
3.189401E+03	3.723882E-17	7.488498E-19
3.199215E+03	3.824699E-17	7.668307E-19
3.209028E+03	3.928842E-17	7.853497E-19
3.218842E+03	4.035877E-17	8.043139E-19
3.228656E+03	4.146345E-17	8.238251E-19
3.238469E+03	4.260300E-17	8.438877E-19
3.248283E+03	4.377286E-17	8.644043E-19
3.258096E+03	4.498106E-17	8.855280E-19
3.267910E+03	4.622294E-17	9.071593E-19
3.277723E+03	4.749880E-17	9.292978E-19
3.287537E+03	4.881423E-17	9.520458E-19
3.297350E+03	5.016422E-17	9.752983E-19
3.307164E+03	5.155162E-17	9.991040E-19
3.316977E+03	5.297932E-17	1.023511E-18
3.326791E+03	5.444193E-17	1.048409E-18
3.336605E+03	5.594215E-17	1.073841E-18
3.346418E+03	5.748269E-17	1.099854E-18
3.356232E+03	5.906058E-17	1.126381E-18
3.366045E+03	6.067838E-17	1.153466E-18
3.375859E+03	6.233286E-17	1.181038E-18
3.385672E+03	6.402345E-17	1.209080E-18
3.395486E+03	6.575546E-17	1.237685E-18
3.405299E+03	6.752222E-17	1.266720E-18
3.415113E+03	6.932591E-17	1.296218E-18
3.424926E+03	7.116240E-17	1.326097E-18
3.434740E+03	7.303684E-17	1.356444E-18
3.444553E+03	7.494484E-17	1.387173E-18
3.454367E+03	7.688511E-17	1.418252E-18
3.464181E+03	7.885623E-17	1.449649E-18
3.473994E+03	8.085669E-17	1.481330E-18
3.483808E+03	8.288821E-17	1.513323E-18
3.493621E+03	8.494598E-17	1.545533E-18
3.503435E+03	8.702877E-17	1.577933E-18
3.513248E+03	8.913861E-17	1.610556E-18
3.523062E+03	9.127484E-17	1.643384E-18
3.532875E+03	9.343409E-17	1.676353E-18
3.542689E+03	9.562012E-17	1.709525E-18
3.552502E+03	9.783095E-17	1.742861E-18
3.562316E+03	1.000753E-16	1.776511E-18
3.572130E+03	1.023489E-16	1.810394E-18
3.581943E+03	1.046582E-16	1.844618E-18
3.591757E+03	1.070064E-16	1.879235E-18
3.601570E+03	1.093940E-16	1.914245E-18
3.611384E+03	1.118317E-16	1.949828E-18
3.621197E+03	1.143167E-16	1.985927E-18
3.631011E+03	1.168601E-16	2.022728E-18
3.640824E+03	1.194595E-16	2.060176E-18
3.650638E+03	1.221226E-16	2.098396E-18
3.660451E+03	1.248575E-16	2.137516E-18
3.670265E+03	1.276615E-16	2.177475E-18
3.680079E+03	1.305388E-16	2.218335E-18
3.689892E+03	1.335008E-16	2.260276E-18
3.699706E+03	1.365481E-16	2.303294E-18
3.709519E+03	1.396808E-16	2.347375E-18
3.719333E+03	1.429061E-16	2.392626E-18
3.729146E+03	1.462272E-16	2.439085E-18
3.738960E+03	1.496469E-16	2.486782E-18
3.748773E+03	1.531637E-16	2.535674E-18
3.758587E+03	1.567788E-16	2.585770E-18
3.768400E+03	1.604970E-16	2.637127E-18
3.778214E+03	1.643180E-16	2.689726E-18
3.788027E+03	1.682367E-16	2.743469E-18
3.797841E+03	1.722504E-16	2.798296E-18
3.807655E+03	1.763552E-16	2.854128E-18
3.817468E+03	1.805455E-16	2.910864E-18
3.827282E+03	1.848142E-16	2.968374E-18
3.837095E+03	1.891521E-16	3.026503E-18
3.846909E+03	1.935483E-16	3.085068E-18
3.856722E+03	1.979898E-16	3.143855E-18
3.866536E+03	2.024536E-16	3.202497E-18
3.876349E+03	2.069350E-16	3.260920E-18
3.886163E+03	2.114029E-16	3.318640E-18
3.895976E+03	2.158453E-16	3.375474E-18
3.905790E+03	2.202320E-16	3.430963E-18
3.915604E+03	2.245446E-16	3.484835E-18
3.925417E+03	2.287597E-16	3.536746E-18
3.935231E+03	2.328494E-16	3.586293E-18
3.945044E+03	2.367950E-16	3.633214E-18
3.954858E+03	2.405658E-16	3.677071E-18
3.964671E+03	2.441498E-16	3.717718E-18
3.974485E+03	2.475198E-16	3.754783E-18
3.984298E+03	2.506601E-16	3.788068E-18
3.994112E+03	2.535622E-16	3.817491E-18
4.003925E+03	2.562123E-16	3.842893E-18
4.013739E+03	2.586048E-16	3.864238E-18
4.023553E+03	2.607336E-16	3.881484E-18
4.033366E+03	2.626049E-16	3.894772E-18
4.043180E+03	2.642204E-16	3.904176E-18
4.052993E+03	2.655896E-16	3.909884E-18
4.062807E+03	2.667215E-16	3.912072E-18
4.072620E+03	2.676326E-16	3.911024E-18
4.082434E+03	2.683461E-16	3.907119E-18
4.092247E+03	2.688755E-16	3.900588E-18
4.102061E+03	2.692485E-16	3.891865E-18
4.111874E+03	2.694825E-16	3.881230E-18
4.121688E+03	2.696075E-16	3.869139E-18
4.131501E+03	2.696504E-16	3.855994E-18
4.141315E+03	2.696300E-16	3.842084E-18
4.151129E+03	2.695763E-16	3.827844E-18
4.160942E+03	2.695107E-16	3.813587E-18
4.170756E+03	2.694530E-16	3.799597E-18
4.180569E+03	2.694249E-16	3.786182E-18
4.190383E+03	2.694424E-16	3.773564E-18
4.200196E+03	2.695258E-16	3.762025E-18
4.210010E+03	2.696821E-16	3.751657E-18
4.219823E+03	2.699191E-16	3.742561E-18
4.229637E+03	2.702488E-16	3.734894E-18
4.239450E+03	2.706695E-16	3.728629E-18
4.249264E+03	2.711806E-16	3.723745E-18
4.259078E+03	2.717858E-16	3.720289E-18
4.268891E+03	2.724764E-16	3.718134E-18
4.278705E+03	2.732461E-16	3.717187E-18
4.288518E+03	2.740941E-16	3.717436E-18
4.298332E+03	2.750077E-16	3.718702E-18
4.308145E+03	2.759887E-16	3.721008E-18
4.317959E+03	2.770388E-16	3.724374E-18
4.327772E+03	2.781560E-16	3.728774E-18
4.337586E+03	2.793508E-16	3.734344E-18
4.347399E+03	2.806252E-16	3.741109E-18
4.357213E+03	2.819915E-16	3.749230E-18
4.367026E+03	2.834554E-16	3.758774E-18
4.376840E+03	2.850248E-16	3.769836E-18
4.386654E+03	2.867036E-16	3.782455E-18
4.396467E+03	2.884970E-16	3.796691E-18
4.406281E+03	2.904083E-16	3.812577E-18
4.416094E+03	2.924355E-16	3.830075E-18
4.425908E+03	2.945740E-16	3.849116E-18
4.435721E+03	2.968260E-16	3.869719E-18
4.445535E+03	2.991782E-16	3.891702E-18
4.455348E+03	3.016239E-16	3.914971E-18
4.465162E+03	3.041505E-16	3.939355E-18
4.474975E+03	3.067396E-16	3.964612E-18
4.484789E+03	3.093799E-16	3.990594E-18
4.494603E+03	3.120458E-16	4.016965E-18
4.504416E+03	3.147197E-16	4.043502E-18
4.514230E+03	3.173800E-16	4.069927E-18
4.524043E+03	3.200055E-16	4.095970E-18
4.533857E+03	3.225754E-16	4.121370E-18
4.543670E+03	3.250706E-16	4.145886E-18
4.553484E+03	3.274741E-16	4.169310E-18
4.563297E+03	3.297756E-16	4.191514E-18
4.573111E+03	3.319612E-16	4.212331E-18
4.582924E+03	3.340281E-16	4.231732E-18
4.592738E+03	3.359711E-16	4.249656E-18
4.602552E+03	3.377995E-16	4.266228E-18
4.612365E+03	3.395199E-16	4.281538E-18
4.622179E+03	3.411399E-16	4.295685E-18
4.631992E+03	3.426834E-16	4.308975E-18
4.641806E+03	3.441634E-16	4.321573E-18
4.651619E+03	3.456045E-16	4.333788E-18
4.661433E+03	3.470281E-16	4.345890E-18
4.671246E+03	3.484517E-16	4.358097E-18
4.681060E+03	3.498878E-16	4.370563E-18
4.690873E+03	3.513459E-16	4.383404E-18
4.700687E+03	3.528321E-16	4.396693E-18
4.710500E+03	3.543515E-16	4.410491E-18
4.720314E+03	3.558973E-16	4.424711E-18
4.730128E+03	3.574643E-16	4.439285E-18
4.739941E+03	3.590421E-16	4.454083E-18
4.749755E+03	3.606147E-16	4.468902E-18
4.759568E+03	3.621573E-16	4.483437E-18
4.769382E+03	3.636479E-16	4.497414E-18
4.779195E+03	3.650606E-16	4.510512E-18
4.789009E+03	3.663560E-16	4.522250E-18
4.798822E+03	3.675074E-16	4.532298E-18
4.808636E+03	3.684805E-16	4.540237E-18
4.818449E+03	3.692455E-16	4.545705E-18
4.828263E+03	3.697678E-16	4.548282E-18
4.838077E+03	3.700268E-16	4.547718E-18
4.847890E+03	3.699957E-16	4.543693E-18
4.857704E+03	3.696603E-16	4.536036E-18
4.867517E+03	3.690123E-16	4.524655E-18
4.877331E+03	3.680465E-16	4.509489E-18
4.887144E+03	3.667604E-16	4.490515E-18
4.896958E+03	3.651722E-16	4.467960E-18
4.906771E+03	3.632923E-16	4.441957E-18
4.916585E+03	3.611435E-16	4.412789E-18
4.926398E+03	3.587471E-16	4.380719E-18
4.936212E+03	3.561422E-16	4.346227E-18
4.946026E+03	3.533550E-16	4.309634E-18
4.955839E+03	3.504243E-16	4.271413E-18
4.965653E+03	3.473912E-16	4.232066E-18
4.975466E+03	3.442944E-16	4.192063E-18
4.985280E+03	3.411765E-16	4.151919E-18
4.995093E+03	3.380756E-16	4.112098E-18
5.004907E+03	3.350289E-16	4.073046E-18
5.014720E+03	3.320739E-16	4.035218E-18
5.024534E+03	3.292424E-16	3.998993E-18
5.034347E+03	3.265654E-16	3.964746E-18
5.044161E+03	3.240638E-16	3.932725E-18
5.053974E+03	3.217635E-16	3.903240E-18
5.063788E+03	3.196766E-16	3.876432E-18
5.073602E+03	3.178199E-16	3.852503E-18
5.083415E+03	3.161967E-16	3.831485E-18
5.093229E+03	3.148092E-16	3.813403E-18
5.103042E+03	3.136615E-16	3.798304E-18
5.112856E+03	3.127453E-16	3.786082E-18
5.122669E+03	3.120549E-16	3.776665E-18
5.132483E+03	3.115756E-16	3.769876E-18
5.142296E+03	3.113026E-16	3.765652E-18
5.152110E+03	3.112134E-16	3.763722E-18
5.161923E+03	3.112902E-16	3.763866E-18
5.171737E+03	3.115194E-16	3.765924E-18
5.181551E+03	3.118808E-16	3.769647E-18
5.191364E+03	3.123529E-16	3.774778E-18
5.201178E+03	3.129111E-16	3.781020E-18
5.210991E+03	3.135397E-16	3.788183E-18
5.220805E+03	3.142140E-16	3.795971E-18
5.230618E+03	3.149162E-16	3.804171E-18
5.240432E+03	3.156264E-16	3.812542E-18
5.250245E+03	3.163257E-16	3.820859E-18
5.260059E+03	3.170000E-16	3.828953E-18
5.269872E+03	3.176308E-16	3.836603E-18
5.279686E+03	3.182050E-16	3.843651E-18
5.289500E+03	3.187176E-16	3.850038E-18
5.299313E+03	3.191536E-16	3.855587E-18
5.309127E+03	3.195100E-16	3.860261E-18
5.318940E+03	3.197859E-16	3.864053E-18
5.328754E+03	3.199736E-16	3.866868E-18
5.338567E+03	3.200800E-16	3.868792E-18
5.348381E+03	3.201073E-16	3.869855E-18
5.358194E+03	3.200565E-16	3.870068E-18
5.368008E+03	3.199328E-16	3.869493E-18
5.377821E+03	3.197481E-16	3.868275E-18
5.387635E+03	3.194985E-16	3.866361E-18
5.397448E+03	3.191956E-16	3.863887E-18
5.407262E+03	3.188371E-16	3.860819E-18
5.417076E+03	3.184296E-16	3.857234E-18
5.426889E+03	3.179759E-16	3.853161E-18
5.436703E+03	3.174754E-16	3.848587E-18
5.446516E+03	3.169308E-16	3.843541E-18
5.456330E+03	3.163448E-16	3.838050E-18
5.466143E+03	3.157206E-16	3.832150E-18
5.475957E+03	3.150615E-16	3.825875E-18
5.485770E+03	3.143681E-16	3.819230E-18
5.495584E+03	3.136443E-16	3.812256E-18
5.505397E+03	3.128941E-16	3.804998E-18
5.515211E+03	3.121186E-16	3.797466E-18
5.525025E+03	3.113252E-16	3.789744E-18
5.534838E+03	3.105146E-16	3.781840E-18
5.544652E+03	3.096912E-16	3.773800E-18
5.554465E+03	3.088586E-16	3.765668E-18
5.564279E+03	3.080147E-16	3.757413E-18
