#wls	flux	fluxerr
1.600000E+03	2.832671E-18	2.798019E-19
1.640000E+03	2.933493E-18	2.887992E-19
1.680000E+03	3.039860E-18	2.982523E-19
1.720000E+03	3.151159E-18	3.080929E-19
1.760000E+03	3.268534E-18	3.184246E-19
1.800000E+03	3.392289E-18	3.292675E-19
1.840000E+03	3.522742E-18	3.406423E-19
1.880000E+03	3.659260E-18	3.524772E-19
1.920000E+03	3.803119E-18	3.648844E-19
1.960000E+03	3.954687E-18	3.778869E-19
2.000000E+03	4.114347E-18	3.915079E-19
2.040000E+03	4.282500E-18	4.057717E-19
2.080000E+03	4.460651E-18	4.208052E-19
2.120000E+03	4.647099E-18	4.364317E-19
2.160000E+03	4.844498E-18	4.528835E-19
2.200000E+03	5.052247E-18	4.700855E-19
2.240000E+03	5.270854E-18	4.880652E-19
2.280000E+03	5.502063E-18	5.069628E-19
2.320000E+03	5.746511E-18	5.268133E-19
2.360000E+03	6.004871E-18	5.476530E-19
2.400000E+03	6.276535E-18	5.694000E-19
2.440000E+03	6.564821E-18	5.923271E-19
2.480000E+03	6.867849E-18	6.162334E-19
2.520000E+03	7.190541E-18	6.415282E-19
2.560000E+03	7.529625E-18	6.678826E-19
2.600000E+03	7.890320E-18	6.957226E-19
2.640000E+03	8.272267E-18	7.249735E-19
2.680000E+03	8.676569E-18	7.556879E-19
2.720000E+03	9.105991E-18	7.880584E-19
2.760000E+03	9.561886E-18	8.221499E-19
2.800000E+03	1.004569E-17	8.580297E-19
2.840000E+03	1.056065E-17	8.959151E-19
2.880000E+03	1.110853E-17	9.358889E-19
2.920000E+03	1.169120E-17	9.780380E-19
2.960000E+03	1.231437E-17	1.022765E-18
3.000000E+03	1.298050E-17	1.070186E-18
3.010000E+03	1.315307E-17	1.082396E-18
3.020000E+03	1.332950E-17	1.094864E-18
3.030000E+03	1.350984E-17	1.107593E-18
3.040000E+03	1.369217E-17	1.120423E-18
3.050000E+03	1.387652E-17	1.133355E-18
3.060000E+03	1.406492E-17	1.146554E-18
3.070000E+03	1.425745E-17	1.160025E-18
3.080000E+03	1.445212E-17	1.173602E-18
3.090000E+03	1.465103E-17	1.187456E-18
3.100000E+03	1.485423E-17	1.201589E-18
3.110000E+03	1.505971E-17	1.215837E-18
3.120000E+03	1.526960E-17	1.230367E-18
3.130000E+03	1.548186E-17	1.245017E-18
3.140000E+03	1.569865E-17	1.259956E-18
3.150000E+03	1.592003E-17	1.275188E-18
3.160000E+03	1.614394E-17	1.290546E-18
3.170000E+03	1.637473E-17	1.306375E-18
3.180000E+03	1.660597E-17	1.322159E-18
3.190000E+03	1.684426E-17	1.338423E-18
3.200000E+03	1.708528E-17	1.354822E-18
3.210000E+03	1.733130E-17	1.371532E-18
3.220000E+03	1.758239E-17	1.388558E-18
3.230000E+03	1.783639E-17	1.405725E-18
3.240000E+03	1.809787E-17	1.423392E-18
3.250000E+03	1.836239E-17	1.441207E-18
3.260000E+03	1.863227E-17	1.459350E-18
3.270000E+03	1.890762E-17	1.477826E-18
3.280000E+03	1.918616E-17	1.496456E-18
3.290000E+03	1.947268E-17	1.515609E-18
3.300000E+03	1.976251E-17	1.534921E-18
3.310000E+03	2.005812E-17	1.554580E-18
3.320000E+03	2.035959E-17	1.574588E-18
3.330000E+03	2.066700E-17	1.594951E-18
3.340000E+03	2.098043E-17	1.615671E-18
3.350000E+03	2.129998E-17	1.636752E-18
3.360000E+03	2.162324E-17	1.658007E-18
3.370000E+03	2.195527E-17	1.679821E-18
3.380000E+03	2.229367E-17	1.702006E-18
3.390000E+03	2.263853E-17	1.724567E-18
3.400000E+03	2.298738E-17	1.747311E-18
3.410000E+03	2.334541E-17	1.770631E-18
3.420000E+03	2.371014E-17	1.794335E-18
3.430000E+03	2.408168E-17	1.818427E-18
3.440000E+03	2.446009E-17	1.842910E-18
3.450000E+03	2.484546E-17	1.867785E-18
3.460000E+03	2.523786E-17	1.893056E-18
3.470000E+03	2.563737E-17	1.918724E-18
3.480000E+03	2.604677E-17	1.944993E-18
3.490000E+03	2.646346E-17	1.971667E-18
3.500000E+03	2.688474E-17	1.998540E-18
3.510000E+03	2.731619E-17	2.026023E-18
3.520000E+03	2.775510E-17	2.053913E-18
3.530000E+03	2.820436E-17	2.082417E-18
3.540000E+03	2.866123E-17	2.111330E-18
3.550000E+03	2.912575E-17	2.140652E-18
3.560000E+03	2.959798E-17	2.170383E-18
3.570000E+03	3.007795E-17	2.200522E-18
3.580000E+03	3.056858E-17	2.231278E-18
3.590000E+03	3.106704E-17	2.262440E-18
3.600000E+03	3.157627E-17	2.294220E-18
3.610000E+03	3.209040E-17	2.326186E-18
3.620000E+03	3.261835E-17	2.358981E-18
3.630000E+03	3.315117E-17	2.391954E-18
3.640000E+03	3.369485E-17	2.425534E-18
3.650000E+03	3.424942E-17	2.459718E-18
3.660000E+03	3.481181E-17	2.494282E-18
3.670000E+03	3.538196E-17	2.529219E-18
3.680000E+03	3.596293E-17	2.564743E-18
3.690000E+03	3.655153E-17	2.600623E-18
3.700000E+03	3.715085E-17	2.637076E-18
3.710000E+03	3.775764E-17	2.673866E-18
3.720000E+03	3.837497E-17	2.711210E-18
3.730000E+03	3.900277E-17	2.749097E-18
3.740000E+03	3.963768E-17	2.787286E-18
3.750000E+03	4.027951E-17	2.825764E-18
3.760000E+03	4.093465E-17	2.864975E-18
3.770000E+03	4.159638E-17	2.904443E-18
3.780000E+03	4.226446E-17	2.944153E-18
3.790000E+03	4.294198E-17	2.984314E-18
3.800000E+03	4.362871E-17	3.024911E-18
3.810000E+03	4.432103E-17	3.065688E-18
3.820000E+03	4.502203E-17	3.106858E-18
3.830000E+03	4.573139E-17	3.148398E-18
3.840000E+03	4.644882E-17	3.190285E-18
3.850000E+03	4.717049E-17	3.232254E-18
3.860000E+03	4.789948E-17	3.274517E-18
3.870000E+03	4.863540E-17	3.317045E-18
3.880000E+03	4.937430E-17	3.359569E-18
3.890000E+03	5.012276E-17	3.402537E-18
3.900000E+03	5.087325E-17	3.445435E-18
3.910000E+03	5.162522E-17	3.488229E-18
3.920000E+03	5.238526E-17	3.531366E-18
3.930000E+03	5.314927E-17	3.574568E-18
3.940000E+03	5.391303E-17	3.617553E-18
3.950000E+03	5.467954E-17	3.660525E-18
3.960000E+03	5.544815E-17	3.703443E-18
3.970000E+03	5.621820E-17	3.746264E-18
3.980000E+03	5.698530E-17	3.788700E-18
3.990000E+03	5.775609E-17	3.831195E-18
4.000000E+03	5.852246E-17	3.873215E-18
4.010000E+03	5.928731E-17	3.914956E-18
4.020000E+03	6.004983E-17	3.956371E-18
4.030000E+03	6.080924E-17	3.997410E-18
4.040000E+03	6.156465E-17	4.038024E-18
4.050000E+03	6.231149E-17	4.077916E-18
4.060000E+03	6.305635E-17	4.117526E-18
4.070000E+03	6.379082E-17	4.156311E-18
4.080000E+03	6.452150E-17	4.194707E-18
4.090000E+03	6.523993E-17	4.232173E-18
