#wls	flux	fluxerr	mangling_mask
3.999850E+03	7.064230E-17	3.776753E-17	1.052070E+00
4.001320E+03	7.407263E-17	3.789889E-17	1.052063E+00
4.002790E+03	7.604267E-17	3.792780E-17	1.052057E+00
4.004260E+03	7.746458E-17	4.020704E-17	1.052050E+00
4.005730E+03	7.959660E-17	4.456932E-17	1.052044E+00
4.007200E+03	8.363489E-17	4.741135E-17	1.052038E+00
4.008670E+03	8.789828E-17	4.763051E-17	1.052032E+00
4.010140E+03	9.085922E-17	4.779253E-17	1.052025E+00
4.011610E+03	9.387695E-17	4.791439E-17	1.052019E+00
4.013080E+03	9.673684E-17	4.854122E-17	1.052013E+00
4.014550E+03	1.002363E-16	5.038220E-17	1.052008E+00
4.016020E+03	1.052633E-16	5.104810E-17	1.052002E+00
4.017490E+03	1.074824E-16	5.291444E-17	1.051996E+00
4.018960E+03	1.083971E-16	5.282264E-17	1.051991E+00
4.020430E+03	1.099640E-16	5.239879E-17	1.051985E+00
4.021900E+03	1.118254E-16	5.213165E-17	1.051980E+00
4.023370E+03	1.130978E-16	5.155303E-17	1.051974E+00
4.024840E+03	1.141702E-16	5.221620E-17	1.051969E+00
4.026310E+03	1.156003E-16	5.215816E-17	1.051964E+00
4.027780E+03	1.175459E-16	5.241469E-17	1.051959E+00
4.029250E+03	1.209958E-16	5.077765E-17	1.051954E+00
4.030720E+03	1.230360E-16	5.251687E-17	1.051949E+00
4.032190E+03	1.255706E-16	5.519424E-17	1.051945E+00
4.033660E+03	1.306299E-16	5.529043E-17	1.051940E+00
4.035130E+03	1.329120E-16	5.517475E-17	1.051935E+00
4.036600E+03	1.344157E-16	5.302091E-17	1.051931E+00
4.038070E+03	1.368030E-16	5.276112E-17	1.051926E+00
4.039540E+03	1.406420E-16	5.275683E-17	1.051922E+00
4.041010E+03	1.436394E-16	5.230664E-17	1.051918E+00
4.042480E+03	1.451431E-16	5.153297E-17	1.051914E+00
4.043950E+03	1.483509E-16	5.115158E-17	1.051910E+00
4.045420E+03	1.506961E-16	5.166288E-17	1.051906E+00
4.046890E+03	1.518000E-16	5.235609E-17	1.051902E+00
4.048360E+03	1.539559E-16	5.218159E-17	1.051899E+00
4.049830E+03	1.551124E-16	5.291463E-17	1.051895E+00
4.051300E+03	1.565635E-16	5.167666E-17	1.051892E+00
4.052770E+03	1.579305E-16	4.817302E-17	1.051888E+00
4.054240E+03	1.580773E-16	4.529433E-17	1.051885E+00
4.055710E+03	1.573930E-16	4.537744E-17	1.051882E+00
4.057180E+03	1.562671E-16	4.531480E-17	1.051879E+00
4.058650E+03	1.563192E-16	4.823325E-17	1.051876E+00
4.060120E+03	1.558665E-16	5.106540E-17	1.051873E+00
4.061590E+03	1.544566E-16	5.059637E-17	1.051870E+00
4.063060E+03	1.543615E-16	5.000797E-17	1.051867E+00
4.064530E+03	1.542559E-16	4.838245E-17	1.051865E+00
4.066000E+03	1.545290E-16	5.183707E-17	1.051862E+00
4.067470E+03	1.539817E-16	5.192685E-17	1.051860E+00
4.068940E+03	1.542233E-16	5.155795E-17	1.051857E+00
4.070410E+03	1.539916E-16	5.167823E-17	1.051855E+00
4.071880E+03	1.518350E-16	5.088436E-17	1.051853E+00
4.073350E+03	1.490999E-16	5.091699E-17	1.051851E+00
4.074820E+03	1.454287E-16	5.064970E-17	1.051849E+00
4.076290E+03	1.409791E-16	5.147286E-17	1.051847E+00
4.077760E+03	1.366558E-16	4.971693E-17	1.051846E+00
4.079230E+03	1.341101E-16	4.566756E-17	1.051844E+00
4.080700E+03	1.317117E-16	4.661498E-17	1.051843E+00
4.082170E+03	1.284929E-16	4.848570E-17	1.051841E+00
4.083640E+03	1.247061E-16	4.868311E-17	1.051840E+00
4.085110E+03	1.221395E-16	4.860865E-17	1.051839E+00
4.086580E+03	1.208141E-16	4.925308E-17	1.051838E+00
4.088050E+03	1.178793E-16	4.966891E-17	1.051837E+00
4.089520E+03	1.138086E-16	5.009671E-17	1.051836E+00
4.090990E+03	1.108319E-16	4.907606E-17	1.051835E+00
4.092460E+03	1.094644E-16	4.991354E-17	1.051834E+00
4.093930E+03	1.064035E-16	4.891143E-17	1.051834E+00
4.095400E+03	1.033784E-16	4.890510E-17	1.051833E+00
4.096870E+03	1.029219E-16	4.842654E-17	1.051833E+00
