#wls	flux	fluxerr
1.592040E+03	3.881151E-05	1.825443E-06
1.631841E+03	3.959773E-05	1.853631E-06
1.671642E+03	4.042583E-05	1.883217E-06
1.711443E+03	4.129812E-05	1.914264E-06
1.751244E+03	4.221715E-05	1.946841E-06
1.791045E+03	4.318550E-05	1.981015E-06
1.830846E+03	4.421360E-05	2.017209E-06
1.870647E+03	4.529725E-05	2.055166E-06
1.910448E+03	4.644755E-05	2.095323E-06
1.950249E+03	4.766044E-05	2.137425E-06
1.990050E+03	4.894763E-05	2.181919E-06
2.029851E+03	5.031335E-05	2.228907E-06
2.069652E+03	5.175341E-05	2.278112E-06
2.109453E+03	5.328025E-05	2.329987E-06
2.149254E+03	5.490693E-05	2.384993E-06
2.189055E+03	5.661976E-05	2.442419E-06
2.228856E+03	5.843097E-05	2.502677E-06
2.268657E+03	6.035284E-05	2.566163E-06
2.308458E+03	6.237815E-05	2.632428E-06
2.348259E+03	6.450740E-05	2.701356E-06
2.388060E+03	6.674976E-05	2.773181E-06
2.427861E+03	6.909197E-05	2.847202E-06
2.467662E+03	7.153881E-05	2.923465E-06
2.507463E+03	7.408172E-05	3.001466E-06
2.547264E+03	7.670822E-05	3.080554E-06
2.587065E+03	7.940136E-05	3.159913E-06
2.626866E+03	8.213912E-05	3.238549E-06
2.666667E+03	8.490643E-05	3.315773E-06
2.706468E+03	8.765843E-05	3.389762E-06
2.746269E+03	9.035666E-05	3.459012E-06
2.786070E+03	9.297112E-05	3.522399E-06
2.825871E+03	9.545621E-05	3.578267E-06
2.865672E+03	9.775195E-05	3.624506E-06
2.905473E+03	9.984103E-05	3.660677E-06
2.945274E+03	1.016594E-04	3.684683E-06
2.985075E+03	1.032095E-04	3.696931E-06
2.995025E+03	1.035602E-04	3.698377E-06
3.004975E+03	1.038760E-04	3.698465E-06
3.014925E+03	1.041842E-04	3.698178E-06
3.024876E+03	1.044852E-04	3.697529E-06
3.034826E+03	1.047521E-04	3.695577E-06
3.044776E+03	1.050128E-04	3.693312E-06
3.054726E+03	1.052544E-04	3.690281E-06
3.064677E+03	1.054777E-04	3.686519E-06
3.074627E+03	1.056971E-04	3.682537E-06
3.084577E+03	1.059002E-04	3.677902E-06
3.094527E+03	1.060882E-04	3.672666E-06
3.104478E+03	1.062625E-04	3.666877E-06
3.114428E+03	1.064380E-04	3.661054E-06
3.124378E+03	1.066029E-04	3.654791E-06
3.134328E+03	1.067722E-04	3.648607E-06
3.144279E+03	1.069211E-04	3.641658E-06
3.154229E+03	1.070785E-04	3.634924E-06
3.164179E+03	1.072329E-04	3.628022E-06
3.174129E+03	1.074000E-04	3.621479E-06
3.184080E+03	1.075689E-04	3.614923E-06
3.194030E+03	1.077421E-04	3.608437E-06
3.203980E+03	1.079221E-04	3.602108E-06
3.213930E+03	1.081248E-04	3.596460E-06
3.223881E+03	1.083399E-04	3.591141E-06
3.233831E+03	1.085701E-04	3.586243E-06
3.243781E+03	1.088316E-04	3.582286E-06
3.253731E+03	1.091142E-04	3.578932E-06
3.263682E+03	1.094210E-04	3.576272E-06
3.273632E+03	1.097681E-04	3.574823E-06
3.283582E+03	1.101458E-04	3.574255E-06
3.293532E+03	1.105572E-04	3.574660E-06
3.303483E+03	1.110057E-04	3.576131E-06
3.313433E+03	1.115073E-04	3.579177E-06
3.323383E+03	1.120526E-04	3.583470E-06
3.333333E+03	1.126576E-04	3.589513E-06
3.343284E+03	1.133000E-04	3.596570E-06
3.353234E+03	1.140089E-04	3.605550E-06
3.363184E+03	1.147877E-04	3.616539E-06
3.373134E+03	1.156136E-04	3.628798E-06
3.383085E+03	1.165161E-04	3.643229E-06
3.393035E+03	1.174987E-04	3.659912E-06
3.402985E+03	1.185381E-04	3.678100E-06
3.412935E+03	1.196641E-04	3.698693E-06
3.422886E+03	1.208666E-04	3.721348E-06
3.432836E+03	1.221623E-04	3.746550E-06
3.442786E+03	1.235410E-04	3.773952E-06
3.452736E+03	1.250057E-04	3.803620E-06
3.462687E+03	1.265595E-04	3.835614E-06
3.472637E+03	1.282195E-04	3.870416E-06
3.482587E+03	1.299749E-04	3.907668E-06
3.492537E+03	1.318289E-04	3.947429E-06
3.502488E+03	1.337988E-04	3.990182E-06
3.512438E+03	1.358738E-04	4.035561E-06
3.522388E+03	1.380571E-04	4.083621E-06
3.532338E+03	1.403667E-04	4.134857E-06
3.542289E+03	1.427913E-04	4.188895E-06
3.552239E+03	1.453345E-04	4.245791E-06
3.562189E+03	1.480152E-04	4.306055E-06
3.572139E+03	1.508062E-04	4.368854E-06
3.582090E+03	1.537425E-04	4.435154E-06
3.592040E+03	1.568287E-04	4.505033E-06
3.601990E+03	1.600367E-04	4.577639E-06
3.611940E+03	1.634033E-04	4.653971E-06
3.621891E+03	1.669335E-04	4.734119E-06
3.631841E+03	1.705982E-04	4.817202E-06
3.641791E+03	1.744359E-04	4.904255E-06
3.651741E+03	1.784344E-04	4.994872E-06
3.661692E+03	1.825981E-04	5.089121E-06
3.671642E+03	1.869499E-04	5.187580E-06
3.681592E+03	1.914763E-04	5.289808E-06
3.691542E+03	1.961812E-04	5.395856E-06
3.701493E+03	2.010685E-04	5.505763E-06
3.711443E+03	2.061612E-04	5.620099E-06
3.721393E+03	2.114429E-04	5.738342E-06
3.731343E+03	2.169153E-04	5.860477E-06
3.741294E+03	2.226007E-04	5.987038E-06
3.751244E+03	2.284565E-04	6.116814E-06
3.761194E+03	2.345244E-04	6.250859E-06
3.771144E+03	2.407799E-04	6.388450E-06
3.781095E+03	2.472412E-04	6.530010E-06
3.791045E+03	2.538555E-04	6.674082E-06
3.800995E+03	2.606606E-04	6.821606E-06
3.810945E+03	2.676215E-04	6.971615E-06
3.820896E+03	2.747493E-04	7.124347E-06
3.830846E+03	2.819769E-04	7.278018E-06
3.840796E+03	2.893354E-04	7.433407E-06
3.850746E+03	2.967769E-04	7.589248E-06
3.860697E+03	3.042755E-04	7.744868E-06
3.870647E+03	3.118030E-04	7.899544E-06
3.880597E+03	3.193576E-04	8.053231E-06
3.890547E+03	3.268497E-04	8.203689E-06
3.900498E+03	3.343033E-04	8.351549E-06
3.910448E+03	3.416544E-04	8.495255E-06
3.920398E+03	3.488985E-04	8.634742E-06
3.930348E+03	3.559395E-04	8.767698E-06
3.940299E+03	3.627729E-04	8.894103E-06
3.950249E+03	3.693979E-04	9.014023E-06
3.960199E+03	3.757519E-04	9.126028E-06
3.970149E+03	3.818056E-04	9.229524E-06
3.980100E+03	3.875329E-04	9.323998E-06
3.990050E+03	3.929106E-04	9.409030E-06
4.000000E+03	3.979195E-04	9.484294E-06
4.009950E+03	4.025785E-04	9.550385E-06
4.019900E+03	4.068096E-04	9.605592E-06
4.029851E+03	4.106756E-04	9.651554E-06
4.039801E+03	4.141080E-04	9.686805E-06
4.049751E+03	4.171808E-04	9.713231E-06
4.059701E+03	4.198700E-04	9.730409E-06
4.069652E+03	4.221904E-04	9.738822E-06
4.079602E+03	4.241610E-04	9.739039E-06
4.089552E+03	4.258038E-04	9.731690E-06
4.099502E+03	4.271430E-04	9.717447E-06
4.109453E+03	4.282044E-04	9.697003E-06
4.119403E+03	4.290143E-04	9.671052E-06
4.129353E+03	4.295990E-04	9.640278E-06
4.139303E+03	4.299847E-04	9.605343E-06
4.149254E+03	4.302304E-04	9.567637E-06
4.159204E+03	4.302919E-04	9.526235E-06
4.169154E+03	4.302265E-04	9.482467E-06
4.179104E+03	4.300562E-04	9.436865E-06
4.189055E+03	4.298020E-04	9.389929E-06
4.199005E+03	4.294839E-04	9.342130E-06
4.208955E+03	4.291208E-04	9.293906E-06
4.218905E+03	4.287309E-04	9.245675E-06
4.228856E+03	4.283316E-04	9.197829E-06
4.238806E+03	4.279396E-04	9.150736E-06
4.248756E+03	4.275384E-04	9.104056E-06
4.258706E+03	4.272088E-04	9.059516E-06
4.268657E+03	4.269331E-04	9.016733E-06
4.278607E+03	4.266937E-04	8.975332E-06
4.288557E+03	4.265369E-04	8.936290E-06
4.298507E+03	4.265083E-04	8.900547E-06
4.308458E+03	4.265574E-04	8.867033E-06
4.318408E+03	4.267293E-04	8.836675E-06
4.328358E+03	4.270048E-04	8.809063E-06
4.338308E+03	4.274590E-04	8.785730E-06
4.348259E+03	4.280716E-04	8.766229E-06
4.358209E+03	4.288206E-04	8.750094E-06
4.368159E+03	4.297437E-04	8.738076E-06
4.378109E+03	4.308422E-04	8.730180E-06
4.388060E+03	4.321124E-04	8.726310E-06
4.398010E+03	4.335467E-04	8.726299E-06
4.407960E+03	4.351046E-04	8.729313E-06
4.417910E+03	4.368055E-04	8.735725E-06
4.427861E+03	4.386365E-04	8.745241E-06
4.437811E+03	4.405830E-04	8.757542E-06
4.447761E+03	4.425975E-04	8.771666E-06
4.457711E+03	4.447254E-04	8.788490E-06
4.467662E+03	4.468856E-04	8.806394E-06
4.477612E+03	4.490584E-04	8.824980E-06
4.487562E+03	4.512859E-04	8.845066E-06
